DATE,OPEN,HIGH,LOW,CLOSE
2015-05-21,13.3823,13.9106,13.3823,13.9106
2015-05-22,13.9106,14.2627,13.9106,14.1219
2015-05-26,14.0866,14.2979,14.0866,14.1923
2015-05-27,14.1923,14.4313,14.1571,14.1571
2015-05-28,14.1430,14.1993,13.7697,13.8401
2015-05-29,13.9050,13.9809,13.8049,13.8049
2015-06-01,13.8049,13.8401,13.5443,13.6288
2015-06-02,13.6640,14.0866,13.5936,14.0233
2015-06-03,14.0514,14.0726,13.6640,13.9458
2015-06-04,13.9458,14.3550,13.5654,13.6640
2015-06-05,13.6007,13.6007,12.9668,13.4316
2015-06-08,13.4175,13.4175,13.0301,13.1217
2015-06-09,13.0724,13.3894,13.0654,13.1428
2015-06-10,13.2019,13.3894,12.9844,13.2414
2015-06-11,13.3401,13.3612,12.8963,13.1710
2015-06-12,13.2414,13.4105,12.8963,13.4105
2015-06-15,13.3119,13.6253,13.2767,13.4034
2015-06-16,13.3189,13.5091,13.1428,13.3541
2015-06-17,13.5584,13.5584,13.3823,13.4105
2015-06-18,13.4745,13.7415,13.2978,13.3753
2015-06-19,13.4175,13.5232,13.3182,13.5020
2015-06-22,13.4880,13.5091,13.3894,13.4316
2015-06-23,13.4175,13.5232,13.4175,13.5091
2015-06-24,13.4880,13.4880,13.4105,13.4598
2015-06-25,13.4527,13.4598,13.3541,13.4175
2015-06-26,13.5091,13.6359,13.4175,13.6359
2015-06-29,13.4950,13.5443,13.3823,13.4316
2015-06-30,13.5514,13.5866,13.3894,13.5584
2015-07-01,13.5584,13.5654,13.3119,13.4316
2015-07-02,13.4175,13.5584,13.3823,13.4457
2015-07-06,13.4950,13.5020,13.3894,13.4668
2015-07-07,13.4387,13.5866,13.3513,13.4316
2015-07-08,13.4175,13.5584,13.3541,13.4809
2015-07-09,13.5161,13.5161,13.3865,13.3894
2015-07-10,13.3858,13.5161,13.3612,13.3964
2015-07-13,13.4457,13.4457,13.3753,13.3753
2015-07-14,13.3682,13.4435,13.3682,13.3964
2015-07-15,13.5936,13.5936,13.3753,13.4175
2015-07-16,13.4387,13.4387,13.3753,13.3753
2015-07-17,13.4105,13.4880,13.3753,13.3894
2015-07-20,13.4175,13.4175,13.3753,13.3823
2015-07-21,13.3954,13.4668,13.3048,13.4457
2015-07-22,13.4457,13.4880,13.3753,13.3753
2015-07-23,13.3471,13.4034,13.3471,13.3753
2015-07-24,13.3753,13.3894,13.3753,13.3894
2015-07-27,13.3736,13.3788,13.1147,13.2344
2015-07-28,13.2767,13.4034,13.2415,13.3541
2015-07-29,13.3189,13.3541,12.9315,12.9808
2015-07-30,12.9738,13.2062,12.9632,13.0231
2015-07-31,13.0583,13.3048,12.9949,13.2907
2015-08-03,13.2837,13.3189,13.1781,13.2555
2015-08-04,13.2767,13.3260,13.2344,13.2344
2015-08-05,13.2063,13.2063,13.0654,13.1921
2015-08-06,13.1710,13.1710,12.8541,12.9245
2015-08-07,12.8822,12.8893,12.4005,12.8329
2015-08-10,12.8048,12.8893,12.7625,12.7836
2015-08-11,12.7907,12.8188,12.5442,12.6075
2015-08-12,12.6075,12.7836,12.4456,12.7414
2015-08-13,12.7132,12.7484,12.6709,12.7132
2015-08-14,12.6921,12.8188,12.6287,12.7273
2015-08-17,12.7414,12.7484,12.6428,12.6780
2015-08-18,12.6717,12.7782,12.6504,12.7498
2015-08-19,12.7427,12.7605,12.5404,12.6788
2015-08-20,12.6504,12.8137,12.6433,12.7214
2015-08-21,12.7001,12.7782,12.5724,12.7569
2015-08-24,12.6007,12.7427,12.3594,12.6930
2015-08-25,12.9060,12.9060,12.5652,12.7498
2015-08-26,12.8847,12.8847,12.5369,12.6646
2015-08-27,12.6717,12.8492,12.6362,12.7782
2015-08-28,12.8031,12.8279,12.7072,12.7924
2015-08-31,12.7498,12.8847,12.7498,12.8421
2015-09-01,12.7711,12.8491,12.7711,12.7782
2015-09-02,12.7498,12.8066,12.7498,12.7924
2015-09-03,12.8350,12.9273,12.8278,12.9273
2015-09-04,12.8066,12.8279,12.6220,12.8137
2015-09-08,12.7782,12.8492,12.6362,12.8137
2015-09-09,12.8492,12.8492,12.4588,12.5865
2015-09-10,12.5298,12.8492,12.4730,12.7924
2015-09-11,12.7782,12.8492,12.5723,12.6504
2015-09-14,12.6220,12.7782,12.5723,12.7072
2015-09-15,12.6291,12.8066,12.6291,12.7498
2015-09-16,12.7853,12.7853,12.2103,12.2458
2015-09-17,12.2884,12.4801,12.2103,12.2742
2015-09-18,12.3523,12.5794,11.8979,12.0186
2015-09-21,12.0328,12.0541,11.7276,11.8411
2015-09-22,11.8340,11.8766,11.7489,11.8411
2015-09-23,11.7870,12.2103,11.7870,12.0825
2015-09-24,12.0541,12.1890,12.0399,12.1251
2015-09-25,12.1393,12.1535,11.4365,11.6637
2015-09-28,11.7063,11.7063,11.4933,11.6779
2015-09-29,11.7702,11.7702,11.4791,11.4933
2015-09-30,11.4862,11.5714,11.0816,11.2874
2015-10-01,11.3584,11.6069,11.2377,11.3584
2015-10-02,11.3726,11.4933,11.2874,11.3442
2015-10-05,11.4010,11.7489,11.4010,11.5359
2015-10-06,11.5714,11.8482,11.4010,11.7276
2015-10-07,11.7134,12.8386,11.7134,12.3949
2015-10-08,12.3523,12.7072,12.3509,12.6504
2015-10-09,12.6362,12.7143,12.2671,12.7072
2015-10-12,12.6504,12.8102,12.5794,12.7498
2015-10-13,12.7782,12.8421,12.6611,12.8137
2015-10-14,12.8350,12.9131,12.7782,12.8563
2015-10-15,12.8776,13.3106,12.8776,13.2042
2015-10-16,13.1900,13.2113,13.0228,13.2113
2015-10-19,13.2255,13.4881,13.2184,13.4455
2015-10-20,13.2893,13.5591,13.2255,13.2751
2015-10-21,13.3248,13.6230,13.1332,13.4313
2015-10-22,13.4881,13.7011,12.2209,12.9344
2015-10-23,13.0338,13.2042,12.8137,13.1332
2015-10-26,13.2042,13.2751,12.9379,13.1261
2015-10-27,13.1687,13.2326,12.5723,13.1403
2015-10-28,13.1048,13.3461,13.0125,13.0622
2015-10-29,13.0409,13.1048,12.8634,12.9273
2015-10-30,12.9557,13.0373,12.7143,12.9983
2015-11-02,12.9273,13.2930,12.8350,13.1403
2015-11-03,13.1687,13.2680,12.9913,13.0480
2015-11-04,13.0622,13.0977,12.8847,13.0480
2015-11-05,13.0551,13.1119,12.9676,12.9983
2015-11-06,12.9486,13.0876,12.8137,12.9628
2015-11-09,12.9486,13.0054,12.8776,12.9770
2015-11-10,12.9841,13.1829,12.7498,13.1261
2015-11-11,13.0977,13.1261,12.8293,12.9557
2015-11-12,12.9202,12.9486,12.7924,12.8492
2015-11-13,12.5652,13.1332,12.4943,12.7782
2015-11-16,12.7214,13.0196,12.6575,12.9912
2015-11-17,12.9983,13.4455,12.9770,13.2326
2015-11-18,13.2335,13.5993,13.0379,13.3639
2015-11-19,13.3349,13.5450,13.3349,13.5015
2015-11-20,13.4943,13.4943,13.0379,13.1104
2015-11-23,13.1176,13.4508,12.9582,13.1104
2015-11-24,13.0959,13.3566,13.0379,13.1828
2015-11-25,13.1973,13.5667,13.1937,13.5305
2015-11-27,13.5015,13.7623,13.4725,13.7623
2015-11-30,13.6319,13.7623,13.5305,13.5595
2015-12-01,13.5812,13.6826,13.5812,13.6102
2015-12-02,13.6405,13.6405,13.3349,13.4725
2015-12-03,13.5595,13.6029,13.2552,13.2915
2015-12-04,13.2697,13.4725,13.2697,13.4653
2015-12-07,13.4363,13.4725,13.1900,13.2552
2015-12-08,13.2480,13.4037,13.1538,13.2335
2015-12-09,13.0886,13.2842,13.0886,13.1466
2015-12-10,13.1900,13.4725,12.9727,13.0959
2015-12-11,13.1538,13.4725,13.0090,13.1973
2015-12-14,13.2335,13.4291,13.0235,13.1756
2015-12-15,13.3566,13.7695,13.3204,13.5305
2015-12-16,13.3856,13.7840,13.3856,13.6826
2015-12-17,13.7405,13.7912,13.4436,13.4725
2015-12-18,13.4653,13.8492,13.3639,13.8419
2015-12-21,13.7768,13.8854,13.3784,13.5450
2015-12-22,13.4725,13.4725,13.4073,13.4073
2015-12-23,13.4218,13.4943,13.3494,13.3784
2015-12-24,13.4146,13.5232,13.1900,13.2842
2015-12-28,13.2118,13.6102,13.2045,13.3784
2015-12-29,13.4001,13.5450,13.1176,13.3856
2015-12-30,13.3929,13.4001,13.1900,13.3277
2015-12-31,13.2915,13.4363,13.2560,13.3494
2016-01-04,13.1900,13.4001,13.1104,13.3856
2016-01-05,13.2842,13.4363,13.2589,13.3856
2016-01-06,13.3059,13.4001,13.3059,13.3784
2016-01-07,13.2842,13.3629,13.0742,13.1756
2016-01-08,13.1538,13.1973,12.7699,12.9655
2016-01-11,12.9727,13.0162,12.7265,12.9076
2016-01-12,12.9438,12.9945,12.4947,12.7627
2016-01-13,12.7554,12.7917,12.1687,12.3643
2016-01-14,12.4505,12.4585,12.1742,12.2122
2016-01-15,12.0528,12.1615,11.9514,12.1180
2016-01-19,12.1977,12.2774,11.8917,12.0021
2016-01-20,11.8935,12.1905,11.4951,11.8645
2016-01-21,11.8645,12.4005,11.7957,12.1180
2016-01-22,12.2194,12.6251,12.2050,12.6251
2016-01-25,12.5164,13.0307,12.5164,12.9365
2016-01-26,12.8786,13.0017,12.8569,12.9945
2016-01-27,12.9583,13.0017,12.7699,12.9583
2016-01-28,12.9945,13.2190,12.9510,13.1393
2016-01-29,13.1828,13.4146,13.1828,13.4146
2016-02-01,13.4508,13.4580,13.2552,13.3639
2016-02-02,13.2118,13.3277,12.8858,13.1249
2016-02-03,13.1466,13.4146,13.0090,13.0235
2016-02-04,13.0524,13.3059,13.0524,13.2118
2016-02-05,13.1176,13.2364,12.7844,12.8424
2016-02-08,12.7844,12.9583,12.2919,12.4005
2016-02-09,12.3136,12.9220,12.0311,12.9148
2016-02-10,12.9438,13.3059,12.8062,13.2915
2016-02-11,13.1104,13.1104,12.5019,12.5671
2016-02-12,12.5309,12.7410,12.4223,12.6758
2016-02-16,12.7917,13.0307,12.6178,12.9365
2016-02-17,12.9492,13.3041,12.9492,13.3041
2016-02-18,13.2228,13.4372,13.2080,13.2302
2016-02-19,13.1562,13.2154,12.8752,13.1858
2016-02-22,13.2524,13.3041,13.1562,13.3041
2016-02-23,13.3115,13.3929,12.9418,13.3115
2016-02-24,13.2154,13.3855,13.1636,13.2376
2016-02-25,13.2745,13.3115,13.2376,13.2819
2016-02-26,12.9492,13.2524,12.9492,13.1414
2016-02-29,13.1784,13.3855,13.1266,13.2893
2016-03-01,13.3485,13.6739,13.3485,13.5334
2016-03-02,13.5556,13.7848,13.5038,13.7848
2016-03-03,13.8292,13.9993,13.8292,13.9771
2016-03-04,13.9845,14.0222,13.9179,13.9401
2016-03-07,13.8440,13.9043,13.7922,13.8958
2016-03-08,13.8810,14.0511,13.8366,14.0511
2016-03-09,14.0363,14.0584,13.9327,13.9327
2016-03-10,13.9993,14.0289,13.6147,13.7257
2016-03-11,13.8958,14.0030,13.8662,13.9031
2016-03-14,13.9105,14.0363,13.9031,13.9401
2016-03-15,13.9771,13.9845,13.8292,13.9253
2016-03-16,13.9623,14.0289,13.9105,13.9327
2016-03-17,13.9549,14.0806,13.9105,14.0363
2016-03-18,14.1250,14.3395,13.3633,13.3855
2016-03-21,13.4003,13.7331,13.4003,13.5630
2016-03-22,13.4890,13.6739,13.3781,13.5482
2016-03-23,13.5334,14.0067,13.5334,13.8736
2016-03-24,13.8292,14.0363,13.7079,14.0289
2016-03-28,14.0511,14.0511,13.8371,13.8810
2016-03-29,13.8070,13.9771,13.7183,13.8810
2016-03-30,13.9401,13.9401,13.7035,13.7478
2016-03-31,13.7700,13.8292,13.5704,13.6739
2016-04-01,13.4077,13.6369,13.2745,13.4077
2016-04-04,13.3855,13.5223,13.3633,13.4668
2016-04-05,13.3559,13.5038,13.1266,13.1932
2016-04-06,13.3041,13.5260,13.1710,13.2154
2016-04-07,13.1045,13.2745,13.0897,13.1784
2016-04-08,13.2524,13.3485,13.1718,13.1784
2016-04-11,13.2672,13.4890,13.1932,13.4225
2016-04-12,13.4225,13.5630,13.2672,13.4890
2016-04-13,13.5186,13.7774,13.4594,13.4964
2016-04-14,13.5038,13.8218,13.4225,13.7331
2016-04-15,13.7552,13.7774,13.4077,13.4077
2016-04-18,13.4816,13.6813,13.3189,13.5851
