DATE,OPEN,HIGH,LOW,CLOSE
2014-04-15,7.0210,7.0716,6.8806,6.9649
2014-04-16,6.9649,7.0660,6.9199,6.9199
2014-04-17,6.9368,7.0042,6.9368,6.9649
2014-04-21,7.0154,7.0491,6.9649,7.0379
2014-04-22,7.0491,7.0603,7.0210,7.0491
2014-04-23,7.0491,7.0660,7.0323,7.0603
2014-04-24,7.0603,7.0603,6.9705,6.9705
2014-04-25,6.9761,7.0379,6.9761,7.0042
2014-04-28,6.9986,7.0379,6.9929,7.0379
2014-04-29,7.0210,7.0379,6.9929,6.9986
2014-04-30,6.9929,7.0379,6.9873,7.0379
2014-05-01,7.0379,7.0435,6.9986,7.0435
2014-05-02,7.0154,7.0266,6.9368,7.0154
2014-05-05,7.0323,7.0603,7.0323,7.0603
2014-05-06,7.0379,7.0379,6.9873,7.0154
2014-05-07,7.0154,7.0210,6.9480,7.0154
2014-05-08,7.0772,7.0772,6.9649,7.0323
2014-05-09,7.0323,7.0323,6.9817,6.9986
2014-05-12,7.0154,7.0323,6.9817,7.0098
2014-05-13,7.0435,7.0491,6.9873,6.9986
2014-05-14,6.9986,7.0379,6.9929,7.0379
2014-05-15,7.0154,7.0379,7.0154,7.0210
2014-05-16,7.0379,7.0435,7.0154,7.0154
2014-05-19,7.0210,7.0266,6.9424,6.9986
2014-05-20,7.0491,7.0491,6.9873,6.9929
2014-05-21,7.0042,7.0210,6.9873,6.9873
2014-05-22,6.9873,6.9873,6.9480,6.9480
2014-05-23,6.9705,7.0042,6.9536,6.9873
2014-05-27,7.0210,7.0210,6.9424,6.9536
2014-05-28,6.9873,7.0098,6.9424,6.9592
2014-05-29,6.9087,6.9649,6.8638,6.9424
2014-05-30,6.9255,7.0154,6.9255,6.9761
2014-06-02,6.9986,7.0210,6.9480,6.9873
2014-06-03,6.9929,7.0491,6.9480,6.9929
2014-06-04,7.0210,7.0210,6.9649,7.0154
2014-06-05,7.0210,7.0997,6.9649,7.0435
2014-06-06,7.0435,7.0772,6.9817,7.0210
2014-06-09,7.0210,7.0772,7.0210,7.0210
2014-06-10,7.0210,7.0884,7.0042,7.0210
2014-06-11,7.0210,7.0828,6.9929,7.0210
2014-06-12,7.0716,7.0884,7.0210,7.0772
2014-06-13,7.0884,7.1727,7.0547,7.1727
2014-06-16,7.1727,7.2738,7.1671,7.2738
2014-06-17,7.3524,7.3636,7.1502,7.1839
2014-06-18,7.1614,7.1951,7.0772,7.1614
2014-06-19,7.1671,7.2625,6.9424,7.0098
2014-06-20,7.0210,7.1109,6.6896,6.6896
2014-06-23,6.8244,6.9817,6.7907,6.9536
2014-06-24,6.9817,7.1895,6.9649,7.1165
2014-06-25,7.1334,7.2401,7.0042,7.1390
2014-06-26,7.1671,7.2457,7.0435,7.1727
2014-06-27,7.1951,7.3524,7.0154,7.0716
2014-06-30,7.2401,7.3019,7.0266,7.1221
2014-07-01,7.0941,7.3220,7.0941,7.2081
2014-07-02,7.2366,7.2366,7.0770,7.1568
2014-07-03,7.1910,7.3220,7.1796,7.2081
2014-07-07,7.2764,7.2821,7.1112,7.2479
2014-07-08,7.2992,7.3220,7.1625,7.2650
2014-07-09,7.2878,7.2878,7.1340,7.1682
2014-07-10,7.1511,7.3220,7.1226,7.3163
2014-07-11,7.3448,7.4759,7.2764,7.3904
2014-07-14,7.4702,7.4702,7.2081,7.3163
2014-07-15,7.3562,7.3619,7.1796,7.2593
2014-07-16,7.2366,7.2935,7.1568,7.2707
2014-07-17,7.2935,7.4075,7.2935,7.3334
2014-07-18,7.3448,7.4132,7.2650,7.3334
2014-07-21,7.3505,7.3961,7.2252,7.2650
2014-07-22,7.2764,7.4474,7.1682,7.2366
2014-07-23,7.3106,7.3904,7.1625,7.3733
2014-07-24,7.3220,7.3220,7.1682,7.1682
2014-07-25,7.3847,7.3847,7.1226,7.1511
2014-07-28,7.1511,7.1796,7.1226,7.1739
2014-07-29,7.2309,7.2764,7.1340,7.1340
2014-07-30,7.1625,7.2536,7.1226,7.1568
2014-07-31,7.1568,7.3277,7.1226,7.1283
2014-08-01,7.1226,7.1739,7.0314,7.1055
2014-08-04,7.1283,7.1796,6.9232,7.0314
2014-08-05,7.0314,7.2935,7.0314,7.2935
2014-08-06,7.2195,7.2195,7.1226,7.1226
2014-08-07,7.1226,7.2024,7.0713,7.1340
2014-08-08,7.1967,7.2081,7.0770,7.1454
2014-08-11,7.1568,7.1853,7.0998,7.1511
2014-08-12,7.1511,7.2081,7.1226,7.1226
2014-08-13,7.2024,7.2024,6.9061,7.1169
2014-08-14,7.0713,7.1511,6.9573,7.1511
2014-08-15,7.0029,7.1796,7.0029,7.1796
2014-08-18,7.1340,7.1796,7.1055,7.1340
2014-08-19,7.0656,7.2081,7.0656,7.2081
2014-08-20,7.2081,7.3562,7.1283,7.2821
2014-08-21,7.3163,7.3220,7.2309,7.2366
2014-08-22,7.2935,7.3334,7.2138,7.2309
2014-08-25,7.2423,7.3334,7.1967,7.2536
2014-08-26,7.3334,7.3676,7.2707,7.2878
2014-08-27,7.3448,7.4759,7.2992,7.4588
2014-08-28,7.4588,7.4588,7.3847,7.4189
2014-08-29,7.4588,7.4588,7.2423,7.3277
2014-09-02,7.3790,7.4588,7.2366,7.3049
2014-09-03,7.2650,7.3733,7.1226,7.1625
2014-09-04,7.2138,7.3220,7.1226,7.1283
2014-09-05,7.1226,7.4474,7.1226,7.3391
2014-09-08,7.3505,7.3676,7.2138,7.3448
2014-09-09,7.4759,7.4759,7.3277,7.3562
2014-09-10,7.3961,7.3961,7.2024,7.2138
2014-09-11,7.2423,7.2935,7.1397,7.2423
2014-09-12,7.2423,7.3220,7.1454,7.2650
2014-09-15,7.3049,7.3220,7.2423,7.2764
2014-09-16,7.3163,7.3220,7.2764,7.2992
2014-09-17,7.3391,7.5272,7.2935,7.4417
2014-09-18,7.4645,7.5556,7.3448,7.3904
2014-09-19,7.4588,7.5727,7.4132,7.5727
2014-09-22,7.5329,7.6753,7.4702,7.5727
2014-09-23,7.5784,7.6468,7.4474,7.5101
2014-09-24,7.5215,7.7607,7.4132,7.6069
2014-09-25,7.6012,7.6297,7.4417,7.5784
2014-09-26,7.5386,7.6183,7.4645,7.6183
2014-09-29,7.6183,7.7608,7.5556,7.7551
2014-09-30,7.7266,7.8462,7.5499,7.7380
2014-10-01,7.7585,7.7585,7.6136,7.7237
2014-10-02,7.6889,7.7875,7.6078,7.6658
2014-10-03,7.6947,7.6947,7.5846,7.6020
2014-10-06,7.6368,7.7005,7.5846,7.5846
2014-10-07,7.6252,7.7527,7.5846,7.7121
2014-10-08,7.6368,7.7759,7.6020,7.7759
2014-10-09,7.8861,7.8977,7.6947,7.7411
2014-10-10,7.7295,7.7585,7.6831,7.7469
2014-10-13,7.6947,7.7817,7.6600,7.7527
2014-10-14,7.7063,7.8861,7.6136,7.8223
2014-10-15,7.6831,7.7875,7.5846,7.5904
2014-10-16,7.5846,7.7063,7.5846,7.6774
2014-10-17,7.8861,7.8861,7.6600,7.7063
2014-10-20,7.6426,7.8223,7.5382,7.6831
2014-10-21,7.6194,7.7121,7.6194,7.7121
2014-10-22,7.6716,7.6831,7.5730,7.6715
2014-10-23,7.7063,7.7063,7.5208,7.5208
2014-10-24,7.4745,7.7005,7.3700,7.6889
2014-10-27,7.6252,7.6658,7.5382,7.5730
2014-10-28,7.5440,7.6310,7.4280,7.4744
2014-10-29,7.5498,7.5671,7.4570,7.4802
2014-10-30,7.5150,7.5150,7.4164,7.4860
2014-10-31,7.5092,7.6484,7.5092,7.6484
2014-11-03,7.6310,7.6831,7.6252,7.6275
2014-11-04,7.6484,7.6831,7.6020,7.6831
2014-11-05,7.6562,7.7585,7.6078,7.7353
2014-11-06,7.6831,7.8281,7.6078,7.6426
2014-11-07,7.7005,7.7005,7.3062,7.4222
2014-11-10,7.4802,7.6019,7.4222,7.5324
2014-11-11,7.5672,7.6716,7.5242,7.5242
2014-11-12,7.4976,7.7353,7.4396,7.7179
2014-11-13,7.7179,7.7411,7.6368,7.6484
2014-11-14,7.5736,7.6315,7.5266,7.5324
2014-11-17,7.5846,7.6831,7.5846,7.6831
2014-11-18,7.6716,7.7121,7.6542,7.6774
2014-11-19,7.7063,7.7121,7.6484,7.6774
2014-11-20,7.6831,7.7817,7.6426,7.6600
2014-11-21,7.5730,7.7295,7.4280,7.4628
2014-11-24,7.4860,7.6252,7.3468,7.6194
2014-11-25,7.5788,7.6774,7.5382,7.6600
2014-11-26,7.7005,7.7121,7.6078,7.6889
2014-11-28,7.6889,7.7121,7.6831,7.6947
2014-12-01,7.6947,7.7121,7.6831,7.6889
2014-12-02,7.6426,7.7005,7.5962,7.6368
2014-12-03,7.5150,7.5150,7.1613,7.3816
2014-12-04,7.3062,7.4512,7.2367,7.3062
2014-12-05,7.2367,7.4106,7.2367,7.2888
2014-12-08,7.3062,7.4222,7.2888,7.3700
2014-12-09,7.3584,7.3642,7.3062,7.3410
2014-12-10,7.3410,7.3410,7.2541,7.3004
2014-12-11,7.3062,7.3352,7.2541,7.2541
2014-12-12,7.3120,7.3352,7.1903,7.2483
2014-12-15,7.2772,7.3120,7.2483,7.2483
2014-12-16,7.2946,7.3004,7.2483,7.2483
2014-12-17,7.2830,7.3932,7.2657,7.3236
2014-12-18,7.3932,7.6368,7.3874,7.5498
2014-12-19,7.5614,7.6774,7.5614,7.6658
2014-12-22,7.6658,7.6774,7.5788,7.6078
2014-12-23,7.6310,7.8165,7.5788,7.6368
2014-12-24,7.6020,7.7063,7.5788,7.6310
2014-12-26,7.6368,7.6368,7.5382,7.5962
2014-12-29,7.5556,7.6310,7.5498,7.6020
2014-12-30,7.6078,7.6078,7.5150,7.5788
2014-12-31,7.6175,7.6175,7.5112,7.5585
2015-01-02,7.5821,7.6234,7.5349,7.6234
2015-01-05,7.6175,7.6825,7.5880,7.6530
2015-01-06,7.6411,7.6648,7.5880,7.6352
2015-01-07,7.6648,7.6648,7.5998,7.6471
2015-01-08,7.7002,7.7415,7.6382,7.6589
2015-01-09,7.6352,7.6825,7.5939,7.6175
2015-01-12,7.6766,7.6766,7.6175,7.6648
2015-01-13,7.6471,7.6648,7.5112,7.6530
2015-01-14,7.6352,7.6471,7.4492,7.5880
2015-01-15,7.6471,7.6589,7.5939,7.6352
2015-01-16,7.6707,7.7238,7.5821,7.6057
2015-01-20,7.6766,7.6884,7.5998,7.5998
2015-01-21,7.6058,7.6825,7.5998,7.5998
2015-01-22,7.5880,7.6471,7.5880,7.5998
2015-01-23,7.6116,7.6116,7.5526,7.5644
2015-01-26,7.5354,7.5880,7.5171,7.5349
2015-01-27,7.5821,7.5821,7.4994,7.5821
2015-01-28,7.6217,7.6217,7.5230,7.5349
2015-01-29,7.5703,7.5939,7.5065,7.5467
2015-01-30,7.5585,7.5762,7.4994,7.5585
2015-02-02,7.5939,7.7297,7.5234,7.6175
2015-02-03,7.6411,7.6411,7.5467,7.6175
2015-02-04,7.6766,7.6766,7.5585,7.6234
2015-02-05,7.6234,7.6884,7.6234,7.6589
2015-02-06,7.6766,7.6766,7.4168,7.4168
2015-02-09,7.5112,7.5467,7.4345,7.4994
2015-02-10,7.5290,7.5406,7.4109,7.4463
2015-02-11,7.4522,7.5112,7.4227,7.4227
2015-02-12,7.4522,7.5171,7.3931,7.3931
2015-02-13,7.3931,7.4157,7.2987,7.3046
2015-02-17,7.3046,7.3931,7.2987,7.3282
2015-02-18,7.3282,7.3394,7.2642,7.3223
2015-02-19,7.3223,7.3695,7.2632,7.2632
2015-02-20,7.2632,7.3517,7.2632,7.2987
2015-02-23,7.2928,7.3754,7.2691,7.3223
2015-02-24,7.3636,7.3636,7.2691,7.2691
2015-02-25,7.3046,7.3341,7.2455,7.2514
2015-02-26,7.2922,7.4049,7.2514,7.3636
2015-02-27,7.3872,7.5702,7.3872,7.4227
2015-03-02,7.4345,7.5171,7.4008,7.4286
2015-03-03,7.4463,7.5408,7.3755,7.5053
2015-03-04,7.4286,7.5584,7.4286,7.5230
2015-03-05,7.5290,7.5467,7.3046,7.3577
2015-03-06,7.3577,7.3990,7.1746,7.3695
2015-03-09,7.4168,7.4286,7.3046,7.3341
2015-03-10,7.2928,7.4757,7.2101,7.3341
