DATE,OPEN,HIGH,LOW,CLOSE
1987-11-05,0.5153,0.5359,0.5153,0.5274
1987-11-06,0.5196,0.5235,0.5196,0.5235
1987-11-09,0.5153,0.5153,0.4989,0.5071
1987-11-10,0.4989,0.5153,0.4989,0.5153
1987-11-11,0.5153,0.5235,0.5153,0.5153
1987-11-12,0.5235,0.5235,0.5153,0.5235
1987-11-13,0.5196,0.5196,0.5153,0.5153
1987-11-16,0.5196,0.5398,0.5196,0.5398
1987-11-17,0.5317,0.5317,0.5153,0.5153
1987-11-18,0.5153,0.5274,0.5153,0.5274
1987-11-19,0.5153,0.5196,0.4908,0.5032
1987-11-20,0.4908,0.5153,0.4908,0.5153
1987-11-23,0.5153,0.5317,0.5153,0.5317
1987-11-24,0.5317,0.5359,0.5196,0.5317
1987-11-25,0.5317,0.5398,0.5274,0.5398
1987-11-27,0.5317,0.5359,0.5317,0.5359
1987-11-30,0.5235,0.5317,0.5153,0.5317
1987-12-01,0.5235,0.5235,0.5071,0.5153
1987-12-02,0.5111,0.5153,0.4989,0.5153
1987-12-03,0.5196,0.5196,0.5071,0.5111
1987-12-04,0.5071,0.5071,0.4947,0.5032
1987-12-07,0.5071,0.5111,0.5032,0.5111
1987-12-08,0.5153,0.5153,0.4989,0.5111
1987-12-09,0.5032,0.5398,0.4989,0.5359
1987-12-10,0.5398,0.5686,0.5359,0.5601
1987-12-11,0.5686,0.5807,0.5644,0.5644
1987-12-14,0.5562,0.5971,0.5562,0.5850
1987-12-15,0.5765,0.5889,0.5726,0.5889
1987-12-16,0.5807,0.5850,0.5726,0.5807
1987-12-17,0.5765,0.5807,0.5644,0.5726
1987-12-18,0.5726,0.5726,0.5644,0.5726
1987-12-21,0.5726,0.5850,0.5726,0.5850
1987-12-22,0.5850,0.5889,0.5807,0.5807
1987-12-23,0.5850,0.6380,0.5850,0.5971
1987-12-24,0.6053,0.6135,0.6053,0.6135
1987-12-28,0.6135,0.6135,0.6053,0.6053
1987-12-29,0.6053,0.6053,0.5928,0.5928
1987-12-30,0.5889,0.6053,0.5889,0.6053
1987-12-31,0.6135,0.6177,0.6053,0.6177
1988-01-04,0.6250,0.6497,0.6250,0.6497
