DATE,OPEN,HIGH,LOW,CLOSE
1996-11-26,2.0441,2.0645,2.0441,2.0645
1996-11-27,2.0709,2.1385,2.0709,2.1116
1996-11-29,2.1315,2.2119,2.1315,2.2049
1996-12-02,2.1921,2.1921,2.1717,2.1851
1996-12-03,2.2189,2.2725,2.1921,2.1921
1996-12-04,2.1921,2.1921,2.0645,2.0645
1996-12-05,2.0522,2.0522,1.9586,2.0258
1996-12-06,1.9984,2.0054,1.9586,1.9919
1996-12-09,2.0119,2.0861,2.0119,2.0861
1996-12-10,2.0861,2.0861,2.0592,2.0592
1996-12-11,2.0323,2.0323,1.9919,2.0054
1996-12-12,2.0188,2.0188,1.9586,1.9586
1996-12-13,1.9451,1.9451,1.8977,1.9246
1996-12-16,1.9246,1.9311,1.8708,1.8708
1996-12-17,1.8843,1.9650,1.8843,1.9650
1996-12-18,1.9785,1.9919,1.9785,1.9919
1996-12-19,2.0054,2.0323,2.0054,2.0258
1996-12-20,2.0323,2.1066,2.0323,2.0996
1996-12-23,2.0926,2.0996,2.0861,2.0926
1996-12-24,2.1066,2.1066,2.0861,2.0926
1996-12-26,2.0791,2.0996,2.0662,2.0996
1996-12-27,2.1265,2.1265,2.0662,2.0662
1996-12-30,2.0791,2.0791,2.0393,2.0458
1996-12-31,2.0458,2.0522,2.0393,2.0458
1997-01-02,2.0458,2.0458,2.0188,2.0323
1997-01-03,2.0393,2.0662,2.0393,2.0458
1997-01-06,2.0323,2.0522,2.0188,2.0258
1997-01-07,2.0258,2.0323,2.0119,2.0258
1997-01-08,2.0393,2.0393,2.0119,2.0119
1997-01-09,2.0119,2.0119,1.9919,1.9984
1997-01-10,1.9855,2.0258,1.9855,2.0258
1997-01-13,2.0188,2.0258,2.0119,2.0258
1997-01-14,2.0188,2.0861,2.0188,2.0791
1997-01-15,2.0791,2.1265,2.0791,2.1265
1997-01-16,2.1330,2.1330,2.0996,2.0996
1997-01-17,2.0926,2.1131,2.0926,2.0996
1997-01-20,2.0926,2.0926,2.0791,2.0926
1997-01-21,2.0926,2.0926,2.0791,2.0861
1997-01-22,2.0996,2.1470,2.0996,2.1400
1997-01-23,2.1400,2.2207,2.1330,2.1938
1997-01-24,2.1804,2.1804,2.1734,2.1804
1997-01-27,2.1734,2.1804,2.1669,2.1669
1997-01-28,2.1734,2.2008,2.1734,2.1804
1997-01-29,2.1804,2.1804,2.1534,2.1599
