DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1981-12-31,1.5533,1.5820,1.5438,1.5483,1.421,
1982-01-04,1.5342,1.5438,1.5197,1.5246,2.069,
1982-01-05,1.4864,1.5151,1.4577,1.4673,4.174,
1982-01-06,1.4577,1.5051,1.4099,1.4386,3.856,
1982-01-07,1.4241,1.4386,1.4099,1.4241,1.511,
1982-01-08,1.4191,1.4386,1.3954,1.3954,1.861,
1982-01-11,1.3667,1.4004,1.3285,1.3381,2.428,
1982-01-12,1.3239,1.3526,1.2949,1.3144,3.504,
1982-01-13,1.3285,1.3476,1.3048,1.3094,1.692,
1982-01-14,1.3190,1.3476,1.2903,1.3476,2.597,
1982-01-15,1.4291,1.5006,1.3572,1.4814,7.509,
1982-01-18,1.4910,1.5342,1.4432,1.5342,7.078,
1982-01-19,1.5197,1.5579,1.4814,1.4910,7.444,
1982-01-20,1.4386,1.4765,1.4004,1.4191,5.528,
1982-01-21,1.4478,1.4673,1.4241,1.4478,7.029,
1982-01-22,1.4577,1.4719,1.4386,1.4432,2.917,
1982-01-25,1.4577,1.4960,1.4191,1.4960,3.099,
1982-01-26,1.5006,1.5292,1.4719,1.4814,3.584,
1982-01-27,1.4910,1.5101,1.4719,1.4910,2.959,
1982-01-28,1.4960,1.5101,1.4765,1.5006,4.319,
1982-01-29,1.5101,1.5342,1.4864,1.4910,6.637,
1982-02-01,1.4478,1.4719,1.4191,1.4478,2.565,
1982-02-02,1.4336,1.4478,1.4145,1.4145,2.463,
1982-02-03,1.3904,1.4291,1.3526,1.3618,2.934,
1982-02-04,1.3859,1.4145,1.3526,1.4099,4.711,
1982-02-05,1.4050,1.4291,1.3813,1.4145,4.278,
1982-02-08,1.3763,1.4145,1.3381,1.3430,2.663,
1982-02-09,1.3190,1.3430,1.2949,1.3144,4.531,
1982-02-10,1.3331,1.3430,1.3190,1.3285,3.218,
1982-02-11,1.4050,1.4719,1.3331,1.4719,5.797,
1982-02-12,1.4241,1.4719,1.3717,1.4099,8.001,
1982-02-16,1.3904,1.4241,1.3572,1.4145,3.147,
1982-02-17,1.3717,1.4099,1.3285,1.3476,3.310,
1982-02-18,1.3476,1.3667,1.3239,1.3331,2.899,
1982-02-19,1.2998,1.3430,1.2570,1.2807,4.031,
1982-02-22,1.2188,1.2857,1.1515,1.1756,3.710,
1982-02-23,1.2329,1.2903,1.1756,1.2712,4.094,
1982-02-24,1.2761,1.3094,1.2425,1.2662,5.476,
1982-02-25,1.2375,1.2662,1.2089,1.2234,2.433,
1982-02-26,1.2283,1.2425,1.2089,1.2283,2.064,
1982-03-01,1.2188,1.2329,1.2043,1.2043,2.313,
