DATE,OPEN,HIGH,LOW,CLOSE
1993-07-22,4.0764,4.1212,4.0531,4.1212
1993-07-23,4.1212,4.2323,4.1212,4.1660
1993-07-26,4.1660,4.1660,4.0764,4.0764
1993-07-27,4.0997,4.0997,4.0764,4.0764
1993-07-28,4.0764,4.1427,4.0764,4.1212
1993-07-29,4.1212,4.1427,4.0997,4.0997
1993-07-30,4.0997,4.0997,4.0764,4.0997
1993-08-02,4.0997,4.1212,4.0764,4.0764
1993-08-03,4.0997,4.1212,4.0764,4.1212
1993-08-04,4.1212,4.1427,4.0997,4.1427
1993-08-05,4.1212,4.1427,4.0997,4.0997
1993-08-06,4.0997,4.1212,4.0997,4.1212
1993-08-09,4.0997,4.1212,4.0997,4.0997
1993-08-10,4.0997,4.0997,4.0316,4.0316
1993-08-11,4.0531,4.0531,3.9868,4.0101
1993-08-12,4.0101,4.0101,3.9868,3.9868
1993-08-13,3.9635,4.0316,3.9420,4.0101
1993-08-16,4.0101,4.0101,4.0101,4.0101
1993-08-17,4.0101,4.0316,3.9868,4.0316
1993-08-18,4.0101,4.0101,3.9635,3.9635
1993-08-19,3.9635,4.0316,3.9635,4.0101
1993-08-20,3.9868,3.9868,3.9635,3.9868
1993-08-23,4.0316,4.0764,4.0316,4.0764
1993-08-24,4.1212,4.2108,4.1212,4.2108
1993-08-25,4.2108,4.2323,4.1660,4.2108
1993-08-26,4.2108,4.2108,4.1660,4.1893
1993-08-27,4.1893,4.2108,4.1660,4.2108
1993-08-30,4.2108,4.2323,4.1893,4.2108
1993-08-31,4.2323,4.3219,4.2323,4.3004
1993-09-01,4.3219,4.4348,4.3219,4.3900
1993-09-02,4.4115,4.4115,4.3219,4.3452
1993-09-03,4.3685,4.3900,4.3219,4.3900
1993-09-07,4.3900,4.4115,4.3685,4.3900
1993-09-08,4.3900,4.3900,4.3452,4.3900
1993-09-09,4.3685,4.4115,4.3685,4.3900
1993-09-10,4.4115,4.4348,4.3900,4.4348
1993-09-13,4.4348,4.5244,4.4115,4.4796
1993-09-14,4.4581,4.5244,4.4348,4.4796
1993-09-15,4.4796,4.6588,4.4581,4.5907
1993-09-16,4.5907,4.5907,4.5477,4.5907
1993-09-17,4.5692,4.6373,4.5477,4.6373
1993-09-20,4.6140,4.6373,4.5907,4.5907
1993-09-21,4.5907,4.5907,4.5011,4.5692
1993-09-22,4.5692,4.6140,4.5477,4.5692
1993-09-23,4.5477,4.5907,4.5477,4.5692
1993-09-24,4.5244,4.5477,4.5244,4.5477
1993-09-27,4.5692,4.5907,4.5692,4.5907
1993-09-28,4.6373,4.7484,4.6140,4.7484
1993-09-29,4.7484,4.8165,4.7484,4.7932
1993-09-30,4.8165,4.9276,4.7484,4.9060
1993-10-01,4.9060,4.9491,4.8828,4.9060
1993-10-04,4.7932,4.8380,4.7699,4.8165
1993-10-05,4.7932,4.8165,4.7484,4.7699
1993-10-06,4.7484,4.7484,4.7036,4.7269
1993-10-07,4.6639,4.7092,4.6404,4.6874
1993-10-08,4.6874,4.7092,4.6639,4.6874
1993-10-11,4.6639,4.7997,4.6639,4.7545
1993-10-12,4.7309,4.9356,4.7309,4.8686
1993-10-13,4.8903,4.8903,4.7997,4.7997
1993-10-14,4.8215,4.8215,4.7309,4.7545
1993-10-15,4.7309,4.7997,4.7092,4.7997
1993-10-18,4.7780,4.8450,4.7780,4.8215
1993-10-19,4.8450,4.8686,4.7545,4.7545
1993-10-20,4.7780,4.7780,4.7545,4.7545
1993-10-21,4.7997,4.8215,4.7545,4.7780
1993-10-22,4.7780,4.8215,4.7545,4.7997
1993-10-25,4.7780,4.7997,4.7780,4.7997
1993-10-26,4.8215,4.8215,4.7309,4.7545
1993-10-27,4.7309,4.7309,4.6186,4.6404
1993-10-28,4.6186,4.6186,4.5281,4.5733
1993-10-29,4.5733,4.6874,4.5733,4.6874
1993-11-01,4.6874,4.7092,4.6874,4.6874
1993-11-02,4.6874,4.7545,4.6874,4.7309
1993-11-03,4.7545,4.7545,4.7092,4.7092
1993-11-04,4.7092,4.7545,4.6874,4.7092
1993-11-05,4.7092,4.7092,4.6639,4.6874
1993-11-08,4.6639,4.7092,4.6639,4.6874
1993-11-09,4.7092,4.7545,4.7092,4.7545
1993-11-10,4.7780,4.7780,4.7309,4.7545
1993-11-11,4.7545,4.7545,4.7092,4.7092
1993-11-12,4.7092,4.7092,4.6639,4.6874
1993-11-15,4.6874,4.6874,4.6186,4.6186
1993-11-16,4.6186,4.6186,4.5969,4.5969
1993-11-17,4.5733,4.5733,4.4828,4.5063
1993-11-18,4.4828,4.4828,4.2564,4.3469
1993-11-19,4.3469,4.3922,4.3017,4.3687
1993-11-22,4.3469,4.3469,4.2781,4.2781
1993-11-23,4.3252,4.3469,4.3252,4.3469
1993-11-24,4.3469,4.3687,4.3252,4.3469
1993-11-26,4.3469,4.3687,4.3469,4.3687
1993-11-29,4.3687,4.3922,4.3469,4.3469
1993-11-30,4.3469,4.3687,4.3017,4.3469
1993-12-01,4.3469,4.3922,4.3469,4.3922
1993-12-02,4.3922,4.4375,4.3922,4.4158
1993-12-03,4.3687,4.3922,4.3252,4.3687
1993-12-06,4.3687,4.3922,4.3687,4.3922
1993-12-07,4.3922,4.3922,4.2564,4.3017
1993-12-08,4.3017,4.3252,4.2564,4.2781
1993-12-09,4.2781,4.2781,4.1875,4.2111
1993-12-10,4.2111,4.2564,4.1875,4.2564
1993-12-13,4.2564,4.2781,4.2111,4.2346
1993-12-14,4.2111,4.2346,4.0970,4.1441
1993-12-15,4.1441,4.2564,4.1441,4.2346
1993-12-16,4.2346,4.3469,4.2346,4.3017
1993-12-17,4.3469,4.3469,4.3469,4.3469
1993-12-20,4.3469,4.3469,4.2781,4.3017
1993-12-21,4.3017,4.3252,4.2346,4.2781
1993-12-22,4.2781,4.2781,4.2564,4.2564
1993-12-23,4.2346,4.2346,4.1658,4.2346
1993-12-27,4.2379,4.2600,4.2379,4.2600
1993-12-28,4.3079,4.4221,4.2839,4.4000
1993-12-29,4.4221,4.4922,4.4221,4.4922
1993-12-30,4.5364,4.5843,4.4922,4.5364
