DATE,OPEN,HIGH,LOW,CLOSE
2007-09-04,8.4516,8.6806,8.3331,8.6490
2007-09-05,8.5701,8.5701,8.3410,8.3884
2007-09-06,8.3173,8.3726,7.8987,8.1751
2007-09-07,8.0566,8.0566,7.6617,7.9382
2007-09-10,7.9777,8.2225,7.9382,8.0566
2007-09-11,8.2146,8.3726,8.1356,8.2620
2007-09-12,8.2936,8.5306,8.2936,8.4358
2007-09-13,8.4911,8.9018,8.4121,8.7754
2007-09-14,8.6727,8.9650,8.4895,8.9255
2007-09-17,9.0677,9.0677,8.4516,8.8386
2007-09-18,8.9255,9.2414,8.6964,9.0440
2007-09-19,9.1546,9.2019,8.8465,9.0677
2007-09-20,9.0835,9.3441,9.0598,9.1941
2007-09-21,9.2335,9.7154,9.2335,9.6759
2007-09-24,9.7865,10.0313,9.6364,9.7943
2007-09-25,9.7470,9.7943,9.5179,9.5653
2007-09-26,9.7154,10.1103,9.6759,9.9286
2007-09-27,9.9681,10.2683,9.9128,10.2130
2007-09-28,10.2525,10.5052,10.0708,10.1893
2007-10-01,10.2683,10.5684,10.1498,10.4894
2007-10-02,10.5447,10.5447,9.6759,10.2920
2007-10-03,10.2920,10.3552,9.7943,9.8180
2007-10-04,9.9523,10.3394,9.9523,10.2288
2007-10-05,10.4183,10.5447,10.2683,10.4578
2007-10-08,10.4262,10.4262,10.1735,10.3473
2007-10-09,10.3473,10.4262,10.1735,10.3473
2007-10-10,10.2288,10.3473,10.0708,10.2367
2007-10-11,10.3078,10.3867,9.7943,9.8022
2007-10-12,9.7943,9.9049,9.5969,9.6996
2007-10-15,9.7233,9.8575,9.5495,9.7470
2007-10-16,9.6048,9.7470,8.5780,9.6364
2007-10-17,9.7549,9.8575,9.4705,9.5495
2007-10-18,9.6206,9.7470,9.3994,9.6680
2007-10-19,9.6364,10.0313,9.4231,9.4784
2007-10-22,9.2572,9.5653,9.0835,9.4784
2007-10-23,9.5969,9.6996,9.5258,9.5732
2007-10-24,9.5732,9.6759,9.4784,9.6285
2007-10-25,9.6680,9.7154,9.5574,9.6206
2007-10-26,9.6364,9.7943,9.6364,9.7865
2007-10-29,9.8338,10.0313,9.7075,9.7943
2007-10-30,9.7470,9.9365,9.7233,9.8654
2007-10-31,9.8733,10.2683,9.7943,10.0313
2007-11-01,10.0708,10.0708,9.7154,9.9602
2007-11-02,9.8733,10.0708,9.4783,9.5969
2007-11-05,9.6364,9.7549,9.2809,9.3599
2007-11-06,9.2730,9.5337,9.2730,9.4468
2007-11-07,9.4626,9.4784,9.0677,9.1072
2007-11-08,9.3125,9.3757,8.4990,8.9018
2007-11-09,8.8465,8.8465,7.5274,8.7201
2007-11-12,8.5622,8.6490,7.9619,8.1356
2007-11-13,8.5622,8.7517,7.9777,8.5306
2007-11-14,8.4753,8.9176,8.4753,8.6964
2007-11-15,8.6332,8.6648,8.2778,8.3884
2007-11-16,8.4121,9.2177,8.3726,9.1151
2007-11-19,8.9650,9.0045,8.5543,8.6253
2007-11-20,8.6017,8.8464,8.4911,8.5306
2007-11-21,8.4121,8.4516,7.9777,8.1593
2007-11-23,8.2146,8.3884,8.0645,8.2541
2007-11-26,8.4200,8.4753,7.9540,7.9777
2007-11-27,7.9303,8.3489,7.8434,7.8987
2007-11-28,7.8987,8.4595,7.8987,8.3726
2007-11-29,8.3726,9.2019,8.3094,8.7754
2007-11-30,8.9097,8.9097,8.4753,8.5701
2007-12-03,8.4911,8.8781,8.4911,8.6490
