DATE,OPEN,HIGH,LOW,CLOSE
1987-11-05,2.1595,2.1595,2.0815,2.0815
1987-11-06,2.0815,2.2116,2.0815,2.1335
1987-11-09,2.1075,2.1075,2.0679,2.0679
1987-11-10,2.0679,2.1075,2.0555,2.1075
1987-11-11,2.1075,2.1075,2.0815,2.0815
1987-11-12,2.1335,2.1855,2.1335,2.1855
1987-11-13,2.1855,2.1855,2.1335,2.1335
1987-11-16,2.1335,2.1855,2.0940,2.0940
1987-11-17,2.0679,2.0679,2.0679,2.0679
1987-11-18,2.0679,2.0679,2.0034,2.0555
1987-11-19,2.0555,2.0815,1.9774,2.0159
1987-11-20,2.0159,2.0159,1.9774,1.9899
1987-11-23,2.0034,2.0294,2.0034,2.0294
1987-11-24,2.0294,2.0815,2.0294,2.0679
1987-11-25,2.0555,2.0555,2.0555,2.0555
1987-11-27,2.0555,2.0555,2.0555,2.0555
1987-11-30,2.0294,2.0294,1.9774,1.9774
1987-12-01,1.9774,1.9774,1.9774,1.9774
1987-12-02,1.9774,1.9899,1.9514,1.9774
1987-12-03,1.9774,1.9774,1.9514,1.9774
1987-12-04,1.9514,1.9514,1.9254,1.9254
1987-12-07,1.9118,1.9118,1.8733,1.8733
1987-12-08,1.8733,1.8858,1.8473,1.8858
1987-12-09,1.8858,1.9254,1.8733,1.8733
1987-12-10,1.8733,1.8858,1.8598,1.8858
1987-12-11,1.8733,1.8733,1.8473,1.8598
1987-12-14,1.8598,1.8733,1.7953,1.8473
1987-12-15,1.8473,1.8598,1.7693,1.8213
1987-12-16,1.8338,1.9254,1.8338,1.9254
1987-12-17,1.8993,1.8993,1.8473,1.8473
1987-12-18,1.9379,1.9379,1.9379,1.9379
1987-12-21,1.9379,1.9514,1.8858,1.8858
1987-12-22,1.8858,1.9254,1.8473,1.8993
1987-12-23,1.8733,1.8733,1.8338,1.8733
1987-12-24,1.8861,1.9248,1.8725,1.9248
1987-12-28,1.9385,1.9772,1.9385,1.9385
1987-12-29,1.9385,1.9647,1.8986,1.9248
1987-12-30,1.9248,1.9510,1.8986,1.9123
1987-12-31,1.9123,1.9510,1.8861,1.8861
1988-01-04,1.9510,2.0432,1.9510,2.0432
1988-01-05,2.0558,2.0956,2.0558,2.0820
1988-01-06,2.0820,2.0820,2.0558,2.0820
1988-01-07,2.0558,2.0558,2.0558,2.0558
1988-01-08,2.0558,2.0558,1.9909,1.9909
1988-01-11,1.9909,2.0170,1.9123,1.9772
1988-01-12,1.9772,2.0296,1.9510,1.9510
1988-01-13,1.9510,1.9647,1.9248,1.9647
1988-01-14,1.9510,1.9510,1.9123,1.9385
1988-01-15,1.9909,2.0034,1.9909,1.9909
1988-01-18,1.9909,1.9909,1.9909,1.9909
1988-01-19,1.9772,1.9772,1.9248,1.9772
1988-01-20,1.9772,1.9909,1.9248,1.9248
1988-01-21,1.8986,1.8986,1.8725,1.8986
1988-01-22,1.8986,1.9248,1.8986,1.9248
1988-01-25,1.9248,1.9647,1.9123,1.9248
1988-01-26,1.9123,1.9123,1.8599,1.8599
1988-01-27,1.8599,1.8725,1.8337,1.8599
1988-01-28,1.8599,1.8725,1.8599,1.8725
1988-01-29,1.8725,1.8725,1.8463,1.8725
1988-02-01,1.8725,1.8725,1.8599,1.8599
1988-02-02,1.8599,1.8986,1.8599,1.8986
1988-02-03,1.8986,1.9123,1.8599,1.8599
1988-02-04,1.8861,1.9248,1.8861,1.9248
1988-02-05,1.9123,1.9123,1.8861,1.8861
1988-02-08,1.8861,1.8986,1.8599,1.8599
1988-02-09,1.8599,1.8599,1.8463,1.8463
1988-02-10,1.8463,1.9123,1.8463,1.9123
1988-02-11,1.9123,1.9385,1.8986,1.8986
1988-02-12,1.8986,1.9123,1.8861,1.9123
1988-02-16,1.9123,1.9123,1.8861,1.8861
1988-02-17,1.9123,1.9647,1.9123,1.9385
1988-02-18,1.9647,1.9909,1.9647,1.9909
1988-02-19,1.9909,1.9909,1.9647,1.9772
1988-02-22,1.9909,2.0694,1.9909,2.0694
1988-02-23,2.1480,2.2266,2.1480,2.2004
1988-02-24,2.2004,2.2266,2.1218,2.2004
1988-02-25,2.2004,2.2004,2.1742,2.1742
1988-02-26,2.1742,2.2130,2.1344,2.1344
1988-02-29,2.2004,2.2916,2.2004,2.2790
1988-03-01,2.3314,2.4886,2.3314,2.3576
1988-03-02,2.3576,2.4886,2.3314,2.4749
1988-03-03,2.4749,2.5148,2.4100,2.4624
1988-03-04,2.4624,2.5011,2.4362,2.4488
1988-03-07,2.4488,2.4749,2.3702,2.4100
1988-03-08,2.4362,2.4886,2.4362,2.4886
1988-03-09,2.4886,2.5148,2.4749,2.5011
1988-03-10,2.4749,2.4749,2.4100,2.4100
1988-03-11,2.4100,2.4362,2.3838,2.3838
1988-03-14,2.3964,2.4226,2.3964,2.4100
1988-03-15,2.4100,2.4488,2.4100,2.4100
1988-03-16,2.4226,2.4624,2.4226,2.4226
1988-03-17,2.4226,2.4488,2.3838,2.3838
1988-03-18,2.3838,2.4100,2.3314,2.3314
1988-03-21,2.3314,2.3440,2.3178,2.3178
1988-03-22,2.3178,2.3314,2.2916,2.3314
1988-03-23,2.3052,2.3052,2.2654,2.3052
