DATE,OPEN,HIGH,LOW,CLOSE
1992-03-17,2.1367,2.1367,2.1367,2.1367
1992-03-18,2.1367,2.1367,2.1367,2.1367
1992-03-19,2.2057,2.2057,2.1367,2.1367
1992-03-20,2.1367,2.1367,2.1367,2.1367
1992-03-23,2.1367,2.1367,2.0678,2.0678
1992-03-24,2.1367,2.1367,2.0678,2.0678
1992-03-25,2.0678,2.0678,2.0678,2.0678
1992-03-26,2.0678,2.1367,2.0678,2.1367
1992-03-27,2.1367,2.1367,2.1367,2.1367
1992-03-30,2.1367,2.1367,2.1367,2.1367
1992-03-31,2.0678,2.0678,2.0678,2.0678
1992-04-01,2.0678,2.0678,2.0678,2.0678
1992-04-02,1.9989,1.9989,1.9989,1.9989
1992-04-03,1.9989,1.9989,1.9989,1.9989
1992-04-06,2.0678,2.0678,1.9989,1.9989
1992-04-07,2.0678,2.0678,2.0678,2.0678
1992-04-08,1.9989,2.0678,1.9989,2.0678
1992-04-09,2.0678,2.0678,2.0678,2.0678
1992-04-10,2.1367,2.1367,2.0678,2.0678
1992-04-13,2.0678,2.0678,2.0678,2.0678
1992-04-14,2.1367,2.1367,2.1367,2.1367
1992-04-15,2.0678,2.0678,2.0678,2.0678
1992-04-16,2.0678,2.0678,2.0678,2.0678
1992-04-20,2.0678,2.0678,2.0678,2.0678
1992-04-21,2.0678,2.0678,2.0678,2.0678
1992-04-22,2.0678,2.0678,2.0678,2.0678
1992-04-23,2.0678,2.0678,2.0678,2.0678
1992-04-24,2.0678,2.0678,2.0678,2.0678
1992-04-27,1.9989,2.1367,1.9989,2.1367
1992-04-28,2.0678,2.1367,2.0678,2.1367
1992-04-29,2.0678,2.0678,2.0678,2.0678
1992-04-30,1.9989,1.9989,1.9989,1.9989
1992-05-01,1.9989,1.9989,1.9989,1.9989
1992-05-04,1.9989,1.9989,1.9989,1.9989
1992-05-05,1.9989,2.0678,1.9989,2.0678
1992-05-06,2.0678,2.0678,2.0678,2.0678
1992-05-07,1.9989,1.9989,1.9989,1.9989
1992-05-08,1.9989,1.9989,1.9989,1.9989
1992-05-11,1.9989,1.9989,1.9989,1.9989
1992-05-12,1.9989,1.9989,1.9989,1.9989
1992-05-13,1.9989,1.9989,1.9989,1.9989
1992-05-14,1.9989,1.9989,1.9989,1.9989
1992-05-15,1.9299,1.9299,1.9299,1.9299
1992-05-18,1.9299,1.9299,1.9299,1.9299
1992-05-19,1.8610,2.1367,1.8610,2.1367
1992-05-20,1.9989,2.0678,1.9989,2.0678
1992-05-21,1.9989,1.9989,1.9299,1.9299
1992-05-22,1.9299,1.9299,1.9299,1.9299
1992-05-26,1.9299,1.9299,1.9299,1.9299
1992-05-27,1.8610,1.8610,1.8610,1.8610
1992-05-28,1.9299,1.9989,1.9299,1.9299
1992-05-29,1.9299,1.9299,1.9299,1.9299
1992-06-01,1.9299,1.9299,1.9299,1.9299
1992-06-02,1.9299,1.9299,1.8610,1.9299
1992-06-03,1.9299,1.9299,1.9299,1.9299
1992-06-04,1.9299,1.9299,1.9299,1.9299
1992-06-05,1.8610,1.9299,1.8610,1.9299
1992-06-08,1.9299,1.9299,1.9299,1.9299
1992-06-09,1.7921,1.7921,1.7921,1.7921
1992-06-10,1.7921,1.7921,1.7921,1.7921
1992-06-11,1.7921,1.7921,1.7232,1.7232
1992-06-12,1.7232,1.7921,1.7232,1.7921
1992-06-15,1.8610,1.8610,1.7921,1.8610
1992-06-16,1.7921,1.7921,1.7921,1.7921
1992-06-17,1.8610,1.8610,1.8610,1.8610
1992-06-18,1.7921,1.7921,1.7921,1.7921
1992-06-19,1.7921,1.7921,1.7921,1.7921
1992-06-22,1.7232,1.7232,1.7232,1.7232
1992-06-23,1.7232,1.7232,1.7232,1.7232
1992-06-24,1.6542,1.6542,1.6542,1.6542
1992-06-25,1.7232,1.7921,1.7232,1.7921
1992-06-26,1.7921,1.7921,1.7921,1.7921
1992-06-29,1.8610,1.8610,1.7232,1.7921
1992-06-30,1.7921,1.7921,1.5853,1.5853
1992-07-01,1.6542,1.7232,1.6542,1.6542
1992-07-02,1.6542,1.6542,1.6542,1.6542
1992-07-06,1.6542,1.6542,1.6542,1.6542
1992-07-07,1.6542,1.6542,1.6542,1.6542
1992-07-08,1.6542,1.6542,1.6542,1.6542
1992-07-09,1.6542,1.6542,1.6542,1.6542
1992-07-10,1.7232,1.7232,1.6542,1.6542
1992-07-13,1.6542,1.6542,1.6542,1.6542
1992-07-14,1.6542,1.6542,1.6542,1.6542
1992-07-15,1.6542,1.6542,1.6542,1.6542
1992-07-16,1.6542,1.6542,1.6542,1.6542
1992-07-17,1.6542,1.6542,1.6542,1.6542
1992-07-20,1.6542,1.6542,1.6542,1.6542
1992-07-21,1.5853,1.5853,1.5853,1.5853
1992-07-22,1.5853,1.5853,1.5164,1.5853
1992-07-23,1.5853,1.5853,1.5853,1.5853
1992-07-24,1.5853,1.5853,1.5853,1.5853
1992-07-27,1.5881,1.5881,1.5881,1.5881
1992-07-28,1.5881,1.5881,1.5881,1.5881
1992-07-29,1.5881,1.5881,1.5881,1.5881
1992-07-30,1.5853,1.6542,1.5853,1.6542
1992-07-31,1.6542,1.6542,1.5853,1.6542
1992-08-03,1.6542,1.6542,1.6542,1.6542
1992-08-04,1.6542,1.6542,1.6542,1.6542
1992-08-05,1.5853,1.5853,1.5853,1.5853
1992-08-06,1.5881,1.5881,1.5881,1.5881
1992-08-07,1.5881,1.5881,1.5881,1.5881
1992-08-10,1.5853,1.5853,1.5853,1.5853
1992-08-11,1.5164,1.5164,1.5164,1.5164
1992-08-12,1.5164,1.5164,1.5164,1.5164
1992-08-13,1.5164,1.5164,1.5164,1.5164
1992-08-14,1.5164,1.5164,1.5164,1.5164
1992-08-17,1.5164,1.5164,1.5164,1.5164
1992-08-18,1.5164,1.5853,1.5164,1.5853
1992-08-19,1.5853,1.5853,1.5853,1.5853
1992-08-20,1.5164,1.5853,1.5164,1.5853
1992-08-21,1.5853,1.5853,1.5853,1.5853
1992-08-24,1.5881,1.5881,1.5881,1.5881
1992-08-25,1.5881,1.5881,1.5881,1.5881
1992-08-26,1.5881,1.5881,1.5881,1.5881
1992-08-27,1.5853,1.5853,1.5164,1.5164
1992-08-28,1.5164,1.5853,1.5164,1.5853
1992-08-31,1.5164,1.5164,1.5164,1.5164
1992-09-01,1.5164,1.5164,1.5164,1.5164
1992-09-02,1.5164,1.5164,1.5164,1.5164
1992-09-03,1.5164,1.5164,1.5164,1.5164
1992-09-04,1.5164,1.5164,1.5164,1.5164
1992-09-08,1.5164,1.5164,1.4475,1.4475
1992-09-09,1.4475,1.4475,1.3785,1.3785
1992-09-10,1.3785,1.3785,1.3785,1.3785
1992-09-11,1.4475,1.4475,1.4475,1.4475
1992-09-14,1.4475,1.4475,1.4475,1.4475
1992-09-15,1.4475,1.5164,1.3785,1.4475
1992-09-16,1.4475,1.4475,1.4475,1.4475
1992-09-17,1.4475,1.4475,1.4475,1.4475
1992-09-18,1.3785,1.4475,1.3785,1.4475
1992-09-21,1.4475,1.4475,1.4475,1.4475
1992-09-22,1.4475,1.4475,1.3785,1.3785
1992-09-23,1.4475,1.4475,1.4475,1.4475
1992-09-24,1.3785,1.4475,1.3785,1.4475
1992-09-25,1.4475,1.4475,1.4475,1.4475
1992-09-28,1.4475,1.4475,1.4475,1.4475
1992-09-29,1.4475,1.4475,1.4475,1.4475
1992-09-30,1.4447,1.4447,1.4447,1.4447
1992-10-01,1.5164,1.5164,1.5164,1.5164
1992-10-02,1.4475,1.4475,1.4475,1.4475
1992-10-05,1.5164,1.5164,1.4475,1.4475
1992-10-06,1.4475,1.4475,1.4475,1.4475
1992-10-07,1.4447,1.4447,1.4447,1.4447
1992-10-08,1.5164,1.5164,1.5164,1.5164
1992-10-09,1.4475,1.4475,1.4475,1.4475
1992-10-12,1.4475,1.5164,1.4475,1.5164
1992-10-13,1.5164,1.5853,1.5164,1.5853
1992-10-14,1.5853,1.5853,1.4475,1.5853
1992-10-15,1.5164,1.5164,1.5164,1.5164
1992-10-16,1.5853,1.5853,1.5853,1.5853
1992-10-19,1.5853,1.5853,1.5164,1.5164
1992-10-20,1.5853,1.7232,1.5853,1.7232
1992-10-21,1.7921,1.8610,1.7921,1.7921
1992-10-22,1.8610,1.8610,1.8610,1.8610
1992-10-23,1.7921,1.7921,1.7921,1.7921
1992-10-26,1.7921,1.7921,1.7921,1.7921
1992-10-27,1.7921,1.7921,1.7921,1.7921
1992-10-28,1.7921,1.7921,1.7921,1.7921
1992-10-29,1.7921,1.7921,1.7921,1.7921
1992-10-30,1.7921,1.7921,1.7921,1.7921
1992-11-02,1.7921,1.7921,1.7921,1.7921
1992-11-03,1.7921,1.7921,1.7921,1.7921
1992-11-04,1.7921,1.7921,1.7921,1.7921
1992-11-05,1.7921,1.8610,1.7921,1.8610
1992-11-06,1.8610,1.8610,1.8610,1.8610
1992-11-09,1.9299,1.9299,1.9299,1.9299
1992-11-10,1.9299,1.9299,1.8610,1.8610
1992-11-11,1.8610,1.9299,1.8610,1.9299
1992-11-12,1.9989,1.9989,1.9299,1.9299
1992-11-13,1.9989,1.9989,1.9989,1.9989
1992-11-16,1.9299,1.9299,1.8610,1.8610
1992-11-17,1.9299,1.9299,1.8610,1.8610
1992-11-18,1.7921,1.7921,1.7921,1.7921
1992-11-19,1.7921,1.8610,1.7921,1.8610
1992-11-20,1.8638,1.8638,1.8638,1.8638
1992-11-23,1.7921,1.8610,1.7921,1.7921
1992-11-24,1.7921,1.9299,1.7921,1.9299
1992-11-25,2.0678,2.2746,2.0678,2.2057
1992-11-27,2.2057,2.2746,2.2057,2.2746
1992-11-30,2.2746,2.3435,2.2746,2.3435
1992-12-01,2.2746,2.2746,2.2057,2.2057
1992-12-02,2.2746,2.2746,2.2057,2.2746
1992-12-03,2.2057,2.2746,2.2057,2.2746
1992-12-04,2.1367,2.2057,2.1367,2.2057
1992-12-07,2.1367,2.2404,2.1367,2.2057
1992-12-08,2.1367,2.2057,2.1367,2.1367
1992-12-09,2.2057,2.2057,2.0678,2.0678
1992-12-10,2.1367,2.1367,2.0678,2.0678
