DATE,OPEN,HIGH,LOW,CLOSE
1984-12-17,2.2155,2.2297,2.1803,2.2155
1984-12-18,2.2297,2.3007,2.2297,2.2939
1984-12-19,2.2791,2.2865,2.2155,2.2371
1984-12-20,2.2155,2.2439,2.2013,2.2297
1984-12-21,2.2155,2.2155,2.1019,2.1303
1984-12-24,2.1445,2.1587,2.1445,2.1518
1984-12-26,2.1587,2.1655,2.1445,2.1587
1984-12-27,2.1587,2.1871,2.1445,2.1445
1984-12-28,2.1518,2.1518,2.1161,2.1161
1984-12-31,2.1087,2.1161,2.0593,2.1161
1985-01-02,2.1019,2.1019,2.0024,2.0024
1985-01-03,2.0309,2.0803,2.0309,2.0735
1985-01-04,2.0593,2.1161,2.0519,2.0950
1985-01-07,2.1234,2.1371,2.1019,2.1087
1985-01-08,2.1161,2.1234,2.0593,2.0735
1985-01-09,2.1019,2.1161,2.0950,2.0950
1985-01-10,2.0950,2.1445,2.0950,2.1371
1985-01-11,2.1161,2.2013,2.1161,2.2013
1985-01-14,2.1939,2.2723,2.1871,2.2581
1985-01-15,2.2655,2.2723,2.2439,2.2507
1985-01-16,2.2371,2.2723,2.2297,2.2655
1985-01-17,2.2655,2.2655,2.2507,2.2655
1985-01-18,2.2655,2.2655,2.2507,2.2581
1985-01-21,2.2507,2.2865,2.2439,2.2723
1985-01-22,2.2791,2.4001,2.2791,2.3717
1985-01-23,2.3643,2.3717,2.3433,2.3575
1985-01-24,2.3643,2.3859,2.3575,2.3859
1985-01-25,2.3791,2.3859,2.2371,2.3507
1985-01-28,2.3575,2.3717,2.3149,2.3291
1985-01-29,2.3149,2.3223,2.2865,2.3149
1985-01-30,2.3291,2.3643,2.3291,2.3643
1985-01-31,2.3643,2.3643,2.3149,2.3291
1985-02-01,2.3433,2.3433,2.3149,2.3223
1985-02-04,2.3359,2.3575,2.3359,2.3575
1985-02-05,2.4001,2.4569,2.4001,2.4359
1985-02-06,2.4643,2.4643,2.4285,2.4285
1985-02-07,2.4285,2.4427,2.4143,2.4285
1985-02-08,2.4285,2.4569,2.4285,2.4427
1985-02-11,2.4427,2.4569,2.4427,2.4495
1985-02-12,2.4569,2.4643,2.4359,2.4359
1985-02-13,2.4427,2.5495,2.4427,2.5421
1985-02-14,2.5495,2.5847,2.5211,2.5211
1985-02-15,2.5063,2.5347,2.5063,2.5279
1985-02-19,2.5137,2.5211,2.4711,2.5063
1985-02-20,2.4995,2.4995,2.4285,2.4427
1985-02-21,2.4285,2.4427,2.3859,2.4143
1985-02-22,2.4075,2.4143,2.3575,2.3575
1985-02-25,2.3575,2.3575,2.3223,2.3433
1985-02-26,2.3433,2.4143,2.3433,2.3859
