DATE,OPEN,HIGH,LOW,CLOSE
2021-09-24,23.7500,26.7500,23.2500,25.3700
2021-09-27,25.0000,27.1200,24.5200,25.2100
2021-09-28,24.7400,26.9999,24.4100,25.9200
2021-09-29,26.3700,27.6800,25.9653,26.2000
2021-09-30,26.1200,26.7113,25.1400,25.6100
2021-10-01,25.4500,25.9600,22.5550,24.4600
2021-10-04,24.0300,24.9156,22.0000,22.3400
2021-10-05,22.1500,23.6500,22.0000,23.2600
2021-10-06,22.9300,23.1700,22.7000,22.9000
2021-10-07,22.9000,23.5700,22.9000,23.0200
2021-10-08,23.1000,23.6512,23.1000,23.2200
2021-10-11,23.0000,23.6600,23.0000,23.1300
2021-10-12,22.9600,23.8500,22.9400,23.5500
2021-10-13,23.5000,24.0000,23.4900,23.8300
2021-10-14,24.0500,24.5200,23.8900,24.3700
2021-10-15,24.6600,24.8700,24.1540,24.3600
2021-10-18,24.1700,25.2000,24.0500,25.1100
2021-10-19,25.1900,26.0400,24.9700,25.8400
2021-10-20,25.9300,26.0400,25.0500,25.4600
2021-10-21,25.5900,26.6000,25.4600,26.2500
2021-10-22,26.2500,26.3500,25.7100,26.2600
2021-10-25,26.0600,26.1800,25.2510,25.7200
2021-10-26,25.6900,25.6900,24.4600,24.8100
2021-10-27,24.8500,25.1650,24.3200,24.4300
2021-10-28,24.3400,24.9800,23.5300,23.8900
2021-10-29,23.8700,24.0900,22.4800,22.4800
2021-11-01,22.6400,22.8850,21.9100,22.2000
2021-11-02,22.1900,23.0400,22.0450,22.5400
2021-11-03,22.0200,23.3500,22.0000,22.4000
2021-11-04,24.2500,25.8800,23.1100,23.6500
2021-11-05,23.7500,24.0700,22.2400,22.5300
2021-11-08,22.7600,23.2799,21.4900,21.5300
2021-11-09,21.4900,22.2500,21.1000,21.6700
2021-11-10,22.1300,22.8900,21.6500,22.2500
2021-11-11,22.1900,22.4700,22.0600,22.2100
2021-11-12,22.2700,22.8700,22.1675,22.5000
2021-11-15,22.8800,22.9800,22.1605,22.5000
2021-11-16,22.4100,22.9700,22.2700,22.6900
2021-11-17,22.3500,22.8500,22.2500,22.3900
2021-11-18,22.5900,22.7600,22.1500,22.4100
2021-11-19,22.3000,22.5550,21.7300,21.9400
2021-11-22,22.1400,22.2300,20.5050,21.8400
2021-11-23,22.0100,22.4900,21.3000,22.3000
2021-11-24,21.7000,22.8800,21.6500,22.7100
2021-11-26,22.1700,22.6800,21.9000,22.4100
2021-11-29,22.4000,22.5400,21.6000,22.3300
2021-11-30,21.6500,22.6800,21.6500,21.7900
2021-12-01,21.8200,22.4900,21.1400,21.2300
2021-12-02,21.0700,21.7100,20.8100,21.2000
2021-12-03,21.3000,21.5000,20.7300,21.3000
2021-12-06,21.2300,21.7400,20.7600,21.2500
2021-12-07,21.2900,22.2700,21.2100,21.9900
2021-12-08,21.7000,22.5600,21.6800,22.1800
2021-12-09,22.1400,22.2700,21.5000,21.6300
2021-12-10,21.7500,21.8800,21.0000,21.2100
2021-12-13,21.0800,21.6200,20.8000,20.9600
2021-12-14,21.1000,21.1000,20.1100,20.6200
2021-12-15,20.4000,21.0150,19.6700,20.8400
2021-12-16,20.8300,21.6000,20.3300,20.7000
2021-12-17,20.3100,21.2700,20.1700,20.8200
2021-12-20,20.5800,20.8400,19.6100,19.7600
2021-12-21,19.8600,20.4800,19.2604,20.4600
2021-12-22,20.4900,21.2900,20.2700,21.1300
2021-12-23,21.1300,21.8060,21.1300,21.7200
2021-12-27,21.8500,22.2429,21.6600,21.7600
2021-12-28,21.7100,22.0515,21.2150,21.4300
2021-12-29,21.4300,21.9632,21.1300,21.3800
2021-12-30,21.3000,22.7100,21.2780,22.4300
2021-12-31,22.6000,23.3900,22.2600,22.9800
2022-01-03,22.3100,22.7200,21.3100,21.4000
2022-01-04,21.3100,21.4500,20.5100,21.2000
2022-01-05,21.1200,21.2500,19.1900,19.5000
2022-01-06,19.2100,20.0199,18.8000,19.7500
2022-01-07,20.0600,20.6200,19.5100,20.1400
2022-01-10,19.7800,19.8179,18.7500,19.0600
2022-01-11,19.1000,19.3800,18.1750,18.7600
2022-01-12,18.9700,19.3700,17.9300,17.9700
2022-01-13,17.9000,18.6100,17.8100,18.1700
2022-01-14,17.9000,18.4350,16.7800,17.3700
2022-01-18,17.6000,17.9600,16.8700,16.9900
2022-01-19,17.0600,17.2300,16.0600,16.8200
2022-01-20,16.6600,17.3200,16.3800,16.4000
2022-01-21,16.5500,16.6400,15.7700,15.8700
2022-01-24,15.7000,17.1200,14.6000,16.9400
2022-01-25,16.3900,17.1700,15.5100,15.6600
2022-01-26,15.8500,16.3600,15.1800,15.3900
2022-01-27,15.4400,15.6300,14.8400,14.8800
2022-01-28,14.6700,16.0300,14.5100,15.8900
2022-01-31,15.8200,17.0500,15.8200,17.0500
2022-02-01,17.0200,18.2500,16.9100,17.9900
2022-02-02,18.0200,18.1700,16.8400,17.1600
2022-02-03,16.8200,17.3700,16.6500,17.0500
2022-02-04,17.0600,18.4000,16.7500,17.9700
2022-02-07,17.8900,18.7700,17.2000,17.4000
2022-02-08,17.2400,18.2200,17.2400,18.1800
2022-02-09,18.4300,19.0000,18.0150,18.8200
2022-02-10,18.4800,19.8850,18.4800,19.1000
2022-02-11,19.1000,19.5000,17.9100,18.1300
2022-02-14,18.1900,20.2200,18.1900,19.5000
2022-02-15,19.5400,20.0600,19.2100,19.6700
2022-02-16,19.5700,20.3700,19.2900,20.0000
2022-02-17,19.7300,20.1500,19.2400,19.4700
2022-02-18,19.3900,19.9400,17.8500,18.4400
2022-02-22,18.0300,19.1000,17.1845,18.3600
2022-02-23,18.5700,19.2900,17.4400,17.9500
2022-02-24,17.3100,18.9900,17.1800,18.7600
2022-02-25,18.7700,19.2200,18.0700,19.1700
2022-02-28,19.3800,20.1000,18.9400,19.8700
2022-03-01,19.8700,20.5700,19.7300,19.9500
2022-03-02,20.1100,20.9000,18.7100,18.9000
2022-03-03,18.5300,19.2500,17.0156,17.8400
2022-03-04,17.8900,18.4800,17.1700,17.5000
