DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2005-06-29,8.4528,8.6324,8.1394,8.4880,21.130,
2005-06-30,8.6289,8.8050,8.5409,8.7874,3.585,
2005-07-01,8.6113,9.1572,8.6113,9.1044,1.156,
2005-07-05,9.1748,9.3685,9.1748,9.2805,1.952,
2005-07-06,9.3685,9.4002,8.7698,8.9494,1.221,
2005-07-07,8.9459,9.2100,8.8755,9.1220,0.916,
2005-07-08,9.1924,9.3333,8.9283,9.3016,0.491,
2005-07-11,9.3333,9.4883,9.3087,9.3861,0.668,
2005-07-12,9.2981,9.2981,9.1396,9.1537,0.797,
2005-07-13,9.1044,9.1044,8.8931,8.9283,1.069,
2005-07-14,8.8050,9.2946,8.7698,9.0269,1.399,
2005-07-15,8.9917,8.9917,8.6817,8.7698,0.391,
2005-07-18,8.7698,8.8755,8.6888,8.7698,0.594,
2005-07-19,8.8402,8.9424,8.7029,8.8931,0.656,
2005-07-20,8.8931,9.4918,8.8050,9.3932,1.079,
2005-07-21,9.3861,9.5482,9.1607,9.4742,0.707,
2005-07-22,9.4390,9.4742,9.3368,9.4390,0.561,
2005-07-25,9.4390,9.6855,9.4390,9.5482,0.377,
2005-07-26,9.5622,9.5622,9.2629,9.3897,0.271,
2005-07-27,9.2629,9.2629,9.0868,9.1924,0.274,
2005-07-28,9.2100,9.2347,9.0586,9.2241,0.323,
2005-07-29,9.2100,9.3509,9.1396,9.3333,0.251,
2005-08-01,9.2453,9.5622,9.1607,9.5270,0.439,
2005-08-02,9.4918,9.6205,9.4390,9.4566,0.331,
2005-08-03,9.4495,9.4495,9.3016,9.4038,0.338,
2005-08-04,9.3685,9.3826,8.8931,8.9706,0.993,
2005-08-05,8.9459,8.9459,8.7240,8.7909,0.548,
2005-08-08,8.8261,8.8931,8.5655,8.6606,0.365,
2005-08-09,8.6641,8.8438,8.5585,8.7733,0.719,
2005-08-10,8.8050,8.9353,8.8050,8.9212,0.660,
2005-08-11,8.9635,8.9635,8.7522,8.7945,0.246,
2005-08-12,8.7874,8.7874,8.6677,8.7275,0.182,
2005-08-15,8.7346,8.8226,8.6113,8.7804,0.164,
2005-08-16,8.7839,8.7839,8.5937,8.6395,0.076,
2005-08-17,8.6817,8.6958,8.6113,8.6817,0.395,
2005-08-18,8.6677,8.8367,8.5761,8.7945,0.235,
2005-08-19,8.7346,8.7663,8.6254,8.6254,0.768,
2005-08-22,8.6113,8.6465,8.5690,8.6324,0.134,
2005-08-23,8.6148,8.6289,8.5233,8.5233,0.254,
2005-08-24,8.5092,8.5796,8.3295,8.3542,0.441,
2005-08-25,8.3542,8.3894,8.0689,8.0795,0.845,
2005-08-26,8.0478,8.1358,7.8012,8.0055,0.913,
2005-08-29,7.9597,8.0654,7.7836,7.8787,0.362,
2005-08-30,7.8787,7.8787,7.7202,7.7308,0.794,
2005-08-31,7.7308,7.9245,7.6040,7.9245,1.597,
2005-09-01,7.9597,7.9597,7.7132,7.8224,0.822,
2005-09-02,7.8224,7.8893,7.6956,7.8435,0.565,
2005-09-06,7.8541,8.1358,7.8541,8.0090,0.668,
2005-09-07,8.0090,8.0126,7.6188,7.7484,0.996,
2005-09-08,7.7484,7.9245,7.6322,7.8012,1.373,8.777
2005-09-09,7.7660,8.4000,7.7484,8.3119,0.909,8.774
2005-09-12,8.3295,8.3472,8.2873,8.3472,0.159,8.765
2005-09-13,8.3472,8.3472,8.2697,8.2802,0.323,8.748
2005-09-14,8.2943,8.4000,8.2063,8.4000,0.492,8.731
2005-09-15,8.4387,8.9036,8.4070,8.8825,0.929,8.729
2005-09-16,8.9283,8.9353,8.7874,8.8649,0.181,8.724
2005-09-19,8.9072,8.9072,8.7064,8.7170,0.389,8.713
2005-09-20,8.7522,8.7768,8.4176,8.4528,0.671,8.694
2005-09-21,8.3824,8.4176,7.9175,8.0126,0.515,8.671
2005-09-22,8.0126,8.0126,7.7484,7.8400,1.230,8.649
2005-09-23,7.8435,8.0126,7.7449,7.9104,1.144,8.627
2005-09-26,7.9245,8.2063,7.9245,8.1922,0.716,8.615
2005-09-27,8.2063,8.2380,8.0689,8.0689,0.686,8.601
2005-09-28,8.1112,8.1534,7.8858,7.9069,0.456,8.582
2005-09-29,7.9069,7.9210,7.3434,7.6428,1.534,8.547
2005-09-30,7.6251,7.6392,7.3962,7.4667,1.968,8.506
2005-10-03,7.4843,7.7660,7.3152,7.3258,1.051,8.464
2005-10-04,7.3434,7.4350,7.1145,7.1497,0.808,8.416
2005-10-05,7.1497,7.1532,6.8644,6.9701,0.735,8.368
2005-10-06,6.9207,7.0933,6.8503,6.8855,1.073,8.322
2005-10-07,6.9031,7.0792,6.9031,7.0792,0.671,8.279
2005-10-10,7.0616,7.0616,6.6002,6.6284,1.101,8.225
2005-10-11,6.6390,6.7235,6.4453,6.4770,0.644,8.164
2005-10-12,6.5157,6.5439,6.1670,6.2375,2.014,8.099
2005-10-13,6.2375,6.4523,6.1635,6.2410,1.390,8.036
2005-10-14,6.2692,6.6073,6.1635,6.5051,1.463,7.987
2005-10-17,6.5051,6.6073,6.4347,6.6073,0.768,7.943
2005-10-18,6.5368,6.5580,6.4206,6.4312,0.152,7.899
2005-10-19,6.4312,6.5897,6.3607,6.5404,0.486,7.854
2005-10-20,6.5157,6.5157,6.3572,6.4171,0.256,7.804
2005-10-21,6.4171,6.6108,6.4171,6.5862,0.475,7.760
2005-10-24,6.6390,6.9560,6.6390,6.9384,1.261,7.724
2005-10-25,6.9384,7.2307,6.9348,7.0792,0.977,7.690
2005-10-26,7.0792,7.3152,7.0616,7.1884,0.701,7.661
2005-10-27,7.1673,7.1673,6.7658,6.8538,0.787,7.624
2005-10-28,6.8679,6.9982,6.7623,6.9982,0.801,7.588
