DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2018-10-19,8.8200,8.8200,8.7500,8.7500,0.032,
2018-11-19,7.1171,7.1421,7.0836,7.0930,0.045,
2018-11-20,7.1003,7.1003,6.8324,6.8826,0.068,
2018-11-21,6.9496,6.9663,6.8910,6.9496,0.039,
2018-11-23,6.9242,6.9245,6.8742,6.9245,0.017,
2018-11-26,6.9077,6.9831,6.8742,6.9831,0.089,
2018-11-27,6.9245,6.9664,6.8994,6.9329,0.120,
2018-11-28,6.8742,7.0166,6.8742,6.9915,0.067,
2018-11-29,6.9915,7.0166,6.9203,6.9747,0.057,
2018-11-30,6.9580,6.9998,6.9077,6.9831,0.055,
2018-12-03,6.9580,7.0166,6.9496,6.9915,0.076,
2018-12-04,6.9664,6.9915,6.9052,6.9580,0.072,
2018-12-06,6.9496,7.0166,6.8324,6.8659,0.173,
2018-12-07,6.8575,6.9069,6.7738,6.8240,0.071,
2018-12-10,6.8278,6.9205,6.7519,6.7687,0.108,
2018-12-11,6.7772,6.8278,6.7687,6.8193,0.026,
2018-12-12,6.7940,6.8362,6.7687,6.7856,0.069,
2018-12-13,6.7519,6.7856,6.7097,6.7576,0.070,
2018-12-14,6.7013,6.7856,6.7013,6.7266,0.071,
2018-12-17,6.7266,6.7266,6.5007,6.5369,0.112,
2018-12-18,6.5496,6.6129,6.4400,6.4569,0.160,
2018-12-19,6.3810,6.6002,6.3641,6.4991,0.141,
2018-12-20,6.4737,6.4990,6.1534,6.3641,0.135,
2018-12-21,6.3304,6.4146,6.3051,6.3473,0.091,
2018-12-24,6.2124,6.3473,6.2124,6.2868,0.105,
2018-12-26,6.3641,6.5572,6.3220,6.4231,0.120,
2018-12-27,6.3894,6.6002,6.3810,6.5749,0.110,
2018-12-28,6.3641,6.7772,6.3641,6.7182,0.217,
2018-12-31,6.6339,6.6592,6.4484,6.4737,0.250,
2019-01-02,6.4484,6.5749,6.4484,6.5749,0.027,
2019-01-03,6.5412,6.5749,6.4990,6.5580,0.054,
2019-01-04,6.5916,6.7097,6.5891,6.6845,0.012,
2019-01-07,6.7350,6.8109,6.7097,6.8025,0.068,
2019-01-08,6.8278,6.8615,6.7435,6.8615,0.056,
2019-01-09,6.9036,6.9120,6.8699,6.8952,0.052,
2019-01-10,6.9289,6.9289,6.8530,6.8868,0.032,
2019-01-11,6.9120,6.9120,6.8868,6.9120,0.010,
2019-01-14,6.9036,6.9036,6.8779,6.8952,0.026,
2019-01-15,6.9289,6.9289,6.8699,6.8868,0.046,
2019-01-16,6.9458,6.9879,6.8992,6.9626,0.058,
2019-01-17,6.9879,6.9911,6.9373,6.9711,0.038,
2019-01-18,6.9711,6.9963,6.9542,6.9542,0.034,
2019-01-22,6.9963,6.9963,6.9373,6.9458,0.051,
2019-01-23,6.9711,6.9795,6.9289,6.9626,0.022,
2019-01-24,6.9542,7.0301,6.9485,6.9879,0.040,
2019-01-25,7.0301,7.0301,6.9795,7.0048,0.031,
2019-01-28,6.9289,7.0048,6.9152,6.9795,0.020,
2019-01-29,6.9626,7.0054,6.9626,6.9795,0.019,
2019-01-30,7.0469,7.1144,7.0132,7.0722,0.085,
2019-01-31,7.0469,7.1664,7.0469,7.0806,0.102,6.850
2019-02-01,7.1059,7.1734,7.0698,7.1481,0.213,6.818
2019-02-04,7.1342,7.2324,7.1228,7.2155,0.069,6.820
2019-02-05,7.2324,7.2408,7.1837,7.2324,0.030,6.827
2019-02-06,7.1987,7.2357,7.1902,7.2248,0.031,6.833
2019-02-07,7.2324,7.2492,7.1481,7.2408,0.085,6.839
2019-02-08,7.2324,7.2606,7.2155,7.2577,0.044,6.845
2019-02-11,7.2155,7.3082,7.1734,7.2829,0.112,6.852
2019-02-12,7.2577,7.2957,7.2577,7.2745,0.032,6.857
2019-02-13,7.3419,7.3419,7.2703,7.2915,0.048,6.864
2019-02-14,7.2777,7.3167,7.2379,7.3082,0.024,6.870
2019-02-15,7.3335,7.3504,7.1818,7.1902,0.026,6.874
2019-02-19,7.2072,7.2914,7.1734,7.2492,0.031,6.880
2019-02-20,7.2914,7.2914,7.2408,7.2829,0.037,6.888
2019-02-21,7.3408,7.3419,7.2644,7.3167,0.038,6.898
2019-02-22,7.3504,7.4229,7.2577,7.3588,0.045,6.910
2019-02-25,7.4347,7.4428,7.3419,7.3419,0.016,6.921
2019-02-26,7.4094,7.4768,7.2577,7.2577,0.044,6.930
2019-02-27,7.3672,7.4178,7.3335,7.4178,0.029,6.943
2019-02-28,7.4431,7.4431,7.2829,7.2914,0.117,6.954
2019-03-01,7.2829,7.3540,7.2661,7.3335,0.065,6.970
2019-03-04,7.3588,7.3672,7.3251,7.3585,0.024,6.988
2019-03-05,7.3757,7.4431,7.3455,7.4285,0.037,7.007
2019-03-06,7.4600,7.4612,7.4262,7.4283,0.028,7.028
2019-03-07,7.4937,7.4937,7.3336,7.4305,0.060,7.050
2019-03-08,7.4768,7.4768,7.4009,7.4178,0.014,7.073
2019-03-11,7.3757,7.4262,7.3504,7.3672,0.040,7.091
2019-03-12,7.3841,7.4262,7.2998,7.3251,0.018,7.106
2019-03-13,7.3167,7.3841,7.3167,7.3672,0.006,7.119
2019-03-14,7.4009,7.4094,7.3504,7.3757,0.029,7.137
2019-03-15,7.3588,7.4009,7.2998,7.2998,0.041,7.152
2019-03-18,7.2998,7.3221,7.2408,7.2914,0.046,7.167
2019-03-19,7.2746,7.3335,7.2239,7.2829,0.080,7.179
2019-03-20,7.2492,7.3335,7.2492,7.3335,0.030,7.189
2019-03-21,7.3167,7.4347,7.3167,7.4094,0.015,7.200
2019-03-22,7.4262,7.4376,7.3167,7.3799,0.044,7.210
2019-03-25,7.3925,7.4600,7.2914,7.3167,0.048,7.218
2019-03-26,7.4094,7.4178,7.3335,7.3588,0.051,7.227
2019-03-27,7.3841,7.4275,7.3841,7.4094,0.007,7.238
2019-03-28,7.3757,7.4347,7.3757,7.4040,0.022,7.248
2019-03-29,7.4431,7.4600,7.4136,7.4304,0.047,7.257
2019-04-01,7.4178,7.4600,7.3925,7.4009,0.029,7.266
2019-04-02,7.4684,7.4777,7.4178,7.4431,0.052,7.276
2019-04-03,7.4515,7.4600,7.2998,7.4009,0.040,7.285
2019-04-04,7.4600,7.4600,7.4178,7.4494,0.009,7.295
2019-04-05,7.4515,7.4600,7.3841,7.4357,0.040,7.304
2019-04-08,7.3841,7.4684,7.3841,7.4684,0.004,7.313
2019-04-09,7.4684,7.4768,7.4564,7.4600,0.010,7.322
2019-04-10,7.4852,7.5190,7.4675,7.5105,0.025,7.333
2019-04-11,7.5611,7.5675,7.4390,7.5611,0.023,7.343
2019-04-12,7.5527,7.6454,7.5274,7.6454,0.029,7.354
2019-04-15,7.6285,7.6285,7.4852,7.4852,0.071,7.361
2019-04-16,7.5780,7.5780,7.4861,7.5442,0.033,7.367
2019-04-17,7.5695,7.5780,7.5021,7.5695,0.043,7.374
2019-04-18,7.6117,7.6117,7.5767,7.5864,0.017,7.381
2019-04-22,7.5695,7.6117,7.5190,7.5695,0.045,7.388
