DATE,OPEN,HIGH,LOW,CLOSE
1998-10-14,4.5624,4.6191,4.5624,4.5843
1998-10-15,4.5734,4.5971,4.5734,4.5843
1998-10-16,4.5843,4.5843,4.5734,4.5843
1998-10-19,4.5843,4.5971,4.5734,4.5843
1998-10-20,4.5843,4.7673,4.5624,4.5843
1998-10-21,4.5843,4.5971,4.5734,4.5843
1998-10-22,4.5734,4.5971,4.5734,4.5843
1998-10-23,4.5734,4.5843,4.5734,4.5734
1998-10-26,4.5843,4.5843,4.5624,4.5624
1998-10-27,4.5514,4.5514,4.4599,4.4929
1998-10-28,4.5276,4.5514,4.4929,4.5057
1998-10-29,4.5166,4.5514,4.5057,4.5166
1998-10-30,4.5276,4.5514,4.5276,4.5514
1998-11-02,4.5514,4.5624,4.5386,4.5386
1998-11-03,4.5624,4.5624,4.5514,4.5514
1998-11-04,4.5514,4.5734,4.5514,4.5624
1998-11-05,4.5514,4.5514,4.5276,4.5276
1998-11-06,4.5276,4.5514,4.5057,4.5514
1998-11-09,4.5276,4.5514,4.5057,4.5514
1998-11-10,4.5514,4.5514,4.5276,4.5514
1998-11-11,4.5624,4.5624,4.5276,4.5514
1998-11-12,4.5514,4.5514,4.5276,4.5386
1998-11-13,4.5514,4.5514,4.5276,4.5514
1998-11-16,4.5276,4.5624,4.5276,4.5514
1998-11-17,4.5386,4.5514,4.5386,4.5386
1998-11-18,4.5514,4.5624,4.5386,4.5624
1998-11-19,4.5624,4.5624,4.5514,4.5624
1998-11-20,4.5514,4.5624,4.5514,4.5514
1998-11-23,4.5514,4.5624,4.5386,4.5624
1998-11-24,4.5386,4.6886,4.5386,4.5971
1998-11-25,4.5734,4.5953,4.5734,4.5843
1998-11-27,4.5843,4.5971,4.5843,4.5971
1998-11-30,4.5734,4.5843,4.5734,4.5843
1998-12-01,4.5843,4.6081,4.5734,4.5971
1998-12-02,4.5843,4.6081,4.5843,4.5971
1998-12-03,4.6191,4.6886,4.6191,4.6758
1998-12-04,4.6301,4.6648,4.6191,4.6429
1998-12-07,4.6538,4.6538,4.6081,4.6429
1998-12-08,4.6191,4.6538,4.6191,4.6429
1998-12-09,4.6301,4.6886,4.6301,4.6648
1998-12-10,4.6538,4.6648,4.6484,4.6538
1998-12-11,4.6648,4.6648,4.6538,4.6648
1998-12-14,4.6538,4.6648,4.6429,4.6538
1998-12-15,4.6538,4.7106,4.6429,4.6429
1998-12-16,4.6429,4.6648,4.6429,4.6429
1998-12-17,4.6648,4.6648,4.6429,4.6538
1998-12-18,4.6538,4.6758,4.6538,4.6648
1998-12-21,4.6648,4.6996,4.6538,4.6996
1998-12-22,4.6758,4.8752,4.6758,4.6996
1998-12-23,4.6758,4.6996,4.6758,4.6758
1998-12-24,4.6996,4.7106,4.6758,4.6758
1998-12-28,4.6648,4.7106,4.6648,4.6758
1998-12-29,4.6886,4.7106,4.6758,4.7106
1998-12-30,4.6886,4.6996,4.6758,4.6758
1998-12-31,4.6996,4.6996,4.6758,4.6886
1999-01-04,4.6758,4.6996,4.6758,4.6886
1999-01-05,4.6996,4.7106,4.6886,4.6996
1999-01-06,4.6996,4.7106,4.6758,4.6996
1999-01-07,4.6886,4.6996,4.5624,4.6886
1999-01-08,4.6758,4.6996,4.6648,4.6758
1999-01-11,4.6886,4.6886,4.6538,4.6538
1999-01-12,4.6538,4.6886,4.6538,4.6648
1999-01-13,4.5843,4.6191,4.5734,4.5843
1999-01-14,4.5734,4.6191,4.5734,4.5971
1999-01-15,4.5971,4.5971,4.5514,4.5624
1999-01-19,4.5734,4.5971,4.5514,4.5843
1999-01-20,4.5734,4.5843,4.5514,4.5514
1999-01-21,4.5514,4.5624,4.5514,4.5624
1999-01-22,4.5514,4.5624,4.5514,4.5514
1999-01-25,4.5624,4.5734,4.5514,4.5624
1999-01-26,4.5624,4.5843,4.5459,4.5734
