DATE,OPEN,HIGH,LOW,CLOSE
2002-10-16,2.3149,2.5494,2.2998,2.4889
2002-10-17,2.7386,2.7840,2.6478,2.7234
2002-10-18,2.7386,2.8369,2.7386,2.8294
2002-10-21,2.8294,2.8294,2.6629,2.7537
2002-10-22,2.7386,2.7386,2.6629,2.7386
2002-10-23,2.7234,2.8672,2.7234,2.8521
2002-10-24,2.9428,3.1774,2.9277,3.0866
2002-10-25,3.0714,3.1017,2.9731,3.0563
2002-10-28,3.0260,3.0866,3.0260,3.0714
2002-10-29,3.0866,3.0866,3.0260,3.0260
2002-10-30,3.0412,3.1017,3.0260,3.0563
2002-10-31,3.0866,3.1320,3.0563,3.1017
2002-11-01,3.1055,3.1130,2.9599,3.0052
2002-11-04,3.0242,3.0487,2.9863,3.0298
2002-11-05,3.0450,3.0601,3.0279,3.0393
2002-11-06,3.0639,3.1660,3.0563,3.1565
2002-11-07,3.2133,3.2341,3.1490,3.2114
2002-11-08,3.1774,3.2114,3.0525,3.0639
2002-11-11,3.1017,3.1206,3.0752,3.1112
2002-11-12,3.1187,3.1490,3.1017,3.1206
2002-11-13,3.1301,3.1395,3.0752,3.1206
2002-11-14,3.1017,3.1395,3.0922,3.1395
2002-11-15,3.1395,3.3287,3.1395,3.2927
2002-11-18,3.3400,3.4232,3.2908,3.2908
2002-11-19,3.3192,3.4043,3.3192,3.3948
2002-11-20,3.4138,3.4138,3.3684,3.3778
2002-11-21,3.3892,3.5556,3.3892,3.4989
2002-11-22,3.5178,3.8488,3.5178,3.7636
2002-11-25,3.8771,4.0001,3.8393,3.9433
2002-11-26,4.0379,4.1230,3.7826,3.7826
2002-11-27,3.8298,3.8960,3.7542,3.8866
2002-11-29,3.9320,3.9755,3.9150,3.9736
2002-12-02,4.0852,4.3121,3.9906,4.2573
2002-12-03,4.3046,4.3783,4.1797,4.2629
2002-12-04,4.2554,4.2743,4.1419,4.1949
2002-12-05,4.2081,4.2459,4.0946,4.1041
2002-12-06,4.0473,4.1306,3.9017,4.1230
2002-12-09,4.1514,4.2932,4.1514,4.2365
2002-12-10,4.2648,4.3027,4.1816,4.1986
2002-12-11,4.2100,4.2100,4.1324,4.1533
2002-12-12,4.1154,4.1154,3.9830,4.0473
2002-12-13,4.0001,4.0095,3.7258,3.7807
2002-12-16,3.7334,3.8620,3.7334,3.8204
2002-12-17,3.8109,3.8204,3.7258,3.7599
2002-12-18,3.7353,3.7353,3.3665,3.5651
2002-12-19,3.4989,3.5745,3.4913,3.4989
2002-12-20,3.4989,3.7069,3.4989,3.7069
2002-12-23,3.7258,3.7826,3.7088,3.7826
2002-12-24,3.7826,3.7826,3.6294,3.6331
2002-12-26,3.6331,3.6483,3.5953,3.6029
2002-12-27,3.6029,3.6502,3.6029,3.6123
2002-12-30,3.6086,3.6218,3.5972,3.6010
2002-12-31,3.6086,3.6691,3.6086,3.6313
2003-01-02,3.6313,3.7920,3.6029,3.7863
2003-01-03,3.7826,3.7826,3.7447,3.7542
2003-01-06,3.7769,4.0738,3.7542,4.0568
2003-01-07,4.0568,4.1968,3.9622,3.9622
2003-01-08,3.9528,3.9868,3.8960,3.9717
2003-01-09,3.9717,4.0719,3.9528,4.0454
2003-01-10,4.0265,4.1608,4.0265,4.0663
2003-01-13,4.1041,4.1343,4.0473,4.0757
2003-01-14,4.0379,4.0889,4.0001,4.0190
2003-01-15,4.0190,4.0190,3.8771,3.9717
2003-01-16,3.9717,4.0852,3.9566,4.0757
2003-01-17,4.0700,4.1362,4.0568,4.0946
2003-01-21,4.0473,4.0568,3.9906,4.0284
2003-01-22,4.0190,4.0190,3.8677,3.8771
2003-01-23,3.8771,3.8771,3.6313,3.6785
2003-01-24,3.6880,3.7901,3.6880,3.7353
2003-01-27,3.7220,3.7334,3.6445,3.6502
2003-01-28,3.6691,3.7012,3.4610,3.5613
2003-01-29,3.5707,3.5707,3.4970,3.4989
2003-01-30,3.4989,3.5499,3.4667,3.4989
2003-01-31,3.5102,3.5934,3.4932,3.5934
2003-02-03,3.5556,3.5840,3.2625,3.2719
2003-02-04,3.1774,3.3570,3.0412,3.3570
2003-02-05,3.3476,3.3646,3.2814,3.2984
2003-02-06,3.3097,3.3287,3.2946,3.2984
2003-02-07,3.3022,3.4043,3.2814,3.4043
2003-02-10,3.3948,3.3948,3.2870,3.3097
2003-02-11,3.8393,4.1135,3.8298,3.8904
2003-02-12,3.8904,3.9131,3.8166,3.8204
2003-02-13,3.8204,3.8677,3.8204,3.8582
2003-02-14,3.8677,3.9339,3.8393,3.9282
2003-02-18,3.9339,4.1230,3.9150,4.1154
2003-02-19,4.1154,4.2913,4.0757,4.1230
2003-02-20,4.1230,4.2100,4.1211,4.1835
2003-02-21,4.1835,4.4823,4.1703,4.4691
2003-02-24,4.4445,4.4540,4.1892,4.3537
2003-02-25,4.2837,4.2837,4.2138,4.2459
2003-02-26,4.2327,4.2365,4.1797,4.2365
2003-02-27,4.2365,4.3027,4.2308,4.2478
2003-02-28,4.2667,4.4445,4.2459,4.4237
2003-03-03,4.4294,4.4294,4.2837,4.2989
2003-03-04,4.2894,4.3235,4.2743,4.3121
2003-03-05,4.3216,4.3840,4.2743,4.2894
2003-03-06,4.3083,4.3216,4.0663,4.0663
2003-03-07,4.0681,4.3008,3.9055,4.2459
2003-03-10,4.2478,4.2478,4.1722,4.2081
