DATE,OPEN,HIGH,LOW,CLOSE
2021-11-12,9.7800,9.9200,9.7800,9.9200
2021-11-15,9.9200,9.9200,9.9200,9.9200
2021-11-16,9.9600,9.9600,9.9600,9.9600
2021-11-17,9.9500,9.9500,9.9400,9.9400
2021-11-18,9.9500,9.9600,9.9500,9.9500
2021-11-19,9.9700,9.9700,9.9450,9.9500
2021-11-22,9.9700,9.9800,9.9500,9.9600
2021-11-23,10.0000,10.0000,9.9700,9.9700
2021-11-24,9.9800,9.9800,9.9800,9.9800
2021-11-26,9.9800,9.9800,9.9800,9.9800
2021-11-29,9.9800,9.9900,9.9500,9.9500
2021-11-30,9.8900,9.9650,9.8900,9.9600
2021-12-01,9.9600,9.9600,9.9600,9.9600
2021-12-02,9.9700,9.9700,9.9300,9.9600
2021-12-03,9.9500,9.9500,9.9500,9.9500
2021-12-06,9.9700,9.9700,9.9400,9.9450
2021-12-07,9.9450,9.9450,9.9450,9.9450
2021-12-08,9.9400,9.9400,9.9400,9.9400
2021-12-09,9.9300,9.9300,9.9300,9.9300
2021-12-10,9.9500,9.9600,9.9400,9.9400
2021-12-13,9.9700,9.9700,9.9200,9.9200
2021-12-14,9.9200,9.9200,9.9200,9.9200
2021-12-17,9.9200,9.9200,9.9179,9.9179
