DATE,OPEN,HIGH,LOW,CLOSE
2018-10-19,9.1700,9.1800,9.1101,9.1700
2018-11-19,8.4233,8.4233,8.3488,8.3861
2018-11-20,8.3395,8.4140,8.3022,8.4140
2018-11-21,8.4326,8.5072,8.3767,8.4792
2018-11-23,8.4699,8.4699,8.3674,8.3954
2018-11-26,8.4792,8.4792,8.3302,8.4233
2018-11-27,8.4326,8.4513,8.3208,8.4000
2018-11-28,8.4139,8.4699,8.3674,8.3861
2018-11-29,8.3767,8.4326,8.3488,8.3581
2018-11-30,8.3861,8.3861,8.3582,8.3674
2018-12-03,8.3861,8.3861,8.3302,8.3395
2018-12-04,8.3022,8.3674,8.3022,8.3115
2018-12-06,8.3115,8.3488,8.2370,8.2929
2018-12-07,8.3022,8.3208,8.2090,8.2836
2018-12-10,8.2370,8.3767,8.2370,8.3488
2018-12-11,8.3302,8.3674,8.2370,8.2463
2018-12-12,8.1997,8.2394,8.1904,8.1997
2018-12-13,8.1997,8.2458,8.1531,8.2090
2018-12-14,8.1531,8.1624,8.0320,8.0879
2018-12-17,8.0040,8.1065,7.8736,7.9388
2018-12-18,7.9854,7.9854,7.7431,7.8896
2018-12-19,7.8922,7.9481,7.7897,7.8922
2018-12-20,7.8456,7.9341,7.6593,7.6779
2018-12-21,7.7059,7.9761,7.6220,7.8549
2018-12-24,8.3395,8.3395,7.9202,8.1438
2018-12-26,8.1531,8.3022,8.1531,8.2836
2018-12-27,8.2742,8.2742,7.9202,7.9854
2018-12-28,7.9481,8.3063,7.9296,8.1997
2018-12-31,8.1345,8.2649,7.9295,7.9761
2019-01-02,7.9481,8.1904,7.9481,8.1345
2019-01-03,8.1345,8.1997,7.9947,8.1811
2019-01-04,8.1811,8.2370,8.0879,8.2183
2019-01-07,8.2649,8.3488,8.2428,8.2929
2019-01-08,8.3395,8.3861,8.2742,8.3488
2019-01-09,8.3612,8.3861,8.2929,8.3395
2019-01-10,8.3861,8.3861,8.2523,8.3395
2019-01-11,8.3208,8.3395,8.2370,8.2649
2019-01-14,8.3208,8.3208,8.2183,8.2742
2019-01-15,8.2934,8.3059,8.1717,8.2090
2019-01-16,8.2090,8.2555,8.1717,8.1997
2019-01-17,8.2305,8.2462,8.1811,8.2370
2019-01-18,8.2929,8.2929,8.2183,8.2556
2019-01-22,8.2351,8.2929,8.1998,8.2649
2019-01-23,8.2750,8.3395,8.2556,8.2771
2019-01-24,8.3183,8.3302,8.2090,8.3208
2019-01-25,8.2836,8.3674,8.2277,8.3208
2019-01-28,8.3861,8.4233,8.2556,8.3115
2019-01-29,8.2991,8.3767,8.2277,8.2370
2019-01-30,8.3022,8.3395,8.2463,8.2836
2019-01-31,8.3302,8.4420,8.3208,8.3861
2019-02-01,8.4699,8.4886,8.3767,8.4606
2019-02-04,8.4699,8.4986,8.4465,8.4792
2019-02-05,8.5072,8.5258,8.4699,8.4979
2019-02-06,8.5258,8.6097,8.4979,8.5072
2019-02-07,8.4979,8.5538,8.4792,8.5538
2019-02-08,8.5631,8.5631,8.3488,8.4047
2019-02-11,8.4420,8.5165,8.3954,8.4979
2019-02-12,8.4326,8.4326,8.3861,8.4233
2019-02-13,8.4326,8.5258,8.4048,8.5165
2019-02-14,8.5258,8.5631,8.4513,8.4792
2019-02-15,8.5551,8.5787,8.4979,8.5631
2019-02-19,8.6376,8.6470,8.4980,8.6004
2019-02-20,8.5977,8.6097,8.5622,8.6004
2019-02-21,8.6097,8.6190,8.5305,8.5594
2019-02-22,8.6190,8.6470,8.5724,8.6470
2019-02-25,8.6190,8.6470,8.4792,8.5072
2019-02-26,8.5351,8.5724,8.4886,8.5072
2019-02-27,8.5351,8.5724,8.4886,8.5631
2019-02-28,8.5631,8.6283,8.5212,8.6004
2019-03-01,8.5911,8.6656,8.5911,8.6190
2019-03-04,8.8054,8.8054,8.5911,8.7215
2019-03-05,8.6484,8.7495,8.6097,8.6656
2019-03-06,8.7401,8.8054,8.5911,8.6005
2019-03-07,8.6004,8.6563,8.5911,8.5911
2019-03-08,8.6527,8.6996,8.6059,8.6153
2019-03-11,8.6246,8.6775,8.5123,8.5123
2019-03-12,8.5123,8.5965,8.4935,8.5778
2019-03-13,8.5685,8.6621,8.5685,8.6059
2019-03-14,8.6010,8.6715,8.5794,8.6059
2019-03-15,8.6902,8.7838,8.6153,8.6153
2019-03-18,8.6527,8.6730,8.5591,8.5591
2019-03-19,8.5685,8.6153,8.5635,8.5872
2019-03-20,8.6246,8.6621,8.5965,8.6153
2019-03-21,8.5965,8.7838,8.5778,8.6621
2019-03-22,8.6314,8.6314,8.4935,8.5591
2019-03-25,8.5685,8.6261,8.4982,8.5216
2019-03-26,8.5785,8.5785,8.5029,8.5404
2019-03-27,8.5685,8.6661,8.5216,8.5685
2019-03-28,8.5685,8.6902,8.5685,8.6059
2019-03-29,8.5872,8.6732,8.5310,8.5685
2019-04-01,8.5965,8.6730,8.5685,8.6621
2019-04-02,8.6153,8.6997,8.6153,8.6996
2019-04-03,8.6808,8.7089,8.6621,8.6745
2019-04-04,8.6246,8.7089,8.6175,8.7089
2019-04-05,8.7089,8.7651,8.6709,8.7464
2019-04-08,8.7277,8.7464,8.6808,8.7136
2019-04-09,8.7557,8.7838,8.6774,8.7464
2019-04-10,8.6808,8.9992,8.6621,8.6715
2019-04-11,8.7124,8.7661,8.6621,8.6808
2019-04-12,8.6902,8.7370,8.6668,8.7190
2019-04-15,8.6902,8.7463,8.6621,8.6996
