DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2003-07-29,2.2669,2.2699,2.2669,2.2669,0.175,
2003-07-30,2.2669,2.2729,2.2669,2.2669,0.086,
2003-07-31,2.2684,2.2714,2.2669,2.2669,0.066,
2003-08-01,2.2669,2.2684,2.2669,2.2684,0.044,
2003-08-04,2.2669,2.2684,2.2669,2.2669,0.136,
2003-08-05,2.2669,2.2684,2.2669,2.2684,0.084,
2003-08-06,2.2669,2.2684,2.2669,2.2684,0.093,
2003-08-07,2.2684,2.2684,2.2669,2.2684,0.053,
2003-08-08,2.2669,2.2684,2.2669,2.2669,0.047,
2003-08-11,2.2669,2.2684,2.2669,2.2684,0.046,
2003-08-12,2.2684,2.2684,2.2669,2.2669,0.242,
2003-08-13,2.2669,2.2684,2.2669,2.2669,0.124,
2003-08-14,2.2669,2.2684,2.2669,2.2669,0.119,
2003-08-15,2.2669,2.2684,2.2669,2.2669,0.060,
2003-08-18,2.2669,2.2684,2.2669,2.2669,0.075,
2003-08-19,2.2669,2.2684,2.2669,2.2669,0.137,
2003-08-20,2.2669,2.2684,2.2669,2.2669,0.168,
2003-08-21,2.2669,2.2684,2.2669,2.2684,0.127,
2003-08-22,2.2669,2.2684,2.2669,2.2669,0.065,
2003-08-25,2.2669,2.2684,2.2669,2.2669,0.234,
2003-08-26,2.2669,2.2684,2.2669,2.2669,0.162,
2003-08-27,2.2669,2.2684,2.2669,2.2669,0.089,
2003-08-28,2.2669,2.2684,2.2669,2.2669,0.112,
2003-08-29,2.2669,2.2684,2.2669,2.2669,0.110,
2003-09-02,2.2669,2.2684,2.2669,2.2669,0.379,
2003-09-03,2.2503,2.2518,2.2291,2.2291,0.291,
2003-09-04,2.2291,2.2503,2.2291,2.2306,0.072,
2003-09-05,2.2306,2.2518,2.2291,2.2291,0.048,
2003-09-08,2.2593,2.2593,2.2291,2.2291,0.055,
2003-09-09,2.2367,2.2427,2.2291,2.2291,0.056,
2003-09-10,2.2291,2.2503,2.2291,2.2291,0.034,
2003-09-11,2.2291,2.2442,2.2291,2.2291,0.036,
2003-09-12,2.2291,2.2442,2.2216,2.2216,0.038,
2003-09-15,2.2231,2.2367,2.2216,2.2216,0.023,
2003-09-16,2.2291,2.2352,2.2216,2.2231,0.026,
2003-09-17,2.2216,2.2291,2.2140,2.2140,0.036,
2003-09-18,2.2155,2.2276,2.1792,2.2065,0.137,
2003-09-19,2.2216,2.2337,2.1944,2.2201,0.027,
2003-09-22,2.2216,2.2216,2.1687,2.1883,0.058,
2003-09-23,2.1913,2.2140,2.1762,2.1913,0.045,
2003-09-24,2.1838,2.1913,2.1641,2.1656,0.056,
2003-09-25,2.1641,2.1838,2.1551,2.1672,0.065,
2003-09-26,2.1672,2.2140,2.1626,2.1913,0.026,
2003-09-29,2.1989,2.2201,2.1913,2.2170,0.031,
2003-09-30,2.2065,2.2201,2.1687,2.1989,0.039,
2003-10-01,2.1944,2.2367,2.1944,2.2201,0.047,
2003-10-02,2.2155,2.2518,2.2080,2.2291,0.033,
2003-10-03,2.2170,2.2291,2.2095,2.2140,0.028,
2003-10-06,2.2065,2.2291,2.2065,2.2291,0.017,
2003-10-07,2.2306,2.2367,2.2095,2.2291,0.060,2.241
2003-10-08,2.2321,2.2367,2.2125,2.2246,0.080,2.240
2003-10-09,2.2397,2.2654,2.2231,2.2427,0.035,2.239
