DATE,OPEN,HIGH,LOW,CLOSE
1995-11-17,6.2172,6.6725,6.1942,6.5998
1995-11-20,6.5768,6.7432,6.2650,6.3606
1995-11-21,6.3128,6.3377,6.0737,6.2420
1995-11-22,6.2172,6.5290,6.2172,6.4333
1995-11-24,6.4812,6.6725,6.4563,6.6725
1995-11-27,6.6725,6.8159,6.5998,6.6954
1995-11-28,6.6954,6.7203,6.5041,6.5998
1995-11-29,6.5768,6.8638,6.5519,6.6954
1995-11-30,6.7681,7.0302,6.7432,6.9594
1995-12-01,6.9594,6.9824,6.8389,6.8867
1995-12-04,6.9116,6.9594,6.7681,6.8159
1995-12-05,6.8159,6.8159,6.5998,6.7203
1995-12-06,6.6954,6.8867,6.6954,6.7432
1995-12-07,6.7911,6.8159,6.6476,6.6954
1995-12-08,6.6725,6.8638,6.5998,6.8638
1995-12-11,6.8867,6.9594,6.8638,6.9594
1995-12-12,6.9116,6.9345,6.6725,6.6954
1995-12-13,6.7432,6.7432,6.5290,6.6476
1995-12-14,6.6725,6.6725,6.4563,6.4563
1995-12-15,6.5041,6.5519,6.3855,6.4085
1995-12-18,6.4085,6.4333,6.3128,6.3377
1995-12-19,6.3128,6.5290,6.2899,6.4563
1995-12-20,6.4812,6.6476,6.4812,6.5998
1995-12-21,6.5768,6.7203,6.5519,6.6476
1995-12-22,6.6725,6.6954,6.5998,6.6954
1995-12-26,6.6725,6.6725,6.5041,6.5290
1995-12-27,6.5998,6.7681,6.5998,6.7681
1995-12-28,6.7911,6.8159,6.7203,6.7432
1995-12-29,6.7203,6.7681,6.6246,6.6725
1996-01-02,6.6725,6.7184,6.6227,6.6954
1996-01-03,6.7184,6.8389,6.6227,6.6725
1996-01-04,6.6715,6.7193,6.6237,6.6954
1996-01-05,6.7193,6.8389,6.6237,6.6715
1996-01-08,6.4563,6.4812,6.4085,6.4812
1996-01-09,6.5041,6.5041,6.4085,6.4085
1996-01-10,6.4563,6.4802,6.4085,6.4802
1996-01-11,6.5041,6.5041,6.4085,6.4085
1996-01-12,6.3367,6.4085,6.2172,6.3367
1996-01-15,6.6476,6.6954,6.5998,6.6227
1996-01-16,6.5768,6.5768,6.2899,6.4563
1996-01-17,6.6476,6.6954,6.5998,6.6237
1996-01-18,6.5759,6.5759,6.2889,6.4563
1996-01-19,6.3606,6.4085,6.2172,6.4085
1996-01-22,6.1942,6.4812,6.1942,6.3606
1996-01-23,6.3128,6.3358,6.2401,6.2401
1996-01-24,6.1933,6.4802,6.1933,6.3606
1996-01-25,6.3128,6.3367,6.2411,6.2411
1996-01-26,6.2172,6.3367,6.2172,6.3367
1996-01-29,6.5768,6.5768,6.4085,6.4563
1996-01-30,6.4563,7.1966,6.4085,7.0780
1996-01-31,6.5759,6.5759,6.4085,6.4563
1996-02-01,6.4563,7.1976,6.4085,7.0780
1996-02-02,7.0302,7.2932,6.9824,7.0541
1996-02-05,7.1258,7.2454,7.0780,7.1976
1996-02-06,7.1976,7.3171,7.1737,7.2454
1996-02-07,7.2932,7.5323,7.2693,7.4845
1996-02-08,7.4606,7.5084,7.2932,7.3171
1996-02-09,7.3650,7.3650,7.2454,7.3410
1996-02-12,7.2932,7.3171,7.0780,7.1498
1996-02-13,7.0780,7.1019,6.9824,7.0302
1996-02-14,7.0541,7.2215,7.0063,7.0063
1996-02-15,7.1019,7.2215,7.1019,7.1498
1996-02-16,7.1498,7.1498,7.0063,7.0302
1996-02-20,6.9345,7.0302,6.8389,6.9345
1996-02-21,6.9585,7.0541,6.9585,6.9824
1996-02-22,6.9824,6.9824,6.7193,6.9585
1996-02-23,6.9824,7.1498,6.9585,7.1258
1996-02-26,7.1258,7.1498,7.0302,7.0780
1996-02-27,7.1258,7.1737,6.9824,7.0063
1996-02-28,7.0302,7.0780,7.0302,7.0541
1996-02-29,7.0541,7.1737,6.9824,7.0063
1996-03-01,7.1010,7.2923,7.0551,7.2464
1996-03-04,7.2693,7.2693,7.1258,7.1737
1996-03-05,7.1258,7.2464,7.1010,7.1966
1996-03-06,7.2693,7.2693,7.1258,7.1737
1996-03-07,7.1258,7.2454,7.1019,7.1976
1996-03-08,7.2215,7.2454,7.1258,7.1258
1996-03-11,6.8867,6.8867,6.7681,6.7911
1996-03-12,6.8140,6.8140,6.4314,6.6227
1996-03-13,6.9032,6.9032,6.7834,6.8073
1996-03-14,6.8313,6.8313,6.4478,6.6395
1996-03-15,6.6635,6.8553,6.5916,6.8313
1996-03-18,6.7114,6.8802,6.7114,6.8802
1996-03-19,6.8802,6.8802,6.7114,6.8303
1996-03-20,6.7114,6.8792,6.7114,6.8792
1996-03-21,6.8553,6.8792,6.7114,6.8313
1996-03-22,6.8073,6.8313,6.6395,6.6875
1996-03-25,6.7594,6.7594,6.6884,6.7345
1996-03-26,6.7594,7.0720,6.7345,6.9032
1996-03-27,6.7594,6.7594,6.6875,6.7354
1996-03-28,6.7594,7.0710,6.7354,6.9032
1996-03-29,6.9511,7.0470,6.9272,6.9751
1996-04-01,6.8802,6.9761,6.7843,6.9761
1996-04-02,6.8792,6.9751,6.7834,6.9751
1996-04-03,6.9272,6.9751,6.8073,6.8313
1996-04-04,6.7834,6.7834,6.6635,6.7354
1996-04-08,6.6386,6.6635,6.5926,6.6635
1996-04-09,6.6395,6.6635,6.5916,6.6635
1996-04-10,6.6875,6.6875,6.6395,6.6635
1996-04-11,6.6635,6.6635,6.5676,6.6395
1996-04-12,6.6635,6.6875,6.6156,6.6395
1996-04-15,6.7345,6.8553,6.7114,6.7843
1996-04-16,6.7354,6.8553,6.7114,6.7834
1996-04-17,6.7354,6.8073,6.7114,6.8073
1996-04-18,6.7834,6.7834,6.5197,6.6156
1996-04-19,6.6156,6.6156,6.3279,6.4718
1996-04-22,6.5676,6.6386,6.5197,6.6386
1996-04-23,6.5676,6.6395,6.5197,6.6395
1996-04-24,6.6156,6.6635,6.4957,6.5197
1996-04-25,6.4718,6.4718,6.3279,6.3759
1996-04-26,6.3759,6.3998,6.1362,6.3998
1996-04-29,7.1429,7.5744,7.1180,7.2867
1996-04-30,7.1429,7.5744,7.1189,7.2867
1996-05-01,7.2388,7.2627,7.0231,7.0231
1996-05-02,6.9511,7.1180,6.9511,7.0221
1996-05-03,7.0470,7.0470,6.9272,6.9991
1996-05-06,6.9991,7.1180,6.9991,7.0221
1996-05-07,6.9991,7.0221,6.9761,6.9761
1996-05-08,6.9991,7.1189,6.9991,7.0231
1996-05-09,6.9991,7.0231,6.9751,6.9751
1996-05-10,6.9511,7.0950,6.8792,7.0710
1996-05-13,7.0720,7.0950,7.0470,7.0720
1996-05-14,7.0470,7.0470,6.9262,6.9991
1996-05-15,7.0710,7.0950,7.0470,7.0710
1996-05-16,7.0470,7.0470,6.9272,6.9991
1996-05-17,7.0231,7.0231,6.8792,6.9032
1996-05-20,7.2388,7.3097,7.1180,7.2138
1996-05-21,7.2637,7.2637,6.9991,7.0221
1996-05-22,7.2388,7.3107,7.1189,7.2148
1996-05-23,7.2148,7.2627,6.9991,7.0231
1996-05-24,6.9991,6.9991,6.8073,6.9751
1996-05-28,6.9761,7.2867,6.9761,7.2388
1996-05-29,7.2867,7.3826,7.1908,7.2138
1996-05-30,6.9751,7.2867,6.9751,7.2388
1996-05-31,7.2867,7.3826,7.1908,7.2148
1996-06-03,7.2388,7.3097,7.1908,7.2388
1996-06-04,7.2388,7.3107,7.1908,7.2388
1996-06-05,7.2148,7.2627,7.1429,7.2388
1996-06-06,7.2867,7.6463,7.2867,7.5744
1996-06-07,7.5744,7.7661,7.5744,7.6702
1996-06-10,7.6702,7.7182,7.5744,7.6223
1996-06-11,7.6472,7.8620,7.6223,7.7431
1996-06-12,7.6624,7.8785,7.6383,7.7584
1996-06-13,7.7344,7.9746,7.7344,7.8305
1996-06-14,7.8305,7.9266,7.7104,7.8065
1996-06-17,7.6134,7.6134,7.1829,7.2790
