DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1992-03-17,2.9529,2.9529,2.9253,2.9253,0.028,
1992-03-18,2.9391,2.9391,2.9103,2.9103,0.013,
1992-03-19,2.9253,2.9253,2.9103,2.9103,0.010,
1992-03-20,2.9103,2.9253,2.9103,2.9253,0.013,
1992-03-23,2.9253,2.9679,2.9253,2.9529,0.025,
1992-03-24,2.9391,2.9679,2.9391,2.9391,0.014,
1992-03-25,2.9253,2.9391,2.9103,2.9391,0.006,
1992-03-26,2.9391,2.9529,2.9391,2.9391,0.011,
1992-03-27,2.9391,2.9391,2.9103,2.9253,0.014,
1992-03-30,2.9103,2.9103,2.8815,2.8953,0.029,
1992-03-31,2.8815,2.9967,2.8815,2.9829,0.045,
1992-04-01,2.9967,3.0117,2.9829,2.9829,0.013,
1992-04-02,2.9967,2.9967,2.9679,2.9679,0.008,
1992-04-03,2.9529,2.9529,2.9391,2.9391,0.012,
1992-04-06,2.9529,2.9529,2.9103,2.9391,0.008,
1992-04-07,2.9391,2.9391,2.8953,2.9103,0.020,
1992-04-08,2.9103,2.9679,2.8953,2.9253,0.028,
1992-04-09,2.9529,2.9529,2.9391,2.9529,0.012,
1992-04-10,2.9679,2.9679,2.9253,2.9529,0.007,
1992-04-13,2.9529,2.9529,2.9391,2.9529,0.002,
1992-04-14,2.9529,2.9529,2.9391,2.9391,0.008,
1992-04-15,2.9391,2.9529,2.9253,2.9529,0.013,
1992-04-16,2.9679,2.9679,2.9391,2.9679,0.004,
1992-04-20,2.9529,2.9679,2.9529,2.9679,0.007,
1992-04-21,2.9829,2.9829,2.9529,2.9529,0.015,
1992-04-22,2.9529,2.9679,2.9391,2.9391,0.010,
1992-04-23,2.9529,2.9529,2.8953,2.9103,0.023,
1992-04-24,2.8953,2.9103,2.8527,2.8527,0.011,
1992-04-27,2.8238,2.8238,2.6510,2.6659,0.029,
1992-04-28,2.6659,2.6659,2.5795,2.6072,0.032,
1992-04-29,2.6371,2.6659,2.6221,2.6659,0.024,
1992-04-30,2.6659,2.7524,2.6659,2.7524,0.030,
1992-05-01,2.7374,2.7662,2.7374,2.7662,0.015,
1992-05-04,2.7662,2.7950,2.7374,2.7374,0.025,
1992-05-05,2.7374,2.7374,2.6936,2.7224,0.012,
1992-05-06,2.7224,2.7374,2.7086,2.7086,0.023,
1992-05-07,2.7086,2.7524,2.7086,2.7086,0.011,
1992-05-08,2.7224,2.7374,2.7086,2.7086,0.010,
1992-05-11,2.7224,2.8100,2.7086,2.8100,0.032,
1992-05-12,2.7950,2.8665,2.7950,2.8665,0.027,
1992-05-13,2.8815,2.9103,2.8388,2.8665,0.057,
1992-05-14,2.8815,2.9391,2.8815,2.9253,0.021,
1992-05-15,2.9253,2.9253,2.8665,2.8953,0.069,
1992-05-18,2.9103,2.9391,2.8815,2.8815,0.020,
1992-05-19,2.9253,2.9829,2.9253,2.9679,0.018,
1992-05-20,2.9679,3.0394,2.9679,3.0394,0.016,
1992-05-21,3.0255,3.0394,2.9967,3.0117,0.018,
1992-05-22,2.9967,3.0255,2.9967,3.0117,0.007,
1992-05-26,3.0117,3.0255,2.9967,3.0117,0.006,
1992-05-27,3.0117,3.0255,2.9829,2.9829,0.014,2.891
1992-05-28,2.9967,3.0117,2.9679,2.9967,0.011,2.893
1992-05-29,3.0117,3.0394,2.9829,3.0394,0.018,2.895
1992-06-01,3.0048,3.0688,3.0048,3.0048,0.009,2.897
1992-06-02,2.9823,3.0255,2.9823,3.0255,0.012,2.899
1992-06-03,3.0255,3.0255,2.9598,2.9823,0.021,2.900
1992-06-04,2.9823,2.9823,2.9391,2.9391,0.015,2.900
1992-06-05,2.9598,2.9823,2.9184,2.9598,0.015,2.900
1992-06-08,2.9391,3.0463,2.9391,3.0463,0.011,2.902
1992-06-09,3.0179,3.0826,3.0179,3.0826,0.007,2.905
1992-06-10,3.0616,3.1053,3.0406,3.0406,0.014,2.908
1992-06-11,3.0616,3.0616,2.9531,3.0179,0.018,2.909
1992-06-12,3.0406,3.0616,3.0406,3.0616,0.010,2.911
1992-06-15,3.0616,3.0616,2.9741,2.9951,0.018,2.911
1992-06-16,3.0179,3.0406,2.9951,2.9951,0.015,2.912
1992-06-17,3.0179,3.0179,2.9741,2.9951,0.021,2.913
1992-06-18,2.9951,3.0179,2.9741,2.9951,0.023,2.915
1992-06-19,2.9741,2.9951,2.9741,2.9951,0.015,2.917
1992-06-22,2.9741,2.9951,2.9531,2.9741,0.029,2.917
1992-06-23,2.9531,2.9531,2.9304,2.9531,0.536,2.917
1992-06-24,2.9304,2.9531,2.9304,2.9304,0.086,2.917
1992-06-25,2.9304,2.9741,2.9304,2.9741,0.044,2.917
1992-06-26,2.9741,2.9741,2.9304,2.9531,0.047,2.917
1992-06-29,2.9531,2.9741,2.9304,2.9304,0.046,2.916
1992-06-30,2.9304,2.9741,2.9304,2.9304,0.099,2.916
1992-07-01,2.9531,2.9951,2.9531,2.9741,0.021,2.916
1992-07-02,2.9951,2.9951,2.9531,2.9951,0.057,2.917
1992-07-06,2.9951,2.9951,2.9741,2.9951,0.029,2.919
1992-07-07,2.9741,2.9951,2.9304,2.9741,0.021,2.921
1992-07-08,2.9951,2.9951,2.9531,2.9951,0.033,2.928
1992-07-09,2.9741,2.9741,2.9304,2.9741,0.041,2.935
1992-07-10,2.9531,2.9741,2.9304,2.9531,0.027,2.941
1992-07-13,2.9741,2.9951,2.9531,2.9741,0.024,2.945
1992-07-14,2.9531,2.9741,2.9531,2.9741,0.031,2.950
1992-07-15,2.9741,2.9951,2.9741,2.9951,0.027,2.955
