DATE,OPEN,HIGH,LOW,CLOSE
1995-12-28,2.2426,2.2426,2.1867,2.1867
1995-12-29,2.2426,2.2426,2.2263,2.2426
1996-01-02,2.2729,2.4198,2.1867,2.4198
1996-01-03,2.4198,2.4198,2.3592,2.3592
1996-01-04,2.4198,2.4198,2.4198,2.4198
1996-01-05,2.4478,2.4478,2.3895,2.4198
1996-01-08,2.4198,2.4198,2.4198,2.4198
1996-01-09,2.4198,2.4198,2.3592,2.3895
1996-01-10,2.3895,2.3895,2.3312,2.3312
1996-01-11,2.3592,2.4198,2.3312,2.3592
1996-01-12,2.3592,2.4198,2.3312,2.3312
1996-01-15,2.3592,2.4198,2.3592,2.3895
1996-01-16,2.3429,2.3592,2.3429,2.3592
1996-01-17,2.3592,2.4198,2.3592,2.4198
1996-01-18,2.3895,2.4198,2.3895,2.4198
1996-01-19,2.3592,2.4198,2.3592,2.4198
1996-01-22,2.3592,2.4478,2.3592,2.4478
1996-01-23,2.4478,2.4478,2.4198,2.4478
1996-01-24,2.4478,2.5061,2.4198,2.4758
1996-01-25,2.5061,2.5061,2.4758,2.4758
1996-01-26,2.4758,2.5061,2.4198,2.5061
1996-01-29,2.4874,2.5061,2.4874,2.4874
1996-01-30,2.4758,2.4758,2.4478,2.4478
1996-01-31,2.4478,2.4758,2.4478,2.4758
1996-02-01,2.4758,2.4758,2.3895,2.3895
1996-02-02,2.3895,2.4758,2.3895,2.4758
1996-02-05,2.3895,2.4758,2.3895,2.4758
1996-02-06,2.4198,2.4478,2.4198,2.4478
1996-02-07,2.3942,2.4758,2.3942,2.4758
1996-02-08,2.4758,2.4758,2.4198,2.4758
1996-02-09,2.4758,2.5061,2.4198,2.5061
1996-02-12,2.5457,2.6226,2.4758,2.5364
1996-02-13,2.6226,2.6226,2.5364,2.5643
1996-02-14,2.6226,2.6226,2.5061,2.5061
1996-02-15,2.5643,2.5643,2.4758,2.5643
1996-02-16,2.5643,2.5643,2.4758,2.5364
1996-02-20,2.5643,2.5643,2.4758,2.5364
1996-02-21,2.5364,2.5364,2.4758,2.5061
1996-02-22,2.4758,2.5364,2.4758,2.5364
1996-02-23,2.5061,2.5364,2.4758,2.5364
1996-02-26,2.5061,2.5364,2.4758,2.5364
1996-02-27,2.5364,2.5923,2.5177,2.5923
1996-02-28,2.5923,2.5923,2.5107,2.5107
1996-02-29,2.5061,2.5643,2.5061,2.5643
1996-03-01,2.5643,2.5643,2.5061,2.5061
1996-03-04,2.5643,2.5643,2.5061,2.5177
1996-03-05,2.5643,2.5643,2.5061,2.5364
1996-03-06,2.5643,2.6226,2.5364,2.5364
1996-03-07,2.5923,2.5923,2.5107,2.5107
1996-03-08,2.4758,2.5364,2.4478,2.5364
1996-03-11,2.5061,2.5923,2.4478,2.5923
1996-03-12,2.5923,2.6226,2.5923,2.6226
1996-03-13,2.6809,2.6926,2.6226,2.6926
1996-03-14,2.6809,2.6809,2.5643,2.5643
1996-03-15,2.5923,2.8861,2.5061,2.7975
1996-03-18,2.8861,2.8861,2.7695,2.7975
1996-03-19,2.8254,2.8254,2.7695,2.8185
1996-03-20,2.7975,2.8254,2.7695,2.7975
1996-03-21,2.7835,2.7975,2.7835,2.7975
1996-03-22,2.7695,2.7975,2.7695,2.7975
1996-03-25,2.7835,2.7975,2.7089,2.7089
