DATE,OPEN,HIGH,LOW,CLOSE
2004-08-02,11.4807,11.5725,11.4348,11.4807
2004-08-03,11.4807,11.5542,11.4807,11.4807
2004-08-04,11.4807,11.5542,11.4807,11.5083
2004-08-05,11.4991,11.4991,11.1133,11.1317
2004-08-06,10.7919,11.2511,10.5163,11.1133
2004-08-09,11.0215,11.0582,10.9756,11.0031
2004-08-10,11.0031,11.0215,10.8378,10.8837
2004-08-11,10.8562,11.0123,10.8010,11.0123
2004-08-12,11.0031,11.2878,11.0031,11.0215
2004-08-13,11.0215,11.1133,11.0215,11.0215
2004-08-16,11.0766,11.2970,10.9756,11.0215
2004-08-17,11.0674,11.0950,11.0215,11.0215
2004-08-18,11.0215,11.0674,10.9388,10.9664
2004-08-19,10.9296,11.1041,10.9204,11.0215
2004-08-20,11.0215,11.6185,11.0215,11.6185
2004-08-23,11.5725,11.6828,11.2511,11.4072
2004-08-24,11.4348,11.5083,11.4348,11.4991
2004-08-25,11.4807,11.5909,11.3429,11.4807
2004-08-26,11.3889,11.6185,11.3429,11.5266
2004-08-27,11.5266,11.5817,11.4348,11.5083
2004-08-30,11.4715,11.5909,11.4531,11.5634
2004-08-31,11.6185,11.6828,11.4623,11.6644
2004-09-01,11.7103,11.8297,11.5725,11.7930
2004-09-02,11.7287,11.9124,11.5725,11.8756
2004-09-03,11.8940,12.1420,11.7287,12.1236
2004-09-07,12.0869,12.0869,11.7838,12.0410
2004-09-08,11.9675,12.1512,11.8940,12.1236
2004-09-09,12.0777,12.3073,12.0685,12.1971
2004-09-10,12.3073,12.3716,12.2614,12.3073
2004-09-13,12.3532,12.3992,12.3257,12.3992
2004-09-14,12.3992,13.0421,12.3165,12.9502
2004-09-15,12.8584,13.2258,12.7665,12.8400
2004-09-16,12.7665,13.0421,12.7022,12.7114
2004-09-17,12.8033,12.9502,12.7665,12.8125
2004-09-20,12.9043,13.2350,12.8584,12.8859
2004-09-21,12.8400,12.8768,12.5829,12.6012
2004-09-22,12.5369,12.5645,12.1053,12.4910
2004-09-23,12.3992,12.3992,12.1512,12.2614
2004-09-24,12.2430,12.2430,11.7103,11.8848
2004-09-27,11.8113,12.0961,11.7287,12.0318
2004-09-28,11.9399,11.9583,11.6185,11.7746
2004-09-29,11.8665,11.9032,11.6093,11.7746
2004-09-30,11.7562,11.9767,11.7195,11.8022
2004-10-01,11.8297,12.2706,11.8022,12.2155
2004-10-04,12.1695,12.3073,12.1695,12.1879
2004-10-05,12.1695,12.1695,11.9399,11.9675
2004-10-06,12.0134,12.3808,11.9675,12.3808
2004-10-07,12.3992,12.3992,11.8481,12.1604
2004-10-08,12.1695,12.1695,11.8756,11.9859
2004-10-11,12.0042,12.1144,11.9399,12.0134
2004-10-12,12.0777,12.0777,11.7930,12.0318
2004-10-13,11.9399,11.9491,11.8481,11.8940
2004-10-14,11.8940,11.8940,11.6277,11.7562
2004-10-15,11.7654,11.8940,11.6644,11.8205
2004-10-18,11.7287,11.8389,11.2970,11.8389
2004-10-19,11.7103,11.8665,11.4807,11.7562
2004-10-20,11.6644,12.1604,11.6185,12.1604
2004-10-21,12.0869,12.3257,12.0685,12.1328
2004-10-22,12.0593,12.4910,11.9216,11.9859
2004-10-25,11.9859,12.0777,11.7103,11.9399
2004-10-26,11.9859,12.0777,11.5266,11.9399
2004-10-27,11.8481,11.9124,11.4807,11.8205
2004-10-28,11.7930,11.8848,11.7930,11.8756
