DATE,OPEN,HIGH,LOW,CLOSE
2015-02-19,43.2507,43.5757,42.3001,42.6576
2015-02-20,42.5438,42.7551,41.9344,42.6901
2015-02-23,42.6088,43.0151,42.3408,42.8201
2015-02-24,42.7145,43.4839,42.5520,43.3401
2015-02-25,43.2264,43.4620,42.5845,42.7470
2015-02-26,43.0175,43.0421,42.3049,42.4605
2015-02-27,42.4851,42.5916,42.1329,42.3868
2015-03-02,42.1821,42.4769,40.9043,41.1582
2015-03-03,41.0108,41.4613,40.8470,41.4449
2015-03-04,41.2074,41.3794,40.6668,40.8879
2015-03-05,41.1173,41.5760,40.9125,41.4039
2015-03-06,40.6258,40.8879,39.7576,39.9378
2015-03-09,40.3228,40.4047,39.8805,40.0197
2015-03-10,40.0115,40.8142,39.8805,40.2245
2015-03-11,40.0934,40.2982,39.7576,39.9870
2015-03-12,40.1180,41.1009,40.0656,40.6832
2015-03-13,40.6422,40.6422,39.9583,40.2409
2015-03-16,40.4620,41.1091,40.3555,40.7569
2015-03-17,40.6914,41.0436,40.3637,40.5685
2015-03-18,40.6258,41.9282,40.3801,41.6333
2015-03-19,41.5350,42.1821,41.2565,41.5514
2015-03-20,41.7070,42.1821,41.3712,41.7807
2015-03-23,41.8626,42.2722,41.7971,42.1575
2015-03-24,41.9937,42.2435,41.4900,41.6169
2015-03-25,41.7070,42.0838,41.0517,41.0517
2015-03-26,41.0681,41.4406,40.5756,40.8797
2015-03-27,40.7815,41.3712,40.7569,41.0517
2015-03-30,41.1337,41.6497,41.0108,41.4777
2015-03-31,41.5268,41.8708,41.1337,41.3794
2015-04-01,41.0845,41.6824,40.8388,41.5514
2015-04-02,41.5186,41.8462,41.4367,41.4777
2015-04-06,41.5514,42.1165,41.4203,41.8135
2015-04-07,41.7480,42.0183,41.1582,41.2074
2015-04-08,41.0845,41.3712,40.9207,41.2647
2015-04-09,41.2729,41.3057,40.7548,40.9207
2015-04-10,41.0517,41.6333,40.9944,41.3630
2015-04-13,41.2074,41.2917,40.6340,40.6914
2015-04-14,40.9371,41.2238,40.6995,41.1418
2015-04-15,41.2074,41.7152,41.0927,41.1500
2015-04-16,41.0681,41.2893,40.5112,41.2401
2015-04-17,41.0845,41.5994,40.9125,40.9944
2015-04-20,41.0845,41.7234,40.8470,41.3630
2015-04-21,40.7651,41.6497,40.4374,40.6340
2015-04-22,40.9780,40.9780,40.4047,40.5112
2015-04-23,40.5931,40.8306,40.4374,40.6422
2015-04-24,40.5931,41.3302,40.4456,41.1910
2015-04-27,41.2647,41.4203,40.7077,40.8060
2015-04-28,40.6258,41.3139,40.4866,41.2729
2015-04-29,40.9125,41.2156,40.6013,40.9617
2015-04-30,40.4702,40.8716,39.6429,39.9378
2015-05-01,39.9378,40.1672,39.5774,40.0443
2015-05-04,40.3473,40.8797,40.1098,40.4293
2015-05-05,40.4702,40.5423,39.3890,39.4955
2015-05-06,39.4955,39.7904,38.7584,39.1351
2015-05-07,39.2989,39.5938,39.1925,39.2498
2015-05-08,39.5283,39.8887,39.3399,39.6921
2015-05-11,39.7576,40.1998,39.6511,39.7330
2015-05-12,39.4709,39.9706,39.2674,39.8969
2015-05-13,40.1016,40.1835,39.1679,39.2662
2015-05-14,39.5201,39.9214,39.2989,39.7576
2015-05-15,39.8559,40.2900,39.7249,40.2736
2015-05-18,40.1590,40.5931,40.0525,40.4948
2015-05-19,40.3064,40.6504,40.1508,40.3965
2015-05-20,40.3228,40.8388,40.2327,40.5194
2015-05-21,40.4620,40.6258,40.2163,40.4866
2015-05-22,40.3801,40.4784,40.0279,40.3719
2015-05-26,40.2982,40.3768,39.9296,40.1344
2015-05-27,40.2054,40.3954,40.0980,40.2880
2015-05-28,40.2136,40.7588,40.1062,40.6845
2015-05-29,40.6927,40.9075,40.4862,40.6845
2015-06-01,40.6927,40.9075,40.5027,40.6349
2015-06-02,40.3871,40.4697,39.7428,40.0567
