DATE,OPEN,HIGH,LOW,CLOSE
2005-06-28,3.5934,3.5952,3.5934,3.5934
2005-06-29,3.5934,3.6114,3.5934,3.6024
2005-06-30,3.6024,3.6384,3.5934,3.6258
2005-07-01,3.6258,3.6276,3.5934,3.6006
2005-07-05,3.6006,3.6168,3.5934,3.5970
2005-07-06,3.6060,3.6222,3.5952,3.6204
2005-07-07,3.6024,3.6384,3.6006,3.6312
2005-07-08,3.6258,3.6294,3.6042,3.6204
2005-07-11,3.6330,3.6366,3.6060,3.6186
2005-07-12,3.6132,3.6366,3.6078,3.6276
2005-07-13,3.6276,3.6743,3.6150,3.6545
2005-07-14,3.6581,3.6905,3.6491,3.6905
2005-07-15,3.6833,3.7066,3.6671,3.7013
2005-07-18,3.7192,3.7192,3.6761,3.7013
2005-07-19,3.7030,3.7084,3.6204,3.6563
2005-07-20,3.6653,3.7030,3.6474,3.6635
2005-07-21,3.6563,3.6653,3.5934,3.6258
2005-07-22,3.6348,3.6545,3.6150,3.6509
2005-07-25,3.6384,3.6815,3.6312,3.6384
2005-07-26,3.6276,3.6743,3.6276,3.6707
2005-07-27,3.6617,3.6815,3.6384,3.6815
2005-07-28,3.6114,3.6114,3.5934,3.5934
2005-07-29,3.5934,3.6042,3.5934,3.6024
2005-08-01,3.6024,3.6096,3.5934,3.6078
2005-08-02,3.6078,3.6078,3.5934,3.5988
2005-08-03,3.5952,3.6024,3.5934,3.6006
2005-08-04,3.5970,3.6006,3.5934,3.5970
2005-08-05,3.6006,3.6006,3.5934,3.5952
2005-08-08,3.5988,3.6024,3.5934,3.5952
2005-08-09,3.5952,3.5970,3.5934,3.5934
2005-08-10,3.5934,3.5934,3.5611,3.5881
2005-08-11,3.5863,3.5952,3.5791,3.5952
2005-08-12,3.5934,3.5952,3.5791,3.5845
2005-08-15,3.5755,3.5970,3.5719,3.5970
2005-08-16,3.6078,3.6096,3.5755,3.5773
2005-08-17,3.5899,3.6078,3.5773,3.6042
2005-08-18,3.6078,3.6078,3.5899,3.6024
2005-08-19,3.5970,3.6096,3.5934,3.5934
2005-08-22,3.5934,3.5988,3.5755,3.5970
2005-08-23,3.6060,3.6060,3.5791,3.5934
2005-08-24,3.5934,3.5952,3.5773,3.5845
2005-08-25,3.5845,3.5952,3.5593,3.5917
2005-08-26,3.5791,3.5845,3.5413,3.5575
2005-08-29,3.5395,3.5899,3.5395,3.5755
2005-08-30,3.5755,3.5845,3.5575,3.5755
2005-08-31,3.5755,3.5899,3.5395,3.5665
2005-09-01,3.5755,3.5899,3.5395,3.5737
2005-09-02,3.5557,3.5773,3.5485,3.5737
2005-09-06,3.5413,3.5773,3.5413,3.5755
2005-09-07,3.5755,3.6024,3.5611,3.5988
2005-09-08,3.6078,3.6096,3.5773,3.5845
2005-09-09,3.5934,3.6078,3.5827,3.5899
2005-09-12,3.5899,3.5952,3.5791,3.5899
2005-09-13,3.5863,3.6096,3.5845,3.5970
2005-09-14,3.6078,3.6096,3.5863,3.5952
2005-09-15,3.5899,3.6150,3.5863,3.6096
2005-09-16,3.6132,3.6456,3.6078,3.6276
2005-09-19,3.6420,3.6456,3.6114,3.6168
2005-09-20,3.6294,3.6438,3.6042,3.6204
2005-09-21,3.6460,3.6736,3.6239,3.6662
2005-09-22,3.6589,3.6589,3.5945,3.5945
2005-09-23,3.5926,3.6607,3.5926,3.6423
2005-09-26,3.6607,3.6699,3.6055,3.6331
2005-09-27,3.6331,3.6423,3.5871,3.5926
2005-09-28,3.5926,3.6239,3.5742,3.5816
2005-09-29,3.5503,3.5890,3.5466,3.5890
2005-09-30,3.6165,3.6276,3.5779,3.5926
2005-10-03,3.5926,3.6202,3.5650,3.5650
2005-10-04,3.5595,3.5945,3.5522,3.5871
2005-10-05,3.5798,3.6202,3.5724,3.5963
2005-10-06,3.5963,3.6294,3.5779,3.6055
2005-10-07,3.6055,3.6331,3.6055,3.6165
2005-10-10,3.6147,3.6313,3.5851,3.6184
2005-10-11,3.6074,3.6239,3.5779,3.5798
2005-10-12,3.5871,3.6165,3.5687,3.5816
2005-10-13,3.5871,3.5963,3.5411,3.5687
2005-10-14,3.5595,3.5687,3.5319,3.5577
2005-10-17,3.5669,3.5706,3.5319,3.5448
2005-10-18,3.5522,3.5632,3.4639,3.4859
2005-10-19,3.4951,3.5283,3.4804,3.4841
2005-10-20,3.4915,3.5558,3.4675,3.5135
2005-10-21,3.4970,3.5356,3.4951,3.5043
2005-10-24,3.5043,3.5062,3.4694,3.5025
2005-10-25,3.5135,3.5393,3.4859,3.5227
2005-10-26,3.5319,3.5632,3.4951,3.4951
2005-10-27,3.5007,3.5043,3.4767,3.4988
2005-10-28,3.4767,3.5779,3.4749,3.5503
2005-10-31,3.5430,3.5669,3.5172,3.5227
2005-11-01,3.5227,3.5503,3.4988,3.5374
2005-11-02,3.5558,3.5650,3.5301,3.5466
2005-11-03,3.5595,3.5687,3.5356,3.5540
2005-11-04,3.5595,3.5834,3.5503,3.5595
