DATE,OPEN,HIGH,LOW,CLOSE
2004-11-24,4.7884,4.7908,4.7884,4.7908
2004-11-26,4.7884,4.7908,4.7884,4.7884
2004-11-29,4.7884,4.7908,4.7884,4.7884
2004-11-30,4.7908,4.7979,4.7884,4.7931
2004-12-01,4.7884,4.7931,4.7884,4.7908
2004-12-02,4.7884,4.7931,4.7884,4.7931
2004-12-03,4.7908,4.7931,4.7884,4.7931
2004-12-06,4.7979,4.7979,4.7884,4.7931
2004-12-07,4.7884,4.7955,4.7884,4.7884
2004-12-08,4.7884,4.7908,4.7884,4.7908
2004-12-09,4.7884,4.7908,4.7884,4.7908
2004-12-10,4.7884,4.7908,4.7884,4.7884
2004-12-13,4.7908,4.7908,4.7884,4.7884
2004-12-14,4.7884,4.7908,4.7884,4.7908
2004-12-15,4.7908,4.7908,4.7884,4.7884
2004-12-16,4.7884,4.7908,4.7884,4.7884
2004-12-17,4.7908,4.8003,4.7884,4.7884
2004-12-20,4.7884,4.7908,4.7884,4.7884
2004-12-21,4.7884,4.7908,4.7884,4.7884
2004-12-22,4.7884,4.7908,4.7884,4.7884
2004-12-23,4.7884,4.7884,4.6208,4.6232
2004-12-27,4.6208,4.6567,4.6208,4.6327
2004-12-28,4.6088,4.6232,4.5777,4.5944
2004-12-29,4.5968,4.6639,4.5968,4.6016
2004-12-30,4.5896,4.6519,4.5777,4.6256
2004-12-31,4.6495,4.6663,4.6256,4.6567
2005-01-03,4.6232,4.6710,4.6232,4.6447
2005-01-04,4.6303,4.7117,4.6208,4.6926
2005-01-05,4.6686,4.7046,4.6088,4.6112
2005-01-06,4.6351,4.6686,4.5729,4.6112
2005-01-07,4.5729,4.7046,4.5729,4.7046
2005-01-10,4.6567,4.6567,4.6088,4.6447
2005-01-11,4.6567,4.6686,4.6447,4.6567
2005-01-12,4.6088,4.6208,4.5729,4.6088
2005-01-13,4.6088,4.6208,4.5729,4.6136
2005-01-14,4.6088,4.6088,4.5489,4.6064
2005-01-18,4.6232,4.6327,4.5609,4.5968
2005-01-19,4.6088,4.6399,4.5489,4.5609
2005-01-20,4.5968,4.6160,4.5489,4.5849
2005-01-21,4.6088,4.6208,4.5729,4.6208
2005-01-24,4.6208,4.6208,4.5633,4.5729
2005-01-25,4.5705,4.6160,4.5705,4.5968
2005-01-26,4.6447,4.6567,4.5657,4.5920
2005-01-27,4.5944,4.6208,4.5633,4.6160
2005-01-28,4.6399,4.6399,4.5849,4.5968
2005-01-31,4.5825,4.6136,4.5681,4.5801
2005-02-01,4.5968,4.6399,4.5825,4.6375
2005-02-02,4.6375,4.6471,4.5872,4.6303
2005-02-03,4.6303,4.6375,4.5896,4.6184
2005-02-04,4.6112,4.6615,4.6112,4.6567
2005-02-07,4.6567,4.6806,4.6279,4.6591
2005-02-08,4.6686,4.6926,4.6615,4.6663
2005-02-09,4.6663,4.7046,4.6663,4.7022
2005-02-10,4.7046,4.7117,4.6710,4.6998
2005-02-11,4.6926,4.7165,4.6686,4.6686
2005-02-14,4.6686,4.7165,4.6686,4.6974
2005-02-15,4.6495,4.7117,4.6495,4.7070
2005-02-16,4.6806,4.7141,4.6710,4.7117
2005-02-17,4.7165,4.7285,4.6830,4.7213
2005-02-18,4.6854,4.7213,4.6495,4.6734
2005-02-22,4.6686,4.7237,4.6615,4.7022
2005-02-23,4.6830,4.7046,4.6016,4.6351
2005-02-24,4.6351,4.6472,4.6159,4.6327
2005-02-25,4.6110,4.6303,4.5749,4.6038
2005-02-28,4.6231,4.6376,4.5604,4.5628
2005-03-01,4.5845,4.5990,4.5484,4.5677
2005-03-02,4.5918,4.5942,4.5460,4.5652
