DATE,OPEN,HIGH,LOW,CLOSE
2011-09-28,8.1346,8.1346,8.0736,8.1346
2011-09-29,8.1306,8.1346,8.1143,8.1346
2011-09-30,8.1346,8.1346,8.1143,8.1346
2011-10-03,8.1346,8.1387,8.1143,8.1346
2011-10-04,8.1224,8.1346,8.0940,8.1346
2011-10-05,8.1346,8.1387,8.0899,8.1346
2011-10-06,8.1346,8.1956,8.1143,8.1346
2011-10-07,8.1346,8.1956,8.1224,8.1346
2011-10-10,8.1346,8.1428,8.1102,8.1387
2011-10-11,8.1712,8.1712,8.1346,8.1387
2011-10-12,8.1346,8.1590,8.1346,8.1387
2011-10-13,8.1346,8.1712,8.1306,8.1550
2011-10-14,8.1875,8.1956,8.1672,8.1956
2011-10-17,8.1875,8.2078,8.1794,8.2078
2011-10-18,8.2973,8.2973,8.2201,8.2648
2011-10-19,8.2770,8.3543,8.2201,8.2567
2011-10-20,8.3299,8.3299,8.1550,8.2363
2011-10-21,8.3380,8.3380,8.2445,8.2567
2011-10-24,8.2973,8.3339,8.2851,8.2933
2011-10-25,8.3787,8.3827,8.1712,8.2404
2011-10-26,8.2160,8.2282,8.1346,8.1834
2011-10-27,8.2201,8.2201,8.1224,8.1509
2011-10-28,8.1346,8.1468,8.1143,8.1346
2011-10-31,8.1346,8.1468,8.1265,8.1346
2011-11-01,8.1509,8.1631,8.1346,8.1550
2011-11-02,8.1550,8.2729,8.1346,8.1712
2011-11-03,8.1875,8.2770,8.1346,8.2404
2011-11-04,8.1143,8.1956,8.0452,8.0940
2011-11-07,8.0899,8.1387,8.0533,8.0940
2011-11-08,8.1346,8.1916,8.1062,8.1346
2011-11-09,8.0940,8.0940,7.9923,8.0940
2011-11-10,8.1062,8.1509,8.1062,8.1387
2011-11-11,8.1550,8.1550,8.0899,8.1184
2011-11-14,8.1468,8.1468,7.8703,7.9150
2011-11-15,7.9597,8.0980,7.9231,8.0533
2011-11-16,8.0533,8.1184,8.0045,8.0330
2011-11-17,8.1346,8.1346,8.0452,8.0533
