DATE,OPEN,HIGH,LOW,CLOSE
2002-12-20,4.6220,4.6374,4.6220,4.6220
2002-12-23,4.6220,4.6220,4.6220,4.6220
2002-12-24,4.6220,4.6251,4.6220,4.6220
2002-12-26,4.6220,4.6251,4.6220,4.6220
2002-12-27,4.6251,4.6344,4.6220,4.6344
2002-12-30,4.6251,4.6251,4.6220,4.6220
2002-12-31,4.6220,4.6282,4.6220,4.6220
2003-01-02,4.6220,4.6251,4.6220,4.6220
2003-01-03,4.6220,4.6251,4.6220,4.6220
2003-01-06,4.6220,4.6282,4.6220,4.6251
2003-01-07,4.6251,4.6282,4.6220,4.6282
2003-01-08,4.6220,4.6282,4.6220,4.6220
2003-01-09,4.6220,4.6220,4.6220,4.6220
2003-01-10,4.6282,4.6282,4.6220,4.6220
2003-01-13,4.6282,4.6282,4.6220,4.6220
2003-01-14,4.6251,4.6251,4.6251,4.6251
2003-01-15,4.6251,4.6251,4.6220,4.6220
2003-01-16,4.6220,4.6220,4.6220,4.6220
2003-01-17,4.6220,4.6220,4.6220,4.6220
2003-01-21,4.6251,4.6251,4.6220,4.6220
2003-01-22,4.6251,4.6251,4.6220,4.6220
2003-01-23,4.6220,4.6251,4.6220,4.6220
2003-01-24,4.6220,4.6220,4.6220,4.6220
2003-01-27,4.6220,4.6220,4.5912,4.5912
2003-01-28,4.5851,4.5851,4.5604,4.5635
2003-01-29,4.5851,4.5851,4.5604,4.5635
2003-01-30,4.5512,4.5758,4.5388,4.5388
2003-01-31,4.5358,4.5358,4.4988,4.5019
2003-02-03,4.4988,4.5019,4.4803,4.4834
2003-02-04,4.4803,4.4803,4.4618,4.4618
2003-02-05,4.4649,4.4649,4.4649,4.4649
2003-02-06,4.4495,4.4526,4.4495,4.4526
2003-02-07,4.4495,4.4495,4.4063,4.4094
2003-02-10,4.4063,4.4063,4.3817,4.3817
2003-02-11,4.4002,4.4002,4.3293,4.3324
2003-02-12,4.3355,4.3755,4.3293,4.3755
2003-02-13,4.3755,4.3755,4.3601,4.3632
2003-02-14,4.3478,4.3540,4.3293,4.3355
2003-02-18,4.3324,4.3324,4.3047,4.3077
2003-02-19,4.2937,4.2937,4.2410,4.2627
2003-02-20,4.2534,4.2596,4.2534,4.2596
2003-02-21,4.2565,4.2565,4.2193,4.2224
2003-02-24,4.2534,4.2627,4.2131,4.2627
2003-02-25,4.2503,4.3712,4.2379,4.3712
2003-02-26,4.3557,4.4022,4.3402,4.4022
2003-02-27,4.4022,4.4921,4.4022,4.4921
2003-02-28,4.5014,4.5138,4.5014,4.5138
2003-03-03,4.5324,4.5324,4.4797,4.5262
2003-03-04,4.5355,4.5355,4.5355,4.5355
2003-03-05,4.5107,4.5231,4.4952,4.5231
2003-03-06,4.5262,4.5696,4.5262,4.5696
2003-03-07,4.5882,4.6192,4.5882,4.6192
2003-03-10,4.6037,4.6037,4.5262,4.5293
2003-03-11,4.5324,4.5572,4.5324,4.5417
2003-03-12,4.5572,4.5572,4.5572,4.5572
2003-03-13,4.5448,4.5448,4.4952,4.5200
2003-03-14,4.4890,4.4952,4.3743,4.4487
2003-03-17,4.4456,4.4456,4.4239,4.4456
2003-03-18,4.4642,4.4673,4.4642,4.4673
2003-03-19,4.4720,4.4720,4.3878,4.3971
2003-03-20,4.3971,4.4720,4.3971,4.4470
2003-03-21,4.4283,4.4283,4.3971,4.4252
2003-03-24,4.4252,4.4439,4.4221,4.4408
2003-03-25,4.4346,4.4720,4.4127,4.4127
2003-03-26,4.3971,4.3971,4.2755,4.2911
2003-03-27,4.2693,4.3098,4.2693,4.3098
2003-03-28,4.3317,4.3317,4.3161,4.3192
2003-03-31,4.3192,4.4003,4.3036,4.3847
2003-04-01,4.4034,4.4439,4.3535,4.4190
2003-04-02,4.4439,4.4751,4.4439,4.4689
2003-04-03,4.4221,4.4595,4.4065,4.4283
2003-04-04,4.4314,4.4439,4.4127,4.4159
2003-04-07,4.4096,4.4439,4.4003,4.4127
2003-04-08,4.4252,4.4252,4.3909,4.3909
2003-04-09,4.3909,4.3909,4.3784,4.3784
2003-04-10,4.3878,4.4065,4.3878,4.4065
2003-04-11,4.4127,4.4252,4.3816,4.3816
2003-04-14,4.3784,4.4221,4.3784,4.4221
2003-04-15,4.4221,4.4252,4.3971,4.4252
2003-04-16,4.4283,4.4439,4.4283,4.4439
2003-04-17,4.4626,4.5281,4.4626,4.5281
2003-04-21,4.5481,4.5481,4.5231,4.5231
2003-04-22,4.5513,4.6109,4.5450,4.6109
2003-04-23,4.6422,4.6422,4.5952,4.6234
2003-04-24,4.6328,4.6328,4.5481,4.5921
2003-04-25,4.6234,4.7050,4.6234,4.6893
2003-04-28,4.6422,4.7113,4.6422,4.6768
2003-04-29,4.6799,4.7113,4.6579,4.7018
2003-04-30,4.7050,4.7050,4.6109,4.6266
2003-05-01,4.6422,4.6893,4.6422,4.6893
2003-05-02,4.7113,4.7113,4.6579,4.6830
2003-05-05,4.7018,4.7018,4.7018,4.7018
2003-05-06,4.7050,4.7050,4.6391,4.6422
2003-05-07,4.6579,4.6579,4.5638,4.5638
2003-05-08,4.5952,4.5952,4.5607,4.5670
2003-05-09,4.5921,4.5921,4.5921,4.5921
2003-05-12,4.6109,4.6203,4.5732,4.5732
2003-05-13,4.6203,4.6328,4.6109,4.6140
2003-05-14,4.6391,4.6391,4.5795,4.5827
2003-05-15,4.5921,4.6266,4.5795,4.5952
2003-05-16,4.5764,4.6266,4.5764,4.6266
2003-05-19,4.6422,4.6517,4.6109,4.6391
2003-05-20,4.6454,4.6579,4.6266,4.6579
2003-05-21,4.6810,4.7031,4.6810,4.6842
2003-05-22,4.6558,4.7315,4.6558,4.7315
2003-05-23,4.7315,4.7378,4.7000,4.7031
2003-05-27,4.6874,4.7252,4.6747,4.6842
2003-05-28,4.7157,4.7410,4.6937,4.7031
2003-05-29,4.7221,4.7221,4.6621,4.7094
2003-05-30,4.7252,4.7473,4.7221,4.7252
2003-06-02,4.7504,4.7536,4.7284,4.7315
2003-06-03,4.7473,4.7599,4.6716,4.7221
2003-06-04,4.7221,4.7284,4.7000,4.7284
2003-06-05,4.7410,4.7441,4.7221,4.7441
2003-06-06,4.7410,4.7536,4.7031,4.7031
2003-06-09,4.7157,4.7284,4.6810,4.7000
2003-06-10,4.7094,4.7252,4.6779,4.7063
2003-06-11,4.7252,4.7568,4.7157,4.7315
2003-06-12,4.7441,4.7599,4.6684,4.7157
2003-06-13,4.7000,4.7221,4.6905,4.7126
2003-06-16,4.7347,4.7347,4.6747,4.7000
2003-06-17,4.7063,4.7315,4.7063,4.7157
2003-06-18,4.7252,4.7252,4.6747,4.7000
2003-06-19,4.7234,4.7234,4.6980,4.6980
2003-06-20,4.7139,4.7139,4.6790,4.6948
2003-06-23,4.7075,4.7266,4.6758,4.7266
2003-06-24,4.7361,4.7836,4.7297,4.7836
2003-06-25,4.7963,4.7963,4.7424,4.7551
2003-06-26,4.7741,4.7900,4.7678,4.7678
2003-06-27,4.7900,4.7900,4.6980,4.7012
2003-06-30,4.7234,4.7614,4.7234,4.7583
2003-07-01,4.7932,4.7932,4.7266,4.7456
2003-07-02,4.7741,4.7805,4.7266,4.7583
2003-07-03,4.7741,4.7868,4.7646,4.7646
2003-07-07,4.8059,4.8059,4.7583,4.7741
2003-07-08,4.7900,4.7900,4.7266,4.7297
2003-07-09,4.7424,4.7424,4.7266,4.7329
2003-07-10,4.7424,4.8059,4.7170,4.7202
2003-07-11,4.6980,4.8598,4.6980,4.7741
2003-07-14,4.7741,4.7900,4.7329,4.7678
2003-07-15,4.7836,4.7836,4.7583,4.7741
2003-07-16,4.7741,4.7741,4.7424,4.7456
2003-07-17,4.7583,4.7614,4.7107,4.7266
2003-07-18,4.7234,4.7234,4.6821,4.7202
2003-07-21,4.7378,4.7378,4.6198,4.6389
2003-07-22,4.6166,4.6166,4.5911,4.5943
