DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2017-05-10,15.2000,15.5900,14.9000,15.0400,5.481,
2017-05-11,15.0900,15.2500,14.7800,15.2100,0.492,
2017-05-12,15.1200,15.9800,15.0500,15.9600,0.249,
2017-05-15,16.1600,16.7400,16.0000,16.4500,0.982,
2017-05-16,16.5600,16.5600,15.8500,16.1200,0.383,
2017-05-17,16.1800,16.2328,15.6800,16.0000,0.357,
2017-05-18,16.0000,16.0840,15.8505,15.9300,0.160,
2017-05-19,16.0300,16.1000,15.8600,16.0000,0.108,
2017-05-22,16.1400,16.1700,15.8100,15.8100,0.036,
2017-05-23,15.7000,16.2100,15.4068,15.9800,0.146,
2017-05-24,16.0500,16.4800,15.6100,15.6600,0.264,
2017-05-25,15.7500,16.0900,15.6000,16.0300,0.114,
2017-05-26,15.9500,16.0000,15.3800,15.7200,0.189,
2017-05-30,15.6600,15.9700,15.6400,15.6900,0.053,
2017-05-31,15.7200,16.2400,15.6100,15.6100,0.092,
2017-06-01,15.6000,15.8100,15.2850,15.6500,0.089,
2017-06-02,15.7400,15.9500,15.6000,15.7000,0.127,
2017-06-05,15.7800,15.7800,15.2800,15.5000,0.391,
2017-06-06,15.6800,15.6900,15.2000,15.3700,0.103,
2017-06-07,15.2400,15.5000,15.0500,15.1400,0.104,
2017-06-08,15.0100,15.2000,14.9100,14.9800,0.097,
2017-06-09,15.0000,15.5000,14.7900,15.2500,0.304,
2017-06-12,15.1200,15.3513,14.5900,14.8500,0.146,
2017-06-13,14.8100,14.8600,14.2500,14.7200,0.081,
2017-06-14,14.6600,14.7100,14.3801,14.4700,0.293,
2017-06-15,14.4000,14.5600,14.3000,14.3800,0.279,
2017-06-16,14.2600,14.4300,14.0100,14.2500,0.168,
2017-06-19,14.2500,14.5800,14.1300,14.5500,0.107,
2017-06-20,14.5300,14.7800,14.5300,14.6100,0.117,
2017-06-21,14.7300,14.9200,14.5000,14.5600,0.109,
2017-06-22,14.5900,14.5900,14.2500,14.5500,0.059,
2017-06-23,14.5900,14.5900,14.2500,14.5100,0.031,
2017-06-26,14.5700,14.6400,14.2700,14.5300,0.389,
2017-06-27,14.5400,14.6100,14.1400,14.3300,0.075,
2017-06-28,14.3800,14.8900,14.2800,14.8600,0.171,
2017-06-29,14.8400,15.0000,14.6300,14.7300,0.106,
2017-06-30,14.8300,14.9500,14.6500,14.7600,0.024,
2017-07-03,14.8600,14.9400,14.6150,14.7900,0.080,
2017-07-05,14.6700,14.9000,14.2000,14.3700,0.098,
2017-07-06,14.2200,14.5100,14.0500,14.1000,0.083,
2017-07-07,14.1400,14.2600,13.8000,14.0100,0.223,
2017-07-10,14.0000,14.6900,13.9200,14.5200,0.120,
2017-07-11,14.4800,14.6900,14.0550,14.3000,0.053,
2017-07-12,14.2400,14.4200,14.0100,14.3500,0.092,
2017-07-13,14.4000,14.6600,14.2500,14.5400,0.070,
2017-07-14,14.5100,14.5825,14.2000,14.2500,0.042,
2017-07-17,14.2000,14.7200,14.2000,14.4200,0.054,
2017-07-18,14.5000,14.6850,14.3500,14.5100,0.227,
2017-07-19,14.5400,14.5500,14.2500,14.4700,0.072,
2017-07-20,14.5400,14.6000,14.1000,14.5500,0.016,15.013
2017-07-21,14.5000,14.7500,14.3900,14.5700,0.082,15.003
2017-07-24,14.5400,14.5400,14.1800,14.3000,0.030,14.985
2017-07-25,14.2100,14.6250,14.0334,14.5300,0.016,14.957
2017-07-26,14.5300,14.7900,14.5000,14.6500,0.090,14.921
2017-07-27,14.6000,14.8500,14.5300,14.6500,0.063,14.891
2017-07-28,14.6000,14.7250,14.4400,14.6200,0.029,14.864
2017-07-31,14.6000,15.4400,14.5100,14.9000,0.062,14.843
2017-08-01,15.1400,15.1400,14.6750,15.0000,0.131,14.823
2017-08-02,15.0000,15.4500,14.5800,14.9000,0.219,14.805
2017-08-03,15.0000,15.0700,14.7500,14.7700,0.033,14.781
2017-08-04,14.7500,15.1200,14.7200,15.1100,0.027,14.770
2017-08-07,15.0000,15.3600,14.5900,15.0000,0.047,14.749
2017-08-08,14.8900,15.2000,14.7000,15.0000,0.148,14.735
2017-08-09,14.8600,14.9200,14.4100,14.5300,0.095,14.711
2017-08-10,14.3800,14.5300,13.8000,13.8100,0.338,14.675
2017-08-11,13.6500,13.8900,13.5000,13.7500,0.224,14.637
2017-08-14,13.8800,14.0750,13.6700,14.0100,0.087,14.604
2017-08-15,13.9600,14.0650,13.9050,14.0500,0.035,14.575
2017-08-16,13.9850,14.3100,13.8849,14.2500,0.076,14.552
2017-08-17,14.1500,14.2900,14.0801,14.1100,0.055,14.532
2017-08-18,14.0450,14.3300,13.9100,14.1100,0.049,14.514
2017-08-21,14.0900,14.3500,13.9100,14.1000,0.050,14.491
2017-08-22,14.0721,14.1500,13.9350,14.0200,0.109,14.475
2017-08-23,14.1100,14.6000,13.9350,14.4600,0.081,14.469
2017-08-24,14.3500,14.5400,14.1000,14.2800,0.127,14.466
2017-08-25,14.3200,14.6400,13.9000,13.9900,0.124,14.458
2017-08-28,13.9900,14.5000,13.9200,14.3500,0.156,14.460
2017-08-29,14.3500,14.5600,14.0250,14.3800,0.098,14.456
2017-08-30,14.3000,14.5800,14.0900,14.4200,0.352,14.453
2017-08-31,14.3700,14.5000,14.0500,14.1500,0.296,14.444
2017-09-01,14.3200,14.4800,14.0000,14.2600,0.137,14.439
2017-09-05,14.3100,14.3700,13.5100,13.7300,0.132,14.423
2017-09-06,13.7300,13.8800,13.2500,13.4500,0.126,14.401
2017-09-07,13.4500,13.5200,13.1800,13.2600,0.119,14.380
2017-09-08,13.2700,13.6000,13.1200,13.3700,0.055,14.350
2017-09-11,13.5100,13.5600,13.2000,13.4200,0.069,14.324
2017-09-12,13.4500,13.6400,13.2800,13.4300,0.114,14.297
2017-09-13,13.3503,13.5800,13.3000,13.4100,0.084,14.270
2017-09-14,13.4200,13.4800,13.2200,13.3500,0.044,14.249
2017-09-15,13.4000,13.6900,13.2701,13.3700,0.101,14.235
2017-09-18,13.3400,13.9400,13.3000,13.5700,0.052,14.226
2017-09-19,13.6200,13.8400,13.4043,13.5300,0.023,14.206
2017-09-20,13.5400,13.8200,13.2800,13.6000,0.206,14.192
2017-09-21,13.5000,13.5800,13.2000,13.3500,0.320,14.172
2017-09-22,13.3700,13.6000,13.0100,13.0600,0.102,14.143
2017-09-25,13.2000,13.5500,13.0000,13.1700,0.099,14.121
2017-09-26,13.2300,13.7800,13.2300,13.5800,0.334,14.104
2017-09-27,13.5800,13.6225,13.3700,13.5000,0.024,14.084
2017-09-28,13.4400,13.8400,13.3100,13.5300,0.063,14.065
2017-09-29,13.5950,13.9000,13.4450,13.6400,0.128,14.047
2017-10-02,13.6100,13.8100,13.4800,13.5500,0.031,14.027
2017-10-03,13.6300,13.8700,13.4000,13.5100,0.197,14.011
2017-10-04,13.6300,13.6500,13.5300,13.5800,0.016,13.992
