DATE,OPEN,HIGH,LOW,CLOSE
2010-10-28,9.2831,9.2831,9.2784,9.2831
2010-10-29,9.2831,9.2970,9.2784,9.2831
2010-11-01,9.2877,9.2970,9.2784,9.2831
2010-11-02,9.2923,9.2923,9.2738,9.2923
2010-11-03,9.2970,9.3016,9.2784,9.3016
2010-11-04,9.3016,9.3202,9.2831,9.3202
2010-11-05,9.3109,9.3109,9.2784,9.2831
2010-11-08,9.2831,9.2831,9.2784,9.2784
2010-11-09,9.3063,9.3063,9.2784,9.2784
2010-11-10,9.2831,9.2831,9.2784,9.2784
2010-11-11,9.2784,9.2831,9.2784,9.2831
2010-11-12,9.2831,9.2831,9.2784,9.2784
2010-11-15,9.2784,9.2789,9.2784,9.2784
2010-11-16,9.2784,9.2831,9.2784,9.2785
2010-11-17,9.2831,9.2831,9.2784,9.2784
2010-11-18,9.2784,9.2831,9.2784,9.2784
2010-11-19,9.2784,9.2831,9.2784,9.2831
2010-11-22,9.2784,9.2831,9.2784,9.2784
2010-11-23,9.2784,9.2796,9.2784,9.2784
2010-11-24,9.2784,9.2831,9.2784,9.2784
2010-11-26,9.2830,9.2831,9.2784,9.2784
2010-11-29,9.2738,9.3016,9.2738,9.2784
2010-11-30,9.2784,9.3016,9.2784,9.2784
2010-12-01,9.2784,9.2831,9.2784,9.2784
2010-12-02,9.2784,9.2831,9.2784,9.2784
2010-12-03,9.2789,9.2796,9.2784,9.2784
2010-12-06,9.2784,9.2831,9.2784,9.2784
2010-12-07,9.2784,9.2831,9.2784,9.2784
2010-12-08,9.2784,9.2831,9.2784,9.2784
2010-12-09,9.1624,9.2274,8.7403,8.8145
2010-12-10,8.9212,8.9212,8.7217,8.8238
2010-12-13,8.8841,8.9026,8.7542,8.7913
2010-12-14,8.7588,8.8238,8.4387,8.5408
2010-12-15,8.4898,8.4898,8.2207,8.3691
2010-12-16,8.1604,8.2740,8.0490,8.2161
2010-12-17,8.1882,8.6521,8.1423,8.6521
2010-12-20,8.5779,8.5779,8.2532,8.2624
2010-12-21,8.2114,8.3413,8.1882,8.2532
2010-12-22,8.2160,8.4104,8.2160,8.3181
2010-12-23,8.2485,8.3923,8.2253,8.2578
2010-12-27,8.3459,8.3497,8.1465,8.2346
2010-12-28,8.2160,8.2810,8.1697,8.1790
2010-12-29,8.1882,8.3181,8.1882,8.3135
2010-12-30,8.2995,8.3227,8.2485,8.2671
2010-12-31,8.2392,8.4341,8.2346,8.4341
2011-01-03,8.4619,8.4619,8.3599,8.4294
2011-01-04,8.4666,8.5222,8.4202,8.5222
2011-01-05,8.4898,8.5547,8.4612,8.5176
2011-01-06,8.5269,8.5408,8.4387,8.5106
2011-01-07,8.5454,8.5454,8.4016,8.5269
2011-01-10,8.5361,8.5361,8.4434,8.4944
2011-01-11,8.5315,8.5315,8.4805,8.4852
2011-01-12,8.5073,8.5120,8.4279,8.4513
2011-01-13,8.4513,8.4513,8.4135,8.4373
2011-01-14,8.4279,8.4933,8.3952,8.4513
2011-01-18,8.4139,8.4653,8.3906,8.4046
2011-01-19,8.4419,8.4419,8.3859,8.3953
2011-01-20,8.4232,8.4466,8.3728,8.4372
2011-01-21,8.4559,8.4793,8.4046,8.4092
2011-01-24,8.4793,8.5073,8.4195,8.4746
2011-01-25,8.4933,8.5353,8.4692,8.5306
2011-01-26,8.5166,8.5539,8.4839,8.5213
2011-01-27,8.4979,8.5446,8.4606,8.5286
2011-01-28,8.5400,8.5400,8.4139,8.4839
2011-01-31,8.5166,8.5400,8.4513,8.4979
2011-02-01,8.5213,8.5446,8.4606,8.5166
2011-02-02,8.5166,8.5400,8.4980,8.5260
2011-02-03,8.5260,8.5633,8.5232,8.5493
2011-02-04,8.5494,8.5494,8.4746,8.5260
2011-02-07,8.5400,8.5449,8.4746,8.5446
2011-02-08,8.5820,8.6380,8.5213,8.6287
2011-02-09,8.5680,8.6333,8.5680,8.6007
2011-02-10,8.6147,8.7081,8.5773,8.6754
2011-02-11,8.6127,8.7160,8.5798,8.7113
2011-02-14,8.7066,8.7254,8.6690,8.7020
2011-02-15,8.7113,8.7724,8.6690,8.7254
2011-02-16,8.7254,8.7583,8.5281,8.6690
2011-02-17,8.6831,8.7442,8.6221,8.7348
2011-02-18,8.7489,8.8324,8.7019,8.7912
2011-02-22,8.7818,8.8006,8.4764,8.5939
2011-02-23,8.6596,8.6596,8.4247,8.6033
2011-02-24,8.6127,8.6737,8.5328,8.5798
2011-02-25,8.6314,8.6925,8.5751,8.5986
2011-02-28,8.6314,8.6878,8.6258,8.6408
2011-03-01,8.6549,8.6643,8.6033,8.6314
2011-03-02,8.6502,8.7348,8.6221,8.6640
2011-03-03,8.6080,8.6690,8.5751,8.6455
2011-03-04,8.5610,8.7066,8.5610,8.6221
2011-03-07,8.6549,8.6878,8.5892,8.6408
2011-03-08,8.6221,8.6784,8.5845,8.6737
2011-03-09,8.6361,8.6831,8.6033,8.6174
2011-03-10,8.5986,8.6361,8.5981,8.6220
2011-03-11,8.6114,8.6681,8.5830,8.5924
2011-03-14,8.6208,8.6728,8.5735,8.6153
2011-03-15,8.5877,8.6539,8.4695,8.5972
2011-03-16,8.6066,8.6587,8.5641,8.6114
2011-03-17,8.6445,8.6870,8.5877,8.6728
2011-03-18,8.7154,8.7546,8.6551,8.7249
2011-03-21,8.7674,8.7674,8.5735,8.6492
2011-03-22,8.6823,8.7012,8.4742,8.5783
2011-03-23,8.5688,8.6445,8.5688,8.6445
2011-03-24,8.6161,8.6776,8.5830,8.5877
2011-03-25,8.6256,8.6256,8.5121,8.5404
2011-03-28,8.5593,8.6019,8.5499,8.5972
2011-03-29,8.6066,8.6634,8.5688,8.6634
2011-03-30,8.6634,8.6634,8.6256,8.6397
2011-03-31,8.6681,8.7485,8.6019,8.7485
2011-04-01,8.7674,8.7674,8.6728,8.7438
2011-04-04,8.7343,8.7609,8.6769,8.6870
2011-04-05,8.7249,8.7249,8.6539,8.6587
2011-04-06,8.7107,8.7201,8.6870,8.7201
2011-04-07,8.7154,8.7769,8.6634,8.7296
2011-04-08,8.7107,8.7201,8.6653,8.6776
2011-04-11,8.7154,8.7154,8.6114,8.6776
2011-04-12,8.6681,8.7201,8.6161,8.6492
2011-04-13,8.6527,8.6737,8.5861,8.6194
2011-04-14,8.6194,8.6242,8.5861,8.6027
2011-04-15,8.6004,8.6432,8.6004,8.6289
2011-04-18,8.6337,8.6432,8.6004,8.6194
2011-04-19,8.6194,8.7051,8.6194,8.6622
2011-04-20,8.7289,8.7289,8.6480,8.6563
2011-04-21,8.6956,8.7479,8.6670,8.7241
2011-04-25,8.7384,8.7384,8.6718,8.7336
2011-04-26,8.7289,8.7765,8.7051,8.7717
2011-04-27,8.7765,8.8003,8.7432,8.8003
2011-04-28,8.8288,8.9526,8.7955,8.8669
2011-04-29,8.9097,8.9573,8.8764,8.9002
2011-05-02,8.9478,8.9478,8.8526,8.8621
2011-05-03,8.8859,8.8907,8.8574,8.8669
2011-05-04,8.8859,8.9716,8.8664,8.9335
2011-05-05,8.9240,8.9573,8.9002,8.9573
2011-05-06,8.9573,9.0192,8.9430,8.9906
2011-05-09,9.0002,9.0478,8.9954,9.0049
2011-05-10,9.0525,9.0716,8.9954,9.0525
2011-05-11,9.0843,9.0987,8.9934,9.0939
2011-05-12,9.0652,9.1370,9.0556,9.1130
2011-05-13,9.1370,9.1705,9.0987,9.1131
2011-05-16,9.1274,9.1466,9.0796,9.1227
2011-05-17,9.1179,9.1480,9.1131,9.1466
2011-05-18,9.1610,9.2280,9.1514,9.1801
2011-05-19,9.1897,9.2951,9.1466,9.2759
2011-05-20,9.3046,9.3286,9.2627,9.3190
2011-05-23,9.3046,9.3286,9.2511,9.2807
2011-05-24,9.2807,9.3334,9.2089,9.2089
2011-05-25,9.2041,9.2759,9.1610,9.2520
2011-05-26,9.2184,9.3382,9.2136,9.2998
2011-05-27,9.3046,9.3257,9.2567,9.2855
2011-05-31,9.3142,9.3573,9.3029,9.3573
2011-06-01,9.2855,9.4627,9.2855,9.4100
2011-06-02,9.3908,9.4100,9.2807,9.2998
2011-06-03,9.2855,9.3382,9.2855,9.3217
2011-06-06,9.2903,9.4052,9.2855,9.4052
2011-06-07,9.3621,9.3860,9.2807,9.3429
2011-06-08,9.3621,9.4339,9.3110,9.4196
2011-06-09,9.3813,9.4483,9.2759,9.2855
2011-06-10,9.2951,9.3621,9.2711,9.3573
2011-06-13,9.3557,9.3990,9.2738,9.3894
2011-06-14,9.3701,9.3942,9.2738,9.3622
2011-06-15,9.3268,9.3894,9.3219,9.3424
2011-06-16,9.3846,9.4183,9.3412,9.4087
2011-06-17,9.4183,9.4183,9.2786,9.3605
2011-06-20,9.3123,9.4809,9.3027,9.4520
2011-06-21,9.4713,9.4713,9.3316,9.3701
2011-06-22,9.3894,9.4520,9.3894,9.4327
2011-06-23,9.4183,9.4520,9.4087,9.4408
2011-06-24,9.4617,9.4617,9.4183,9.4424
2011-06-27,9.4568,9.5580,9.4183,9.4809
2011-06-28,9.4761,9.4857,9.3075,9.3894
2011-06-29,9.3894,9.4135,9.3075,9.3942
2011-06-30,9.4376,9.4568,9.3605,9.4376
2011-07-01,9.4761,9.4761,9.3846,9.4183
2011-07-05,9.4231,9.4713,9.3749,9.4183
2011-07-06,9.4376,9.4713,9.3749,9.4376
2011-07-07,9.4376,9.4713,9.4183,9.4231
2011-07-08,9.3701,9.4665,9.3701,9.4038
2011-07-11,9.4087,9.4520,9.3942,9.3990
2011-07-12,9.4231,9.4761,9.4087,9.4761
2011-07-13,9.4653,9.4847,9.3737,9.4195
2011-07-14,9.4217,9.4992,9.3891,9.4992
2011-07-15,9.5332,9.5913,9.4459,9.5865
2011-07-18,9.5477,9.5768,9.3974,9.4798
2011-07-19,9.4720,9.5041,9.4314,9.4992
2011-07-20,9.4459,9.5041,9.4362,9.5041
2011-07-21,9.4944,9.4992,9.4508,9.4556
2011-07-22,9.4653,9.4992,9.4556,9.4895
2011-07-25,9.4653,9.4653,9.3829,9.3853
2011-07-26,9.3781,9.4217,9.3151,9.3684
2011-07-27,9.3102,9.3403,9.2375,9.2569
2011-07-28,9.2957,9.3538,9.2472,9.3054
2011-07-29,9.2472,9.3490,9.1309,9.3441
2011-08-01,9.4411,9.4847,9.3974,9.4459
2011-08-02,9.4653,9.6689,9.4508,9.5525
2011-08-03,9.5380,9.6204,9.5332,9.6155
2011-08-04,9.5865,9.6301,9.4168,9.4750
2011-08-05,9.4314,9.5138,9.3781,9.4314
2011-08-08,9.2181,9.2908,8.9516,9.2133
