DATE,OPEN,HIGH,LOW,CLOSE
1977-01-03,0.3071,0.3113,0.3071,0.3099
1977-01-04,0.3099,0.3113,0.3049,0.3056
1977-01-05,0.3056,0.3064,0.3014,0.3014
1977-01-06,0.3014,0.3042,0.3014,0.3020
1977-01-07,0.3014,0.3014,0.2957,0.2993
1977-01-10,0.2978,0.2978,0.2957,0.2964
1977-01-11,0.2957,0.2957,0.2886,0.2886
1977-01-12,0.2886,0.2886,0.2800,0.2829
1977-01-13,0.2829,0.2829,0.2786,0.2808
1977-01-14,0.2808,0.2971,0.2800,0.2971
1977-01-17,0.2964,0.2964,0.2943,0.2957
1977-01-18,0.2957,0.3056,0.2943,0.3056
1977-01-19,0.3085,0.3213,0.3085,0.3213
1977-01-20,0.3213,0.3291,0.3198,0.3241
1977-01-21,0.3241,0.3298,0.3213,0.3213
1977-01-24,0.3213,0.3213,0.3170,0.3184
1977-01-25,0.3198,0.3255,0.3198,0.3198
1977-01-26,0.3198,0.3213,0.3170,0.3184
1977-01-27,0.3184,0.3198,0.3156,0.3170
1977-01-28,0.3170,0.3198,0.3170,0.3184
1977-01-31,0.3213,0.3291,0.3213,0.3291
1977-02-01,0.3291,0.3362,0.3291,0.3333
1977-02-02,0.3341,0.3426,0.3341,0.3391
1977-02-03,0.3391,0.3391,0.3341,0.3391
1977-02-04,0.3404,0.3469,0.3404,0.3426
1977-02-07,0.3426,0.3454,0.3369,0.3404
1977-02-08,0.3404,0.3404,0.3326,0.3383
1977-02-09,0.3362,0.3362,0.3227,0.3305
1977-02-10,0.3305,0.3312,0.3255,0.3284
1977-02-11,0.3284,0.3284,0.3206,0.3220
1977-02-14,0.3220,0.3262,0.3184,0.3249
1977-02-15,0.3255,0.3291,0.3255,0.3255
1977-02-16,0.3270,0.3355,0.3270,0.3326
1977-02-17,0.3333,0.3355,0.3333,0.3333
1977-02-18,0.3326,0.3326,0.3298,0.3326
1977-02-22,0.3326,0.3326,0.3298,0.3326
1977-02-23,0.3320,0.3320,0.3255,0.3255
1977-02-24,0.3255,0.3255,0.3177,0.3177
1977-02-25,0.3177,0.3184,0.3127,0.3170
1977-02-28,0.3170,0.3213,0.3170,0.3213
1977-03-01,0.3227,0.3312,0.3227,0.3298
1977-03-02,0.3298,0.3312,0.3291,0.3298
1977-03-03,0.3298,0.3383,0.3298,0.3298
1977-03-04,0.3284,0.3284,0.3255,0.3255
