DATE,OPEN,HIGH,LOW,CLOSE
2009-11-24,8.3500,8.3709,8.3500,8.3625
2009-11-25,8.3500,8.3667,8.3500,8.3500
2009-11-27,8.3500,8.3500,8.3500,8.3500
2009-11-30,8.3500,8.3584,8.3500,8.3500
2009-12-01,8.3500,8.3625,8.3500,8.3584
2009-12-02,8.3584,8.3584,8.3500,8.3500
2009-12-03,8.3500,8.3584,8.3500,8.3500
2009-12-04,8.3625,8.3625,8.3500,8.3500
2009-12-07,8.3542,8.3542,8.3500,8.3500
2009-12-08,8.3500,8.3542,8.3500,8.3500
2009-12-09,8.3542,8.3584,8.3500,8.3584
2009-12-10,8.3500,8.3542,8.3500,8.3500
2009-12-11,8.3584,8.3584,8.3500,8.3500
2009-12-14,8.3584,8.3584,8.3500,8.3500
2009-12-15,8.3458,8.3584,8.3458,8.3500
2009-12-16,8.3500,8.3584,8.3500,8.3500
2009-12-17,8.3500,8.3834,8.3500,8.3751
2009-12-18,8.3500,8.3542,8.3500,8.3542
2009-12-21,8.3918,8.3918,8.3500,8.3500
2009-12-22,8.3500,8.3500,8.3500,8.3500
2009-12-23,8.3500,8.3584,8.3500,8.3500
2009-12-24,8.3500,8.3542,8.3500,8.3500
2009-12-28,8.3500,8.3584,8.3500,8.3584
2009-12-29,8.3500,8.3500,8.3500,8.3500
2009-12-30,8.3500,8.3542,8.3500,8.3500
2009-12-31,8.3500,8.3500,8.3500,8.3500
2010-01-04,8.3500,8.3542,8.3500,8.3500
2010-01-05,8.3500,8.3542,8.3500,8.3500
2010-01-06,8.3500,8.3584,8.3500,8.3500
2010-01-07,8.3500,8.3542,8.0494,8.0494
2010-01-08,8.0411,8.2832,8.0202,8.2790
2010-01-11,8.2749,8.2874,8.2248,8.2623
2010-01-12,8.2498,8.2790,8.2164,8.2248
2010-01-13,8.2373,8.3876,8.2373,8.2707
2010-01-14,8.2707,8.2916,8.2707,8.2874
2010-01-15,8.2999,8.3124,8.1747,8.1747
2010-01-19,8.2582,8.2665,8.2122,8.2248
2010-01-20,8.3803,8.3803,8.1491,8.2206
2010-01-21,8.2626,8.2752,8.1491,8.2164
2010-01-22,8.2752,8.2752,8.0273,8.0399
2010-01-25,8.0861,8.1029,7.9096,8.0273
2010-01-26,8.0609,8.0777,7.9012,7.9642
