DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1986-07-09,0.2192,0.2192,0.2171,0.2171,1.231,
1986-07-10,0.2192,0.2192,0.2171,0.2171,1.550,
1986-07-11,0.2171,0.2192,0.2089,0.2089,1.673,
1986-07-14,0.2068,0.2089,0.1923,0.1923,1.525,
1986-07-15,0.1944,0.1944,0.1778,0.1882,3.396,
1986-07-16,0.1902,0.1944,0.1861,0.1944,1.436,
1986-07-17,0.1964,0.2006,0.1923,0.2006,0.628,
1986-07-18,0.2006,0.2026,0.1985,0.2006,0.829,
1986-07-21,0.1985,0.2151,0.1985,0.2130,1.489,
1986-07-22,0.2151,0.2213,0.2151,0.2151,5.002,
1986-07-23,0.2171,0.2171,0.2089,0.2171,1.376,
1986-07-24,0.2192,0.2192,0.2151,0.2171,0.684,
1986-07-25,0.2151,0.2171,0.2089,0.2109,0.392,
1986-07-28,0.2130,0.2130,0.2068,0.2068,0.997,
1986-07-29,0.2058,0.2068,0.2026,0.2026,1.231,
1986-07-30,0.2026,0.2068,0.1923,0.1964,0.587,
1986-07-31,0.1923,0.1964,0.1902,0.1902,0.555,
1986-08-01,0.1902,0.1964,0.1758,0.1758,1.231,
1986-08-04,0.1778,0.1778,0.1675,0.1778,3.084,
1986-08-05,0.1758,0.1799,0.1758,0.1778,1.033,
1986-08-06,0.1799,0.1799,0.1778,0.1799,0.233,
1986-08-07,0.1799,0.1840,0.1778,0.1840,1.681,
1986-08-08,0.1840,0.1882,0.1840,0.1882,0.347,
1986-08-11,0.1882,0.2026,0.1840,0.2026,0.962,
1986-08-12,0.2047,0.2151,0.2047,0.2130,1.106,
1986-08-13,0.2130,0.2130,0.2089,0.2089,0.614,
1986-08-14,0.2109,0.2109,0.2068,0.2068,2.041,
1986-08-15,0.2109,0.2109,0.2047,0.2068,0.432,
1986-08-18,0.2109,0.2130,0.2089,0.2130,5.052,
1986-08-19,0.2151,0.2192,0.2130,0.2192,2.603,
1986-08-20,0.2192,0.2192,0.2151,0.2151,0.547,
1986-08-21,0.2192,0.2192,0.2130,0.2171,1.243,
1986-08-22,0.2171,0.2171,0.2151,0.2171,1.641,
1986-08-25,0.2151,0.2171,0.2130,0.2171,0.608,
1986-08-26,0.2171,0.2171,0.2151,0.2151,0.921,
1986-08-27,0.2151,0.2151,0.2089,0.2130,1.525,
