DATE,OPEN,HIGH,LOW,CLOSE
1988-03-17,0.4024,0.4073,0.4024,0.4024
1988-03-18,0.4024,0.4073,0.4024,0.4024
1988-03-21,0.4024,0.4073,0.4024,0.4024
1988-03-22,0.4024,0.4073,0.4024,0.4024
1988-03-23,0.4024,0.4073,0.4024,0.4024
1988-03-24,0.4024,0.4073,0.4024,0.4024
1988-03-25,0.4024,0.4073,0.4024,0.4024
1988-03-28,0.4024,0.4073,0.4024,0.4073
1988-03-29,0.4073,0.4073,0.4024,0.4073
1988-03-30,0.4024,0.4073,0.4024,0.4024
1988-03-31,0.4024,0.4073,0.4024,0.4024
1988-04-04,0.4073,0.4073,0.4024,0.4024
1988-04-05,0.4024,0.4073,0.4024,0.4073
1988-04-06,0.4073,0.4073,0.4024,0.4024
1988-04-07,0.4073,0.4073,0.4024,0.4073
1988-04-08,0.4024,0.4073,0.4024,0.4073
1988-04-11,0.4024,0.4073,0.4024,0.4073
1988-04-12,0.4024,0.4073,0.4024,0.4024
1988-04-13,0.4073,0.4073,0.4024,0.4073
1988-04-14,0.4024,0.4073,0.4024,0.4024
1988-04-15,0.4024,0.4073,0.4024,0.4073
1988-04-18,0.4024,0.4073,0.4024,0.4024
1988-04-19,0.4024,0.4073,0.4024,0.4024
1988-04-20,0.4073,0.4073,0.4024,0.4073
1988-04-21,0.4073,0.4073,0.4024,0.4073
1988-04-22,0.4024,0.4073,0.4024,0.4073
1988-04-25,0.4073,0.4073,0.4024,0.4073
1988-04-26,0.4073,0.4073,0.4024,0.4073
1988-04-27,0.4073,0.4073,0.4024,0.4024
1988-04-28,0.4024,0.4073,0.4024,0.4073
1988-04-29,0.4024,0.4073,0.4024,0.4024
1988-05-02,0.4024,0.4073,0.4024,0.4024
1988-05-03,0.4073,0.4073,0.4024,0.4024
1988-05-04,0.4073,0.4073,0.4024,0.4073
1988-05-05,0.4024,0.4073,0.4024,0.4073
1988-05-06,0.4073,0.4073,0.4024,0.4073
1988-05-09,0.4073,0.4073,0.4024,0.4073
1988-05-10,0.4058,0.4107,0.4010,0.4058
1988-05-11,0.4010,0.4058,0.4010,0.4010
1988-05-12,0.4058,0.4107,0.4058,0.4058
1988-05-13,0.4107,0.4107,0.4058,0.4107
1988-05-16,0.4107,0.4107,0.4058,0.4058
1988-05-17,0.4107,0.4107,0.4058,0.4058
1988-05-18,0.4058,0.4160,0.4058,0.4160
1988-05-19,0.4107,0.4160,0.4058,0.4107
1988-05-20,0.4107,0.4107,0.4058,0.4107
1988-05-23,0.4058,0.4107,0.4058,0.4058
1988-05-24,0.4107,0.4107,0.4058,0.4107
1988-05-25,0.4107,0.4107,0.4058,0.4058
1988-05-26,0.4058,0.4107,0.4058,0.4107
1988-05-27,0.4107,0.4107,0.4058,0.4107
1988-05-31,0.4107,0.4107,0.4058,0.4058
1988-06-01,0.4107,0.4107,0.4058,0.4058
1988-06-02,0.4107,0.4107,0.4058,0.4107
1988-06-03,0.4107,0.4160,0.4058,0.4107
1988-06-06,0.4107,0.4107,0.4058,0.4058
1988-06-07,0.4058,0.4107,0.4058,0.4058
1988-06-08,0.4058,0.4107,0.4058,0.4107
1988-06-09,0.4107,0.4107,0.4058,0.4107
1988-06-10,0.4093,0.4142,0.4093,0.4142
1988-06-13,0.4093,0.4142,0.4093,0.4093
1988-06-14,0.4093,0.4142,0.4093,0.4093
1988-06-15,0.4142,0.4142,0.4093,0.4142
1988-06-16,0.4142,0.4142,0.4093,0.4142
1988-06-17,0.4142,0.4142,0.4093,0.4142
1988-06-20,0.4142,0.4142,0.4093,0.4093
1988-06-21,0.4093,0.4142,0.4093,0.4093
1988-06-22,0.4142,0.4142,0.4093,0.4093
1988-06-23,0.4142,0.4297,0.4093,0.4142
1988-06-24,0.4142,0.4142,0.4093,0.4142
1988-06-27,0.4093,0.4142,0.4093,0.4142
1988-06-28,0.4142,0.4142,0.4093,0.4142
1988-06-29,0.4142,0.4142,0.4093,0.4142
1988-06-30,0.4093,0.4142,0.4093,0.4093
1988-07-01,0.4142,0.4142,0.4093,0.4142
1988-07-05,0.4093,0.4142,0.4093,0.4093
1988-07-06,0.4093,0.4142,0.4093,0.4093
1988-07-07,0.4093,0.4142,0.4093,0.4142
1988-07-08,0.4142,0.4142,0.4093,0.4093
1988-07-11,0.4078,0.4177,0.4078,0.4078
1988-07-12,0.4128,0.4128,0.4078,0.4078
