DATE,OPEN,HIGH,LOW,CLOSE
2005-09-29,5.2264,5.3247,4.9149,4.9546
2005-09-30,4.9651,5.0069,4.8815,4.9337
2005-10-03,4.9546,5.0801,4.8815,5.0592
2005-10-04,5.1010,5.1595,4.9964,4.9985
2005-10-05,5.0174,5.0174,4.8522,4.8856
2005-10-06,4.8815,4.8815,4.6390,4.6431
2005-10-07,4.6829,4.7937,4.6620,4.7728
2005-10-10,4.7978,4.7978,4.6829,4.7038
2005-10-11,4.6933,4.7769,4.6933,4.7205
2005-10-12,4.7519,4.7665,4.6829,4.7351
2005-10-13,4.7393,4.7393,4.4947,4.6097
2005-10-14,4.5888,4.5888,4.4947,4.5365
2005-10-17,4.5365,4.6390,4.5365,4.6097
2005-10-18,4.5992,4.6515,4.5992,4.6327
2005-10-19,4.6306,4.6306,4.4445,4.6097
2005-10-20,4.5888,4.6264,4.5553,4.5553
2005-10-21,4.4738,4.5971,4.4475,4.4947
2005-10-24,4.4947,4.5951,4.4947,4.5783
2005-10-25,4.5971,4.6201,4.5971,4.5992
2005-10-26,4.5888,4.6160,4.4947,4.5783
2005-10-27,4.5888,4.5888,4.5261,4.5261
2005-10-28,4.5470,4.5679,4.5261,4.5365
2005-10-31,4.5261,4.5574,4.5052,4.5219
2005-11-01,4.5679,4.5992,4.5010,4.5428
2005-11-02,4.5470,4.5470,4.4487,4.4550
2005-11-03,4.4424,4.4424,4.3066,4.3609
2005-11-04,4.3484,4.3902,4.2459,4.3546
2005-11-07,4.3170,4.3797,4.2963,4.3567
2005-11-08,4.4090,4.4843,4.3693,4.3735
2005-11-09,4.3693,4.4422,4.2647,4.4111
2005-11-10,4.4738,4.5052,4.3693,4.4215
2005-11-11,4.3693,4.4634,4.3379,4.4215
2005-11-14,4.4445,4.5637,4.4278,4.4947
2005-11-15,4.5052,4.5219,4.3087,4.3379
2005-11-16,4.3275,4.3275,4.2752,4.2752
2005-11-17,4.2752,4.2752,4.1602,4.2334
