DATE,OPEN,HIGH,LOW,CLOSE
2007-07-27,3.9850,3.9870,3.9850,3.9850
2007-07-30,3.9850,3.9870,3.9850,3.9850
2007-07-31,3.9870,3.9870,3.9850,3.9870
2007-08-01,3.9850,3.9949,3.9850,3.9850
2007-08-02,3.9850,3.9949,3.9352,3.9352
2007-08-03,3.9352,3.9432,3.9013,3.9112
2007-08-06,3.8953,3.8999,3.8555,3.8754
2007-08-07,3.8654,3.8853,3.8575,3.8575
2007-08-08,3.8654,3.8754,3.8555,3.8614
2007-08-09,3.8256,3.9352,3.8256,3.9232
2007-08-10,3.9053,3.9252,3.8355,3.8355
2007-08-13,3.8614,3.8654,3.8256,3.8355
2007-08-14,3.8654,3.9312,3.7857,3.7857
2007-08-15,3.8256,3.8256,3.7857,3.8096
2007-08-16,3.8455,3.8455,3.3374,3.5566
2007-08-17,3.5865,3.6044,3.5685,3.5745
2007-08-20,3.6044,3.7538,3.5964,3.7459
2007-08-21,3.7459,3.7500,3.7060,3.7459
2007-08-22,3.7658,3.8056,3.7658,3.7957
2007-08-23,3.7957,3.8335,3.7937,3.8056
2007-08-24,3.7857,3.8156,3.7857,3.8116
2007-08-27,3.8116,3.8156,3.7957,3.8156
2007-08-28,3.8056,3.8056,3.6243,3.6283
2007-08-29,3.6363,3.7359,3.6363,3.7060
2007-08-30,3.7020,3.7020,3.6443,3.6662
2007-08-31,3.6861,3.6861,3.6064,3.6104
2007-09-04,3.5267,3.5944,3.5267,3.5267
2007-09-05,3.5267,3.5566,3.4868,3.5466
2007-09-06,3.5646,3.6263,3.5367,3.6024
2007-09-07,3.5865,3.6462,3.5865,3.6263
2007-09-10,3.6462,3.6662,3.6263,3.6403
2007-09-11,3.6462,3.6841,3.6462,3.6662
2007-09-12,3.6484,3.6846,3.6444,3.6745
2007-09-13,3.6705,3.6745,3.6143,3.6364
2007-09-14,3.6364,3.6926,3.5842,3.6725
2007-09-17,3.6725,3.6725,3.6143,3.6163
2007-09-18,3.5962,3.6645,3.5460,3.6464
2007-09-19,3.6444,3.6545,3.6043,3.6545
2007-09-20,3.6745,3.6745,3.6043,3.6645
2007-09-21,3.6605,3.6900,3.6565,3.6645
2007-09-24,3.6545,3.6826,3.6545,3.6699
2007-09-25,3.6846,3.6886,3.5561,3.5942
2007-09-26,3.6123,3.6725,3.6123,3.6263
2007-09-27,3.6765,3.6765,3.5601,3.5962
2007-09-28,3.5942,3.6498,3.5942,3.6424
2007-10-01,3.6143,3.6745,3.6063,3.6645
2007-10-02,3.6685,3.6926,3.6565,3.6665
2007-10-03,3.6745,3.6745,3.6143,3.6344
2007-10-04,3.6344,3.6745,3.6063,3.6645
2007-10-05,3.6243,3.6745,3.6043,3.6545
2007-10-08,3.6665,3.6906,3.5762,3.6123
2007-10-09,3.6243,3.6284,3.5882,3.6123
