DATE,OPEN,HIGH,LOW,CLOSE
2001-01-16,3.5561,3.5561,3.5561,3.5561
2001-01-17,3.5561,3.5561,3.5561,3.5561
2001-01-18,3.6320,3.8691,3.6320,3.8691
2001-01-19,3.9070,4.0493,3.9070,4.0493
2001-01-22,4.0303,4.3432,4.0303,4.3053
2001-01-23,4.2674,4.5234,4.2674,4.3812
2001-01-24,4.3432,4.3432,4.3053,4.3053
2001-01-25,4.3622,4.3812,4.3432,4.3812
2001-01-26,4.3432,4.3527,4.3432,4.3432
2001-01-29,4.3907,4.4452,4.3622,4.4333
2001-01-30,4.4333,4.4333,4.3503,4.4096
2001-01-31,4.4333,4.5163,4.4333,4.4452
2001-02-01,4.5044,5.0260,4.4476,4.9549
2001-02-02,4.9193,4.9786,4.8838,4.9383
2001-02-05,4.9430,5.0853,4.7226,4.7344
2001-02-06,4.7178,4.7463,4.6823,4.6823
2001-02-07,4.6704,4.7415,4.6585,4.7415
2001-02-08,4.7415,4.7795,4.6230,4.6230
2001-02-09,4.6230,4.6823,4.6230,4.6823
2001-02-12,4.6823,4.6823,4.5756,4.5756
2001-02-13,4.5756,4.6325,4.5637,4.5637
2001-02-14,4.5637,4.5637,4.5210,4.5234
2001-02-15,4.5282,4.5400,4.3385,4.3385
2001-02-16,4.2911,4.2911,4.1251,4.2840
2001-02-20,4.2840,4.3029,4.2223,4.2887
2001-02-21,4.2887,4.2887,4.2437,4.2863
2001-02-22,4.2863,4.3006,4.2437,4.2745
2001-02-23,4.2911,4.4333,4.2674,4.3741
2001-02-26,4.3859,4.5329,4.3859,4.5044
2001-02-27,4.5044,4.5044,4.4807,4.4807
2001-02-28,4.4807,4.5044,4.4689,4.5044
2001-03-01,4.4807,4.4807,4.4333,4.4333
2001-03-02,4.4452,4.4594,4.4333,4.4476
2001-03-05,4.4452,4.5163,4.4452,4.5068
2001-03-06,4.5068,4.5282,4.4570,4.4570
2001-03-07,4.4570,4.5021,4.4570,4.5021
2001-03-08,4.4997,4.4997,4.4570,4.4570
2001-03-09,4.4570,4.4594,4.4333,4.4523
2001-03-12,4.4523,4.4807,4.4215,4.4333
2001-03-13,4.4689,4.4689,4.3741,4.3741
2001-03-14,4.3741,4.3978,4.2366,4.2437
2001-03-15,4.2200,4.2200,4.0659,4.1322
2001-03-16,4.1607,4.2200,4.1133,4.1133
2001-03-19,4.0659,4.2081,4.0659,4.0777
2001-03-20,4.1014,4.1631,4.0303,4.0540
2001-03-21,4.0540,4.0777,3.8525,3.9473
2001-03-22,4.0896,4.2318,4.0303,4.2318
2001-03-23,4.2437,4.3385,4.2437,4.3385
2001-03-26,4.3741,4.3859,4.3338,4.3859
2001-03-27,4.3622,4.3741,4.2982,4.3503
2001-03-28,4.3385,4.3622,4.2318,4.2318
2001-03-29,4.2200,4.2200,4.1014,4.1014
2001-03-30,4.1014,4.3859,4.1014,4.3859
2001-04-02,4.3622,4.3622,4.1962,4.2200
2001-04-03,4.2200,4.2674,4.1370,4.2674
2001-04-04,4.2318,4.2674,4.2081,4.2650
2001-04-05,4.2674,4.2958,4.2508,4.2958
2001-04-06,4.2840,4.4902,4.2674,4.4689
2001-04-09,4.4713,4.4950,4.3741,4.4120
2001-04-10,4.4357,4.5282,4.4357,4.5163
2001-04-11,4.6230,4.9549,4.6230,4.9549
2001-04-12,4.9004,5.2987,4.9004,5.2987
2001-04-16,5.2868,5.2868,5.0877,5.0971
2001-04-17,5.0734,5.1564,4.9928,5.0971
2001-04-18,4.9786,5.0758,4.9786,5.0450
2001-04-19,5.0213,5.0450,4.8980,5.0355
2001-04-20,5.0734,5.1683,4.9667,4.9786
2001-04-23,5.0023,5.0023,4.9430,4.9549
2001-04-24,4.9502,4.9620,4.9193,4.9549
2001-04-25,4.9549,5.0142,4.9549,4.9905
2001-04-26,4.9928,5.0142,4.9573,4.9739
2001-04-27,4.9762,4.9810,4.9596,4.9786
2001-04-30,4.9312,5.1208,4.9193,5.0142
2001-05-01,5.0142,5.7799,5.0142,5.6566
2001-05-02,5.6898,5.9151,5.5002,5.7989
2001-05-03,5.7610,5.7847,5.6424,5.6898
2001-05-04,5.6543,5.7372,5.6424,5.6851
2001-05-07,5.7135,5.8084,5.7135,5.7823
2001-05-08,5.8084,5.9672,5.8084,5.9672
2001-05-09,5.9506,5.9506,5.7491,5.7491
2001-05-10,5.7017,5.7254,5.6163,5.6163
2001-05-11,5.6400,5.6400,5.4528,5.4551
2001-05-14,5.4883,5.7135,5.3413,5.7064
2001-05-15,5.7347,5.9341,5.7347,5.8653
2001-05-16,5.8534,5.9840,5.8178,5.9484
2001-05-17,5.9650,6.2215,5.9650,6.1977
2001-05-18,6.1740,6.2215,6.1668,6.1740
2001-05-21,6.1502,6.2452,6.1027,6.2452
2001-05-22,6.2927,6.5776,6.2286,6.2927
2001-05-23,6.2808,6.2927,6.1383,6.1502
2001-05-24,6.1502,6.1502,5.8534,5.9602
2001-05-25,5.9602,6.0315,5.9602,6.0315
2001-05-29,6.0196,6.1146,6.0077,6.0434
2001-05-30,6.0434,6.1740,6.0434,6.1645
2001-05-31,6.1740,6.3402,6.1740,6.2452
2001-06-01,6.2452,6.2689,6.1763,6.1858
2001-06-04,6.2096,6.3639,6.2096,6.3639
2001-06-05,6.4589,6.4589,6.3164,6.4352
2001-06-06,6.4233,6.4684,6.3901,6.4375
2001-06-07,6.4138,6.5776,6.4114,6.5349
2001-06-08,6.5064,6.5183,6.4827,6.4945
2001-06-11,6.4922,6.4945,6.3877,6.3996
2001-06-12,6.3877,6.5302,6.3758,6.5064
2001-06-13,6.5183,6.7201,6.5135,6.5895
2001-06-14,6.5919,6.6251,6.4827,6.5183
2001-06-15,6.4827,6.5302,6.4090,6.4352
2001-06-18,6.4827,6.5776,6.4352,6.5064
2001-06-19,6.5064,6.5183,6.4233,6.4352
