DATE,OPEN,HIGH,LOW,CLOSE
1999-07-12,1.5498,1.5498,1.3424,1.3524
1999-07-13,1.3424,1.3524,1.2635,1.2832
1999-07-14,1.2931,1.2931,1.2339,1.2437
1999-07-15,1.2437,1.2734,1.2240,1.2437
1999-07-16,1.2537,1.2635,1.2339,1.2437
1999-07-19,1.2537,1.2635,1.2437,1.2437
1999-07-20,1.2537,1.2537,1.2437,1.2537
1999-07-21,1.2437,1.2635,1.2339,1.2339
1999-07-22,1.2437,1.2437,1.2240,1.2339
1999-07-23,1.2437,1.2537,1.2339,1.2437
1999-07-26,1.2537,1.2734,1.2437,1.2635
1999-07-27,1.2635,1.2832,1.2537,1.2734
1999-07-28,1.2832,1.3524,1.2734,1.3424
1999-07-29,1.3622,1.4016,1.3622,1.3721
1999-07-30,1.3721,1.4016,1.3721,1.3919
1999-08-02,1.3919,1.4214,1.3622,1.3721
1999-08-03,1.3721,1.3819,1.3227,1.3424
1999-08-04,1.3227,1.3326,1.3129,1.3129
1999-08-05,1.3326,1.3326,1.2931,1.3227
1999-08-06,1.3129,1.3326,1.2832,1.2931
1999-08-09,1.3129,1.3129,1.2734,1.2832
1999-08-10,1.2832,1.2931,1.2635,1.2734
1999-08-11,1.2635,1.3029,1.2635,1.2832
1999-08-12,1.2832,1.3129,1.2734,1.3129
1999-08-13,1.3227,1.3622,1.3129,1.3129
1999-08-16,1.3029,1.3524,1.2931,1.3227
1999-08-17,1.3227,1.3326,1.2832,1.2931
1999-08-18,1.2734,1.3029,1.2734,1.2931
1999-08-19,1.2931,1.3029,1.2734,1.2832
1999-08-20,1.2931,1.2931,1.2832,1.2832
1999-08-23,1.2931,1.3129,1.2734,1.2931
1999-08-24,1.2832,1.3129,1.2734,1.2734
1999-08-25,1.2734,1.3029,1.2635,1.2832
1999-08-26,1.2832,1.3326,1.2832,1.3129
1999-08-27,1.3029,1.3029,1.2734,1.3029
1999-08-30,1.3029,1.3326,1.2734,1.3227
1999-08-31,1.3029,1.3326,1.2734,1.2931
1999-09-01,1.2832,1.3622,1.2832,1.3524
1999-09-02,1.3622,1.3622,1.3424,1.3424
1999-09-03,1.3424,1.3622,1.3129,1.3424
1999-09-07,1.3424,1.3524,1.3029,1.3227
1999-09-08,1.3424,1.3622,1.3029,1.3029
1999-09-09,1.3129,1.3227,1.2931,1.2931
1999-09-10,1.2832,1.3129,1.2832,1.2832
1999-09-13,1.2734,1.2931,1.2635,1.2734
1999-09-14,1.2734,1.3227,1.2537,1.3227
1999-09-15,1.3129,1.3424,1.2734,1.3326
1999-09-16,1.3326,1.3424,1.2931,1.3227
1999-09-17,1.3129,1.3326,1.3129,1.3227
1999-09-20,1.3227,1.3227,1.2832,1.2931
1999-09-21,1.2832,1.3029,1.2832,1.2931
1999-09-22,1.2832,1.3029,1.2832,1.2931
1999-09-23,1.3029,1.3721,1.2931,1.3424
1999-09-24,1.3622,1.3622,1.3029,1.3424
