DATE,OPEN,HIGH,LOW,CLOSE
2017-04-13,7.8337,8.3932,7.8337,8.0575
2017-04-17,8.0709,8.5320,8.0709,8.5051
2017-04-18,8.3977,8.4962,8.0575,8.2634
2017-04-19,8.3216,8.4783,8.1560,8.1918
2017-04-20,8.1739,8.4425,8.0799,8.3171
2017-04-21,8.2813,8.3843,8.2097,8.2410
2017-04-24,8.2723,8.3910,8.1694,8.3753
2017-04-25,8.3664,8.4111,8.0754,8.1828
2017-04-26,8.1828,8.3753,8.1202,8.2589
2017-04-27,8.2455,8.2813,8.0575,8.0575
2017-04-28,8.0575,8.1828,8.0575,8.0933
2017-05-01,8.1067,8.2365,8.0575,8.0575
2017-05-02,8.0575,8.3798,8.0575,8.2186
2017-05-03,8.2276,8.3708,8.0261,8.0575
2017-05-04,8.0441,8.0888,7.8337,7.8426
2017-05-05,7.8829,8.0351,7.7531,7.8695
2017-05-08,7.8337,7.9456,7.7218,7.8068
2017-05-09,7.8381,7.8426,7.4621,7.5651
2017-05-10,7.5830,7.8202,7.4979,7.7173
2017-05-11,7.6725,7.7441,7.5785,7.6770
2017-05-12,7.6546,8.1202,7.5651,7.6098
2017-05-15,7.6680,7.9948,7.6680,7.8158
2017-05-16,7.7397,8.0978,7.4845,7.6054
2017-05-17,7.5382,7.7218,7.4756,7.6322
2017-05-18,7.6501,7.7441,7.5651,7.6725
2017-05-19,8.0127,8.5409,7.8784,7.9500
2017-05-22,8.0038,8.1604,7.7979,8.1470
2017-05-23,8.1560,8.2768,7.8247,8.0127
2017-05-24,8.0217,8.1067,7.9187,7.9366
2017-05-25,7.9461,8.0717,7.7620,7.7799
2017-05-26,7.8069,7.8159,7.6542,7.6857
2017-05-30,7.7575,7.8383,7.6363,7.7844
2017-05-31,7.6767,7.7440,7.4657,7.6722
2017-06-01,7.6677,8.0807,7.6677,7.9685
2017-06-02,7.9416,7.9999,7.6722,7.7261
2017-06-05,7.7440,7.9236,7.7036,7.7799
2017-06-06,7.7799,7.8563,7.6049,7.8473
2017-06-07,7.8338,7.8563,7.6273,7.6453
2017-06-08,7.6318,7.8563,7.5106,7.8293
2017-06-09,7.8608,7.8608,7.7710,7.8473
2017-06-12,7.8563,7.9685,7.8069,7.8338
2017-06-13,7.7799,7.9056,7.6453,7.7036
2017-06-14,7.7440,7.8563,7.6363,7.7665
2017-06-15,7.6902,7.7530,7.4522,7.5375
2017-06-16,7.4612,7.5196,6.8956,7.1200
2017-06-19,7.1604,7.2053,6.9135,7.0706
2017-06-20,7.0078,7.0774,6.8731,6.9584
2017-06-21,6.9449,7.0213,6.7923,6.9539
2017-06-22,6.9629,7.6228,6.9629,7.2412
2017-06-23,7.2816,7.3916,7.0976,7.2996
2017-06-26,7.2906,7.2996,7.1583,7.2682
2017-06-27,6.8013,7.4073,6.7788,7.3086
2017-06-28,7.3669,7.6542,7.2659,7.6094
2017-06-29,7.5600,7.7351,7.4926,7.6677
2017-06-30,7.6722,7.7889,7.6340,7.6902
2017-07-03,7.7081,7.8428,7.7081,7.7755
2017-07-05,7.8428,8.0269,7.6408,7.9820
2017-07-06,7.9775,8.0403,7.9012,7.9595
2017-07-07,7.9550,7.9595,7.8024,7.9281
2017-07-10,7.8832,8.0807,7.8159,8.0493
2017-07-11,8.1256,8.3636,8.0224,8.3411
2017-07-12,8.4174,8.5566,8.2109,8.4489
2017-07-13,8.4084,8.4960,8.1570,8.4174
2017-07-14,8.3725,8.4937,8.3591,8.4264
2017-07-17,8.4174,8.8170,8.4174,8.8125
2017-07-18,8.7092,8.8888,8.6284,8.8619
2017-07-19,8.8574,9.1851,8.7227,8.7766
2017-07-20,8.8260,8.8619,8.6643,8.7182
2017-07-21,8.7631,8.8708,8.5207,8.6688
2017-07-24,8.6643,8.7496,8.4713,8.5297
2017-07-25,8.5925,9.0639,8.5867,8.9561
