DATE,OPEN,HIGH,LOW,CLOSE
1998-04-27,5.1949,5.1949,5.1068,5.1297
1998-04-28,5.1297,5.1297,5.0628,5.1068
1998-04-29,5.0839,5.0839,5.0399,5.0399
1998-04-30,5.0188,5.0399,4.9518,4.9747
1998-05-01,4.9307,5.0188,4.9307,4.9747
1998-05-04,4.9747,5.0188,4.9518,5.0188
1998-05-05,5.0628,5.1068,5.0399,5.1068
1998-05-06,5.1068,5.1297,5.0188,5.0188
1998-05-07,5.0188,5.0188,4.9747,4.9747
1998-05-08,4.9747,5.0628,4.9747,5.0628
1998-05-11,5.0399,5.1720,5.0399,5.1068
1998-05-12,5.1297,5.1949,5.0399,5.0628
1998-05-13,5.0628,5.0628,5.0628,5.0628
1998-05-14,5.0628,5.0628,4.9078,4.9078
1998-05-15,4.8867,4.9078,4.8638,4.8638
1998-05-18,4.8198,4.9307,4.8198,4.9307
1998-05-19,4.9307,4.9518,4.9307,4.9413
1998-05-20,5.4150,5.5030,5.1949,5.1949
1998-05-21,5.1949,5.1949,5.0628,5.0628
1998-05-22,5.1068,5.1068,5.0628,5.0628
1998-05-26,5.0839,5.1068,4.9307,4.9307
1998-05-27,4.8867,4.8867,4.8638,4.8638
1998-05-28,4.8638,4.8638,4.8198,4.8638
1998-05-29,4.8867,4.9078,4.8427,4.8427
1998-06-01,4.8427,5.1068,4.8427,4.9307
1998-06-02,4.9307,4.9959,4.9307,4.9959
1998-06-03,5.0188,5.0188,5.0188,5.0188
1998-06-04,5.0082,5.0399,5.0082,5.0399
1998-06-05,5.0399,5.0399,5.0399,5.0399
1998-06-08,5.0399,5.0399,4.9747,4.9747
1998-06-09,4.9518,4.9959,4.8867,4.8867
1998-06-10,4.8427,4.8427,4.7546,4.7546
1998-06-11,4.7986,4.8427,4.7758,4.8427
1998-06-12,4.8638,4.8638,4.8427,4.8427
1998-06-15,4.7546,4.7986,4.7106,4.7106
1998-06-16,4.7106,4.7106,4.6877,4.6877
1998-06-17,4.6877,4.7317,4.6877,4.7106
1998-06-18,4.6877,4.6877,4.6877,4.6877
1998-06-19,4.6877,4.6877,4.6437,4.6666
1998-06-22,4.6437,4.6437,4.6437,4.6437
1998-06-23,4.6225,4.6877,4.6225,4.6225
1998-06-24,4.6666,4.6666,4.6666,4.6666
1998-06-25,4.6666,4.6666,4.6666,4.6666
1998-06-26,4.6437,4.7546,4.6120,4.7546
1998-06-29,4.7317,4.7317,4.6877,4.6877
1998-06-30,4.6437,4.6437,4.5116,4.5116
1998-07-01,4.4784,4.4784,4.1678,4.2790
1998-07-02,4.2560,4.2560,4.2349,4.2349
1998-07-06,4.2349,4.2790,4.2349,4.2349
1998-07-07,4.1908,4.1908,3.8820,3.8820
1998-07-08,3.8590,3.9049,3.7496,3.7496
1998-07-09,3.7055,3.8167,3.7055,3.8167
1998-07-10,3.8590,4.1678,3.8590,4.1678
1998-07-13,4.1678,4.1678,4.1678,4.1678
1998-07-14,4.1466,4.1678,4.1237,4.1466
1998-07-15,4.1237,4.1237,3.9702,4.0143
1998-07-16,3.9914,3.9914,3.9472,3.9472
1998-07-17,3.9914,4.3672,3.9914,4.1908
1998-07-20,4.2349,4.5878,4.2349,4.5437
1998-07-21,4.5878,4.6319,4.5878,4.6319
1998-07-22,4.6760,4.8083,4.6531,4.8083
1998-07-23,4.7854,4.7854,4.7642,4.7642
1998-07-24,4.7201,4.7642,4.6760,4.7642
1998-07-27,4.7642,4.7642,4.7642,4.7642
1998-07-28,4.8083,4.8525,4.6760,4.6760
1998-07-29,4.6319,4.6319,4.5207,4.5207
1998-07-30,4.4784,4.5437,4.1908,4.1908
1998-07-31,4.1908,4.2119,4.1908,4.1908
1998-08-03,4.1908,4.1908,4.1237,4.1678
1998-08-04,4.1908,4.1908,4.1678,4.1678
1998-08-05,4.0584,4.0584,3.9261,4.0143
1998-08-06,4.0355,4.0584,3.9914,3.9914
1998-08-07,3.9702,4.3002,3.9596,4.1908
1998-08-10,4.2013,4.2013,3.9049,4.0143
1998-08-11,3.9702,3.9702,3.7055,3.7055
1998-08-12,3.7496,3.7496,3.7496,3.7496
1998-08-13,3.7055,3.7055,3.6385,3.6385
1998-08-14,3.5943,3.6173,3.5943,3.6173
1998-08-17,3.5943,3.5943,3.4849,3.4849
1998-08-18,3.4849,3.4849,3.3738,3.3738
1998-08-19,3.3526,3.7055,3.3526,3.7055
1998-08-20,3.7267,3.7937,3.7267,3.7496
1998-08-21,3.7055,3.7055,3.6173,3.6173
1998-08-24,3.5943,3.5943,3.5061,3.5061
1998-08-25,3.4849,3.4849,3.3526,3.3738
1998-08-26,3.3861,3.3967,3.2644,3.2644
1998-08-27,3.2203,3.2644,3.1973,3.2644
1998-08-28,3.2203,3.2203,3.2203,3.2203
1998-08-31,3.1762,3.2203,2.7350,2.7350
1998-09-01,2.6909,2.6909,2.5586,2.5586
1998-09-02,2.4262,2.7350,2.4262,2.6697
1998-09-03,2.6239,2.7350,2.6239,2.7350
1998-09-04,2.6909,2.7350,2.6697,2.6697
