DATE,OPEN,HIGH,LOW,CLOSE
2004-08-12,4.9500,4.9500,4.9000,4.9000
2004-08-13,4.8000,4.9100,4.8000,4.8500
2004-08-16,4.8500,4.8500,4.8500,4.8500
2004-08-17,4.8500,4.8500,4.8500,4.8500
2004-08-18,4.8500,4.8500,4.8500,4.8500
2004-08-19,4.8500,4.8500,4.8500,4.8500
2004-08-20,4.8500,4.8500,4.8500,4.8500
2004-08-23,4.8500,4.8500,4.8500,4.8500
2004-08-24,4.8000,4.8000,4.8000,4.8000
2004-08-25,4.8000,4.8000,4.8000,4.8000
2004-08-26,4.8000,4.8000,4.8000,4.8000
2004-08-27,4.8500,4.8500,4.8000,4.8500
2004-08-30,4.8500,4.8500,4.8500,4.8500
2004-08-31,4.8500,4.8500,4.8500,4.8500
2004-09-01,4.8500,4.8500,4.8500,4.8500
2004-09-02,4.8500,4.8500,4.8500,4.8500
2004-09-03,4.8500,4.8500,4.8500,4.8500
2004-09-07,4.8100,4.8200,4.8100,4.8200
2004-09-08,4.8200,4.8200,4.8200,4.8200
2004-09-09,4.8200,4.8200,4.8200,4.8200
2004-09-10,4.8200,4.8200,4.8200,4.8200
2004-09-13,4.8100,4.8100,4.8100,4.8100
2004-09-14,4.8500,4.8500,4.8500,4.8500
2004-09-15,4.8500,4.8500,4.8500,4.8500
2004-09-16,4.8500,4.8500,4.8500,4.8500
2004-09-17,4.8500,4.8500,4.8500,4.8500
2004-09-20,4.8500,4.8500,4.8500,4.8500
2004-09-21,4.8500,4.8500,4.8500,4.8500
2004-09-22,4.8100,4.8200,4.8100,4.8200
2004-09-23,4.8100,4.8100,4.8100,4.8100
2004-09-24,4.8100,4.8100,4.8100,4.8100
2004-09-27,4.8100,4.8100,4.8100,4.8100
2004-09-28,4.8100,4.8500,4.8100,4.8500
2004-09-29,4.9000,4.9000,4.8800,4.9000
2004-09-30,4.9000,4.9000,4.9000,4.9000
2004-10-01,4.9000,4.9000,4.9000,4.9000
2004-10-04,4.8500,4.8500,4.8400,4.8400
2004-10-05,4.8500,4.8500,4.8100,4.8100
2004-10-06,4.8100,4.8100,4.8100,4.8100
2004-10-07,4.8100,4.8100,4.8100,4.8100
2004-10-08,4.8100,4.8100,4.8100,4.8100
2004-10-11,4.8100,4.8200,4.8000,4.8200
2004-10-12,4.7700,4.8000,4.7300,4.8000
2004-10-13,4.8000,4.8000,4.7300,4.7300
2004-10-14,4.7300,4.7500,4.7300,4.7500
2004-10-15,4.7500,4.7500,4.7500,4.7500
2004-10-18,4.7700,4.7700,4.7700,4.7700
2004-10-19,4.7700,4.7700,4.7700,4.7700
2004-10-20,4.7700,4.7700,4.7700,4.7700
2004-10-21,4.8000,4.8500,4.8000,4.8000
2004-10-22,4.8000,4.8500,4.7600,4.7600
2004-10-25,4.7600,4.7600,4.7600,4.7600
2004-10-26,4.7500,4.7500,4.7500,4.7500
2004-10-27,4.7500,4.7500,4.7500,4.7500
2004-10-28,4.7500,4.7500,4.7500,4.7500
2004-10-29,4.7500,4.8500,4.7500,4.8500
2004-11-01,4.8500,4.8500,4.8500,4.8500
2004-11-02,4.7500,4.8500,4.7500,4.8500
2004-11-03,4.9000,4.9000,4.8900,4.8900
2004-11-04,4.8900,4.8900,4.8900,4.8900
2004-11-05,4.8900,4.8900,4.8900,4.8900
2004-11-08,4.8900,4.8900,4.8900,4.8900
2004-11-09,4.8900,4.8900,4.8900,4.8900
2004-11-10,4.8900,4.8900,4.8900,4.8900
2004-11-11,4.8500,4.8500,4.8500,4.8500
2004-11-12,4.9000,4.9000,4.9000,4.9000
2004-11-15,4.9000,4.9000,4.9000,4.9000
2004-11-16,4.8000,4.8500,4.8000,4.8000
2004-11-17,4.8500,4.8500,4.8500,4.8500
2004-11-18,4.8500,4.8500,4.8500,4.8500
2004-11-19,4.8500,4.8500,4.8500,4.8500
2004-11-22,4.9000,4.9000,4.9000,4.9000
2004-11-23,4.9000,4.9000,4.9000,4.9000
2004-11-24,4.9000,4.9000,4.9000,4.9000
2004-11-26,4.9000,4.9000,4.9000,4.9000
2004-11-29,4.8700,4.8700,4.8700,4.8700
2004-11-30,4.8800,4.9000,4.8800,4.9000
2004-12-01,4.9000,4.9000,4.9000,4.9000
2004-12-02,4.9000,4.9000,4.9000,4.9000
2004-12-03,4.9000,4.9000,4.9000,4.9000
2004-12-06,5.0000,5.0000,5.0000,5.0000
2004-12-07,5.0000,5.0000,5.0000,5.0000
2004-12-08,5.0000,5.0000,5.0000,5.0000
2004-12-09,4.9900,4.9900,4.9900,4.9900
2004-12-10,4.9500,4.9500,4.9500,4.9500
2004-12-13,4.9500,4.9500,4.9500,4.9500
2004-12-14,4.9500,4.9500,4.9500,4.9500
2004-12-15,4.9500,5.0000,4.9500,4.9900
2004-12-16,4.9900,4.9900,4.9900,4.9900
2004-12-17,5.0000,5.0000,4.9900,4.9900
2004-12-20,4.9900,5.0900,4.9900,5.0500
2004-12-21,5.0500,5.0500,5.0000,5.0000
2004-12-22,5.0000,5.0000,5.0000,5.0000
2004-12-23,5.0500,5.0500,4.9100,4.9100
2004-12-27,5.0000,5.0000,5.0000,5.0000
2004-12-28,5.0900,5.0900,5.0900,5.0900
2004-12-29,5.0900,5.0900,5.0900,5.0900
2004-12-30,5.0500,5.0500,5.0500,5.0500
2004-12-31,5.0100,5.0500,5.0100,5.0500
2005-01-03,5.0100,5.0100,5.0100,5.0100
2005-01-04,4.9600,5.0000,4.9600,5.0000
2005-01-05,5.0000,5.0000,5.0000,5.0000
2005-01-06,5.0000,5.1000,5.0000,5.1000
2005-01-07,5.0800,5.0900,5.0800,5.0900
2005-01-10,5.0900,5.0900,5.0900,5.0900
2005-01-11,5.0800,5.1000,5.0800,5.1000
2005-01-12,5.1700,5.1800,5.1700,5.1800
2005-01-13,5.1600,5.2000,5.1600,5.2000
2005-01-14,5.1500,5.1500,5.1000,5.1400
2005-01-18,5.1500,5.3500,5.1500,5.3500
2005-01-19,5.3400,5.3400,5.2500,5.2500
