DATE,OPEN,HIGH,LOW,CLOSE
1998-05-22,0.9584,0.9622,0.9584,0.9584
1998-05-26,0.9622,0.9661,0.9584,0.9622
1998-05-27,0.9584,0.9661,0.9584,0.9622
1998-05-28,0.9661,0.9903,0.9622,0.9744
1998-05-29,0.9744,0.9782,0.9622,0.9705
1998-06-01,0.9744,0.9782,0.9661,0.9744
1998-06-02,0.9744,0.9782,0.9661,0.9744
1998-06-03,0.9661,0.9744,0.9661,0.9744
1998-06-04,0.9744,0.9782,0.9705,0.9744
1998-06-05,0.9744,0.9744,0.9661,0.9744
1998-06-08,0.9705,0.9744,0.9661,0.9744
1998-06-09,0.9744,0.9827,0.9584,0.9827
1998-06-10,0.9827,0.9827,0.9584,0.9744
1998-06-11,0.9744,0.9744,0.9584,0.9622
1998-06-12,0.9622,0.9744,0.9584,0.9744
1998-06-15,0.9705,0.9705,0.9584,0.9622
1998-06-16,0.9584,0.9705,0.9584,0.9661
1998-06-17,0.9622,0.9661,0.9584,0.9661
1998-06-18,0.9661,0.9705,0.9584,0.9661
1998-06-19,0.9661,0.9782,0.9622,0.9705
1998-06-22,0.9661,0.9661,0.9584,0.9584
1998-06-23,0.9584,0.9622,0.9584,0.9622
1998-06-24,0.9584,0.9622,0.9584,0.9622
1998-06-25,0.9584,0.9622,0.9584,0.9584
1998-06-26,0.9584,0.9622,0.9584,0.9584
1998-06-29,0.9584,0.9622,0.9584,0.9622
1998-06-30,0.9622,0.9622,0.9584,0.9584
1998-07-01,0.9622,0.9622,0.9507,0.9546
1998-07-02,0.9584,0.9584,0.9546,0.9584
1998-07-06,0.9584,0.9622,0.9507,0.9507
1998-07-07,0.9546,0.9546,0.9463,0.9546
1998-07-08,0.9546,0.9584,0.9507,0.9584
1998-07-09,0.9546,0.9584,0.9507,0.9507
1998-07-10,0.9584,0.9584,0.9507,0.9546
1998-07-13,0.9546,0.9546,0.9507,0.9507
1998-07-14,0.9507,0.9584,0.9507,0.9584
1998-07-15,0.9584,0.9584,0.9546,0.9584
1998-07-16,0.9584,0.9622,0.9546,0.9584
1998-07-17,0.9622,0.9622,0.9546,0.9584
1998-07-20,0.9584,0.9603,0.9546,0.9584
1998-07-21,0.9546,0.9622,0.9546,0.9584
1998-07-22,0.9546,0.9584,0.9546,0.9546
1998-07-23,0.9584,0.9584,0.9546,0.9584
1998-07-24,0.9623,0.9623,0.9584,0.9584
1998-07-27,0.9539,0.9623,0.9500,0.9500
1998-07-28,0.9539,0.9584,0.9500,0.9584
1998-07-29,0.9584,0.9584,0.9500,0.9539
1998-07-30,0.9539,0.9661,0.9539,0.9623
1998-07-31,0.9623,0.9623,0.9539,0.9584
1998-08-03,0.9584,0.9623,0.9539,0.9623
1998-08-04,0.9623,0.9623,0.9500,0.9539
1998-08-05,0.9539,0.9623,0.9500,0.9500
1998-08-06,0.9584,0.9584,0.9462,0.9462
1998-08-07,0.9500,0.9584,0.9462,0.9584
1998-08-10,0.9500,0.9584,0.9500,0.9539
1998-08-11,0.9584,0.9584,0.9378,0.9500
1998-08-12,0.9500,0.9539,0.9417,0.9417
1998-08-13,0.9500,0.9539,0.9339,0.9462
1998-08-14,0.9417,0.9494,0.9417,0.9417
