DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1993-05-27,2.4434,2.4596,2.4434,2.4434,1.396,
1993-05-28,2.4434,2.4747,2.4434,2.4747,0.119,
1993-06-01,2.4747,2.4910,2.4596,2.4747,0.122,
1993-06-02,2.4910,2.4910,2.4596,2.4596,0.116,
1993-06-03,2.4747,2.4747,2.4434,2.4434,0.052,
1993-06-04,2.4434,2.4910,2.4434,2.4596,0.048,
1993-06-07,2.4596,2.4747,2.4434,2.4596,0.033,
1993-06-08,2.4434,2.4596,2.4434,2.4596,0.042,
1993-06-09,2.4596,2.4596,2.4434,2.4434,0.029,
1993-06-10,2.4434,2.4596,2.4434,2.4434,0.045,
1993-06-11,2.4434,2.4596,2.4434,2.4434,0.025,
1993-06-14,2.4434,2.4596,2.4434,2.4596,0.012,
1993-06-15,2.4434,2.4596,2.4434,2.4434,0.007,
1993-06-16,2.4434,2.4434,2.3807,2.3807,0.058,
1993-06-17,2.3494,2.3494,2.2241,2.3181,0.089,
1993-06-18,2.3657,2.3657,2.3181,2.3181,0.025,
1993-06-21,2.3343,2.3494,2.3181,2.3181,0.044,
1993-06-22,2.3494,2.3494,2.3181,2.3494,0.011,
1993-06-23,2.3807,2.4120,2.3657,2.3807,0.195,
1993-06-24,2.3657,2.3970,2.3494,2.3807,0.039,
1993-06-25,2.3807,2.4120,2.3807,2.3807,0.023,
1993-06-28,2.3970,2.4120,2.3807,2.3970,0.035,
1993-06-29,2.3807,2.4283,2.3807,2.3807,0.042,
1993-06-30,2.3970,2.4120,2.3494,2.4120,0.041,
1993-07-01,2.4120,2.4747,2.4120,2.4596,0.122,
1993-07-02,2.4596,2.4747,2.4434,2.4747,0.045,
1993-07-06,2.4747,2.4910,2.4747,2.4747,0.096,
1993-07-07,2.4910,2.5060,2.4747,2.5060,0.061,
1993-07-08,2.5060,2.5687,2.5060,2.5687,0.112,
1993-07-09,2.5687,2.5687,2.5373,2.5687,0.034,
1993-07-12,2.5687,2.5687,2.5373,2.5687,0.069,
1993-07-13,2.5687,2.5849,2.5687,2.5687,0.083,
1993-07-14,2.5687,2.6163,2.5687,2.6000,0.113,
1993-07-15,2.6163,2.6163,2.6000,2.6000,0.031,
1993-07-16,2.6163,2.6313,2.5849,2.6163,0.037,
1993-07-19,2.6163,2.6476,2.6000,2.6313,0.034,
1993-07-20,2.6476,2.6476,2.6163,2.6163,0.011,
1993-07-21,2.6163,2.6163,2.5687,2.5849,0.044,
1993-07-22,2.5849,2.5849,2.5060,2.5536,0.051,
1993-07-23,2.5536,2.5536,2.5223,2.5223,0.008,
1993-07-26,2.5223,2.5223,2.4747,2.5060,0.057,
1993-07-27,2.5060,2.5373,2.5060,2.5373,0.009,
1993-07-28,2.5373,2.5373,2.5060,2.5060,0.146,
1993-07-29,2.5060,2.5373,2.5060,2.5373,0.023,
1993-07-30,2.5373,2.5373,2.5373,2.5373,0.001,
1993-08-02,2.5223,2.5687,2.5223,2.5687,0.016,
1993-08-03,2.5687,2.5687,2.5373,2.5373,0.009,
1993-08-04,2.5223,2.5536,2.5223,2.5536,0.009,
1993-08-05,2.5687,2.5849,2.5373,2.5373,0.012,
1993-08-06,2.5536,2.5687,2.5536,2.5536,0.010,2.484
1993-08-09,2.5687,2.5849,2.5060,2.5060,0.013,2.486
1993-08-10,2.5223,2.5223,2.4596,2.4747,0.030,2.486
1993-08-11,2.5060,2.5223,2.4596,2.5060,0.013,2.486
1993-08-12,2.5223,2.5223,2.4910,2.5060,0.024,2.487
1993-08-13,2.5060,2.5223,2.4747,2.4910,0.008,2.488
1993-08-16,2.4910,2.4910,2.4596,2.4747,0.007,2.488
1993-08-17,2.4747,2.4747,2.4596,2.4747,0.004,2.489
1993-08-18,2.4910,2.5060,2.4747,2.5060,0.020,2.490
1993-08-19,2.5060,2.5687,2.5060,2.5687,0.045,2.492
1993-08-20,2.5849,2.6476,2.5849,2.6476,0.024,2.496
1993-08-23,2.6313,2.6313,2.5849,2.6163,0.031,2.500
1993-08-24,2.6476,2.6476,2.5849,2.6476,0.013,2.503
1993-08-25,2.6940,2.6940,2.5849,2.6163,0.033,2.507
1993-08-26,2.6163,2.6626,2.6000,2.6313,0.017,2.512
1993-08-27,2.6626,2.7253,2.6626,2.7102,0.026,2.520
1993-08-30,2.7253,2.7879,2.7253,2.7566,0.027,2.528
1993-08-31,2.7879,2.8042,2.7566,2.8042,0.032,2.538
1993-09-01,2.7566,2.8193,2.7416,2.8193,0.010,2.548
1993-09-02,2.8193,2.8669,2.7879,2.8506,0.024,2.557
1993-09-03,2.8193,2.8193,2.8042,2.8193,0.020,2.566
1993-09-07,2.8193,2.8193,2.7879,2.8193,0.019,2.575
1993-09-08,2.8193,2.8193,2.7729,2.7879,0.025,2.582
1993-09-09,2.8042,2.8193,2.7879,2.8193,0.038,2.591
1993-09-10,2.8193,2.8506,2.8193,2.8355,0.014,2.600
1993-09-13,2.8506,2.8506,2.8193,2.8506,0.008,2.607
1993-09-14,2.8506,2.8506,2.8193,2.8506,0.015,2.615
1993-09-15,2.8669,2.8669,2.7879,2.7879,0.051,2.621
1993-09-16,2.8042,2.8506,2.7879,2.8506,0.007,2.628
1993-09-17,2.8669,2.8669,2.8193,2.8669,0.013,2.634
1993-09-20,2.8669,2.9132,2.8506,2.8982,0.015,2.641
1993-09-21,2.9132,2.9446,2.8355,2.8355,0.013,2.646
1993-09-22,2.8355,2.8355,2.8042,2.8193,0.009,2.651
1993-09-23,2.8355,2.8506,2.8193,2.8193,0.012,2.655
1993-09-24,2.8506,2.8669,2.8193,2.8506,0.006,2.660
1993-09-27,2.8506,2.8669,2.8506,2.8669,0.003,2.665
1993-09-28,2.8669,2.8669,2.8355,2.8506,0.008,2.670
1993-09-29,2.8355,2.8669,2.8355,2.8669,0.002,2.675
1993-09-30,2.8819,2.9295,2.8669,2.9295,0.005,2.682
1993-10-01,2.9132,2.9132,2.8506,2.8506,0.006,2.688
1993-10-04,2.8506,2.8819,2.8193,2.8193,0.005,2.694
1993-10-05,2.8355,2.8355,2.7416,2.7566,0.006,2.699
1993-10-06,2.7879,2.8193,2.7879,2.8193,0.004,2.704
1993-10-07,2.7879,2.7879,2.7416,2.7879,0.007,2.710
1993-10-08,2.7879,2.7879,2.7566,2.7729,0.007,2.715
1993-10-11,2.7729,2.8042,2.7729,2.7879,0.012,2.720
1993-10-12,2.7879,2.8193,2.7879,2.8042,0.006,2.724
1993-10-13,2.8193,2.8193,2.7879,2.7879,0.006,2.729
1993-10-14,2.7879,2.7879,2.7566,2.7879,0.010,2.734
1993-10-15,2.7879,2.7879,2.7729,2.7879,0.014,2.739
1993-10-18,2.7879,2.8042,2.7566,2.7729,0.019,2.743
1993-10-19,2.7729,2.7879,2.7566,2.7879,0.013,2.749
1993-10-20,2.8042,2.8506,2.7879,2.8506,0.008,2.757
1993-10-21,2.8669,2.8982,2.8669,2.8819,0.024,2.764
1993-10-22,2.8819,2.8819,2.8506,2.8819,0.008,2.772
1993-10-25,2.8982,2.9446,2.8982,2.8982,0.013,2.780
1993-10-26,2.9050,2.9204,2.8883,2.8883,0.035,2.788
1993-10-27,2.9050,2.9692,2.9050,2.9371,0.056,2.797
1993-10-28,2.9371,2.9846,2.9371,2.9525,0.004,2.806
1993-10-29,2.9371,2.9525,2.9204,2.9525,0.014,2.814
1993-11-01,2.9525,2.9525,2.9204,2.9204,0.005,2.819
1993-11-02,2.9204,2.9204,2.8408,2.8729,0.021,2.824
1993-11-03,2.8729,2.8883,2.8729,2.8729,0.004,2.829
1993-11-04,2.8729,2.9204,2.8408,2.8729,0.015,2.834
1993-11-05,2.8883,2.9204,2.8241,2.8883,0.012,2.839
1993-11-08,2.9050,2.9050,2.8729,2.8729,0.009,2.842
