DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1999-01-21,3.9377,4.1018,3.9377,4.0198,0.007,
1999-01-22,4.0198,4.1839,3.9377,4.1018,0.003,
1999-01-25,4.1839,4.1839,4.1018,4.1432,0.002,
1999-01-26,4.1432,4.1432,4.0198,4.0198,0.003,
1999-01-27,3.9377,4.1018,3.9377,4.1018,0.000,
1999-01-28,4.0198,4.1018,4.0198,4.0198,0.001,
1999-01-29,4.1018,4.1018,4.0198,4.0198,0.000,
1999-02-01,4.1018,4.1018,4.0198,4.0198,0.005,
1999-02-02,4.1018,4.1018,4.0198,4.0198,0.002,
1999-02-03,4.1018,4.1018,4.1018,4.1018,0.000,
1999-02-04,4.0198,4.0198,4.0198,4.0198,0.000,
1999-02-05,4.0198,4.1018,4.0198,4.1018,0.000,
1999-02-08,4.0611,4.0611,4.0611,4.0611,0.000,
1999-02-09,4.0198,4.0198,3.9791,4.0198,0.001,
1999-02-10,4.0198,4.0198,3.9377,3.9377,0.005,
1999-02-11,3.9377,3.9377,3.9377,3.9377,0.000,
1999-02-12,3.9377,3.9377,3.9377,3.9377,0.001,
1999-02-16,4.0198,4.0198,3.9377,4.0198,0.001,
1999-02-17,4.0198,4.0198,3.9377,3.9377,0.000,
1999-02-18,3.9377,4.0198,3.9377,3.9377,0.000,
1999-02-19,4.0198,4.0198,3.9377,4.0198,0.001,
1999-02-22,3.9377,4.0198,3.9377,3.9377,0.001,
1999-02-23,4.0198,4.1018,3.9377,3.9377,0.003,
1999-02-24,3.9377,3.9377,3.9377,3.9377,0.000,
1999-02-25,4.1018,4.1018,4.0611,4.0611,0.000,
1999-02-26,4.0198,4.0198,3.9791,3.9791,0.001,
1999-03-01,3.9791,4.0611,3.9791,4.0611,0.000,
1999-03-02,4.1018,4.1018,4.0198,4.0198,0.000,
1999-03-03,3.9791,4.1018,3.9791,4.0611,0.002,
1999-03-04,4.1432,4.1432,4.1432,4.1432,0.000,
1999-03-05,4.1412,4.1412,4.1412,4.1412,0.000,
1999-03-08,4.1432,4.1432,4.1432,4.1432,0.000,
1999-03-09,4.1412,4.1412,4.1412,4.1412,0.000,
1999-03-10,4.1432,4.1432,4.1432,4.1432,0.000,
1999-03-11,4.1412,4.1412,4.1412,4.1412,0.000,
1999-03-12,4.0198,4.1432,4.0198,4.1432,0.000,
1999-03-15,4.0198,4.1432,4.0198,4.1432,0.001,
1999-03-16,4.1432,4.1432,4.0198,4.0198,0.000,
1999-03-17,4.0611,4.0611,4.0198,4.0198,0.000,
1999-03-18,3.9791,3.9791,3.9791,3.9791,0.001,
1999-03-19,4.0611,4.0611,4.0198,4.0198,0.001,
1999-03-22,4.0198,4.0198,3.9791,3.9791,0.000,
1999-03-23,3.9771,3.9771,3.9771,3.9771,0.000,
1999-03-24,3.9791,3.9791,3.9791,3.9791,0.001,
1999-03-25,4.0611,4.0611,3.9791,3.9791,0.000,
1999-03-26,3.9771,3.9771,3.9771,3.9771,0.000,
1999-03-29,4.0258,4.0258,3.9003,3.9003,0.000,
1999-03-30,4.0258,4.1097,4.0258,4.1097,0.001,
1999-03-31,3.9419,4.0258,3.8581,3.8581,0.014,
1999-04-01,3.9419,4.0258,3.9419,4.0258,0.002,4.029
1999-04-05,4.0258,4.0258,3.4387,3.4387,0.002,4.018
1999-04-06,3.5226,3.6065,3.5226,3.6065,0.001,4.008
1999-04-07,3.5226,3.7742,3.5226,3.7742,0.001,4.000
1999-04-08,3.7708,3.7708,3.7708,3.7708,0.000,3.995
1999-04-09,3.7708,3.7708,3.7708,3.7708,0.000,3.989
1999-04-12,3.8581,3.9419,3.6065,3.6065,0.001,3.980
1999-04-13,3.6065,3.6065,3.6065,3.6065,0.000,3.972
1999-04-14,3.5226,3.6903,3.5226,3.6903,0.001,3.966
1999-04-15,3.6065,3.6065,3.5649,3.5649,0.001,3.956
1999-04-16,3.6487,3.6487,3.6487,3.6487,0.000,3.947
1999-04-19,3.7326,3.8581,3.6903,3.6903,0.002,3.941
1999-04-20,3.7742,4.0258,3.6903,4.0258,0.005,3.939
1999-04-21,4.0258,4.1097,4.0258,4.0258,0.003,3.939
1999-04-22,4.1097,4.1097,4.1097,4.1097,0.000,3.940
1999-04-23,4.0681,4.1097,4.0681,4.1097,0.001,3.944
1999-04-26,4.1063,4.1063,4.1063,4.1063,0.000,3.947
1999-04-27,4.1063,4.1063,4.1063,4.1063,0.000,3.951
1999-04-28,4.1063,4.1063,4.1063,4.1063,0.000,3.952
1999-04-29,3.9419,4.0258,3.9419,3.9419,0.001,3.952
1999-04-30,4.0258,4.0258,3.6903,3.6903,0.001,3.947
1999-05-03,3.7742,3.8581,3.7742,3.8581,0.000,3.944
1999-05-04,3.8581,3.8581,3.8581,3.8581,0.000,3.943
1999-05-05,3.8581,3.8581,3.7742,3.7742,0.000,3.939
1999-05-06,3.8581,3.8581,3.8581,3.8581,0.000,3.938
1999-05-07,3.8581,3.8581,3.7742,3.7742,0.000,3.932
1999-05-10,3.9419,3.9419,3.8581,3.8581,0.001,3.930
1999-05-11,3.7742,3.7742,3.6903,3.6903,0.001,3.922
1999-05-12,3.6903,3.6903,3.6903,3.6903,0.000,3.916
1999-05-13,3.7742,3.7742,3.7742,3.7742,0.000,3.910
1999-05-14,3.8581,3.9419,3.8581,3.9419,0.001,3.906
1999-05-17,3.9419,3.9419,3.9419,3.9419,0.000,3.902
1999-05-18,3.7742,3.7742,3.7326,3.7326,0.001,3.894
1999-05-19,3.7306,3.7306,3.7306,3.7306,0.000,3.885
1999-05-20,3.6903,3.6903,3.6903,3.6903,0.000,3.876
1999-05-21,3.8581,3.9419,3.8581,3.9419,0.001,3.872
1999-05-24,3.9453,3.9453,3.9453,3.9453,0.000,3.868
1999-05-25,3.9842,3.9842,3.9842,3.9842,0.000,3.865
1999-05-26,3.9419,4.0258,3.9419,4.0258,0.002,3.865
1999-05-27,4.0258,4.0258,4.0258,4.0258,0.000,3.865
1999-05-28,4.0258,4.0258,3.9842,3.9842,0.000,3.866
1999-06-01,3.9842,3.9842,3.9842,3.9842,0.000,3.865
1999-06-02,3.9419,3.9419,3.8581,3.9419,0.001,3.864
1999-06-03,3.8581,3.8581,3.8581,3.8581,0.000,3.862
1999-06-04,3.9419,3.9419,3.8581,3.8581,0.000,3.859
1999-06-07,3.7742,3.7742,3.7742,3.7742,0.000,3.855
1999-06-08,3.7708,3.7708,3.7708,3.7708,0.000,3.851
1999-06-09,3.8165,3.8581,3.8165,3.8581,0.000,3.850
1999-06-10,3.8581,3.8581,3.7742,3.7742,0.000,3.843
1999-06-11,3.8581,3.8581,3.8581,3.8581,0.000,3.843
1999-06-14,3.7742,3.7742,3.7742,3.7742,0.000,3.838
1999-06-15,3.7708,3.7708,3.7708,3.7708,0.000,3.845
1999-06-16,3.7708,3.7708,3.7708,3.7708,0.000,3.848
1999-06-17,3.7708,3.7708,3.7708,3.7708,0.000,3.848
1999-06-18,3.9419,3.9419,3.9419,3.9419,0.000,3.852
1999-06-21,3.8581,3.8581,3.8581,3.8581,0.000,3.853
1999-06-22,3.8581,3.8581,3.8581,3.8581,0.000,3.859
1999-06-23,3.8581,3.8581,3.8581,3.8581,0.000,3.864
1999-06-24,3.9419,3.9419,3.8581,3.8581,0.001,3.867
1999-06-25,3.8581,3.8581,3.8581,3.8581,0.001,3.873
1999-06-28,3.9359,3.9788,3.8923,3.9788,0.000,3.879
1999-06-29,3.9788,3.9788,3.9788,3.9788,0.000,3.885
1999-06-30,3.9788,3.9788,3.9788,3.9788,0.000,3.884
1999-07-01,3.8923,3.8923,3.8923,3.8923,0.000,3.882
1999-07-02,3.8889,3.8889,3.8889,3.8889,0.000,3.877
1999-07-06,3.8889,3.8889,3.8889,3.8889,0.000,3.873
1999-07-07,3.9788,4.0224,3.9788,4.0224,0.000,3.871
1999-07-08,4.0204,4.0204,4.0204,4.0204,0.000,3.869
1999-07-09,4.0204,4.0204,4.0204,4.0204,0.000,3.868
1999-07-12,3.9788,3.9788,3.9788,3.9788,0.003,3.868
1999-07-13,3.9359,3.9359,3.8494,3.8494,0.001,3.871
1999-07-14,3.8494,3.8494,3.8494,3.8494,0.000,3.871
1999-07-15,3.9359,3.9788,3.9359,3.9788,0.005,3.874
1999-07-16,3.9788,3.9788,3.9788,3.9788,0.005,3.878
1999-07-19,3.9788,3.9788,3.8923,3.8923,0.001,3.879
1999-07-20,3.9788,3.9788,3.7194,3.8923,0.002,3.881
1999-07-21,3.8923,3.8923,3.8923,3.8923,0.001,3.882
1999-07-22,3.8889,3.8889,3.8889,3.8889,0.000,3.886
1999-07-23,3.9788,3.9788,3.9788,3.9788,0.001,3.891
1999-07-26,3.9788,3.9788,3.9788,3.9788,0.001,3.895
1999-07-27,4.0653,4.0653,3.8923,3.8923,0.001,3.894
1999-07-28,3.9359,3.9359,3.9359,3.9359,0.000,3.894
1999-07-29,4.0653,4.0653,4.0653,4.0653,0.000,3.901
1999-07-30,4.0688,4.0688,4.0688,4.0688,0.000,3.908
