DATE,OPEN,HIGH,LOW,CLOSE
2019-07-22,43.5548,44.2840,41.6686,43.4502
2019-07-23,43.6879,43.7354,42.3758,42.4519
2019-07-24,41.3585,42.3093,40.1510,41.5011
2019-07-25,41.0257,42.2617,40.7891,41.5962
2019-07-26,40.8831,41.8339,40.5503,41.0352
2019-07-29,40.8736,41.1290,39.5615,40.5028
2019-07-30,40.2176,40.4648,39.2668,40.2366
2019-07-31,40.0084,40.4077,39.4665,40.1225
2019-08-01,40.0750,40.1700,39.5615,39.8753
2019-08-02,39.8373,40.1986,37.8882,38.0023
2019-08-05,37.9642,37.9642,35.8535,36.9184
2019-08-06,37.0135,37.7646,36.4715,37.1276
2019-08-07,36.9564,38.4521,36.6142,38.1354
2019-08-08,38.2685,39.8045,38.0783,39.4475
2019-08-09,38.9340,39.4284,37.9833,37.9833
2019-08-12,37.6030,38.3873,36.7112,37.5079
2019-08-13,37.4508,38.5727,36.3194,37.9642
2019-08-14,37.7551,38.0878,36.6617,37.0610
2019-08-15,37.2417,38.0688,37.0800,37.0800
2019-08-16,37.2512,38.2205,37.0895,37.7931
2019-08-19,39.0861,39.0861,38.1405,38.3731
2019-08-20,38.2875,39.2478,37.2226,37.7456
2019-08-21,37.7456,38.5537,37.1656,37.8216
2019-08-22,37.7931,38.1164,36.7663,38.1164
2019-08-23,37.9738,37.9738,36.5191,36.7948
2019-08-26,36.8328,37.2512,36.4051,36.6807
2019-08-27,36.4906,38.7534,36.2148,37.6030
2019-08-28,37.5364,38.0213,36.6997,37.0610
2019-08-29,37.3272,37.3272,36.5191,37.0800
2019-08-30,37.0800,38.1259,36.5286,37.9833
2019-09-03,37.6030,39.4570,37.6030,38.9721
2019-09-04,39.1622,39.6376,38.1544,38.5062
2019-09-05,38.9055,40.3222,37.8121,39.4570
2019-09-06,39.1955,39.9323,38.6298,38.6298
2019-09-09,38.7914,39.2963,37.6695,37.9928
2019-09-10,37.6600,37.9547,37.0800,37.5554
2019-09-11,37.4154,38.5395,37.0895,37.9642
2019-09-12,37.4827,39.1717,37.4827,39.0862
2019-09-13,38.8770,40.3507,38.8770,39.7802
2019-09-16,39.7327,39.7327,38.2875,39.2858
2019-09-17,39.0386,39.7327,38.3350,39.3143
2019-09-18,39.7279,40.0512,38.8690,39.8753
2019-09-19,39.2668,40.4743,39.2573,40.3317
2019-09-20,39.3396,41.5296,38.3446,40.2841
2019-09-23,40.0464,40.3507,39.0481,40.2556
2019-09-24,39.6566,41.1588,39.4475,39.5330
2019-09-25,39.3199,40.5028,39.1717,39.6851
2019-09-26,39.3524,39.9323,39.2193,39.6471
2019-09-27,39.4094,40.3222,39.2763,39.5901
2019-09-30,39.5520,39.5663,38.5062,39.2003
2019-10-01,39.2003,39.2003,36.8804,37.7836
2019-10-02,37.9833,38.2685,36.8899,37.2512
2019-10-03,37.1181,37.4603,35.9962,36.9184
2019-10-04,37.0800,37.5554,35.8630,37.4318
2019-10-07,36.8629,37.7170,36.5381,37.1276
2019-10-08,36.8423,37.2226,36.4050,36.7663
2019-10-09,36.7853,37.4603,36.4573,37.3177
2019-10-10,37.2702,37.2702,36.6807,36.8899
2019-10-11,37.3082,37.5554,36.6997,37.4889
2019-10-14,37.5364,37.6838,36.9374,37.5174
2019-10-15,36.6902,37.5364,36.6902,37.3558
2019-10-16,36.9754,37.6980,36.9754,37.3843
2019-10-17,38.3160,38.4967,37.6505,38.1639
2019-10-18,37.8977,38.7819,37.8977,38.2495
2019-10-21,38.2210,38.9340,38.0783,38.7819
2019-10-22,38.5537,39.3048,38.2780,38.7439
2019-10-23,38.7439,39.3904,38.3255,39.1717
2019-10-24,38.9816,39.7422,38.0403,39.3524
2019-10-25,38.6868,39.8183,38.6868,39.4284
2019-10-28,39.3412,39.5283,39.1622,39.1717
2019-10-29,39.1242,39.9133,38.7599,39.5711
2019-10-30,39.9323,39.9323,38.3350,39.5806
2019-10-31,39.4950,39.7988,38.7344,39.6756
2019-11-01,39.8183,40.1320,38.9721,40.1320
2019-11-04,40.2936,40.4077,39.2383,39.5330
2019-11-05,39.6281,39.6281,39.1242,39.3619
2019-11-06,39.1147,39.3809,38.9816,39.0101
2019-11-07,39.0767,39.8278,38.9016,39.1812
2019-11-08,39.4850,39.4850,38.4872,38.4872
2019-11-11,38.4206,38.9816,37.8026,38.5347
2019-11-12,38.8770,38.9816,38.2210,38.6963
2019-11-13,38.5204,38.5727,38.0308,38.1734
2019-11-14,38.5062,38.9816,37.3748,37.9452
2019-11-15,38.0403,38.1829,37.2036,37.3177
2019-11-18,37.7456,38.4396,37.3367,38.0118
2019-11-19,38.1354,39.0671,37.6505,38.2305
2019-11-20,37.7551,38.4491,37.2226,37.5554
2019-11-21,37.7931,37.7931,37.2702,37.7075
2019-11-22,37.6885,37.6885,37.0800,37.3177
2019-11-25,37.9452,37.9452,37.3022,37.4318
2019-11-26,37.5839,37.7456,37.0325,37.0325
2019-11-27,37.5554,37.8977,37.1086,37.5839
2019-11-29,37.5839,38.5157,37.3177,38.3160
2019-12-02,38.3160,38.5818,38.0593,38.3160
2019-12-03,38.0974,38.8675,37.1371,37.5554
2019-12-04,37.8216,38.6583,37.3890,37.5554
2019-12-05,37.5554,37.7931,37.1181,37.5174
2019-12-06,37.5079,37.9072,37.0895,37.1846
2019-12-09,37.4603,37.4603,37.0230,37.0705
2019-12-10,37.2226,37.2226,36.6046,36.7473
2019-12-11,36.9945,37.6885,36.6807,37.1371
2019-12-12,37.4128,38.0308,36.7948,37.9167
2019-12-13,37.9167,38.4111,37.0572,38.0213
2019-12-16,37.9357,38.7344,37.2278,38.0023
2019-12-17,37.9928,38.6773,37.6885,38.4396
2019-12-18,38.2685,39.4094,38.2685,39.2383
2019-12-19,39.7327,39.7327,38.3921,38.8199
2019-12-20,39.1955,39.4475,38.6203,39.2003
2019-12-23,38.9721,39.1432,37.3748,38.8390
2019-12-24,38.6963,39.1907,38.3065,39.0291
2019-12-26,39.0291,39.1622,38.4967,38.8295
2019-12-27,39.0767,39.4094,38.2400,38.7154
