DATE,OPEN,HIGH,LOW,CLOSE
1990-03-26,1.9713,1.9713,1.9713,1.9713
1990-03-27,1.7907,1.7907,1.7907,1.7907
1990-03-28,1.7907,1.7907,1.7907,1.7907
1990-03-29,1.7907,1.8810,1.7907,1.8358
1990-03-30,1.7907,1.7907,1.5951,1.6929
1990-04-02,1.6929,1.6929,1.5048,1.5048
1990-04-03,1.5499,1.6929,1.5499,1.6929
1990-04-04,1.7907,1.8810,1.7907,1.8810
1990-04-05,1.8810,2.0691,1.7907,2.0691
1990-04-06,2.0691,2.1669,1.9713,1.9713
1990-04-09,2.1669,2.1669,2.0691,2.1669
1990-04-10,2.0691,2.1669,2.0691,2.1669
1990-04-11,2.1669,2.1669,2.1669,2.1669
1990-04-12,1.9713,1.9713,1.9713,1.9713
1990-04-16,1.9713,2.0691,1.9713,2.0691
1990-04-17,1.9713,1.9713,1.9713,1.9713
1990-04-18,2.0691,2.1669,2.0691,2.1669
1990-04-19,1.9713,2.0691,1.9713,2.0691
1990-04-20,1.9713,1.9713,1.9713,1.9713
1990-04-23,1.9713,1.9713,1.8810,1.8810
1990-04-24,1.8810,1.8810,1.8810,1.8810
1990-04-25,1.8810,1.9713,1.6929,1.6929
1990-04-26,1.5951,1.5951,1.5951,1.5951
1990-04-27,1.5951,1.6477,1.5048,1.5951
1990-04-30,1.5951,1.5951,1.5951,1.5951
1990-05-01,1.4145,1.4145,1.3167,1.3167
1990-05-02,1.5048,1.5048,1.5048,1.5048
1990-05-03,1.3167,1.3167,1.3167,1.3167
1990-05-04,1.5048,1.5048,1.3167,1.3167
1990-05-07,1.3167,1.3167,1.3167,1.3167
1990-05-08,1.5048,1.5048,1.5048,1.5048
1990-05-09,1.3618,1.3618,1.3618,1.3618
1990-05-10,1.5499,1.5499,1.5499,1.5499
1990-05-11,1.3618,1.3618,1.3618,1.3618
1990-05-14,1.5499,1.5499,1.3618,1.3618
1990-05-15,1.3167,1.4596,1.3167,1.3167
1990-05-16,1.4145,1.4596,1.3167,1.4596
1990-05-17,1.3167,1.3167,1.3167,1.3167
1990-05-18,1.3167,1.3167,1.3167,1.3167
1990-05-21,1.3167,1.3167,1.3167,1.3167
1990-05-22,1.3167,1.4596,1.2715,1.3167
1990-05-23,1.3167,1.4145,1.3167,1.4145
1990-05-24,1.4145,1.5499,1.3618,1.5499
1990-05-25,1.5951,1.5951,1.5951,1.5951
1990-05-29,1.5048,1.5048,1.5048,1.5048
1990-05-30,1.5048,1.5048,1.5048,1.5048
1990-05-31,1.5048,1.5048,1.5048,1.5048
1990-06-01,1.5048,1.5048,1.5048,1.5048
1990-06-04,1.5499,1.5499,1.3618,1.4145
1990-06-05,1.3618,1.5048,1.3167,1.5048
1990-06-06,1.3167,1.5048,1.3167,1.3167
1990-06-07,1.3167,1.3167,1.3167,1.3167
1990-06-08,1.3167,1.3167,1.3167,1.3167
1990-06-11,1.3167,1.3167,1.3167,1.3167
1990-06-12,1.3167,1.4145,1.3167,1.3167
1990-06-13,1.4145,1.4145,1.3167,1.3167
1990-06-14,1.3167,1.3167,1.3167,1.3167
1990-06-15,1.4596,1.4596,1.3167,1.4596
1990-06-18,1.3167,1.3167,1.3167,1.3167
1990-06-19,1.3167,1.3167,1.3167,1.3167
1990-06-20,1.4145,1.4145,1.3167,1.3167
1990-06-21,1.3618,1.4145,1.3167,1.3167
1990-06-22,1.3167,1.3167,1.3167,1.3167
1990-06-25,1.3167,1.3167,1.3167,1.3167
1990-06-26,1.3167,1.3167,1.3167,1.3167
1990-06-27,1.2189,1.4145,1.2189,1.3167
1990-06-28,1.2189,1.3167,1.1286,1.3167
1990-06-29,1.3167,1.3167,1.1286,1.1286
1990-07-02,1.1286,1.1286,1.1286,1.1286
1990-07-03,1.1286,1.1286,1.1286,1.1286
1990-07-05,1.3167,1.3167,1.3167,1.3167
