DATE,OPEN,HIGH,LOW,CLOSE
2002-02-25,0.4924,0.5115,0.4921,0.5115
2002-02-26,0.5087,0.5299,0.5051,0.5281
2002-02-27,0.5288,0.5299,0.5197,0.5275
2002-02-28,0.5226,0.5226,0.5205,0.5208
2002-03-01,0.5196,0.5196,0.5026,0.5093
2002-03-04,0.5117,0.5129,0.5063,0.5129
2002-03-05,0.5116,0.5128,0.4851,0.4863
2002-03-06,0.4790,0.4832,0.4729,0.4814
2002-03-07,0.4911,0.4911,0.4832,0.4887
2002-03-08,0.4899,0.4899,0.4857,0.4881
2002-03-11,0.4899,0.4899,0.4820,0.4849
2002-03-12,0.4915,0.5012,0.4903,0.5012
2002-03-13,0.5001,0.5081,0.4971,0.4983
2002-03-14,0.4984,0.5020,0.4977,0.5020
2002-03-15,0.4928,0.5053,0.4909,0.5047
2002-03-18,0.5106,0.5114,0.5034,0.5106
2002-03-19,0.5079,0.5118,0.5079,0.5081
2002-03-20,0.5099,0.5099,0.5056,0.5083
2002-03-21,0.5001,0.5001,0.4878,0.4897
2002-03-22,0.4836,0.4869,0.4822,0.4869
2002-03-25,0.4838,0.4861,0.4836,0.4836
2002-03-26,0.4863,0.4912,0.4863,0.4888
2002-03-27,0.4887,0.4973,0.4887,0.4973
2002-03-28,0.5004,0.5004,0.4887,0.4924
2002-04-01,0.4912,0.5059,0.4912,0.5059
2002-04-02,0.5005,0.5102,0.4989,0.4998
2002-04-03,0.5028,0.5028,0.4814,0.4814
2002-04-04,0.4801,0.4961,0.4801,0.4961
2002-04-05,0.4949,0.5028,0.4949,0.5010
2002-04-08,0.4942,0.5016,0.4942,0.5016
2002-04-09,0.5035,0.5206,0.5035,0.5176
2002-04-10,0.5177,0.5375,0.5177,0.5372
2002-04-11,0.5381,0.5399,0.5305,0.5305
2002-04-12,0.5306,0.5306,0.5231,0.5256
2002-04-15,0.5170,0.5170,0.5058,0.5062
2002-04-16,0.5102,0.5102,0.4900,0.4973
2002-04-17,0.4979,0.5047,0.4973,0.4973
2002-04-18,0.4973,0.4998,0.4900,0.4973
