DATE,OPEN,HIGH,LOW,CLOSE
2018-10-19,7.8300,7.8402,7.7400,7.7400
2018-11-19,7.3104,7.3159,7.2970,7.3159
2018-11-20,7.2779,7.3064,7.1544,7.2589
2018-11-21,7.3064,7.3159,7.2399,7.2589
2018-11-23,7.2684,7.3064,7.1829,7.2684
2018-11-26,7.2684,7.3077,7.2684,7.2884
2018-11-27,7.2684,7.3245,7.2209,7.2684
2018-11-28,7.2916,7.4300,7.2874,7.4300
2018-11-29,7.4395,7.4395,7.3564,7.4205
2018-11-30,7.4395,7.4395,7.3065,7.3635
2018-12-03,7.4205,7.4300,7.3064,7.4300
2018-12-04,7.4110,7.4679,7.3635,7.4585
2018-12-06,7.2589,7.4585,7.2589,7.3730
2018-12-07,7.4110,7.4585,7.3811,7.4490
2018-12-10,7.4332,7.4680,7.3921,7.4300
2018-12-11,7.4110,7.4490,7.3255,7.3730
2018-12-12,7.3635,7.4110,7.3254,7.3825
2018-12-13,7.3991,7.4276,7.3323,7.3991
2018-12-14,7.3704,7.4086,7.3036,7.3991
2018-12-17,7.2941,7.4276,7.1890,7.2272
2018-12-18,7.2272,7.2654,7.0649,7.2272
2018-12-19,7.2272,7.3069,7.1986,7.2081
2018-12-20,7.2081,7.2749,7.1509,7.2463
2018-12-21,7.2654,7.2654,6.9790,7.0745
2018-12-24,7.0745,7.2463,7.0745,7.2081
2018-12-26,7.2081,7.2627,7.0745,7.1986
2018-12-27,7.1222,7.2673,7.0458,7.1700
2018-12-28,7.1222,7.2845,7.1222,7.2654
2018-12-31,7.2368,7.4086,7.2247,7.2845
2019-01-02,7.2747,7.3609,7.2747,7.3609
2019-01-03,7.3748,7.3886,7.3132,7.3774
2019-01-04,7.3984,7.4182,7.3655,7.4132
2019-01-07,7.4182,7.5518,7.4096,7.5518
2019-01-08,7.5518,7.6473,7.5518,7.5996
2019-01-09,7.5960,7.6664,7.4794,7.6569
2019-01-10,7.6569,7.6950,7.5321,7.5614
2019-01-11,7.5420,7.7011,7.5420,7.6855
2019-01-14,7.6281,7.7714,7.5948,7.6091
2019-01-15,7.5321,7.6378,7.5321,7.6378
2019-01-16,7.5784,7.7905,7.5784,7.7046
2019-01-17,7.6390,7.6760,7.6091,7.6664
2019-01-18,7.6519,7.7237,7.6519,7.7141
2019-01-22,7.6883,7.8192,7.6883,7.7237
2019-01-23,7.7046,7.8096,7.6569,7.7523
2019-01-24,7.7523,7.8192,7.7399,7.7619
2019-01-25,7.7332,7.9051,7.7332,7.8287
2019-01-28,7.7332,7.8287,7.7073,7.8287
2019-01-29,7.8478,7.8860,7.7428,7.8287
2019-01-30,7.8001,7.8955,7.7809,7.8764
2019-01-31,7.8574,8.1151,7.8574,8.0006
2019-02-01,8.0674,8.0674,7.8574,8.0292
2019-02-04,8.0275,8.2297,7.9735,8.0724
2019-02-05,8.0865,8.0960,7.9959,8.0769
2019-02-06,8.1342,8.1342,7.9720,8.0865
2019-02-07,8.0578,8.1629,7.9959,8.1151
2019-02-08,8.1724,8.2870,8.0387,8.0960
2019-02-11,7.9945,8.1867,7.9945,8.1342
2019-02-12,8.1056,8.4015,8.0233,8.1533
2019-02-13,8.1533,8.1533,7.9719,8.0387
