DATE,OPEN,HIGH,LOW,CLOSE
2017-05-30,22.5747,22.7582,22.4425,22.4646
2017-05-31,22.5306,23.1840,22.2003,22.9638
2017-06-01,22.8683,25.0414,22.8683,24.9166
2017-06-02,24.2779,24.7257,24.2265,24.4394
2017-06-05,24.7183,25.5846,24.0356,24.2925
2017-06-06,24.0356,24.3293,23.0152,23.1987
2017-06-07,23.4630,23.6245,22.8903,23.2721
2017-06-08,23.3308,23.4777,23.0886,23.3308
2017-06-09,23.1253,23.5290,23.0078,23.2794
2017-06-12,23.2281,23.9475,23.1327,23.7052
2017-06-13,23.9035,24.4100,23.6869,24.0356
2017-06-14,24.8358,24.9826,24.3366,24.9533
2017-06-15,24.4908,24.5495,24.0429,24.3072
2017-06-16,24.3366,24.3733,23.8080,23.8080
2017-06-19,24.0650,24.3733,24.0356,24.3366
2017-06-20,24.1824,24.4541,23.9108,24.1457
2017-06-21,24.1824,24.5201,24.1053,24.1310
2017-06-22,24.1237,24.3293,24.0943,24.2925
2017-06-23,24.2705,24.4394,24.0870,24.1531
2017-06-26,24.2485,24.5825,24.0796,24.3733
2017-06-27,24.3806,24.5201,24.1310,24.2705
2017-06-28,24.3072,25.2689,24.2338,24.7110
2017-06-29,24.9606,25.0671,24.0136,24.6376
2017-06-30,24.5862,24.6156,24.1971,24.3072
2017-07-03,24.1677,24.3146,23.5070,23.8594
2017-07-05,23.8447,24.0429,23.6612,23.9695
2017-07-06,23.7346,23.7713,23.1987,23.1987
2017-07-07,23.3308,23.8668,23.2501,23.8521
2017-07-10,23.9108,24.6743,23.9108,24.6523
2017-07-11,24.6523,24.6523,24.0796,24.4027
2017-07-12,24.4247,24.9239,24.3439,24.7991
2017-07-13,24.8064,25.1441,24.5936,25.0193
2017-07-14,24.9900,25.1441,24.7844,24.9606
2017-07-17,25.0340,25.0707,24.7734,24.8285
2017-07-18,24.8432,25.0193,24.6670,24.7697
2017-07-19,24.7183,24.9386,24.3660,24.6082
2017-07-20,24.5715,24.7991,24.2412,24.6082
2017-07-21,24.4100,24.6890,24.1677,24.2999
2017-07-24,24.1604,24.7183,24.1090,24.7110
2017-07-25,25.0634,25.3534,24.9753,25.2322
2017-07-26,25.2322,25.3424,24.9092,24.9606
2017-07-27,25.1221,25.2102,24.1384,24.3660
2017-07-28,24.4320,24.5054,24.0209,24.1237
2017-07-31,24.1237,24.6376,24.1237,24.5862
2017-08-01,24.7551,25.0414,24.6596,24.9753
2017-08-02,24.5348,24.8725,23.8594,24.6156
2017-08-03,24.3880,24.7771,24.3660,24.6082
2017-08-04,24.7551,25.2763,24.7551,25.0560
2017-08-07,25.0854,25.1368,24.8211,25.0193
2017-08-08,26.2086,26.3188,25.4745,26.0471
2017-08-09,26.0692,26.3041,25.9811,26.2600
2017-08-10,26.1646,26.1646,25.7755,25.9150
2017-08-11,25.8049,26.1646,25.7021,26.1279
2017-08-14,26.2747,26.6124,25.9811,26.2013
2017-08-15,26.1426,26.2307,25.6067,25.8416
2017-08-16,26.1207,26.3134,25.9281,26.0985
2017-08-17,25.9281,26.0911,25.5651,25.7133
2017-08-18,25.8763,25.8763,25.2910,25.4170
2017-08-21,25.4614,25.6466,25.3874,25.5577
2017-08-22,25.4911,25.7652,25.3059,25.5577
2017-08-23,25.3429,25.8170,25.3429,25.7355
2017-08-24,25.8615,25.9059,25.5726,25.7948
2017-08-25,25.9281,26.3282,25.9281,26.1356
2017-08-28,26.1207,26.3059,25.8837,26.0244
2017-08-29,25.4985,25.5059,25.0836,25.3059
2017-08-30,25.2836,25.3577,24.9577,25.3133
2017-08-31,25.2836,25.7133,25.2021,25.6022
2017-09-01,25.6614,25.8392,25.6614,25.7726
2017-09-05,25.7355,25.7355,24.5058,24.7577
2017-09-06,24.4169,24.9651,24.3428,24.7577
2017-09-07,24.8169,24.8169,24.5132,24.6021
2017-09-08,24.5577,24.7947,24.4391,24.7354
2017-09-11,25.0910,25.4244,24.8095,24.8836
2017-09-12,25.2170,25.2170,24.9281,25.1873
2017-09-13,24.9873,24.9873,24.2910,24.4762
2017-09-14,24.3058,24.7206,24.3058,24.6095
2017-09-15,24.6169,24.9206,24.5354,24.6391
2017-09-18,24.6391,24.9577,24.6391,24.8317
2017-09-19,24.8910,25.2318,24.8836,25.0762
2017-09-20,25.2244,25.4392,25.1281,25.1873
2017-09-21,25.2392,25.2651,24.8317,24.8466
2017-09-22,24.9355,25.1725,24.9058,25.1577
2017-09-25,25.1355,25.2096,24.7058,25.0984
2017-09-26,25.1873,25.1873,24.8836,25.0540
2017-09-27,25.4392,25.5577,25.0392,25.5133
2017-09-28,25.5281,25.6022,25.1873,25.4540
2017-09-29,25.4170,25.8763,25.3355,25.8096
2017-10-02,25.7355,26.0911,25.7355,26.0763
2017-10-03,25.9059,26.0096,25.6096,25.9800
2017-10-04,25.9800,26.1726,25.7800,26.1504
2017-10-05,26.1948,26.1948,25.8837,25.9207
2017-10-06,25.8689,25.8689,25.5207,25.7726
2017-10-09,25.8466,26.0467,25.6022,25.7800
2017-10-10,25.8096,25.9948,25.7429,25.9355
2017-10-11,25.9355,26.0837,25.7281,25.8837
2017-10-12,25.9281,26.3356,25.9207,26.0689
2017-10-13,26.1133,26.3948,26.0393,26.1504
2017-10-16,26.1578,26.3800,26.0244,26.0911
2017-10-17,25.9652,26.1874,25.7800,26.0244
2017-10-18,26.0763,26.2985,25.9355,26.1356
2017-10-19,25.9430,26.1652,25.8689,25.9874
2017-10-20,26.0615,26.2245,25.8985,26.1282
2017-10-23,26.0244,26.1282,25.9504,26.0541
2017-10-24,26.0615,26.1504,26.0022,26.1133
2017-10-25,26.0837,26.1578,25.5874,25.8763
2017-10-26,25.9800,26.0319,25.6170,25.9652
2017-10-27,25.7355,25.7578,25.2688,25.5726
2017-10-30,25.3874,25.8318,25.3874,25.7133
2017-10-31,25.7726,25.7726,25.4985,25.7429
2017-11-01,25.7652,25.7800,25.4022,25.5800
2017-11-02,25.6466,25.9652,25.5059,25.8763
2017-11-03,25.8615,25.9281,25.5059,25.7800
2017-11-06,25.6763,26.0170,25.6616,25.9800
2017-11-07,26.0170,26.1207,25.5170,25.6244
2017-11-08,25.4985,25.8837,25.4614,25.6689
2017-11-09,25.0244,26.2615,24.8577,26.1948
2017-11-10,26.9875,27.1875,26.7801,26.9801
2017-11-13,27.1875,27.4616,27.1653,27.4394
2017-11-14,26.7356,27.6987,26.2985,27.2764
2017-11-15,27.0468,27.2579,26.8541,27.1579
2017-11-16,27.1579,27.4394,26.8986,26.9579
2017-11-17,26.8272,27.4549,26.7375,27.3727
2017-11-20,27.2008,27.2008,26.7450,26.9169
2017-11-21,27.1261,27.4325,26.9393,27.1709
2017-11-22,27.1560,27.4624,27.1261,27.2083
2017-11-24,27.3129,27.4474,27.2382,27.4250
2017-11-27,26.4685,27.3877,26.4685,26.9991
2017-11-28,26.9916,27.3204,26.9916,27.2008
2017-11-29,27.2233,27.4325,27.2008,27.2681
2017-11-30,27.4848,27.8958,27.2868,27.8510
2017-12-01,27.7987,27.9668,27.4997,27.6641
2017-12-04,27.8360,27.8584,26.7973,26.9243
2017-12-05,27.1336,27.4101,26.7263,26.7898
2017-12-06,26.8048,27.3204,26.7973,27.1709
2017-12-07,27.3652,27.3652,26.9019,26.9916
2017-12-08,27.2158,27.2756,26.9169,26.9991
2017-12-11,26.9542,27.5446,26.9542,27.5147
2017-12-12,27.4101,27.4773,26.8421,27.4026
2017-12-13,27.4848,27.6343,27.2980,27.3279
2017-12-14,27.9182,28.0527,27.6492,27.7762
2017-12-15,27.9033,28.0602,27.7314,27.7613
2017-12-18,28.0378,28.1275,27.9145,27.9556
2017-12-19,28.4525,28.6356,28.3292,28.4861
2017-12-20,28.7701,28.8149,28.3666,28.5235
2017-12-21,28.7029,28.8000,28.5310,28.6281
