DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1983-12-30,2.5820,2.6114,2.5527,2.5820,0.212,
1984-01-03,2.5785,2.5967,2.5597,2.5820,0.386,
1984-01-04,2.6313,2.6918,2.5967,2.6918,0.293,
1984-01-05,2.7469,2.7804,2.7141,2.7804,0.344,
1984-01-06,2.7510,2.7804,2.7217,2.7510,0.194,
1984-01-09,2.7581,2.7804,2.7358,2.7581,0.216,
1984-01-10,2.7986,2.8314,2.7651,2.8097,0.143,
1984-01-11,2.8097,2.8754,2.7804,2.8678,0.398,
1984-01-12,2.8678,2.9124,2.8537,2.8972,0.298,
1984-01-13,2.9265,2.9488,2.9048,2.9124,0.591,
1984-01-16,2.8972,2.9124,2.8831,2.8831,0.104,
1984-01-17,2.8831,2.8831,2.8168,2.8314,0.134,
1984-01-18,2.8719,2.9048,2.8391,2.8972,1.353,
1984-01-19,2.8972,2.9124,2.8831,2.8972,0.245,
1984-01-20,2.8972,2.8972,2.8608,2.8754,0.168,
1984-01-23,2.9013,2.9195,2.8831,2.9124,0.246,
1984-01-24,2.9306,2.9488,2.9124,2.9488,0.293,
1984-01-25,2.9893,3.0075,2.9705,2.9781,0.243,
1984-01-26,2.9781,2.9858,2.9417,2.9488,0.212,
1984-01-27,2.9488,2.9488,2.9124,2.9341,0.183,
1984-01-30,2.9195,2.9265,2.9124,2.9195,0.100,
1984-01-31,2.9195,3.0075,2.9195,2.9635,0.352,
1984-02-01,2.9635,2.9928,2.9124,2.9195,0.225,
1984-02-02,2.9195,2.9265,2.8972,2.8972,0.231,
1984-02-03,2.9341,2.9635,2.9048,2.9195,0.320,
1984-02-06,2.8719,2.9124,2.8314,2.8537,0.068,
1984-02-07,2.8168,2.8391,2.7945,2.8168,0.212,
1984-02-08,2.8168,2.8678,2.7945,2.8314,0.395,
1984-02-09,2.8314,2.8461,2.8021,2.8168,0.197,
1984-02-10,2.8168,2.8537,2.8168,2.8537,0.233,
1984-02-13,2.8537,2.8754,2.8461,2.8461,0.324,
1984-02-14,2.8461,2.9048,2.8391,2.9048,0.135,
1984-02-15,2.9048,2.9635,2.8901,2.9488,0.544,
1984-02-16,2.9488,3.0151,2.9341,2.9928,0.362,
1984-02-17,2.9928,2.9998,2.9417,2.9417,0.654,
1984-02-21,2.9417,2.9558,2.9124,2.9124,0.108,
1984-02-22,2.9124,2.9265,2.8314,2.8314,0.197,
1984-02-23,2.8314,2.8391,2.7651,2.8021,0.466,
1984-02-24,2.8021,2.8314,2.7874,2.8168,0.067,
1984-02-27,2.8168,2.8537,2.7651,2.8537,0.613,
1984-02-28,2.8279,2.8461,2.7945,2.8168,0.294,
1984-02-29,2.8168,2.8678,2.8097,2.8314,0.210,
1984-03-01,2.8021,2.8168,2.7874,2.8021,0.274,
1984-03-02,2.8021,2.9048,2.8021,2.8754,0.206,
1984-03-05,2.8754,2.8901,2.8168,2.8314,0.533,
1984-03-06,2.8314,2.8461,2.8021,2.8021,0.218,
1984-03-07,2.8021,2.8021,2.7581,2.7581,0.151,
1984-03-08,2.7581,2.8021,2.7581,2.8021,0.121,
1984-03-09,2.7434,2.7581,2.7287,2.7287,0.382,
1984-03-12,2.7287,2.7510,2.6554,2.6554,0.428,2.846
1984-03-13,2.6882,2.7141,2.6624,2.7064,0.280,2.848
1984-03-14,2.6736,2.6994,2.6483,2.6701,0.328,2.850
1984-03-15,2.6701,2.7064,2.6554,2.6994,0.359,2.850
1984-03-16,2.7874,2.8168,2.7581,2.7804,0.231,2.850
1984-03-19,2.7399,2.7727,2.7064,2.7358,0.196,2.850
1984-03-20,2.7581,2.7874,2.7287,2.7874,0.228,2.850
1984-03-21,2.7874,2.8168,2.7874,2.8168,0.090,2.851
1984-03-22,2.8168,2.8391,2.7874,2.7874,0.125,2.849
1984-03-23,2.7874,2.8097,2.7651,2.7651,0.051,2.846
1984-03-26,2.7651,2.7804,2.7510,2.7651,0.076,2.843
1984-03-27,2.7651,2.7727,2.7358,2.7581,0.528,2.841
1984-03-28,2.7581,2.7727,2.7510,2.7581,0.098,2.839
1984-03-29,2.7581,2.7727,2.7287,2.7287,0.125,2.836
1984-03-30,2.7287,2.7287,2.6624,2.6624,0.208,2.831
1984-04-02,2.6847,2.7064,2.6624,2.6624,0.253,2.827
1984-04-03,2.6624,2.6918,2.6114,2.6114,0.106,2.821
1984-04-04,2.6114,2.6331,2.5967,2.5967,0.282,2.814
1984-04-05,2.5967,2.6114,2.5456,2.5456,0.290,2.805
1984-04-06,2.5456,2.5456,2.5087,2.5163,0.066,2.797
1984-04-09,2.5163,2.5380,2.4793,2.5010,0.215,2.788
1984-04-10,2.5233,2.5380,2.5087,2.5087,0.058,2.780
1984-04-11,2.5233,2.5304,2.5163,2.5304,0.087,2.771
1984-04-12,2.5304,2.6331,2.4870,2.6331,0.373,2.765
1984-04-13,2.6331,2.6554,2.6331,2.6331,0.136,2.760
1984-04-16,2.5967,2.6293,2.5747,2.6073,0.051,2.754
1984-04-17,2.6073,2.6627,2.6073,2.6407,0.137,2.750
1984-04-18,2.6407,2.6627,2.6293,2.6293,0.056,2.746
1984-04-19,2.6293,2.6627,2.6293,2.6407,0.112,2.742
1984-04-23,2.6407,2.6407,2.5747,2.6407,0.074,2.739
1984-04-24,2.6407,2.7067,2.6407,2.6742,0.186,2.735
1984-04-25,2.7182,2.7507,2.6847,2.7287,0.184,2.733
1984-04-26,2.7287,2.7727,2.6953,2.7507,0.203,2.730
1984-04-27,2.7507,2.8062,2.7287,2.7727,0.207,2.726
1984-04-30,2.7727,2.7948,2.7507,2.7842,0.089,2.722
1984-05-01,2.7842,2.8273,2.7727,2.8273,0.225,2.720
1984-05-02,2.9101,2.9268,2.8933,2.8933,0.138,2.719
1984-05-03,2.8933,2.9268,2.8713,2.8933,0.112,2.720
1984-05-04,2.8933,2.8933,2.8273,2.8388,0.102,2.721
1984-05-07,2.8388,2.8828,2.8388,2.8388,0.048,2.722
1984-05-08,2.8828,2.9048,2.8608,2.8713,0.331,2.722
1984-05-09,2.8713,2.8713,2.7287,2.7507,0.290,2.721
1984-05-10,2.7507,2.7842,2.7287,2.7507,0.283,2.719
1984-05-11,2.6900,2.7287,2.5967,2.6187,0.273,2.715
1984-05-14,2.5914,2.6073,2.5747,2.5861,0.241,2.710
1984-05-15,2.5861,2.6522,2.5861,2.6407,0.248,2.706
1984-05-16,2.6407,2.6407,2.6073,2.6293,0.114,2.702
1984-05-17,2.6293,2.6407,2.5861,2.5967,0.188,2.699
1984-05-18,2.5967,2.6407,2.5967,2.6293,0.063,2.696
1984-05-21,2.6293,2.6293,2.5861,2.5861,0.623,2.693
1984-05-22,2.5421,2.5632,2.4207,2.4867,0.106,2.689
1984-05-23,2.4867,2.5201,2.4101,2.4101,0.221,2.683
1984-05-24,2.4541,2.5747,2.4207,2.4312,4.020,2.679
1984-05-25,2.4312,2.4647,2.3881,2.4207,0.230,2.673
1984-05-29,2.4207,2.4312,2.2886,2.3326,0.218,2.664
1984-05-30,2.2006,2.3106,2.1786,2.2112,1.063,2.654
1984-05-31,2.2112,2.2226,2.0686,2.1240,0.389,2.640
1984-06-01,2.1240,2.1460,2.0686,2.1126,0.741,2.626
1984-06-04,2.2006,2.2886,2.1566,2.2332,0.585,2.615
1984-06-05,2.2332,2.2560,2.1786,2.2112,5.370,2.604
1984-06-06,2.2112,2.2560,2.2112,2.2560,0.366,2.594
1984-06-07,2.2560,2.2666,2.2332,2.2560,0.905,2.584
1984-06-08,2.2666,2.2886,2.2446,2.2886,0.708,2.574
1984-06-11,2.2332,2.2332,2.1566,2.1786,0.199,2.563
1984-06-12,2.1566,2.1566,2.0906,2.1566,0.692,2.553
1984-06-13,2.1671,2.1900,2.1346,2.1460,0.425,2.543
1984-06-14,2.1346,2.1346,2.0686,2.1011,0.615,2.533
1984-06-15,2.1126,2.1460,2.0906,2.1126,0.359,2.523
1984-06-18,2.1346,2.2226,2.1126,2.2226,0.235,2.517
1984-06-19,2.2226,2.2666,2.2112,2.2560,0.171,2.511
1984-06-20,2.2332,2.3326,2.2112,2.3326,0.340,2.508
1984-06-21,2.3326,2.3986,2.3106,2.3766,0.425,2.505
1984-06-22,2.3546,2.3546,2.3106,2.3221,0.179,2.501
1984-06-25,2.2992,2.3432,2.2886,2.2992,0.124,2.495
1984-06-26,2.2781,2.2781,2.2560,2.2666,0.347,2.487
1984-06-27,2.2446,2.2666,2.2112,2.2226,0.101,2.480
1984-06-28,2.2226,2.2226,2.1566,2.1900,0.196,2.471
1984-06-29,2.1011,2.1460,2.0686,2.1126,0.725,2.460
1984-07-02,2.1126,2.1671,2.0906,2.1460,0.533,2.450
1984-07-03,2.1671,2.2446,2.1671,2.2226,0.528,2.442
1984-07-05,2.2226,2.2560,2.2226,2.2560,0.088,2.434
1984-07-06,2.2332,2.2446,2.2112,2.2226,0.112,2.424
1984-07-09,2.2112,2.3326,2.2112,2.3326,0.160,2.415
1984-07-10,2.3221,2.3546,2.2886,2.3221,0.238,2.406
1984-07-11,2.3106,2.3221,2.2886,2.2992,0.354,2.396
1984-07-12,2.2992,2.2992,2.2332,2.2666,0.106,2.385
1984-07-13,2.2666,2.2886,2.2446,2.2886,0.125,2.373
1984-07-16,2.2781,2.2886,2.2560,2.2781,0.063,2.361
1984-07-17,2.2992,2.3881,2.2886,2.3766,0.284,2.352
1984-07-18,2.3766,2.3986,2.3106,2.3106,0.225,2.341
1984-07-19,2.3106,2.3106,2.1900,2.2112,0.287,2.328
1984-07-20,2.2112,2.2666,2.1786,2.1900,0.328,2.317
1984-07-23,2.1786,2.2006,2.1566,2.1900,0.260,2.305
1984-07-24,2.1786,2.1786,2.1240,2.1671,0.648,2.296
1984-07-25,2.1460,2.1900,2.1460,2.1786,0.726,2.288
1984-07-26,2.1786,2.2560,2.1786,2.2560,0.090,2.281
1984-07-27,2.2666,2.4101,2.2560,2.4101,0.326,2.276
1984-07-30,2.3546,2.3766,2.3221,2.3326,0.153,2.271
1984-07-31,2.3326,2.3432,2.3106,2.3326,0.151,2.265
1984-08-01,2.2886,2.3986,2.2560,2.3652,0.428,2.260
1984-08-02,2.3546,2.3986,2.3326,2.3986,1.133,2.259
1984-08-03,2.4207,2.4867,2.4101,2.4541,1.203,2.260
1984-08-06,2.5087,2.5201,2.4541,2.4752,0.896,2.260
1984-08-07,2.4752,2.4972,2.4541,2.4647,0.264,2.261
1984-08-08,2.4647,2.4972,2.4541,2.4541,0.267,2.264
1984-08-09,2.4752,2.5307,2.4541,2.5307,1.067,2.270
1984-08-10,2.6407,2.6627,2.5527,2.5967,0.783,2.280
1984-08-13,2.5967,2.5967,2.5527,2.5747,0.080,2.289
1984-08-14,2.5861,2.5861,2.5087,2.5421,0.212,2.295
1984-08-15,2.5307,2.5307,2.4207,2.4427,0.152,2.300
1984-08-16,2.4207,2.5307,2.4101,2.4972,0.373,2.305
1984-08-17,2.5087,2.5201,2.4972,2.5087,0.174,2.310
1984-08-20,2.5087,2.5087,2.4752,2.5087,0.171,2.314
1984-08-21,2.4867,2.5632,2.4647,2.5527,0.669,2.321
1984-08-22,2.5747,2.5747,2.5087,2.5632,0.356,2.330
1984-08-23,2.5632,2.5861,2.5421,2.5632,0.328,2.338
1984-08-24,2.5527,2.5632,2.5087,2.5421,0.142,2.347
1984-08-27,2.5421,2.5421,2.4752,2.5201,0.141,2.355
1984-08-28,2.5201,2.5527,2.5087,2.5201,0.167,2.361
1984-08-29,2.5307,2.5307,2.4972,2.5087,0.259,2.366
1984-08-30,2.4867,2.4867,2.4541,2.4647,0.119,2.369
1984-08-31,2.4207,2.4427,2.3881,2.4207,0.141,2.369
1984-09-04,2.4427,2.4427,2.3881,2.4101,1.392,2.371
1984-09-05,2.4101,2.4207,2.3766,2.3986,0.203,2.373
1984-09-06,2.3986,2.4427,2.3881,2.4427,0.499,2.377
1984-09-07,2.4427,2.4752,2.4427,2.4541,1.621,2.381
1984-09-10,2.3881,2.4312,2.3881,2.4207,0.841,2.386
1984-09-11,2.5747,2.5747,2.4972,2.5527,0.777,2.395
1984-09-12,2.5421,2.5747,2.5201,2.5632,0.287,2.403
1984-09-13,2.5747,2.7287,2.5747,2.7182,0.938,2.413
1984-09-14,2.7727,2.7948,2.7507,2.7727,0.564,2.423
1984-09-17,2.7507,2.8168,2.7287,2.8168,0.365,2.435
1984-09-18,2.8168,2.8168,2.7613,2.7842,0.117,2.444
1984-09-19,2.7287,2.7613,2.7067,2.7287,0.407,2.452
1984-09-20,2.7287,2.8828,2.7287,2.8388,0.398,2.463
1984-09-21,2.8608,2.8713,2.7842,2.7948,0.612,2.474
1984-09-24,2.7948,2.8062,2.6742,2.7182,0.105,2.482
1984-09-25,2.6847,2.7182,2.6627,2.7067,0.156,2.491
1984-09-26,2.7287,2.7287,2.6742,2.6847,0.299,2.497
1984-09-27,2.7067,2.7393,2.7067,2.7393,0.409,2.506
1984-09-28,2.7507,2.7507,2.6627,2.6847,0.194,2.515
1984-10-01,2.6187,2.6187,2.5747,2.5747,0.724,2.523
1984-10-02,2.5747,2.5861,2.5307,2.5747,0.408,2.531
1984-10-03,2.5527,2.5527,2.4312,2.4752,0.489,2.537
1984-10-04,2.4647,2.4972,2.4647,2.4752,0.169,2.543
1984-10-05,2.4867,2.4867,2.4647,2.4647,0.584,2.547
1984-10-08,2.4647,2.4647,2.3986,2.4647,0.169,2.548
1984-10-09,2.4647,2.4867,2.4541,2.4647,0.648,2.551
1984-10-10,2.4541,2.4867,2.4312,2.4752,0.359,2.553
1984-10-11,2.4972,2.5747,2.4972,2.5527,1.083,2.557
1984-10-12,2.5747,2.6407,2.5747,2.6187,0.984,2.562
1984-10-15,2.5967,2.6627,2.5861,2.6293,0.967,2.565
1984-10-16,2.6293,2.6407,2.6187,2.6407,0.554,2.568
1984-10-17,2.6187,2.6627,2.5967,2.6187,0.188,2.571
1984-10-18,2.6187,2.7182,2.6187,2.7182,1.124,2.577
1984-10-19,2.7507,2.7613,2.6522,2.6847,1.037,2.580
1984-10-22,2.6953,2.7067,2.6742,2.6742,0.333,2.581
1984-10-23,2.6953,2.7287,2.6522,2.6742,0.261,2.583
1984-10-24,2.7067,2.7067,2.6522,2.6627,0.041,2.586
1984-10-25,2.6627,2.6742,2.6187,2.6407,0.177,2.590
1984-10-26,2.6187,2.6407,2.6073,2.6187,0.122,2.592
1984-10-29,2.6293,2.6522,2.6187,2.6293,0.038,2.595
1984-10-30,2.6407,2.6953,2.6293,2.6742,1.028,2.598
1984-10-31,2.6627,2.6742,2.6407,2.6407,0.310,2.600
1984-11-01,2.6627,2.6953,2.6627,2.6953,1.022,2.602
1984-11-02,2.6847,2.7613,2.6847,2.7287,0.242,2.606
1984-11-05,2.7287,2.7948,2.7287,2.7842,0.080,2.610
1984-11-06,2.7948,2.8273,2.7842,2.8168,0.422,2.616
1984-11-07,2.8062,2.8168,2.7727,2.8168,0.310,2.622
1984-11-08,2.8062,2.8062,2.7727,2.8062,0.268,2.628
1984-11-09,2.8062,2.8062,2.7842,2.7842,0.200,2.635
1984-11-12,2.8062,2.8062,2.7182,2.7507,0.054,2.641
1984-11-13,2.7727,2.7727,2.6627,2.7067,0.094,2.647
1984-11-14,2.7287,2.7727,2.7287,2.7727,0.272,2.655
1984-11-15,2.7948,2.8608,2.7948,2.8168,0.737,2.662
1984-11-16,2.8168,2.8388,2.7842,2.7842,0.294,2.669
1984-11-19,2.7727,2.7727,2.7393,2.7507,0.077,2.675
1984-11-20,2.7613,2.7727,2.7393,2.7727,0.291,2.680
1984-11-21,2.7507,2.7948,2.7287,2.7727,0.282,2.684
1984-11-23,2.7727,2.8608,2.7727,2.8608,0.240,2.687
1984-11-26,2.8502,2.8502,2.8062,2.8273,0.192,2.688
1984-11-27,2.8273,2.8608,2.8168,2.8608,0.309,2.689
1984-11-28,2.8828,2.9048,2.8608,2.9048,0.205,2.691
1984-11-29,2.8828,2.8933,2.8713,2.8828,0.583,2.694
1984-11-30,2.8713,2.8713,2.7727,2.8273,0.906,2.694
1984-12-03,2.8062,2.8828,2.7948,2.8608,0.397,2.695
1984-12-04,2.8502,2.9928,2.8388,2.9594,1.001,2.700
1984-12-05,2.9708,2.9822,2.9048,2.9048,1.671,2.704
1984-12-06,2.9048,2.9594,2.9048,2.9268,1.270,2.709
1984-12-07,2.9268,2.9708,2.9268,2.9488,0.249,2.713
1984-12-10,2.9162,2.9594,2.8933,2.9162,0.977,2.718
1984-12-11,2.9382,2.9488,2.9048,2.9048,1.807,2.724
1984-12-12,2.9048,2.9488,2.8933,2.9382,1.794,2.732
1984-12-13,2.9268,2.9488,2.9048,2.9162,2.070,2.740
1984-12-14,2.9162,2.9928,2.9048,2.9594,1.722,2.750
1984-12-17,2.9488,3.0148,2.8502,3.0148,0.378,2.761
1984-12-18,3.0588,3.1574,3.0483,3.0808,0.950,2.773
1984-12-19,3.0808,3.1143,3.0703,3.0808,0.533,2.786
1984-12-20,3.0703,3.1028,2.9822,2.9822,0.743,2.796
1984-12-21,2.9822,3.0034,2.9162,2.9162,0.216,2.803
1984-12-24,2.9382,3.0254,2.9382,3.0034,0.066,2.811
1984-12-26,3.0254,3.0254,3.0034,3.0034,0.077,2.818
1984-12-27,3.0148,3.0808,2.9928,3.0703,0.651,2.827
1984-12-28,3.0703,3.0808,3.0483,3.0588,0.473,2.836
1984-12-31,3.0148,3.0368,2.9268,3.0368,0.321,2.842
1985-01-02,3.0148,3.0254,2.9594,3.0254,0.163,2.849
1985-01-03,3.0148,3.0254,2.9928,3.0254,0.087,2.856
1985-01-04,3.0034,3.0254,2.9488,2.9488,0.495,2.861
1985-01-07,2.9708,2.9822,2.9162,2.9822,0.302,2.868
1985-01-08,2.9708,3.0034,2.9708,2.9928,0.338,2.875
1985-01-09,3.0148,3.0148,2.9822,2.9928,0.396,2.882
1985-01-10,3.0034,3.1143,2.9928,3.0914,0.699,2.892
1985-01-11,3.0914,3.0914,3.0483,3.0703,0.471,2.900
1985-01-14,3.0808,3.1354,3.0368,3.1143,0.465,2.909
1985-01-15,3.1909,3.2129,3.1468,3.1909,1.166,2.919
1985-01-16,3.2129,3.3229,3.2129,3.2569,0.987,2.929
1985-01-17,3.2674,3.3229,3.2349,3.3009,0.388,2.940
1985-01-18,3.3229,3.3229,3.1909,3.2234,0.551,2.948
1985-01-21,3.2349,3.3009,3.2234,3.2894,0.504,2.957
1985-01-22,3.2789,3.3123,3.2674,3.3009,1.063,2.967
1985-01-23,3.3009,3.4109,3.2789,3.3889,1.025,2.979
1985-01-24,3.3889,3.4329,3.3229,3.3343,1.039,2.991
1985-01-25,3.4109,3.4329,3.3669,3.3669,0.893,3.004
1985-01-28,3.3783,3.3783,3.2789,3.3123,0.230,3.015
