DATE,OPEN,HIGH,LOW,CLOSE
2001-11-19,2.0171,2.0438,2.0037,2.0158
2001-11-20,2.0158,2.0158,2.0037,2.0104
2001-11-21,2.0158,2.0158,2.0037,2.0037
2001-11-23,2.0131,2.0131,2.0037,2.0131
2001-11-26,2.0104,2.0144,2.0037,2.0104
2001-11-27,2.0064,2.0131,2.0037,2.0064
2001-11-28,2.0131,2.0131,2.0037,2.0077
2001-11-29,2.0117,2.0144,2.0037,2.0144
2001-11-30,2.0158,2.0171,2.0064,2.0158
2001-12-03,2.0184,2.0184,2.0051,2.0077
2001-12-04,2.0117,2.0238,2.0091,2.0238
2001-12-05,2.0251,2.0291,2.0104,2.0291
2001-12-06,2.0304,2.0304,2.0051,2.0158
2001-12-07,2.0238,2.0238,2.0077,2.0224
2001-12-10,2.0304,2.0304,2.0051,2.0211
2001-12-11,2.0064,2.0291,2.0064,2.0184
2001-12-12,2.0291,2.0291,2.0117,2.0238
2001-12-13,2.0171,2.0278,2.0037,2.0064
2001-12-14,2.0064,2.0184,2.0051,2.0051
2001-12-17,2.0051,2.0158,2.0037,2.0037
2001-12-18,2.0158,2.0278,2.0037,2.0037
2001-12-19,2.0037,2.0158,2.0037,2.0037
2001-12-20,2.0037,2.0238,2.0037,2.0104
2001-12-21,2.0091,2.0211,2.0037,2.0104
2001-12-24,2.0037,2.0198,2.0037,2.0158
2001-12-26,2.0051,2.0171,2.0037,2.0037
2001-12-27,2.0211,2.0211,2.0037,2.0104
2001-12-28,2.0131,2.0211,2.0037,2.0211
2001-12-31,2.0211,2.0211,2.0037,2.0077
2002-01-02,2.0171,2.0171,2.0037,2.0037
2002-01-03,2.0198,2.0198,2.0037,2.0158
2002-01-04,2.0291,2.0291,2.0104,2.0117
2002-01-07,2.0358,2.0358,2.0064,2.0198
2002-01-08,2.0304,2.0572,2.0291,2.0318
2002-01-09,2.0438,2.0438,2.0238,2.0304
2002-01-10,2.0304,2.0371,2.0104,2.0238
2002-01-11,2.0442,2.0442,2.0213,2.0401
2002-01-14,2.0442,2.0442,2.0240,2.0321
2002-01-15,2.0401,2.0428,2.0240,2.0307
2002-01-16,2.0267,2.0442,2.0199,2.0388
2002-01-17,2.0213,2.0428,2.0213,2.0226
2002-01-18,2.0307,2.0415,2.0213,2.0361
2002-01-22,2.0401,2.0415,2.0267,2.0415
2002-01-23,2.0455,2.0455,2.0280,2.0401
2002-01-24,2.0294,2.0401,2.0199,2.0294
2002-01-25,2.0213,2.0374,2.0213,2.0267
2002-01-28,2.0374,2.0374,2.0199,2.0294
2002-01-29,2.0321,2.0321,2.0199,2.0294
2002-01-30,2.0321,2.0374,2.0240,2.0307
2002-01-31,2.0374,2.0374,2.0199,2.0280
2002-02-01,2.0361,2.0361,2.0226,2.0347
2002-02-04,2.0401,2.0576,2.0267,2.0563
2002-02-05,2.0576,2.0697,2.0401,2.0576
2002-02-06,2.0576,2.0590,2.0415,2.0469
2002-02-07,2.0509,2.0549,2.0401,2.0455
2002-02-08,2.0549,2.0778,2.0415,2.0644
2002-02-11,2.0697,2.0711,2.0388,2.0522
2002-02-12,2.0522,2.0657,2.0428,2.0455
2002-02-13,2.0540,2.0594,2.0458,2.0499
2002-02-14,2.0675,2.0743,2.0512,2.0607
2002-02-15,2.0607,2.0607,2.0336,2.0472
2002-02-19,2.0526,2.0540,2.0363,2.0390
2002-02-20,2.0526,2.0526,2.0309,2.0363
2002-02-21,2.0363,2.0404,2.0024,2.0160
2002-02-22,2.0201,2.0255,1.9997,2.0228
2002-02-25,2.0146,2.0228,2.0038,2.0119
2002-02-26,2.0133,2.0445,2.0051,2.0431
2002-02-27,2.0228,2.0472,2.0228,2.0323
2002-02-28,2.0418,2.0418,2.0282,2.0309
2002-03-01,2.0418,2.0675,2.0363,2.0607
2002-03-04,2.0675,2.0865,2.0540,2.0811
2002-03-05,2.0851,2.0865,2.0607,2.0838
2002-03-06,2.0702,2.0838,2.0336,2.0648
2002-03-07,2.0621,2.0865,2.0621,2.0770
2002-03-08,2.0838,2.0973,2.0756,2.0878
2002-03-11,2.1014,2.1353,2.0770,2.1136
2002-03-12,2.1150,2.1150,2.0648,2.0892
2002-03-13,2.1018,2.1168,2.0731,2.0909
2002-03-14,2.1128,2.1128,2.0909,2.0936
2002-03-15,2.1087,2.1168,2.0950,2.1128
2002-03-18,2.1510,2.1633,2.1046,2.1291
2002-03-19,2.1496,2.1510,2.0909,2.1046
2002-03-20,2.1278,2.1291,2.0909,2.1046
2002-03-21,2.1278,2.1278,2.0950,2.1032
2002-03-22,2.1155,2.1155,2.0895,2.0950
2002-03-25,2.1141,2.1278,2.0909,2.1100
2002-03-26,2.1141,2.1155,2.0991,2.1100
2002-03-27,2.1305,2.1305,2.1032,2.1291
2002-03-28,2.1373,2.1510,2.1018,2.1387
2002-04-01,2.1455,2.1455,2.1168,2.1373
2002-04-02,2.1442,2.1715,2.1182,2.1510
2002-04-03,2.1510,2.1674,2.1237,2.1442
2002-04-04,2.1319,2.1633,2.1319,2.1496
2002-04-05,2.1319,2.1565,2.1319,2.1510
2002-04-08,2.1387,2.1783,2.1387,2.1783
2002-04-09,2.1783,2.1810,2.1660,2.1783
2002-04-10,2.1783,2.2056,2.1537,2.1879
2002-04-11,2.1938,2.1938,2.1594,2.1800
2002-04-12,2.1663,2.2006,2.1525,2.1731
2002-04-15,2.1869,2.1938,2.1594,2.1938
2002-04-16,2.1731,2.2282,2.1731,2.1869
2002-04-17,2.1869,2.1993,2.1663,2.1745
2002-04-18,2.1869,2.1924,2.1745,2.1924
2002-04-19,2.1855,2.2116,2.1814,2.1993
2002-04-22,2.1938,2.2282,2.1883,2.1993
2002-04-23,2.2199,2.2199,2.1841,2.1896
2002-04-24,2.1993,2.1993,2.1690,2.1731
2002-04-25,2.1731,2.1869,2.1663,2.1786
2002-04-26,2.1745,2.1979,2.1745,2.1979
2002-04-29,2.1979,2.1993,2.1731,2.1800
2002-04-30,2.1786,2.1993,2.1676,2.1965
2002-05-01,2.1993,2.2006,2.1814,2.1938
2002-05-02,2.1993,2.1993,2.1814,2.1828
2002-05-03,2.1841,2.1993,2.1841,2.1951
2002-05-06,2.1979,2.2130,2.1855,2.1896
2002-05-07,2.1938,2.2130,2.1896,2.1993
2002-05-08,2.1993,2.1993,2.1841,2.1896
2002-05-09,2.1979,2.1979,2.1676,2.1855
