DATE,OPEN,HIGH,LOW,CLOSE
2019-05-23,31.3655,34.7131,29.7756,34.0948
2019-05-24,33.9182,33.9535,32.1428,32.1516
2019-05-28,32.2399,34.0065,32.0191,32.0456
2019-05-29,31.3655,31.6040,28.1415,29.1219
2019-05-30,28.8746,29.0159,27.2273,27.5143
2019-05-31,26.2866,26.6090,24.8733,25.8803
2019-06-03,25.0235,26.2689,24.9528,25.6594
2019-06-04,25.5093,27.2052,25.4033,27.1610
2019-06-05,27.3377,28.9541,27.1478,27.7175
2019-06-06,26.2777,27.6910,25.6683,26.9402
2019-06-07,26.8872,28.2563,25.0411,25.1030
2019-06-10,25.7124,27.6027,25.6859,26.8695
2019-06-11,27.0992,27.3818,24.5553,24.9793
2019-06-12,24.9263,25.7389,23.9900,23.9900
2019-06-13,24.5907,25.5888,24.1844,25.4651
2019-06-14,25.3061,25.8935,24.9484,24.9970
2019-06-17,25.1030,25.7787,24.1755,24.6790
2019-06-18,24.8468,24.9881,23.2039,24.1755
2019-06-19,24.3787,25.1458,23.8840,24.1844
2019-06-20,24.2639,24.6348,23.4424,24.5112
2019-06-21,24.4317,25.1886,23.6630,24.2992
2019-06-24,24.2903,24.9307,24.2683,24.4493
2019-06-25,24.2992,24.5112,22.7711,23.0802
2019-06-26,22.9654,24.3257,22.8506,23.5572
2019-06-27,23.9459,25.5358,23.6367,25.0588
2019-06-28,24.6967,25.1118,24.1844,24.7497
2019-07-01,25.0676,26.2248,24.4758,25.9068
2019-07-02,25.9598,26.2998,25.1560,25.7654
2019-07-03,25.8096,26.4632,25.5639,25.9333
2019-07-05,25.9156,26.5339,25.7301,26.3484
2019-07-08,26.2336,27.2229,26.0481,27.2052
2019-07-09,27.3465,27.9913,27.1434,27.3730
2019-07-10,27.0197,28.6793,26.3572,28.5301
2019-07-11,28.6538,29.6431,28.5213,29.5547
2019-07-12,29.7491,30.2349,29.4576,29.5901
2019-07-15,29.6342,30.1730,27.6910,28.0620
2019-07-16,27.9030,28.4330,27.7836,28.2828
2019-07-17,27.9295,28.1205,26.9402,27.0285
2019-07-18,26.8254,27.1919,25.4740,25.9068
2019-07-19,25.8626,26.3661,25.3238,26.0481
2019-07-22,26.0128,27.5762,25.7036,26.9844
2019-07-23,27.2229,28.0708,27.0473,27.3818
2019-07-24,27.6468,29.1484,27.0992,27.8588
2019-07-25,27.5408,28.2563,25.8670,26.4986
2019-07-26,26.5957,26.9314,25.7654,26.4279
2019-07-29,26.4986,27.4260,26.4986,27.4172
2019-07-30,27.1699,27.7087,26.5869,27.3553
2019-07-31,27.3112,27.6468,25.6506,25.9068
2019-08-01,26.6399,27.0727,25.4210,25.7566
2019-08-02,25.7743,26.8519,25.5634,26.5604
2019-08-05,26.4897,26.4986,24.9086,25.1471
2019-08-06,25.5799,26.1099,24.8292,25.8184
2019-08-07,25.4121,26.2866,25.3945,26.1452
2019-08-08,27.3818,30.6677,27.0992,29.8727
2019-08-09,29.8815,30.7825,29.2456,30.3320
