DATE,OPEN,HIGH,LOW,CLOSE
2007-12-03,6.2349,6.3245,6.2349,6.2349
2007-12-04,6.2280,6.2280,6.2005,6.2005
2007-12-05,6.1798,6.2005,6.1798,6.1798
2007-12-06,6.1798,6.1867,6.1798,6.1798
2007-12-07,6.1729,6.1729,6.1729,6.1729
2007-12-10,6.1660,6.2005,6.1660,6.1660
2007-12-11,6.1729,6.1867,6.1660,6.1729
2007-12-12,6.1660,6.1729,6.1660,6.1660
2007-12-13,6.1729,6.1729,6.1660,6.1729
2007-12-14,6.2005,6.2349,6.1729,6.2349
2007-12-17,6.2005,6.2005,6.1729,6.1729
2007-12-18,6.1729,6.2005,6.1729,6.1867
2007-12-19,6.1867,6.1867,6.1729,6.1729
2007-12-20,6.1798,6.1798,6.1729,6.1729
2007-12-21,6.1729,6.2349,6.1729,6.2349
2007-12-24,6.2487,6.2487,6.2143,6.2143
2007-12-26,6.1660,6.1660,6.1660,6.1660
2007-12-27,6.2005,6.2074,6.2005,6.2074
2007-12-28,6.2005,6.2005,6.1385,6.1385
2007-12-31,6.2005,6.2694,6.2005,6.2694
2008-01-02,6.2694,6.2694,6.2005,6.2005
2008-01-03,6.2556,6.2694,6.2349,6.2694
2008-01-04,6.2556,6.2556,6.1316,6.1798
2008-01-07,6.2487,6.2487,6.2074,6.2418
2008-01-08,6.2694,6.3038,6.2694,6.2900
2008-01-09,6.3245,6.3245,6.2969,6.2969
2008-01-10,6.2763,6.2832,6.2763,6.2832
2008-01-11,6.2694,6.2832,6.2694,6.2832
2008-01-14,6.2763,6.2832,6.2763,6.2832
2008-01-15,6.3038,6.3038,6.3038,6.3038
2008-01-16,6.2832,6.3038,6.2832,6.2832
2008-01-17,6.2694,6.2694,6.2694,6.2694
2008-01-18,6.2694,6.2763,6.2349,6.2418
2008-01-22,6.2487,6.2487,6.2418,6.2487
2008-01-23,6.2074,6.2556,6.2074,6.2211
2008-01-24,6.2625,6.2625,6.2143,6.2143
2008-01-25,6.2280,6.2280,6.2280,6.2280
2008-01-28,6.3038,6.3333,6.2349,6.2349
2008-01-29,6.2349,6.2487,6.2349,6.2418
2008-01-30,6.2487,6.2487,6.2418,6.2418
2008-01-31,6.2349,6.2694,6.2143,6.2143
2008-02-01,6.2556,6.2694,6.2280,6.2556
2008-02-04,6.2556,6.2556,6.2556,6.2556
2008-02-05,6.3245,6.3314,6.2349,6.2832
2008-02-06,6.2832,6.2832,6.2832,6.2832
2008-02-07,6.2694,6.2694,6.2349,6.2418
2008-02-08,6.2556,6.2556,6.2418,6.2418
2008-02-11,6.2418,6.2418,6.2418,6.2418
2008-02-12,6.2487,6.2487,6.2487,6.2487
2008-02-13,6.2556,6.2625,6.2556,6.2556
2008-02-14,6.2625,6.2625,6.2625,6.2625
2008-02-15,6.2556,6.2556,6.2280,6.2280
2008-02-19,6.2280,6.2280,6.2280,6.2280
2008-02-20,6.2969,6.2969,6.2969,6.2969
2008-02-21,6.2694,6.3383,6.2349,6.3383
2008-02-22,6.3176,6.3314,6.3176,6.3226
2008-02-25,6.3245,6.3383,6.2900,6.3383
2008-02-26,6.3107,6.3107,6.3107,6.3107
2008-02-27,6.0627,6.3176,6.0627,6.3176
2008-02-28,6.3107,6.3107,6.2349,6.2763
2008-02-29,6.3038,6.3038,6.2763,6.3038
2008-03-03,6.3038,6.3038,6.2900,6.3038
