DATE,OPEN,HIGH,LOW,CLOSE
2005-05-05,14.0224,14.1570,13.4615,13.4615
2005-05-06,13.4896,13.6803,13.2652,13.5176
2005-05-09,13.2933,13.2933,12.6482,13.1250
2005-05-10,13.0128,13.4615,12.9623,13.4615
2005-05-11,13.4054,13.4615,12.7884,12.8277
2005-05-12,12.8277,12.8277,12.0873,12.1210
2005-05-13,12.1995,12.4856,12.1154,12.2836
2005-05-16,12.2836,12.3678,12.2836,12.2836
2005-05-17,12.2444,12.2444,11.4423,11.7227
2005-05-18,11.7171,12.1995,11.5713,12.0032
2005-05-19,12.0593,12.2388,12.0312,12.1715
2005-05-20,12.1771,12.1771,11.9695,11.9695
2005-05-23,11.9695,12.0312,11.6106,11.6891
2005-05-24,11.6891,11.7676,11.6050,11.6106
2005-05-25,11.6106,11.8630,11.5320,11.7844
2005-05-26,11.8349,12.2836,11.8349,12.2836
2005-05-27,12.2836,12.4239,12.2051,12.2163
2005-05-31,12.3958,12.3958,12.0929,12.1434
2005-06-01,12.1434,13.6803,12.0032,13.6803
2005-06-02,12.0873,12.3117,12.0144,12.2836
2005-06-03,12.2612,12.2836,12.0481,12.1434
2005-06-06,12.1434,12.2276,12.0649,12.0985
2005-06-07,12.0481,12.1659,11.8349,11.9247
2005-06-08,11.9751,12.1154,11.9078,12.0256
2005-06-09,12.0593,12.1154,11.9191,12.0312
2005-06-10,12.0312,12.2612,12.0088,12.2051
2005-06-13,12.3397,12.4351,12.2836,12.4239
2005-06-14,12.8277,12.9735,12.6538,12.9567
2005-06-15,12.9848,13.0128,12.4631,12.8445
2005-06-16,12.9231,13.5961,12.9175,13.5961
2005-06-17,13.5625,13.5681,13.2708,13.4447
2005-06-20,13.4054,13.4279,13.0689,13.2764
2005-06-21,13.2372,13.2652,13.0128,13.1250
2005-06-22,13.0689,13.0857,12.9679,13.0296
2005-06-23,12.9735,12.9848,12.7997,12.9399
2005-06-24,12.9175,13.3830,12.9118,13.0857
2005-06-27,13.0465,13.2203,13.0409,13.1586
2005-06-28,13.1362,13.2652,13.1250,13.1979
2005-06-29,13.1979,13.2484,13.0128,13.0128
2005-06-30,13.0128,13.2259,13.0128,13.0409
2005-07-01,12.9567,12.9735,12.8109,12.9175
2005-07-05,12.9006,13.0016,12.8277,12.8950
2005-07-06,12.8950,13.1867,12.8614,13.1699
2005-07-07,13.1250,13.4447,12.9175,13.0128
2005-07-08,13.0128,13.2933,12.9343,13.1699
2005-07-11,13.1811,13.5008,13.1250,13.3381
2005-07-12,13.3213,13.5793,13.2372,13.4167
2005-07-13,13.4896,13.5625,13.2989,13.3381
2005-07-14,13.4615,13.5457,13.2764,13.5176
2005-07-15,13.5176,13.6298,13.3213,13.4335
2005-07-18,13.4223,13.4784,13.3157,13.3942
2005-07-19,13.4503,13.6298,13.3830,13.6018
2005-07-20,13.6859,13.9663,13.6466,13.9102
2005-07-21,13.8822,13.9102,13.6747,13.7476
2005-07-22,13.7195,13.9271,13.6971,13.7925
2005-07-25,13.6298,13.7251,13.5569,13.6354
2005-07-26,13.6522,13.6522,13.2259,13.2989
2005-07-27,13.2708,13.3606,13.1138,13.2708
2005-07-28,13.2708,13.5008,13.1530,13.2596
2005-07-29,13.2540,13.5008,13.2540,13.3830
2005-08-01,13.3830,13.5064,13.3550,13.4503
2005-08-02,13.4503,13.4503,13.1250,13.2484
2005-08-03,13.2091,13.2091,12.7884,13.0801
2005-08-04,13.0801,13.1474,12.8165,12.9960
2005-08-05,12.9848,12.9848,12.9006,12.9006
2005-08-08,12.9287,13.0689,12.6594,12.9511
2005-08-09,12.9848,13.3998,12.9679,13.2372
2005-08-10,13.2372,13.2372,12.6258,12.9006
2005-08-11,12.7604,13.1643,12.7380,12.9567
2005-08-12,13.2372,13.2764,12.9062,13.2484
2005-08-15,13.2484,13.6018,13.2316,13.4784
2005-08-16,13.5176,13.8822,13.4279,13.7139
2005-08-17,13.5972,13.8894,13.5972,13.6477
2005-08-18,13.5466,13.6871,13.5241,13.6871
2005-08-19,13.6309,13.8332,13.6309,13.8164
2005-08-22,13.7602,13.9288,13.7602,13.8894
2005-08-23,13.8726,14.1649,13.8726,14.1087
2005-08-24,14.1087,14.1087,14.0243,14.0525
2005-08-25,14.1087,14.2379,14.0525,14.0862
2005-08-26,14.0862,14.1705,14.0806,14.1649
2005-08-29,14.0412,14.1030,13.8501,13.8894
2005-08-30,13.9794,14.2492,13.9794,14.0862
2005-08-31,14.1368,14.3054,14.0918,14.2885
2005-09-01,14.2885,14.3785,13.9906,14.2379
2005-09-02,14.2717,14.3897,14.1368,14.3110
2005-09-06,14.2323,14.4459,14.2098,14.3110
2005-09-07,14.3335,14.6314,14.3279,14.5921
2005-09-08,14.5921,14.6146,14.3897,14.4066
2005-09-09,14.3335,14.3897,14.0974,14.1986
2005-09-12,14.1986,14.3504,14.1649,14.2942
2005-09-13,14.2773,14.3785,14.2211,14.3279
2005-09-14,14.2998,14.3335,13.9850,14.0243
2005-09-15,14.0243,14.1930,13.8894,14.1930
2005-09-16,14.2042,14.2323,14.0131,14.0806
2005-09-19,14.1368,14.1368,13.7545,13.8276
2005-09-20,13.8108,14.0187,13.8108,13.8838
2005-09-21,13.7714,13.7714,13.4398,13.4960
2005-09-22,13.4904,13.4904,13.1475,13.3330
2005-09-23,13.2655,13.5072,13.1138,13.4454
2005-09-26,13.4060,13.7096,13.4060,13.6140
2005-09-27,13.6140,13.7602,13.5691,13.7377
2005-09-28,13.7377,13.7883,13.4904,13.6028
2005-09-29,13.6309,14.0412,13.6196,13.9681
2005-09-30,13.9569,14.2379,13.9569,14.2211
2005-10-03,14.2211,14.3223,14.1649,14.2492
2005-10-04,14.2492,14.2548,14.1087,14.2323
2005-10-05,14.2661,14.2717,14.1537,14.1705
2005-10-06,14.1424,14.1930,13.9962,14.0131
2005-10-07,14.0525,14.1649,14.0525,14.0693
2005-10-10,14.0693,14.0974,13.8894,13.8951
2005-10-11,13.8838,13.9007,13.7152,13.7939
2005-10-12,13.7939,13.8108,13.5915,13.7152
2005-10-13,13.7433,13.8220,13.3892,13.7995
2005-10-14,13.8557,14.2098,13.7377,14.0525
2005-10-17,14.0525,14.1368,13.9176,14.0075
2005-10-18,14.0075,14.0918,13.9962,14.0918
2005-10-19,14.0356,14.2379,13.9400,14.1986
2005-10-20,14.1986,14.3223,14.1817,14.1930
2005-10-21,14.1986,14.2098,13.8220,13.8782
2005-10-24,13.8838,14.0075,13.7939,13.9176
2005-10-25,13.9232,14.1087,13.9232,14.0693
2005-10-26,14.0806,14.4684,14.0581,14.3672
2005-10-27,14.3504,14.3504,14.2773,14.3391
2005-10-28,14.3166,14.4010,14.1593,14.3054
2005-10-31,14.2773,14.5864,14.2773,14.5302
2005-11-01,14.5302,14.7270,14.4178,14.6427
2005-11-02,14.6146,15.1204,14.6089,15.0417
2005-11-03,14.8394,14.8675,14.5527,14.7270
2005-11-04,14.6708,14.7326,14.4796,14.5302
2005-11-07,14.5471,14.7832,14.5021,14.5696
2005-11-08,14.5134,14.6146,14.2773,14.4909
2005-11-09,16.3008,16.7786,15.6038,16.6381
2005-11-10,16.7730,16.9192,16.2109,16.3008
2005-11-11,16.3627,16.6437,16.3571,16.6100
2005-11-14,16.6100,16.8011,16.3571,16.4807
2005-11-15,16.4807,16.6943,16.3008,16.3008
2005-11-16,16.3069,16.3294,16.0419,16.1716
2005-11-17,16.0701,16.2618,15.9065,16.2223
2005-11-18,16.2956,16.7693,16.2900,16.6960
2005-11-21,16.6396,17.1696,16.6396,17.1696
2005-11-22,17.3388,17.8180,17.1470,17.7898
2005-11-23,17.7617,18.3819,17.7335,17.8744
2005-11-25,17.7617,17.9703,17.6827,17.9195
2005-11-28,17.9872,18.0267,17.3388,17.4403
2005-11-29,17.3951,17.7335,17.3951,17.5361
2005-11-30,17.5474,17.7335,17.5474,17.6489
2005-12-01,17.6207,18.0267,17.6207,17.8632
2005-12-02,17.8632,17.9646,17.4854,17.5587
2005-12-05,17.5530,17.5699,17.2711,17.5248
2005-12-06,17.5361,17.7278,17.4403,17.4403
2005-12-07,17.4684,17.5361,17.1132,17.1978
2005-12-08,17.0004,17.1978,16.8538,17.1978
2005-12-09,17.2260,17.2880,17.0286,17.2034
2005-12-12,17.2316,17.3162,17.1696,17.2542
2005-12-13,17.2542,17.7335,17.2542,17.7053
2005-12-14,17.7109,17.8180,17.6263,17.8180
2005-12-15,17.8744,18.4383,17.8744,18.2297
2005-12-16,18.2297,18.4383,18.0605,18.1000
2005-12-19,18.2691,18.2691,17.6884,17.8406
2005-12-20,17.7617,17.8913,17.3331,17.7335
2005-12-21,17.7617,17.9590,17.6771,17.7617
2005-12-22,17.7729,18.1394,17.7729,18.0323
2005-12-23,18.1282,18.2015,17.9590,17.9590
2005-12-27,18.0887,18.3086,17.6771,17.7955
2005-12-28,17.7955,17.8744,17.4346,17.8293
2005-12-29,17.8350,17.8857,17.6207,17.8293
2005-12-30,17.8293,17.9872,17.6432,17.9872
2006-01-03,17.9026,18.1733,17.4797,18.0436
2006-01-04,18.1282,18.2127,17.7955,18.0436
2006-01-05,18.1000,18.1000,17.8350,17.9590
2006-01-06,18.1846,18.2127,17.8462,18.0436
2006-01-09,18.0831,18.1056,17.7504,18.1056
2006-01-10,18.0436,19.1600,18.0436,18.7315
2006-01-11,18.8612,20.0058,18.7202,19.5096
2006-01-12,19.3687,19.8423,19.2615,19.7465
2006-01-13,19.7521,19.7634,19.5660,19.7070
2006-01-17,19.6506,19.7352,19.3946,19.4532
2006-01-18,19.4532,19.4532,18.5511,19.1713
2006-01-19,18.7484,19.3743,18.7146,19.1713
2006-01-20,19.2277,20.1581,19.2277,19.5322
2006-01-23,19.5322,19.8028,19.4025,19.7634
2006-01-24,19.4532,19.8367,19.4532,19.5942
2006-01-25,19.6224,20.0622,19.6224,19.9494
2006-01-26,20.0058,20.6655,20.0058,20.5584
2006-01-27,20.7501,20.8727,20.3836,20.3836
2006-01-30,20.5415,20.9700,20.5246,20.5246
2006-01-31,20.5528,20.5697,20.1863,20.2201
2006-02-01,20.2201,20.2426,19.5604,19.7239
2006-02-02,19.6788,19.9043,19.4814,19.7521
2006-02-03,19.7803,20.0171,19.6337,19.7634
2006-02-06,19.7352,19.7634,19.6506,19.7126
2006-02-07,19.8198,19.9156,19.3123,19.3969
2006-02-08,20.5810,21.7087,20.2765,20.5641
2006-02-09,20.8347,21.0602,20.5133,20.5979
2006-02-10,20.6430,20.9475,20.6430,20.7727
2006-02-13,20.7952,20.7952,20.0679,20.1017
2006-02-14,20.1299,20.5810,19.8874,20.4907
2006-02-15,20.6036,20.8806,20.5697,20.5753
2006-02-16,20.6884,20.9088,20.6884,20.8297
2006-02-17,20.8636,21.4176,20.6550,21.3667
2006-02-21,21.6211,21.9489,21.5137,21.7624
2006-02-22,21.8754,22.1241,21.8189,22.0506
2006-02-23,22.2259,22.3276,21.8302,21.8754
2006-02-24,22.0167,22.1580,21.6493,22.0563
2006-02-27,22.0563,22.1580,21.7624,21.8472
2006-02-28,21.7511,21.8472,21.4232,21.7511
2006-03-01,21.7624,21.9772,21.7058,21.7963
2006-03-02,21.8019,22.2937,21.7906,22.1580
2006-03-03,22.1863,22.8024,22.1863,22.5255
2006-03-06,22.5255,22.6103,22.1920,22.1920
2006-03-07,22.1920,22.3276,21.9206,22.0224
2006-03-08,22.0789,22.2994,22.0167,22.1750
2006-03-09,22.1750,22.3898,21.9828,22.0450
2006-03-10,22.1015,22.4576,22.0337,22.1354
2006-03-13,22.5368,22.6103,22.2259,22.5481
2006-03-14,22.7233,24.1930,22.6668,23.5260
2006-03-15,23.7408,23.7916,23.4581,23.5825
2006-03-16,23.8821,24.9504,23.7973,24.5039
2006-03-17,24.6452,25.2783,24.2665,24.9391
2006-03-20,25.0691,26.0357,24.6791,24.7300
2006-03-21,24.8656,24.9900,24.2495,24.2947
2006-03-22,24.2947,24.6734,23.7521,24.3399
2006-03-23,24.3399,24.3399,24.0234,24.2043
2006-03-24,24.8430,25.8605,24.8374,25.0409
2006-03-27,25.1256,25.2670,24.7582,24.7865
2006-03-28,24.8713,24.8939,24.2043,24.2212
2006-03-29,24.7526,25.4931,24.1364,25.4365
2006-03-30,25.4083,25.5044,24.5378,24.9052
2006-03-31,25.0182,25.2387,24.9674,25.0126
2006-04-03,24.9617,25.2217,24.7921,24.9221
2006-04-04,25.1822,25.4535,25.0974,25.1935
