DATE,OPEN,HIGH,LOW,CLOSE
2013-03-22,3.8937,3.9581,3.8776,3.8937
2013-03-25,3.8937,3.9286,3.8534,3.8910
2013-03-26,3.8668,3.9474,3.8641,3.9232
2013-03-27,3.9393,3.9393,3.8937,3.8937
2013-03-28,3.9313,3.9608,3.9232,3.9286
2013-04-01,3.9286,3.9554,3.8937,3.9554
2013-04-02,3.9608,3.9984,3.9528,3.9877
2013-04-03,3.9930,3.9930,3.9474,3.9742
2013-04-04,3.9608,3.9850,3.9581,3.9850
2013-04-05,3.9689,4.0340,3.9554,4.0118
2013-04-08,4.0360,4.0360,3.9930,4.0118
2013-04-09,4.0118,4.0279,4.0118,4.0118
2013-04-10,4.0038,4.0548,4.0011,4.0279
2013-04-11,4.0279,4.0414,3.9635,4.0145
2013-04-12,4.0279,4.0387,4.0011,4.0360
2013-04-15,4.0414,4.0414,3.9474,3.9796
2013-04-16,4.0279,4.0414,4.0172,4.0387
2013-04-17,4.0387,4.0414,4.0172,4.0360
2013-04-18,4.0359,4.0711,3.9953,4.0467
2013-04-19,4.0657,4.0847,4.0440,4.0630
2013-04-22,4.0765,4.0765,4.0088,4.0603
2013-04-23,4.0630,4.0792,4.0581,4.0657
2013-04-24,4.0684,4.0820,4.0657,4.0765
2013-04-25,4.0765,4.0874,4.0684,4.0738
2013-04-26,4.0765,4.0792,4.0359,4.0792
2013-04-29,4.0901,4.0955,4.0684,4.0901
2013-04-30,4.0874,4.1009,4.0847,4.0901
2013-05-01,4.0603,4.1036,4.0359,4.0820
2013-05-02,4.0901,4.1307,4.0901,4.1118
2013-05-03,4.1199,4.1903,4.1199,4.1795
2013-05-06,4.1849,4.1925,4.1174,4.1686
2013-05-07,4.1768,4.2066,4.1686,4.1957
2013-05-08,4.2201,4.2255,4.0958,4.1659
2013-05-09,4.1822,4.2472,4.1795,4.2228
2013-05-10,4.2255,4.2553,4.2066,4.2391
2013-05-13,4.2370,4.2644,4.1740,4.1740
2013-05-14,4.1631,4.1740,4.0755,4.1439
2013-05-15,4.1494,4.2397,4.0810,4.1166
2013-05-16,4.0947,4.1576,4.0919,4.1220
2013-05-17,4.1220,4.1412,4.1138,4.1412
2013-05-20,4.1166,4.1658,4.0919,4.1166
2013-05-21,4.1111,4.1111,4.0728,4.0947
2013-05-22,4.0947,4.1330,4.0372,4.0700
2013-05-23,4.0509,4.0509,3.9140,4.0044
2013-05-24,3.9770,3.9934,3.9031,3.9934
2013-05-28,4.0180,4.0180,3.5609,3.6622
2013-05-29,3.6403,3.8045,3.5869,3.7662
2013-05-30,3.7909,3.8292,3.7498,3.7553
2013-05-31,3.7553,3.8264,3.7361,3.8100
2013-06-03,3.8401,3.8485,3.6978,3.7087
2013-06-04,3.6951,3.7990,3.6677,3.7087
2013-06-05,3.7306,3.7306,3.5856,3.6310
2013-06-06,3.5582,3.6879,3.5582,3.6786
2013-06-07,3.6951,3.7443,3.6677,3.7443
2013-06-10,3.7471,3.7632,3.7080,3.7553
2013-06-11,3.7494,3.7608,3.6724,3.6732
2013-06-12,3.7336,3.7336,3.6727,3.7115
2013-06-13,3.6976,3.7613,3.6284,3.7253
2013-06-14,3.7392,3.7807,3.7059,3.7336
2013-06-17,3.7392,3.7392,3.6422,3.6533
2013-06-18,3.6616,3.6976,3.5952,3.6478
2013-06-19,3.6616,3.6863,3.5702,3.6007
2013-06-20,3.5758,3.5758,3.2545,3.3182
2013-06-21,3.3209,3.4013,3.0772,3.3293
2013-06-24,3.3597,3.3708,3.2628,3.3680
2013-06-25,3.4096,3.4716,3.3791,3.4511
2013-06-26,3.4844,3.5758,3.4484,3.5010
2013-06-27,3.5868,3.5979,3.4209,3.5038
2013-06-28,3.5093,3.6755,3.4622,3.6395
2013-07-01,3.6312,3.6962,3.6146,3.6810
2013-07-02,3.6699,3.6976,3.5536,3.6367
2013-07-03,3.6118,3.6284,3.5647,3.6007
2013-07-05,3.6699,3.6699,3.4625,3.4677
2013-07-08,3.4677,3.5065,3.4622,3.4788
2013-07-09,3.4788,3.5758,3.4705,3.4927
2013-07-10,3.4899,3.5062,3.4400,3.4899
2013-07-11,3.5055,3.5868,3.5055,3.5868
2013-07-12,3.5840,3.6225,3.5195,3.5195
2013-07-15,3.5557,3.5557,3.4831,3.5083
2013-07-16,3.5111,3.5336,3.4606,3.4831
2013-07-17,3.4943,3.5672,3.4943,3.5139
2013-07-18,3.5420,3.5476,3.5111,3.5476
2013-07-19,3.5476,3.5532,3.5139,3.5476
2013-07-22,3.5616,3.5616,3.4634,3.4719
2013-07-23,3.5083,3.5223,3.4495,3.4550
2013-07-24,3.5111,3.5476,3.4536,3.4803
2013-07-25,3.5027,3.6261,3.4775,3.5672
2013-07-26,3.5925,3.6037,3.5420,3.5616
2013-07-29,3.6009,3.6289,3.5111,3.5223
2013-07-30,3.5644,3.6597,3.5644,3.6317
2013-07-31,3.6457,3.6569,3.5953,3.6093
2013-08-01,3.6149,3.6429,3.5195,3.5728
2013-08-02,3.5868,3.6934,3.5644,3.6317
2013-08-05,3.6261,3.7158,3.5787,3.6990
2013-08-06,3.7158,3.8000,3.5756,3.5896
2013-08-07,3.5840,3.5840,3.3095,3.3316
2013-08-08,3.3765,3.4354,3.3681,3.4130
2013-08-09,3.4298,3.4775,3.4242,3.4674
2013-08-12,3.4663,3.5868,3.3961,3.4214
2013-08-13,3.4259,3.4316,3.2980,3.2980
2013-08-14,3.3150,3.3340,3.1445,3.1757
2013-08-15,3.1843,3.3549,3.0364,3.3549
2013-08-16,3.3691,3.3719,3.1217,3.1473
2013-08-19,3.1900,3.1900,2.8061,2.8857
2013-08-20,2.8573,2.9508,2.8147,2.8147
2013-08-21,2.8232,2.9170,2.7749,2.7834
2013-08-22,2.8118,2.8147,2.7862,2.7976
2013-08-23,2.7891,2.9341,2.7891,2.9085
2013-08-26,2.9426,2.9852,2.9028,2.9483
2013-08-27,2.9398,2.9668,2.9114,2.9398
2013-08-28,2.9653,2.9739,2.8744,2.9000
2013-08-29,2.9113,2.9511,2.9058,2.9369
2013-08-30,2.9113,2.9511,2.8715,2.9511
2013-09-03,2.9682,2.9682,2.9056,2.9056
2013-09-04,2.9170,2.9568,2.9142,2.9284
2013-09-05,2.9454,2.9710,2.8772,2.8772
2013-09-06,2.8943,2.9284,2.8857,2.9000
2013-09-09,2.9142,2.9511,2.8857,2.9255
2013-09-10,2.9511,2.9710,2.9000,2.9312
2013-09-11,2.9284,2.9682,2.9142,2.9199
2013-09-12,2.9594,2.9797,2.9363,2.9739
2013-09-13,2.9854,2.9883,2.9652,2.9739
2013-09-16,3.0172,3.0201,2.9479,3.0085
2013-09-17,3.0518,3.1442,3.0201,3.0201
2013-09-18,3.0432,3.2190,3.0374,3.1789
2013-09-19,3.2106,3.2915,3.1818,3.2742
2013-09-20,3.2770,3.4586,3.2626,3.3377
2013-09-23,3.3521,3.4040,3.3175,3.3232
2013-09-24,3.3723,3.4194,3.1789,3.2886
2013-09-25,3.2857,3.3463,3.2857,3.3117
2013-09-26,3.2915,3.3146,3.2193,3.2482
2013-09-27,3.2453,3.2626,3.2193,3.2193
2013-09-30,3.2049,3.2979,3.1876,3.2828
2013-10-01,3.3088,3.3348,3.2922,3.3319
2013-10-02,3.3434,3.4330,3.3434,3.4041
2013-10-03,3.5340,3.9700,3.3839,3.4358
2013-10-04,3.4907,3.5153,3.3954,3.4734
2013-10-07,3.4791,3.5456,3.4589,3.5456
2013-10-08,3.5369,3.6033,3.5340,3.5456
2013-10-09,3.5196,3.5455,3.4185,3.4416
2013-10-10,3.4892,3.5300,3.3550,3.4979
2013-10-11,3.5096,3.5446,3.4717,3.5446
2013-10-14,3.5475,3.5475,3.4279,3.5037
2013-10-15,3.4862,3.4862,3.4016,3.4046
2013-10-16,3.4279,3.4979,3.3608,3.4979
2013-10-17,3.5008,3.5708,3.4895,3.5679
2013-10-18,3.5533,3.5960,3.4892,3.5183
2013-10-21,3.5300,3.5738,3.5184,3.5563
2013-10-22,3.5854,3.5854,3.4658,3.5213
2013-10-23,3.5008,3.6029,3.4337,3.5533
2013-10-24,3.5679,3.5679,3.5271,3.5533
2013-10-25,3.5388,3.5679,3.5358,3.5519
2013-10-28,3.5621,3.5679,3.5242,3.5621
2013-10-29,3.5504,3.5504,3.4512,3.4600
2013-10-30,3.4717,3.5154,3.4687,3.4746
