DATE,OPEN,HIGH,LOW,CLOSE
2019-07-01,181.9146,183.1034,168.8769,170.7846
2019-07-02,174.8493,178.9332,174.0249,178.0896
2019-07-03,177.3514,177.7157,173.0375,176.6804
2019-07-05,176.5845,177.7876,174.1879,177.3131
2019-07-08,176.7954,177.6199,175.4916,177.0447
2019-07-09,177.8308,183.4293,177.3706,183.3526
2019-07-10,183.6115,184.9440,182.8254,184.6468
2019-07-11,184.0333,187.6091,183.2951,186.4107
2019-07-12,187.1585,189.2244,186.7079,187.6282
2019-07-15,187.5611,187.5611,183.1417,183.6306
2019-07-16,183.5827,185.2028,182.6816,184.6085
2019-07-17,184.8577,186.4395,184.7431,185.9506
2019-07-18,186.2094,186.8901,183.7073,186.1136
2019-07-19,186.7846,187.0818,182.9500,185.4808
2019-07-22,185.8164,188.3281,185.3370,186.8517
2019-07-23,187.9829,188.1363,183.0459,186.4970
2019-07-24,185.9793,189.9482,185.0142,189.7660
2019-07-25,191.8463,194.5689,190.3316,192.3736
2019-07-26,193.1309,193.4089,189.9674,191.5683
2019-07-29,191.7313,193.5815,191.5683,193.0638
2019-07-30,192.6995,192.9967,191.2136,191.7313
2019-07-31,191.6354,203.0578,191.2136,199.0171
2019-08-01,193.8691,200.5126,191.2136,196.3808
2019-08-02,196.5246,196.6299,192.4407,195.9685
2019-08-05,194.9524,195.8535,190.9308,193.0638
2019-08-06,197.1573,198.1543,193.5144,196.6396
2019-08-07,195.4221,200.6564,194.7942,198.8829
2019-08-08,200.7906,206.1015,200.2250,205.5839
2019-08-09,204.7307,206.1015,201.5863,202.8613
2019-08-12,202.6504,203.1954,200.4838,200.6660
2019-08-13,199.8319,203.5611,198.8637,201.1549
2019-08-14,199.5635,201.0446,197.0087,199.1321
2019-08-15,199.0075,202.8996,198.5953,200.9344
2019-08-16,202.6120,203.1437,200.4551,202.1519
2019-08-19,203.4557,204.9128,202.8325,204.2418
2019-08-20,205.0758,205.8715,203.0243,203.8008
2019-08-21,204.6636,206.3029,203.2352,205.3250
2019-08-22,205.8427,206.4563,202.1231,204.4910
2019-08-23,204.3568,205.6414,199.4581,200.2537
2019-08-26,200.8769,203.5515,198.6911,202.8709
2019-08-27,203.4748,204.2418,201.4808,201.7780
2019-08-28,201.2987,204.0980,198.7295,203.3502
2019-08-29,205.4401,205.5264,203.1872,204.4814
2019-08-30,205.4976,205.7846,202.4011,202.6696
2019-09-03,201.5636,203.1126,200.0532,202.5449
2019-09-04,202.4102,205.9891,202.4102,205.5466
2019-09-05,206.8454,206.8454,203.7956,204.0842
2019-09-06,205.5177,208.4328,205.0752,206.5568
