DATE,OPEN,HIGH,LOW,CLOSE
1999-07-29,12.8962,13.4018,12.6400,12.6400
1999-07-30,12.8085,12.9366,12.5591,12.9366
1999-08-02,12.8085,12.8085,12.6400,12.6400
1999-08-03,12.6400,12.6804,12.3029,12.6400
1999-08-04,12.6400,12.6400,12.2220,12.5591
1999-08-05,12.5591,12.5591,12.0535,12.2220
1999-08-06,12.2220,12.2625,11.7164,11.7973
1999-08-09,11.7569,11.8378,11.5884,11.7164
1999-08-10,11.6288,11.6288,11.2917,11.4603
1999-08-11,11.4603,11.7569,11.4603,11.7569
1999-08-12,12.3029,12.3029,11.8850,11.9659
1999-08-13,12.0535,12.0940,11.5884,11.5884
1999-08-16,11.4603,11.4603,10.9547,11.0828
1999-08-17,11.0828,11.3794,11.0423,11.2108
1999-08-18,11.2108,11.2513,11.0423,11.0423
1999-08-19,11.0423,11.2108,11.0423,11.1636
1999-08-20,11.0828,11.5884,11.0828,11.4603
1999-08-23,12.0535,12.0940,11.6288,11.7164
1999-08-24,11.5479,11.7569,11.3794,11.4603
1999-08-25,11.4375,11.5188,11.1801,11.2681
1999-08-26,11.2681,11.5188,11.2681,11.5188
1999-08-27,11.6882,11.8576,11.6069,11.8170
1999-08-30,11.8170,12.4539,11.6882,12.2371
1999-08-31,12.1558,13.0434,12.0270,12.8740
1999-09-01,12.9147,12.9147,12.3658,12.4539
1999-09-02,12.4539,12.4539,12.0270,12.4539
1999-09-03,12.4946,12.5759,12.3252,12.4065
1999-09-07,12.2371,12.2371,12.0677,12.0677
1999-09-08,12.0677,12.0677,11.2681,11.4782
1999-09-09,11.3901,11.4782,11.2681,11.3494
1999-09-10,11.4375,11.4375,11.0107,11.0107
1999-09-13,11.0987,11.5595,11.0987,11.4782
1999-09-14,11.5595,11.6069,11.0987,11.1801
1999-09-15,11.1801,11.5188,11.0513,11.5188
1999-09-16,11.6882,11.6882,11.3901,11.3901
1999-09-17,11.5188,11.6069,11.4375,11.6069
1999-09-20,11.5595,11.5595,11.3901,11.4782
1999-09-21,11.3494,11.3901,11.1801,11.1801
1999-09-22,11.1801,11.3901,11.1801,11.3494
1999-09-23,11.3494,11.3494,10.4212,10.4212
1999-09-24,10.4212,10.5025,9.8249,10.1230
1999-09-27,10.2043,10.3331,9.9943,10.0349
1999-09-28,9.9536,9.9943,9.8249,9.9536
1999-09-29,9.9130,9.9943,9.9130,9.9943
1999-09-30,10.5025,10.7600,10.3331,10.5025
1999-10-01,10.1637,10.6719,10.1637,10.6719
1999-10-04,10.6719,10.6719,10.4618,10.5906
1999-10-05,10.4212,10.5431,10.1637,10.1637
1999-10-06,10.1637,10.2043,9.9130,9.9130
1999-10-07,9.9130,10.1637,9.9130,10.1230
1999-10-08,9.9536,10.0824,9.7436,9.8656
1999-10-11,9.9130,9.9130,9.6555,9.6962
1999-10-12,9.6962,9.6962,8.9779,9.3574
1999-10-13,9.2761,10.2924,9.2761,10.1230
1999-10-14,10.0824,10.2518,9.8656,9.9943
1999-10-15,9.9130,9.9130,9.6555,9.6555
1999-10-18,9.6555,9.7842,9.4048,9.4861
1999-10-19,9.3167,9.3167,9.0660,9.1473
1999-10-20,9.1473,9.3167,8.9779,9.1473
1999-10-21,9.1067,9.1473,8.9373,9.0660
1999-10-22,9.0186,9.1473,8.9779,8.9779
1999-10-25,8.8966,8.8966,8.7272,8.8966
1999-10-26,8.9779,9.2761,8.9779,8.9779
1999-10-27,8.8966,8.8966,6.6911,6.7758
1999-10-28,6.7758,6.9045,6.1829,6.5217
1999-10-29,6.5644,6.9452,6.5217,6.9045
1999-11-01,7.2433,7.4534,6.7758,6.8639
1999-11-02,7.1146,7.2840,6.9452,7.1552
1999-11-03,7.1552,7.3721,7.1146,7.1552
1999-11-04,7.1146,7.2027,7.0739,7.0739
1999-11-05,7.0739,7.2027,6.9452,7.1552
1999-11-08,7.2433,7.3246,7.1146,7.3246
1999-11-09,7.3246,7.3246,7.1552,7.2027
1999-11-10,7.2027,7.3246,7.1146,7.3246
1999-11-11,7.4127,7.7515,7.2840,7.3721
1999-11-12,7.3246,7.3246,7.0739,7.2027
1999-11-15,7.3246,7.3721,7.0739,7.1146
1999-11-16,7.1146,7.1146,6.8164,6.9045
1999-11-17,6.9045,7.0333,6.8164,7.0333
1999-11-18,7.1146,7.2840,7.0739,7.2433
1999-11-19,7.3246,7.3246,7.1146,7.2027
1999-11-22,7.3721,7.6228,7.2840,7.5821
1999-11-23,7.6634,7.7108,7.5415,7.6634
1999-11-24,7.6634,7.7922,7.6228,7.6228
1999-11-26,7.7108,7.7108,7.6228,7.6634
1999-11-29,7.6634,7.7515,7.6634,7.7515
1999-11-30,7.7515,7.7922,7.7108,7.7108
1999-12-01,7.7108,7.7108,7.5821,7.6228
1999-12-02,7.6228,7.6228,7.4940,7.5821
1999-12-03,7.5821,7.7108,7.5821,7.7108
1999-12-06,7.6228,7.7108,7.4940,7.5415
1999-12-07,7.3246,7.5821,7.3246,7.5821
1999-12-08,7.5821,7.6634,7.5415,7.6634
1999-12-09,7.6228,7.7515,7.5415,7.5415
1999-12-10,7.1146,7.1552,6.8164,7.0333
1999-12-13,7.0333,7.4534,7.0333,7.3721
