DATE,OPEN,HIGH,LOW,CLOSE
1992-06-17,5.3969,5.5556,4.9207,5.0414
1992-06-18,5.0414,5.0414,4.7620,4.9620
1992-06-19,4.9620,5.0414,4.9207,5.0001
1992-06-22,5.0001,5.0001,4.8033,4.8414
1992-06-23,4.8414,4.9207,4.8414,4.8826
1992-06-24,4.8826,4.9207,4.7620,4.8033
1992-06-25,4.8826,4.9620,4.8826,4.8826
1992-06-26,4.8826,4.9207,4.8414,4.9207
1992-06-29,4.8826,4.9620,4.8414,4.9620
1992-06-30,4.9620,5.1207,4.9620,5.1207
1992-07-01,5.0001,5.0414,4.9620,5.0001
1992-07-02,5.0414,5.1207,4.8826,5.1207
1992-07-06,5.0414,5.0414,4.8826,4.9207
1992-07-07,4.9620,4.9620,4.5652,4.6445
1992-07-08,4.6826,4.6826,4.3271,4.4064
1992-07-09,4.4064,4.6445,4.4064,4.6445
1992-07-10,4.5652,4.6033,4.4858,4.5239
1992-07-13,4.5239,4.6033,4.5239,4.5652
1992-07-14,4.5239,4.6033,4.5239,4.6033
1992-07-15,4.6033,4.6826,4.6033,4.6445
1992-07-16,4.6033,4.6445,4.5239,4.5652
1992-07-17,4.4858,4.6445,4.4858,4.6445
1992-07-20,4.4064,4.5652,4.3652,4.5239
1992-07-21,4.4445,4.6033,4.4445,4.5239
1992-07-22,4.4064,4.5652,4.4064,4.5239
1992-07-23,4.6445,4.7620,4.6445,4.6445
1992-07-24,4.6033,4.7620,4.6033,4.7239
1992-07-27,4.7239,4.8033,4.6445,4.7620
1992-07-28,4.7239,4.8033,4.6826,4.7620
1992-07-29,4.7620,4.8033,4.6033,4.6826
1992-07-30,4.7239,4.7620,4.6033,4.7620
1992-07-31,4.7239,4.8033,4.7239,4.8033
1992-08-03,4.7620,4.8826,4.7239,4.8826
1992-08-04,4.8826,4.9620,4.8826,4.9207
1992-08-05,4.9207,4.9620,4.9207,4.9207
1992-08-06,4.8826,4.9207,4.7620,4.8414
1992-08-07,4.7239,4.8033,4.7239,4.7620
1992-08-10,4.6445,4.7620,4.6033,4.7239
1992-08-11,4.7239,4.7239,4.6033,4.6033
1992-08-12,4.7239,4.7620,4.5239,4.6033
1992-08-13,4.6445,4.8033,4.6445,4.7620
1992-08-14,4.7620,5.0414,4.7620,5.0001
1992-08-17,4.9207,5.0795,4.9207,5.0414
1992-08-18,5.0795,5.2001,5.0414,5.0795
1992-08-19,5.0795,5.1588,5.0001,5.0414
1992-08-20,5.0795,5.1207,5.0795,5.1207
1992-08-21,5.0795,5.2795,5.0795,5.2382
1992-08-24,5.0414,5.2001,5.0414,5.1207
1992-08-25,5.1588,5.2001,5.0414,5.1588
1992-08-26,5.1207,5.2001,5.0795,5.2001
1992-08-27,5.2001,5.2382,5.1588,5.1588
1992-08-28,5.1207,5.1588,5.0795,5.1207
1992-08-31,5.1588,5.1588,5.1207,5.1207
1992-09-01,5.0995,5.1791,5.0612,5.0995
1992-09-02,5.0612,5.0995,4.9815,5.0198
1992-09-03,5.0198,5.0612,4.9815,4.9815
1992-09-04,5.0198,5.0198,4.9018,4.9018
1992-09-08,4.9401,4.9815,4.9018,4.9018
1992-09-09,4.9401,5.0612,4.9401,5.0612
1992-09-10,5.0995,5.1409,5.0198,5.0612
1992-09-11,5.0995,5.1409,5.0198,5.0612
1992-09-14,5.1409,5.2588,5.1409,5.2588
1992-09-15,5.1409,5.2206,5.1409,5.1409
1992-09-16,5.0995,5.1791,5.0198,5.1791
1992-09-17,5.1791,5.1791,5.0995,5.1791
1992-09-18,5.1791,5.2206,5.1409,5.2206
1992-09-21,5.1791,5.2206,5.1409,5.1791
1992-09-22,5.1791,5.2206,5.1409,5.1409
1992-09-23,5.0995,5.1409,4.9815,5.0612
1992-09-24,5.0612,5.2206,5.0612,5.1791
1992-09-25,5.1791,5.1791,5.0995,5.1791
1992-09-28,5.1409,5.2206,5.1409,5.2206
1992-09-29,5.2206,5.2206,5.1409,5.1409
1992-09-30,5.1791,5.1791,5.0612,5.0995
1992-10-01,5.0612,5.0995,4.9401,5.0198
1992-10-02,5.0198,5.0995,4.9401,5.0198
1992-10-05,4.9815,5.0198,4.7425,4.9815
1992-10-06,4.9401,4.9815,4.7807,4.9401
1992-10-07,4.9815,5.0995,4.9401,5.0612
1992-10-08,5.0995,5.1409,5.0612,5.0995
1992-10-09,5.0612,5.0612,4.8604,4.8604
1992-10-12,4.9018,4.9401,4.7807,4.8222
1992-10-13,4.8222,4.9401,4.8222,4.9018
1992-10-14,4.8604,4.9815,4.8222,4.9018
1992-10-15,4.8604,4.9401,4.8222,4.8222
1992-10-16,4.8222,4.8604,4.8222,4.8604
1992-10-19,4.8604,5.0198,4.8604,5.0198
1992-10-20,5.0612,5.1409,4.9815,5.0198
1992-10-21,5.0198,5.0198,4.9815,5.0198
1992-10-22,5.0198,5.0612,4.8604,4.9401
1992-10-23,4.8604,4.9401,4.8604,4.9401
1992-10-26,4.9401,5.0198,4.9401,4.9815
1992-10-27,5.0198,5.0995,4.9815,5.0612
1992-10-28,5.0612,5.0995,5.0198,5.0995
1992-10-29,5.0612,5.0612,4.9815,4.9815
1992-10-30,5.0198,5.0612,4.9815,5.0198
1992-11-02,5.0612,5.0995,5.0198,5.0612
1992-11-03,5.0612,5.1409,5.0612,5.0612
1992-11-04,5.0612,5.0612,5.0198,5.0612
1992-11-05,5.0198,5.1409,5.0198,5.1409
1992-11-06,5.0612,5.2588,5.0612,5.1791
1992-11-09,5.1409,5.3799,5.1409,5.2588
1992-11-10,5.2588,5.4596,5.2588,5.3385
1992-11-11,5.3799,5.4182,5.3385,5.4182
1992-11-12,5.3799,5.3799,5.2588,5.3002
1992-11-13,5.2588,5.3385,5.2206,5.3385
1992-11-16,5.3385,5.3385,5.1409,5.1791
1992-11-17,5.1791,5.2206,5.0995,5.1409
1992-11-18,5.1409,5.3002,5.1409,5.2588
1992-11-19,5.2206,5.3002,5.1791,5.2588
1992-11-20,5.3002,5.3002,5.1791,5.2588
1992-11-23,5.2206,5.2588,5.0995,5.0995
1992-11-24,5.1409,5.2588,5.1409,5.1791
1992-11-25,5.2588,5.3385,5.2206,5.3002
1992-11-27,5.3002,5.3385,5.3002,5.3385
1992-11-30,5.3385,5.3799,5.2588,5.2588
1992-12-01,5.2790,5.3590,5.1991,5.2406
1992-12-02,5.2406,5.3590,5.1991,5.3206
1992-12-03,5.3206,5.4006,5.2790,5.2790
1992-12-04,5.3590,5.4006,5.3206,5.3590
1992-12-07,5.3206,5.4006,5.2790,5.3590
1992-12-08,5.2790,5.3206,5.2790,5.3206
1992-12-09,5.3206,5.3590,5.2790,5.2790
1992-12-10,5.2790,5.4390,5.2790,5.4006
1992-12-11,5.3206,5.3590,5.2790,5.3206
1992-12-14,5.3206,5.3590,5.1991,5.1991
1992-12-15,5.0391,5.1191,5.0007,5.1191
1992-12-16,5.1191,5.2406,5.1191,5.1991
1992-12-17,5.1607,5.4006,5.1607,5.3590
1992-12-18,5.3590,5.3590,5.2406,5.3206
1992-12-21,5.3590,5.3590,5.2790,5.2790
1992-12-22,5.3206,5.4006,5.2406,5.2790
1992-12-23,5.3206,5.3590,5.2790,5.2790
1992-12-24,5.2790,5.3206,5.2406,5.2790
1992-12-28,5.1991,5.2406,5.0807,5.1991
1992-12-29,5.1991,5.2790,5.1991,5.1991
1992-12-30,5.1991,5.2790,5.1991,5.2790
1992-12-31,5.2406,5.3590,5.2406,5.3590
1993-01-04,5.3206,5.3590,5.2406,5.2406
1993-01-05,5.1991,5.3590,5.1991,5.2790
1993-01-06,5.3206,5.4390,5.2790,5.4006
1993-01-07,5.4006,5.5990,5.4006,5.4806
1993-01-08,5.4390,5.5606,5.3590,5.4006
1993-01-11,5.3590,5.5190,5.3206,5.5190
1993-01-12,5.4806,5.4806,5.4006,5.4806
1993-01-13,5.4806,5.5190,5.4390,5.4390
1993-01-14,5.4390,5.5190,5.4390,5.4806
1993-01-15,5.4806,5.4806,5.3206,5.3590
1993-01-18,5.3590,5.4006,5.3590,5.3590
1993-01-19,5.3590,5.5190,5.3590,5.5190
1993-01-20,5.4390,5.5606,5.3590,5.5190
1993-01-21,5.5190,5.5606,5.4390,5.5190
1993-01-22,5.4806,5.5190,5.3590,5.3590
1993-01-25,5.4006,5.5190,5.3590,5.4806
1993-01-26,5.5190,5.5990,5.4390,5.4806
1993-01-27,5.4390,5.4806,5.3206,5.4006
1993-01-28,5.3206,5.4006,5.2790,5.3590
1993-01-29,5.3590,5.4006,5.2406,5.3206
1993-02-01,5.3590,5.4006,5.3206,5.4006
1993-02-02,5.4006,5.4806,5.3590,5.4390
1993-02-03,5.4390,5.5190,5.4390,5.4390
1993-02-04,5.4806,5.5190,5.4006,5.4806
1993-02-05,5.5190,5.6406,5.4806,5.4806
1993-02-08,5.5606,5.6790,5.5606,5.6790
1993-02-09,5.5990,5.6406,5.5190,5.5990
1993-02-10,5.5990,5.7589,5.5990,5.7206
1993-02-11,5.7206,5.7589,5.6406,5.6406
1993-02-12,5.6790,5.7206,5.6790,5.6790
1993-02-16,5.6790,5.7206,5.4806,5.4806
1993-02-17,5.5190,5.5190,5.3590,5.4006
1993-02-18,5.4390,5.5990,5.2790,5.2790
1993-02-19,5.3590,5.4806,5.3206,5.4006
1993-02-22,5.4806,5.4806,5.3590,5.3590
1993-02-23,5.3590,5.4390,5.3590,5.3590
1993-02-24,5.3590,5.4390,5.3206,5.3590
1993-02-25,5.3590,5.4006,5.3206,5.4006
1993-02-26,5.4006,5.4806,5.3206,5.4806
1993-03-01,5.4209,5.5012,5.3406,5.3792
1993-03-02,5.3792,5.4595,5.3406,5.4595
1993-03-03,5.3792,5.4595,5.3792,5.4209
1993-03-04,5.4209,5.4595,5.3792,5.4595
1993-03-05,5.4595,5.5397,5.4209,5.4595
1993-03-08,5.5012,5.7421,5.4595,5.6618
1993-03-09,5.6200,5.6200,5.5012,5.5012
1993-03-10,5.5012,5.6200,5.4595,5.5815
1993-03-11,5.5815,5.5815,5.5397,5.5397
1993-03-12,5.5397,5.5397,5.4209,5.4595
1993-03-15,5.5397,5.5815,5.4595,5.5397
1993-03-16,5.5397,5.5397,5.4595,5.4595
1993-03-17,5.5012,5.6618,5.4595,5.6200
1993-03-18,5.6200,5.6618,5.5397,5.5815
1993-03-19,5.6200,5.6200,5.5815,5.5815
1993-03-22,5.5397,5.6200,5.4595,5.6200
1993-03-23,5.6200,5.7806,5.6200,5.7421
1993-03-24,5.7806,5.7806,5.6200,5.6618
1993-03-25,5.6200,5.7421,5.6200,5.6618
1993-03-26,5.7003,5.7806,5.6618,5.7421
1993-03-29,5.7421,5.8609,5.7421,5.8224
1993-03-30,5.7806,5.8224,5.7421,5.7806
1993-03-31,5.7806,5.8224,5.3792,5.6618
1993-04-01,5.6618,5.7003,5.4595,5.5012
1993-04-02,5.4595,5.5012,5.3792,5.3792
1993-04-05,5.4595,5.5012,5.3792,5.4595
1993-04-06,5.4595,5.5012,5.3406,5.3406
1993-04-07,5.4209,5.4595,5.3792,5.3792
1993-04-08,5.4595,5.4595,5.3792,5.3792
