DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2014-05-08,11.0653,11.2400,10.4596,10.8556,3.736,
2014-05-09,10.8556,11.0711,10.7450,11.0653,0.294,
2014-05-12,11.0653,11.1620,10.9197,11.1235,0.149,
2014-05-13,10.6402,11.2284,10.6402,11.1002,0.100,
2014-05-14,11.1352,11.1643,11.0653,11.1002,0.047,
2014-05-15,11.0828,11.0886,10.4538,10.8032,0.369,
2014-05-16,10.8032,11.1235,10.8032,11.0653,0.067,
2014-05-19,11.0653,11.1235,11.0653,11.1061,0.048,
2014-05-20,11.0653,11.1760,11.0187,11.1468,0.044,
2014-05-21,11.1760,11.3565,11.0245,11.1119,0.048,
2014-05-22,11.0769,11.5312,11.0769,11.4788,0.053,
2014-05-23,11.4206,11.4730,11.3629,11.4439,0.051,
2014-05-27,11.5603,11.6157,11.3565,11.4439,0.047,
2014-05-28,11.3798,11.4963,11.3565,11.4730,0.056,
2014-05-29,11.6768,11.8748,11.5778,11.6419,0.307,
2014-05-30,11.6186,11.9680,11.6186,11.8282,0.488,
2014-06-02,11.8282,12.0554,11.8108,11.8690,0.306,
2014-06-03,12.0262,12.0262,11.8166,12.0204,0.289,
2014-06-04,11.9389,11.9971,11.8166,11.9564,0.263,
2014-06-05,12.1136,12.3058,11.9505,11.9855,0.140,
2014-06-06,12.0554,12.7426,11.9564,12.5387,0.197,
2014-06-09,12.5795,12.8125,12.0851,12.1311,0.199,
2014-06-10,12.3291,12.6785,12.2068,12.6261,0.224,
2014-06-11,12.7193,12.8125,12.3873,12.6960,0.321,
2014-06-12,12.6902,12.7483,12.5387,12.6669,0.131,
2014-06-13,12.6669,12.6669,12.3757,12.5970,0.108,
2014-06-16,12.7950,12.7950,11.7583,12.0728,0.389,
2014-06-17,12.5154,12.6669,12.2126,12.3174,0.351,
2014-06-18,12.4630,13.4647,12.4630,12.8590,0.500,
2014-06-19,13.1036,13.3657,12.8241,13.0163,0.408,
2014-06-20,12.9522,13.3133,12.7018,13.2201,0.295,
2014-06-23,13.2492,13.4764,13.0862,13.3482,0.303,
2014-06-24,13.3715,13.8200,13.3308,13.5870,0.453,
2014-06-25,13.5696,13.5929,13.1036,13.1328,0.199,
2014-06-26,13.5346,13.8433,13.3948,13.6627,0.233,
2014-06-27,13.7676,13.8316,13.4473,13.4473,1.039,
2014-06-30,13.3948,14.5188,13.3017,13.3890,0.444,
2014-07-01,13.6919,14.0937,13.4065,13.5055,0.383,
2014-07-02,13.5463,13.5608,12.9988,13.2667,0.246,
2014-07-03,13.2667,13.6977,13.2434,13.6686,0.094,
2014-07-07,13.6744,13.6744,12.8474,13.0221,0.452,
2014-07-08,13.1269,13.5346,13.1101,13.2085,0.168,
2014-07-09,13.2085,13.4531,13.0221,13.1794,0.133,
2014-07-10,13.0629,13.3715,12.8590,13.3075,0.257,
2014-07-11,13.3075,13.4350,13.1036,13.2143,0.127,
2014-07-14,13.3250,13.3774,13.1910,13.2085,0.183,
2014-07-15,13.1852,13.2667,12.9348,13.0920,0.111,
2014-07-16,13.0512,13.1968,12.9348,12.9639,0.202,
2014-07-17,12.9173,12.9464,12.6960,12.7484,0.186,
2014-07-18,12.7134,12.8940,12.6436,12.8241,0.124,12.363
2014-07-21,12.7950,12.8358,12.4980,12.5737,0.056,12.397
2014-07-22,12.5853,12.8590,12.5853,12.7309,0.045,12.430
2014-07-23,12.7134,12.9115,12.7134,12.8707,0.114,12.465
2014-07-24,12.8183,12.9581,12.8125,12.9289,0.121,12.502
2014-07-25,12.8707,12.9464,12.7367,12.8940,0.208,12.538
2014-07-28,12.8590,12.8590,12.4514,12.5562,0.149,12.573
2014-07-29,12.5795,12.6785,12.4980,12.6144,0.112,12.604
2014-07-30,12.6785,12.6843,12.1136,12.1660,0.134,12.625
2014-07-31,12.1893,12.1893,11.6419,11.6885,0.263,12.636
2014-08-01,11.6477,11.9971,11.6477,11.9564,0.289,12.653
2014-08-04,11.9738,11.9913,11.5662,11.9680,0.162,12.663
2014-08-05,11.9447,12.0088,11.6535,11.7758,0.178,12.669
2014-08-06,11.6652,12.2650,11.4147,11.5079,0.463,12.670
2014-08-07,11.5021,11.5079,11.2983,11.3740,0.220,12.668
2014-08-08,11.3681,11.4613,11.2458,11.4322,0.161,12.664
2014-08-11,11.5079,11.6011,11.3623,11.4322,0.222,12.656
2014-08-12,11.5312,11.5312,10.9954,11.1818,0.327,12.643
2014-08-13,11.1760,11.5312,11.1294,11.4089,0.233,12.630
2014-08-14,11.4730,11.5021,11.3711,11.4555,0.074,12.620
2014-08-15,11.6069,11.7933,11.5021,11.5254,0.132,12.611
2014-08-18,11.5836,11.5982,11.4439,11.5429,0.094,12.591
2014-08-19,11.5487,11.6011,11.5021,11.5196,0.093,12.579
2014-08-20,11.4555,11.5073,11.3857,11.4555,0.047,12.556
2014-08-21,11.5429,11.5603,11.4206,11.4963,0.052,12.532
2014-08-22,11.5021,11.5137,11.3798,11.4788,0.080,12.508
2014-08-25,11.4904,11.5487,11.2109,11.3041,0.117,12.482
2014-08-26,11.3623,11.4555,11.2508,11.3798,0.112,12.468
2014-08-27,11.3565,11.4579,11.3099,11.3740,0.086,12.449
2014-08-28,11.3623,11.4322,11.3216,11.3914,0.089,12.420
2014-08-29,11.4147,11.5021,11.3565,11.4322,0.130,12.388
2014-09-02,11.4147,11.5836,11.0769,11.3332,0.521,12.351
2014-09-03,11.4147,11.8049,11.1876,11.2633,0.425,12.309
2014-09-04,11.4439,11.4439,10.9779,11.0769,0.523,12.259
2014-09-05,11.0187,11.1294,10.9488,11.0537,0.180,12.217
2014-09-08,11.0362,11.0828,10.9255,11.0071,0.288,12.164
2014-09-09,11.0304,11.0740,10.8632,11.0129,0.085,12.115
2014-09-10,11.0769,11.2109,11.0187,11.1876,0.271,12.071
2014-09-11,11.1760,11.6186,11.0944,11.4555,0.089,12.030
2014-09-12,11.4671,11.5044,11.2575,11.4730,0.198,11.994
2014-09-15,11.4322,11.4613,11.3041,11.3565,0.115,11.948
2014-09-16,11.3390,11.7875,11.1760,11.2342,0.095,11.912
2014-09-17,11.2400,11.4963,11.2284,11.3623,0.430,11.875
2014-09-18,11.3740,11.5254,11.2575,11.3390,0.168,11.839
2014-09-19,11.3448,11.4438,11.2051,11.2458,0.048,11.797
2014-09-22,11.2342,11.2342,11.0362,11.0362,0.066,11.754
2014-09-23,11.0362,11.1527,10.9022,10.9197,0.771,11.708
2014-09-24,11.0012,11.0012,10.8441,10.9488,0.111,11.665
2014-09-25,10.9838,11.0012,10.3257,10.5586,0.168,11.617
2014-09-26,10.6169,10.7159,10.4130,10.6343,0.143,11.575
2014-09-29,10.5120,10.7450,10.4829,10.6576,0.116,11.531
2014-09-30,10.6809,10.6809,10.3373,10.3781,0.151,11.488
2014-10-01,10.4014,10.4480,10.1975,10.2500,0.307,11.438
2014-10-02,10.3839,10.4783,9.9122,10.1626,0.327,11.384
2014-10-03,10.2092,10.3956,10.1690,10.2907,0.141,11.331
2014-10-06,10.3839,10.5703,10.1917,10.3664,0.132,11.280
2014-10-07,10.3373,10.3664,9.9937,10.0054,0.111,11.229
2014-10-08,10.0578,10.0578,9.5103,9.9064,0.281,11.175
2014-10-09,9.9064,9.9122,9.6326,9.6559,0.114,11.125
2014-10-10,9.5686,9.6385,8.7066,8.9862,0.325,11.071
2014-10-13,8.9687,9.1842,8.7824,8.8639,0.184,11.009
2014-10-14,8.8988,9.1609,8.7940,9.0444,0.350,10.951
2014-10-15,9.0503,9.2133,8.7800,8.8522,0.384,10.892
2014-10-16,8.6368,9.3647,8.6368,9.1318,0.424,10.845
2014-10-17,9.2133,9.4404,9.0794,9.2250,0.106,10.802
2014-10-20,9.3822,9.5103,9.0794,9.1143,0.072,10.755
2014-10-21,9.0910,9.4637,9.0619,9.3123,0.101,10.713
2014-10-22,9.3065,9.3123,8.8988,8.9745,0.120,10.669
2014-10-23,9.0270,9.0794,8.8289,8.9163,0.305,10.619
2014-10-24,8.9221,8.9221,8.7940,8.8522,0.055,10.567
2014-10-27,8.7591,8.8348,8.4620,8.5785,0.115,10.508
2014-10-28,8.6601,8.7765,8.5785,8.7125,0.184,10.451
2014-10-29,8.7591,8.8755,8.2000,8.4213,0.202,10.389
2014-10-30,8.3863,8.4155,8.1417,8.2815,0.385,10.326
2014-10-31,8.3630,8.3980,8.2640,8.3456,0.085,10.263
2014-11-03,8.3572,8.3922,8.1010,8.2757,0.257,10.199
2014-11-04,8.2699,8.2699,8.0718,8.1709,0.359,10.136
2014-11-05,8.2815,8.3246,8.0253,8.2815,0.248,10.074
2014-11-06,8.2815,8.8814,8.1709,8.7765,0.440,10.022
2014-11-07,8.7940,8.8930,8.6076,8.8755,0.262,9.972
2014-11-10,8.8988,9.0503,8.7882,9.0211,0.125,9.924
2014-11-11,8.9687,9.0561,8.5086,8.8464,0.532,9.874
2014-11-12,8.8522,9.0153,8.6251,8.9105,0.160,9.827
2014-11-13,8.9396,9.0270,8.7066,8.7998,0.253,9.781
2014-11-14,8.7707,9.0794,8.7532,9.0328,0.358,9.741
2014-11-17,8.9745,9.2250,8.9745,9.1493,0.522,9.704
