DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1987-11-05,1.5599,1.6021,1.5599,1.6021,0.071,
1987-11-06,1.5810,1.5810,1.5371,1.5371,0.032,
1987-11-09,1.5599,1.5599,1.4931,1.5371,0.049,
1987-11-10,1.5142,1.5599,1.4931,1.5599,0.042,
1987-11-11,1.5371,1.5599,1.5142,1.5599,0.074,
1987-11-12,1.5599,1.5810,1.5371,1.5810,0.034,
1987-11-13,1.5810,1.5810,1.5371,1.5599,0.045,
1987-11-16,1.5810,1.5810,1.5142,1.5371,0.062,
1987-11-17,1.5599,1.5810,1.5142,1.5371,0.050,
1987-11-18,1.5599,1.5599,1.5371,1.5371,0.062,
1987-11-19,1.5599,1.5810,1.5371,1.5810,0.061,
1987-11-20,1.5810,1.5810,1.5371,1.5810,0.067,
1987-11-23,1.5599,1.5810,1.5371,1.5371,0.045,
1987-11-24,1.5599,1.5810,1.5371,1.5810,0.066,
1987-11-25,1.5810,1.6021,1.5371,1.5599,0.049,
1987-11-27,1.5371,1.5599,1.5371,1.5371,0.007,
1987-11-30,1.5599,1.5810,1.5371,1.5810,0.069,
1987-12-01,1.5599,1.5810,1.5371,1.5599,0.045,
1987-12-02,1.5599,1.5599,1.5371,1.5599,0.064,
1987-12-03,1.5371,1.5599,1.5371,1.5599,0.068,
1987-12-04,1.5371,1.5599,1.5371,1.5371,0.026,
1987-12-07,1.5371,1.5599,1.5142,1.5371,0.055,
1987-12-08,1.5142,1.5371,1.4721,1.5142,0.107,
1987-12-09,1.5142,1.5142,1.4721,1.4931,0.050,
1987-12-10,1.4721,1.5142,1.4721,1.4721,0.064,
1987-12-11,1.4931,1.4931,1.4492,1.4721,0.098,
1987-12-14,1.4492,1.4931,1.4492,1.4721,0.064,
1987-12-15,1.5142,1.5371,1.4931,1.5371,0.071,
1987-12-16,1.5142,1.5142,1.4721,1.5142,0.090,
1987-12-17,1.4931,1.5142,1.4721,1.4931,0.080,
1987-12-18,1.4931,1.5142,1.4721,1.4931,0.079,
1987-12-21,1.5142,1.5371,1.4931,1.5142,0.076,
1987-12-22,1.4931,1.5142,1.4721,1.5142,0.100,
1987-12-23,1.4721,1.5371,1.4721,1.5142,0.124,
1987-12-24,1.4931,1.5142,1.4721,1.4931,0.060,
1987-12-28,1.4931,1.5142,1.4721,1.4721,0.082,
1987-12-29,1.4721,1.5142,1.4721,1.4931,0.090,
1987-12-30,1.4721,1.5142,1.4492,1.4931,0.126,
1987-12-31,1.4931,1.4931,1.4492,1.4721,0.173,
1988-01-04,1.4931,1.5142,1.4721,1.4931,0.022,
1988-01-05,1.5142,1.5810,1.5142,1.5810,0.067,
1988-01-06,1.5810,1.5810,1.5599,1.5810,0.034,
1988-01-07,1.5599,1.6249,1.5599,1.6249,0.045,
1988-01-08,1.5810,1.6021,1.5810,1.5810,0.019,
1988-01-11,1.5810,1.6021,1.5599,1.6021,0.027,
1988-01-12,1.5810,1.6021,1.5599,1.5810,0.017,
1988-01-13,1.5810,1.6021,1.5599,1.5599,0.022,
1988-01-14,1.5810,1.6249,1.5810,1.5810,0.023,
1988-01-15,1.6021,1.6249,1.5810,1.6021,0.019,
1988-01-18,1.6021,1.6249,1.6021,1.6249,0.011,1.542
1988-01-19,1.6249,1.6477,1.6021,1.6477,0.065,1.543
