DATE,OPEN,HIGH,LOW,CLOSE
1997-09-22,4.2404,4.2404,4.2404,4.2404
1997-09-23,4.2404,4.2771,4.2404,4.2574
1997-09-24,4.2771,4.2771,4.2574,4.2771
1997-09-25,4.3111,4.3111,4.2941,4.3111
1997-09-26,4.3111,4.3111,4.2574,4.2574
1997-09-29,4.2771,4.3111,4.2771,4.2771
1997-09-30,4.3111,4.3111,4.2771,4.2941
1997-10-01,4.2941,4.2941,4.2941,4.2941
1997-10-02,4.2941,4.2941,4.2771,4.2771
1997-10-03,4.2941,4.3478,4.2941,4.3280
1997-10-06,4.3478,4.3478,4.2574,4.2771
1997-10-07,4.3111,4.3111,4.2771,4.2771
1997-10-08,4.3111,4.3111,4.2771,4.2771
1997-10-09,4.3111,4.4185,4.3111,4.4185
1997-10-10,4.3817,4.4185,4.3478,4.3478
1997-10-13,4.4354,4.4354,4.3478,4.3478
1997-10-14,4.3111,4.3280,4.2771,4.2771
1997-10-15,4.2771,4.3111,4.2771,4.3111
1997-10-16,4.3280,4.3478,4.2941,4.3478
1997-10-17,4.3478,4.3648,4.3478,4.3648
1997-10-20,4.3280,4.3280,4.3111,4.3280
1997-10-21,4.3111,4.3648,4.3111,4.3478
1997-10-22,4.3478,4.3478,4.3478,4.3478
1997-10-23,4.3817,4.3817,4.3817,4.3817
1997-10-24,4.3817,4.4185,4.3817,4.4185
1997-10-27,4.4185,4.4524,4.3111,4.3817
1997-10-28,4.3817,4.3817,4.3478,4.3817
1997-10-29,4.4185,4.4185,4.3478,4.3817
1997-10-30,4.4185,4.4354,4.3817,4.4185
1997-10-31,4.4524,4.4524,4.3817,4.3817
1997-11-03,4.3817,4.3817,4.3648,4.3817
1997-11-04,4.4185,4.4185,4.3817,4.4185
1997-11-05,4.4185,4.4185,4.4185,4.4185
1997-11-06,4.4185,4.4354,4.3817,4.3817
1997-11-07,4.3987,4.3987,4.3817,4.3817
1997-11-10,4.3817,4.3987,4.3648,4.3817
