DATE,OPEN,HIGH,LOW,CLOSE
1994-08-02,9.3715,9.5752,8.9640,9.1678
1994-08-03,9.2737,9.5752,9.0618,9.2737
1994-08-04,9.5752,9.9827,9.3715,9.7790
1994-08-05,9.8767,9.8767,9.5752,9.5752
1994-08-08,9.5752,9.7790,9.3715,9.5752
1994-08-09,9.3715,9.5752,9.2737,9.2737
1994-08-10,9.5752,9.5752,9.0618,9.2737
1994-08-11,9.1678,9.3715,9.1678,9.1678
1994-08-12,9.1678,9.3715,9.1678,9.1678
1994-08-15,9.1678,9.5752,9.1678,9.4774
1994-08-16,9.5752,10.5939,9.4774,10.2923
1994-08-17,10.2923,10.4961,10.2923,10.2923
1994-08-18,10.4961,10.5939,10.2923,10.2923
1994-08-19,10.4961,10.4961,10.2923,10.2923
1994-08-22,10.4961,10.6917,10.1864,10.6917
1994-08-23,10.7976,11.0013,10.4961,10.7976
1994-08-24,10.7976,11.0013,10.7976,11.0013
1994-08-25,11.0013,11.0013,10.5939,10.7976
1994-08-26,10.5939,11.0013,10.5939,10.5939
1994-08-29,11.0013,11.2050,10.7976,10.8954
1994-08-30,11.2050,11.2050,10.8954,11.2050
1994-08-31,11.0013,11.2050,11.0013,11.0013
1994-09-01,11.2050,11.2050,11.0013,11.2050
1994-09-02,11.0013,11.1073,10.8954,11.1073
1994-09-06,11.1073,11.1073,10.7976,10.7976
1994-09-07,10.6917,10.7976,10.5939,10.7976
1994-09-08,10.5939,10.5939,10.1864,10.1864
1994-09-09,10.2923,10.2923,10.0805,10.2923
1994-09-12,10.2923,10.3412,10.0805,10.0805
1994-09-13,10.3901,10.6917,10.1864,10.5939
1994-09-14,10.6917,11.0013,10.4961,10.5939
1994-09-15,10.7976,11.2050,10.5939,11.2050
1994-09-16,11.3110,11.4088,11.2050,11.4088
1994-09-19,11.4088,11.8162,11.3110,11.5066
1994-09-20,11.4088,11.5066,11.2050,11.2050
1994-09-21,11.4088,11.4088,10.8954,10.8954
1994-09-22,10.8954,11.2050,10.8954,11.0013
