DATE,OPEN,HIGH,LOW,CLOSE
1987-12-30,3.1665,3.2576,3.1500,3.1995
1987-12-31,3.1665,3.2655,3.1500,3.2655
1988-01-04,3.2820,3.3565,3.2820,3.3314
1988-01-05,3.3377,3.3965,3.3377,3.3631
1988-01-06,3.3464,3.3631,3.3044,3.3297
1988-01-07,3.3130,3.3210,3.2463,3.3210
1988-01-08,3.3044,3.3044,3.0373,3.0373
1988-01-11,3.0707,3.1041,3.0373,3.1041
1988-01-12,3.1208,3.1375,3.0207,3.1375
1988-01-13,3.1875,3.2543,3.1208,3.1962
1988-01-14,3.2296,3.2296,3.1628,3.1708
1988-01-15,3.2543,3.3210,3.2209,3.2209
1988-01-18,3.2209,3.2877,3.2129,3.2877
1988-01-19,3.2710,3.2963,3.2209,3.2209
1988-01-20,3.2042,3.2543,3.2042,3.2463
1988-01-21,3.2710,3.4379,3.2042,3.3210
1988-01-22,3.3210,3.3711,3.2963,3.3711
1988-01-25,3.3377,3.3544,3.2963,3.3210
1988-01-26,3.3377,3.3377,3.3210,3.3377
1988-01-27,3.3210,3.3210,3.2710,3.3044
1988-01-28,3.3210,3.3210,3.2877,3.3130
1988-01-29,3.3210,3.3297,3.2877,3.3130
1988-02-01,3.3377,3.3878,3.3377,3.3544
1988-02-02,3.3544,3.3544,3.3130,3.3464
1988-02-03,3.3711,3.3878,3.3297,3.3631
1988-02-04,3.4212,3.4212,3.3130,3.3210
1988-02-05,3.3130,3.3210,3.2710,3.2710
1988-02-08,3.2543,3.3297,3.2543,3.2963
1988-02-09,3.3044,3.3297,3.2543,3.3044
1988-02-10,3.3297,3.3631,3.2710,3.3631
1988-02-11,3.3711,3.3878,3.3044,3.3210
1988-02-12,3.3044,3.3631,3.3044,3.3377
1988-02-16,3.3044,3.3297,3.3044,3.3210
1988-02-17,3.3130,3.3297,3.2877,3.2877
1988-02-18,3.2797,3.3210,3.2797,3.2797
1988-02-19,3.3044,3.3711,3.2963,3.3711
1988-02-22,3.3631,3.4879,3.3631,3.4712
1988-02-23,3.5547,3.6048,3.4712,3.5213
1988-02-24,3.4879,3.5300,3.4712,3.4879
1988-02-25,3.4966,3.5300,3.3711,3.3878
1988-02-26,3.3878,3.4132,3.3544,3.4045
1988-02-29,3.4045,3.5213,3.4045,3.5046
1988-03-01,3.5213,3.5213,3.4299,3.4712
1988-03-02,3.4879,3.4966,3.4379,3.4799
1988-03-03,3.4879,3.4966,3.4712,3.4799
1988-03-04,3.4799,3.5634,3.4379,3.5467
1988-03-07,3.6048,3.6715,3.5801,3.6301
1988-03-08,3.6381,3.6715,3.6048,3.6548
1988-03-09,3.7049,3.7136,3.6548,3.6715
1988-03-10,3.6969,3.6969,3.6214,3.6214
1988-03-11,3.6381,3.6715,3.5881,3.6468
1988-03-14,3.6635,3.7049,3.6468,3.6882
1988-03-15,3.6882,3.6969,3.6548,3.6715
1988-03-16,3.6802,3.6802,3.6214,3.6548
1988-03-17,3.6715,3.6715,3.6301,3.6548
1988-03-18,3.6548,3.6548,3.5213,3.5967
1988-03-21,3.5380,3.5467,3.4879,3.5213
1988-03-22,3.5380,3.5380,3.4879,3.5046
1988-03-23,3.4879,3.4879,3.4132,3.4632
1988-03-24,3.4465,3.4465,3.3297,3.3711
1988-03-25,3.3965,3.4212,3.3544,3.3631
1988-03-28,3.3711,3.3878,3.3377,3.3377
1988-03-29,3.3544,3.3544,3.3130,3.3297
1988-03-30,3.3297,3.3377,3.2710,3.2797
1988-03-31,3.2710,3.3297,3.2630,3.3210
1988-04-04,3.3210,3.3711,3.3044,3.3297
1988-04-05,3.3267,3.4112,3.3267,3.4112
1988-04-06,3.3943,3.4449,3.3267,3.4449
1988-04-07,3.4449,3.4875,3.4199,3.4618
1988-04-08,3.4875,3.5294,3.4787,3.5294
1988-04-11,3.5125,3.5125,3.4537,3.4706
1988-04-12,3.4706,3.4787,3.4618,3.4706
1988-04-13,3.4706,3.4706,3.4112,3.4449
1988-04-14,3.3774,3.4112,3.3098,3.3355
1988-04-15,3.3267,3.3267,3.2761,3.3098
1988-04-18,3.3267,3.3267,3.3098,3.3098
1988-04-19,3.3098,3.3605,3.2930,3.3186
1988-04-20,3.3098,3.3267,3.2761,3.2761
1988-04-21,3.2930,3.3355,3.2592,3.3017
1988-04-22,3.3098,3.3943,3.3098,3.3774
1988-04-25,3.3862,3.4449,3.3693,3.4199
1988-04-26,3.4281,3.5044,3.4112,3.4199
1988-04-27,3.4199,3.4199,3.3862,3.3862
1988-04-28,3.3774,3.3943,3.3605,3.3605
1988-04-29,3.3693,3.4112,3.3605,3.3943
1988-05-02,3.3943,3.4706,3.3862,3.4706
1988-05-03,3.4618,3.5125,3.4618,3.4875
1988-05-04,3.4875,3.4956,3.4706,3.4706
1988-05-05,3.4787,3.4787,3.3943,3.4281
1988-05-06,3.4031,3.4449,3.3693,3.3693
1988-05-09,3.3862,3.3943,3.3693,3.3943
1988-05-10,3.3943,3.4537,3.3943,3.4449
1988-05-11,3.4112,3.4112,3.3436,3.3774
1988-05-12,3.3605,3.3774,3.3605,3.3774
1988-05-13,3.3774,3.4112,3.3524,3.3774
1988-05-16,3.3693,3.4112,3.3524,3.4031
1988-05-17,3.4199,3.4281,3.3436,3.3774
1988-05-18,3.3605,3.3693,3.3267,3.3436
1988-05-19,3.3524,3.3605,3.3098,3.3605
1988-05-20,3.3862,3.3943,3.3524,3.3693
1988-05-23,3.3524,3.4112,3.3524,3.4112
1988-05-24,3.4031,3.5463,3.4031,3.5213
1988-05-25,3.6307,3.6476,3.5969,3.5969
1988-05-26,3.6138,3.6138,3.5888,3.6138
1988-05-27,3.5800,3.6057,3.5800,3.5888
1988-05-31,3.5800,3.6395,3.5800,3.6307
1988-06-01,3.6307,3.6476,3.5969,3.6476
1988-06-02,3.6395,3.6476,3.5888,3.5969
1988-06-03,3.5888,3.5969,3.5463,3.5631
1988-06-06,3.5800,3.5969,3.5631,3.5888
1988-06-07,3.5550,3.6138,3.5463,3.5631
1988-06-08,3.5550,3.6982,3.5463,3.6645
1988-06-09,3.6645,3.6645,3.6307,3.6564
1988-06-10,3.6476,3.6982,3.6395,3.6733
1988-06-13,3.6901,3.6901,3.6476,3.6564
1988-06-14,3.6814,3.7658,3.6814,3.7408
1988-06-15,3.7239,3.7239,3.6901,3.7239
1988-06-16,3.7151,3.7239,3.6645,3.6645
1988-06-17,3.7070,3.7151,3.6901,3.6982
1988-06-20,3.6901,3.7151,3.6901,3.7151
1988-06-21,3.7151,3.7151,3.6814,3.7151
1988-06-22,3.7489,3.7827,3.7151,3.7239
1988-06-23,3.7320,3.7320,3.6645,3.6645
1988-06-24,3.6814,3.6982,3.6645,3.6814
1988-06-27,3.6645,3.6982,3.6564,3.6645
1988-06-28,3.6564,3.7239,3.6564,3.7070
1988-06-29,3.7070,3.7070,3.6645,3.6982
1988-06-30,3.6814,3.7239,3.6814,3.7239
1988-07-01,3.6982,3.7320,3.6982,3.7239
1988-07-05,3.7296,3.8402,3.7296,3.8320
1988-07-06,3.8402,3.8743,3.8231,3.8572
1988-07-07,3.8402,3.9173,3.8320,3.9003
1988-07-08,3.9003,3.9173,3.8914,3.9173
1988-07-11,3.9255,3.9767,3.9085,3.9597
1988-07-12,3.9597,3.9597,3.8661,3.9085
1988-07-13,3.9255,3.9597,3.9085,3.9426
1988-07-14,3.9255,3.9767,3.9255,3.9685
1988-07-15,3.9597,4.0027,3.9597,3.9767
1988-07-18,3.9685,3.9685,3.8572,3.9085
1988-07-19,3.8914,3.8914,3.7719,3.8231
1988-07-20,3.7890,3.7890,3.7296,3.7378
1988-07-21,3.7548,3.7548,3.6613,3.6613
1988-07-22,3.6442,3.6695,3.5671,3.6101
1988-07-25,3.6012,3.6012,3.5589,3.5589
1988-07-26,3.5589,3.5842,3.5418,3.5589
1988-07-27,3.5671,3.5671,3.4906,3.4906
1988-07-28,3.5077,3.5589,3.4988,3.5418
1988-07-29,3.5589,3.6866,3.5418,3.6695
1988-08-01,3.6695,3.7125,3.6354,3.6524
1988-08-02,3.6442,3.6954,3.6183,3.6784
1988-08-03,3.6954,3.7548,3.6954,3.7125
1988-08-04,3.7207,3.7207,3.6866,3.7036
1988-08-05,3.6954,3.7125,3.6613,3.6866
1988-08-08,3.6695,3.7036,3.6695,3.6784
1988-08-09,3.6866,3.6866,3.6272,3.6272
1988-08-10,3.6272,3.6272,3.5330,3.5500
1988-08-11,3.5330,3.6613,3.5248,3.6613
1988-08-12,3.6354,3.6524,3.5760,3.6524
1988-08-15,3.6272,3.6442,3.6012,3.6272
1988-08-16,3.6101,3.6866,3.6012,3.6695
1988-08-17,3.6784,3.6784,3.6524,3.6695
1988-08-18,3.6695,3.7548,3.6695,3.6954
1988-08-19,3.6954,3.7125,3.6954,3.7125
1988-08-22,3.7036,3.7207,3.6954,3.7036
1988-08-23,3.7036,3.7378,3.7036,3.7296
1988-08-24,3.7378,3.7890,3.7378,3.7808
1988-08-25,3.7548,3.7808,3.7467,3.7637
1988-08-26,3.7808,3.7890,3.7378,3.7378
1988-08-29,3.7548,3.7808,3.7378,3.7378
1988-08-30,3.7548,3.7548,3.7207,3.7296
1988-08-31,3.7296,3.7378,3.6012,3.6524
1988-09-01,3.6524,3.6524,3.6101,3.6272
1988-09-02,3.6524,3.7378,3.6524,3.7378
1988-09-06,3.7467,3.7808,3.7207,3.7719
1988-09-07,3.7890,3.8149,3.7808,3.8060
1988-09-08,3.7890,3.8491,3.7890,3.8402
1988-09-09,3.8402,3.9255,3.8060,3.8743
1988-09-12,3.8572,3.8661,3.8320,3.8320
1988-09-13,3.8231,3.8661,3.7979,3.8661
1988-09-14,3.9085,3.9085,3.8661,3.8914
1988-09-15,3.8743,3.8832,3.8231,3.8231
1988-09-16,3.7890,3.8832,3.7890,3.8832
1988-09-19,3.8661,3.8832,3.8149,3.8231
1988-09-20,3.8060,3.8402,3.7979,3.8060
1988-09-21,3.8231,3.8743,3.8060,3.8491
1988-09-22,3.8661,3.8661,3.7979,3.7979
1988-09-23,3.7979,3.8491,3.7890,3.8491
1988-09-26,3.8661,3.8832,3.8661,3.8661
1988-09-27,3.8491,3.8572,3.8320,3.8491
1988-09-28,3.8402,3.8832,3.8320,3.8402
1988-09-29,3.8402,3.8743,3.8231,3.8572
1988-09-30,3.8572,3.8832,3.8491,3.8491
1988-10-03,3.8320,3.8572,3.8231,3.8320
1988-10-04,3.8309,3.9172,3.8309,3.8999
1988-10-05,3.9089,3.9261,3.9089,3.9261
1988-10-06,3.9261,3.9261,3.8827,3.9172
1988-10-07,3.9172,3.9952,3.8744,3.9862
1988-10-10,4.0035,4.0297,4.0035,4.0124
1988-10-11,4.0207,4.0297,4.0035,4.0035
1988-10-12,4.0035,4.0124,3.9517,3.9607
1988-10-13,3.9517,3.9689,3.9434,3.9607
