DATE,OPEN,HIGH,LOW,CLOSE
1992-07-17,2.1468,2.1468,2.0788,2.1254
1992-07-20,2.1254,2.1468,2.1254,2.1254
1992-07-21,2.1468,2.1468,2.1254,2.1468
1992-07-22,2.1468,2.1468,2.1254,2.1254
1992-07-23,2.1254,2.1468,2.1254,2.1468
1992-07-24,2.1468,2.1468,2.1254,2.1468
1992-07-27,2.1468,2.1468,2.1254,2.1254
1992-07-28,2.1254,2.1468,2.1254,2.1468
1992-07-29,2.1468,2.1915,2.1254,2.1915
1992-07-30,2.1683,2.1915,2.1683,2.1915
1992-07-31,2.1683,2.1915,2.1683,2.1915
1992-08-03,2.1915,2.2148,2.1683,2.1915
1992-08-04,2.1915,2.2148,2.1915,2.2148
1992-08-05,2.2148,2.2148,2.1915,2.2148
1992-08-06,2.2148,2.2148,2.1915,2.2148
1992-08-07,2.2148,2.2363,2.2148,2.2363
1992-08-10,2.2148,2.2363,2.2148,2.2148
1992-08-11,2.2363,2.2363,2.2148,2.2148
1992-08-12,2.2148,2.2363,2.2148,2.2363
1992-08-13,2.2363,2.2363,2.2148,2.2148
1992-08-14,2.2363,2.2363,2.2148,2.2148
1992-08-17,2.1915,2.2148,2.1915,2.1915
1992-08-18,2.2148,2.2148,2.1915,2.1915
1992-08-19,2.2148,2.2148,2.1915,2.1915
1992-08-20,2.1915,2.2148,2.1915,2.2148
1992-08-21,2.2148,2.2148,2.1915,2.2148
1992-08-24,2.2148,2.2148,2.1915,2.1915
1992-08-25,2.2148,2.2148,2.1915,2.2148
1992-08-26,2.2148,2.2148,2.1915,2.2148
1992-08-27,2.2148,2.2148,2.1915,2.2148
1992-08-28,2.2148,2.2148,2.1915,2.1915
1992-08-31,2.2148,2.2148,2.1915,2.2148
1992-09-01,2.1915,2.1915,2.1683,2.1915
1992-09-02,2.1915,2.1915,2.1683,2.1683
1992-09-03,2.1683,2.1915,2.1683,2.1915
1992-09-04,2.1915,2.1915,2.1683,2.1915
1992-09-08,2.1683,2.1915,2.1683,2.1683
1992-09-09,2.1915,2.1915,2.1683,2.1915
1992-09-10,2.1915,2.1915,2.1683,2.1683
1992-09-11,2.1915,2.1915,2.1683,2.1915
1992-09-14,2.1915,2.1915,2.1683,2.1915
1992-09-15,2.1915,2.1915,2.1683,2.1915
1992-09-16,2.1915,2.1915,2.1683,2.1683
1992-09-17,2.1790,2.2024,2.1574,2.1790
1992-09-18,2.1790,2.1790,2.1574,2.1790
1992-09-21,2.1574,2.1790,2.1359,2.1790
1992-09-22,2.1574,2.1790,2.1359,2.1359
