DATE,OPEN,HIGH,LOW,CLOSE
1993-09-30,2.5588,2.6045,2.5588,2.5588
1993-10-01,2.6045,2.6045,2.5588,2.5588
1993-10-04,2.5588,2.6045,2.5588,2.5588
1993-10-05,2.6045,2.6045,2.5588,2.5588
1993-10-06,2.5588,2.6045,2.5588,2.5588
1993-10-07,2.5588,2.6045,2.5588,2.5588
1993-10-08,2.5588,2.6045,2.5588,2.6045
1993-10-11,2.5588,2.6045,2.5588,2.5588
1993-10-12,2.6045,2.6045,2.5588,2.5588
1993-10-13,2.5588,2.6045,2.5588,2.5588
1993-10-14,2.5588,2.6045,2.5588,2.5588
1993-10-15,2.6045,2.6045,2.5131,2.5131
1993-10-18,2.5825,2.5825,2.5131,2.5131
1993-10-19,2.5131,2.5825,2.5131,2.5131
1993-10-20,2.5131,2.5368,2.4674,2.4674
1993-10-21,2.4674,2.4674,2.3522,2.3522
1993-10-22,2.3979,2.3979,2.3522,2.3979
1993-10-25,2.3979,2.3979,2.3522,2.3760
1993-10-26,2.3522,2.3979,2.3522,2.3979
1993-10-27,2.3979,2.3979,2.3522,2.3522
1993-10-28,2.3522,2.3979,2.3303,2.3303
1993-10-29,2.3303,2.3303,2.3303,2.3303
1993-11-01,2.3303,2.3303,2.2846,2.2846
1993-11-02,2.3303,2.3303,2.2846,2.2846
1993-11-03,2.3303,2.3303,2.2846,2.2846
1993-11-04,2.2846,2.3303,2.1713,2.1713
1993-11-05,2.1475,2.1932,1.9191,2.0781
1993-11-08,2.1238,2.2152,2.1018,2.1932
1993-11-09,2.1932,2.1932,2.1475,2.1932
1993-11-10,2.1932,2.1932,2.1238,2.1238
1993-11-11,2.1713,2.1713,2.1018,2.1713
1993-11-12,2.1713,2.1713,2.1018,2.1713
1993-11-15,2.1238,2.1932,2.1238,2.1238
1993-11-16,2.1713,2.1713,2.1238,2.1713
1993-11-17,2.1932,2.2846,2.1932,2.2152
1993-11-18,2.2389,2.3303,2.2389,2.3303
1993-11-19,2.3303,2.4217,2.3084,2.3979
1993-11-22,2.4217,2.4217,2.2609,2.3303
1993-11-23,2.3303,2.3522,2.2846,2.3522
1993-11-24,2.3522,2.5131,2.3522,2.4674
1993-11-26,2.4455,2.4674,2.3522,2.3760
1993-11-29,2.4217,2.4674,2.3760,2.3760
1993-11-30,2.3760,2.4674,2.3760,2.4674
